0	Index      	 *	Score 	Summary	Detail	
1	13111 36216	 * 	221.51	ACR|5VULN|2DMG|1ASPD|1CDMG	1DMSP|2RCR|35679VULN|45DMG|5BPWR|8CDMG|aASPD
128	14111 28123	   	201.30	DCR|2VULN|2AART|2DMG	1DMSP|2MBVNT|35VULN|45DMG|5BPWR|6RCR|7FEWX|89AART|aBEXP
129	14111 28124	   	201.30	DCR|2VULN|2AART|2DMG	1DMSP|2MBVNT|35VULN|45DMG|5BPWR|6RCR|7FEWX|89AART|aLIT
130	14111 28126	   	201.30	DCR|2VULN|2AART|2DMG	1DMSP|2MBVNT|35VULN|45DMG|5BPWR|6RCR|7FEWX|89AART|aAME
131	14111 24122	   	201.20	DCR|2VULN|2AART|2DMG	1DMSP|2MBVNT|35VULN|45DMG|5BPWR|6RCR|7DUST|89AART|aBEXP
132	14111 24124	   	201.20	DCR|2VULN|2AART|2DMG	1DMSP|2MBVNT|35VULN|45DMG|5BPWR|6RCR|7DUST|89AART|aLIT
133	14111 24126	   	201.20	DCR|2VULN|2AART|2DMG	1DMSP|2MBVNT|35VULN|45DMG|5BPWR|6RCR|7DUST|89AART|aAME
134	14111 28121	   	201.20	DCR|2VULN|2AART|2DMG	1DMSP|2MBVNT|35VULN|45DMG|5BPWR|6RCR|7FEWX|89AART|aERES
135	14111 28122	   	201.20	DCR|2VULN|2AART|2DMG|1MSE	1DMSP|2MBVNT|35VULN|45DMG|5BPWR|6RCR|7FEWX|89AART|aMSE
136	14113 28128	   	201.20	DCR|2VULN|2AART|2DMG	1DMSP|2MBVNT|35VULN|4aDMG|6RCR|7FEWX|89AART
137	12521 21252	 * 	201.20	DCR|2VULN|2DMG|3ZMB|2DUR	1DMSP|27aZMB|3aDMG|4MLV|58VULN|6RCR|9aDUR|aBPWR
138	14111 24121	   	201.10	DCR|2VULN|2AART|2DMG	1DMSP|2MBVNT|35VULN|45DMG|5BPWR|6RCR|7DUST|89AART|aERES
139	14111 24123	   	201.10	DCR|2VULN|2AART|2DMG|1MSE	1DMSP|2MBVNT|35VULN|45DMG|5BPWR|6RCR|7DUST|89AART|aMSE
140	14113 24128	   	201.10	DCR|2VULN|2AART|2DMG	1DMSP|2MBVNT|35VULN|4aDMG|6RCR|7DUST|89AART
141	12531 21252	   	201.10	DCR|2VULN|2DMG|3ZMB|2DUR	1DMSP|27aZMB|3aDMG|4ERES|58VULN|6RCR|9aDUR|aBPWR
142	13111 33414	   	201.04	ACR|3VULN|3DMG|1ASPD|1ZMB	1DMSP|2RCR|356VULN|459DMG|5BPWR|7ASPD|8ERES|aZMB
143	14111 25532	   	200.88	DCR|3DMG|2VULN|1AART	1DMSP|2MBVNT|35VULN|45aDMG|5BPWR|6RCR|7RPLT|8AART|9MULFIG
144	14111 28132	   	200.88	DCR|3DMG|2VULN|1AART	1DMSP|2MBVNT|35VULN|45aDMG|5BPWR|6RCR|7FEWX|8AART|9RMIN
145	13111 36621	 * 	200.85	ACR|5VULN|3DMG	1DMSP|2RCR|35679VULN|459DMG|59BPWR|89ERES|aLWND
146	13111 36622	   	200.85	ACR|5VULN|3DMG	1DMSP|2RCR|35679VULN|459DMG|59BPWR|89ERES|aMLV
147	13111 36623	   	200.85	ACR|5VULN|3DMG	1DMSP|2RCR|35679VULN|459DMG|59BPWR|89ERES|aLHND
148	13111 36624	   	200.85	ACR|5VULN|3DMG	1DMSP|2RCR|35679VULN|459DMG|59BPWR|89ERES|aFEWX
149	13111 36626	   	200.85	ACR|5VULN|3DMG	1DMSP|2RCR|35679VULN|459DMG|59BPWR|89ERES|aAME
150	14111 24132	   	200.78	DCR|3DMG|2VULN|1AART	1DMSP|2MBVNT|35VULN|45aDMG|5BPWR|6RCR|7DUST|8AART|9RMIN
151	14111 24542	   	200.78	DCR|3DMG|2VULN|1AART	1DMSP|2MBVNT|35VULN|45aDMG|5BPWR|6RCR|7DUST|8MLV|9AART
152	14111 24742	   	200.78	DCR|3DMG|2VULN|1AART	1DMSP|2MBVNT|35VULN|45aDMG|5BPWR|6RCR|7DUST|8AME|9AART
153	14111 25542	   	200.78	DCR|3DMG|2VULN|1AART	1DMSP|2MBVNT|35VULN|45aDMG|5BPWR|6RCR|7RPLT|8AART|9AIRARM
154	14111 28182	   	200.78	DCR|3DMG|2VULN|1AART	1DMSP|2MBVNT|35VULN|45aDMG|5BPWR|6RCR|7FEWX|8AART|9ERES
155	16351 32433	 * 	200.78	DCR|3DMG|2VULN|1MDPS|1AART|1AAC	1DMSP|2RMIN|39aDMG|4AART|5MDPS|6RCR|7AAC|8aVULN|aBPWR
156	14111 24642	   	200.68	DCR|3DMG|2VULN|1AART	1DMSP|2MBVNT|35VULN|45aDMG|5BPWR|6RCR|7DUST|8ERES|9AART
157	14181 21644	   	200.40	DCR|2VULN|2ASPD|1AART|1ZMB|1DUR	1DMSP|2MBVNT|35VULN|45ASPD|5BPWR|6RCR|7ZMB|8DUST|9AART|aDUR
158	14861 32312	 * 	200.00	DCR|3VULN|2ASPD|1AART|1DUR	1DMSP|2MBVNT|35ASPD|456VULN|5BPWR|7DUR|8AART|9MLV|aRCR
159	14181 32312	   	200.00	DCR|3VULN|2ASPD|1AART|1DUR	1DMSP|2MBVNT|356VULN|45ASPD|5BPWR|7DUR|8AART|9MLV|aRCR
160	14181 34312	   	200.00	DCR|3VULN|2ASPD|1AART|1DUR	1DMSP|2MBVNT|356VULN|45ASPD|5BPWR|7AART|8DUR|9MLV|aRCR
161	14861 34312	   	200.00	DCR|3VULN|2ASPD|1AART|1DUR	1DMSP|2MBVNT|35ASPD|456VULN|5BPWR|7AART|8DUR|9MLV|aRCR
162	14148 32174	 * 	199.96	DCR|2VULN|2AART|1ASPD|1CDMG	1DMSP|2MBVNT|37VULN|47LHND|5aAART|6RCR|7BPWR|8CDMG|9ASPD
163	14148 31643	 * 	199.72	DCR|2VULN|1AART|2CDMG|1DMG|1DUR	1DMSP|2MBVNT|38VULN|48LHND|5AART|6RCR|78CDMG|8BPWR|9DUR|aDMG
