0	Index      	 *	Score 	Summary	Detail	
1	31454 33264	 * 	277.27	DCR|DCR|1VULN|2AART|1MLV|1ASPD	1DUR|2MLV|3MBVNT|45AART|6VULN|79RCR|8MDPS|aASPD
14	31454 33311	   	263.62	DCR|DCR|1VULN|2AART|1MLV	1DUR|2MLV|3MBVNT|45AART|6VULN|7aRCR|8BEXP|9SPLARM
15	31454 33262	   	263.52	DCR|DCR|1VULN|2AART|1MLV|1SELL	1DUR|2MLV|3MBVNT|45AART|6VULN|79RCR|8MDPS|aSELL
16	31454 33263	   	263.52	DCR|DCR|1VULN|2AART|1MLV	1DUR|2MLV|3MBVNT|45AART|6VULN|79RCR|8MDPS|aERES
17	41411 24274	   	262.88	DCR|3VULN|3DMG|1MLV	167DMG|2LWND|3MBVNT|47BLASTR|567VULN|67BPWR|8MLV|9RCR|aDUR
18	41441 24274	   	262.88	DCR|3VULN|3DMG|1MLV	167DMG|2LWND|3MBVNT|47SNITOX|567VULN|67BPWR|8MLV|9RCR|aDUR
19	31456 33311	   	262.40	DCR|DCR|1VULN|1MLV|2DUR|1AART	15DUR|2MLV|3MBVNT|4AART|6VULN|7aRCR|8BEXP|9SPLARM
20	41411 24372	   	260.35	DCR|3VULN|3DMG|1ASPD|1RPLT	167DMG|2LWND|3MBVNT|47BLASTR|567VULN|67BPWR|8ASPD|9RCR|aRPLT
21	41441 24372	   	260.35	DCR|3VULN|3DMG|1ASPD|1RPLT	167DMG|2LWND|3MBVNT|47SNITOX|567VULN|67BPWR|8ASPD|9RCR|aRPLT
22	31453 72312	 * 	256.17	DCR|3VULN|2MLV|3DUR|1AART|1RPLT	189DUR|29MLV|3MBVNT|4AART|5RPLT|69aVULN|7RCR|9BPWR
23	31223 12561	   	255.95	DCR|DCR|1VULN|1MLV|1AART	1DUR|2MLV|3FEWX|4VULN|5AART|6BEXP|79RCR|8MBVNT|aLIT
24	31223 12566	   	255.95	DCR|DCR|1VULN|1MLV|1AART	1DUR|2MLV|3FEWX|4VULN|5AART|6BEXP|79RCR|8MBVNT|aLHND
25	31223 12567	   	255.95	DCR|DCR|1VULN|1MLV|1AART	1DUR|2MLV|3FEWX|4VULN|5AART|6BEXP|79RCR|8MBVNT|aLWND
26	31223 32561	   	255.95	DCR|DCR|1VULN|1MLV|1AART	1DUR|2MLV|3FEWX|4VULN|5AART|6LWND|79RCR|8MBVNT|aLIT
27	31223 32566	   	255.95	DCR|DCR|1VULN|1MLV|1AART	1DUR|2MLV|3FEWX|4VULN|5AART|6LWND|79RCR|8MBVNT|aLHND
28	31223 32567	   	255.95	DCR|DCR|1VULN|1MLV|1AART	1DUR|2MLV|3FEWX|4VULN|5AART|6aLWND|79RCR|8MBVNT
29	51223 32561	   	255.95	DCR|DCR|1VULN|1MLV|1AART	1LWND|2MLV|3FEWX|4VULN|5DUR|6AART|79RCR|8MBVNT|aLIT
30	31223 12562	   	255.85	DCR|DCR|1VULN|1MLV|1AART|1SELL	1DUR|2MLV|3FEWX|4VULN|5AART|6BEXP|79RCR|8MBVNT|aSELL
31	31223 12563	   	255.85	DCR|DCR|1VULN|1MLV|1AART	1DUR|2MLV|3FEWX|4VULN|5AART|6BEXP|79RCR|8MBVNT|aERES
32	31223 32562	   	255.85	DCR|DCR|1VULN|1MLV|1AART|1SELL	1DUR|2MLV|3FEWX|4VULN|5AART|6LWND|79RCR|8MBVNT|aSELL
33	31223 32563	   	255.85	DCR|DCR|1VULN|1MLV|1AART	1DUR|2MLV|3FEWX|4VULN|5AART|6LWND|79RCR|8MBVNT|aERES
34	31223 32568	   	255.85	DCR|DCR|1VULN|1MLV|1AART	1DUR|2MLV|3FEWX|4VULN|5AART|6LWND|79RCR|8MBVNT|aMDPS
35	51223 32562	   	255.85	DCR|DCR|1VULN|1MLV|1AART|1SELL	1LWND|2MLV|3FEWX|4VULN|5DUR|6AART|79RCR|8MBVNT|aSELL
36	51223 32563	   	255.85	DCR|DCR|1VULN|1MLV|1AART	1LWND|2MLV|3FEWX|4VULN|5DUR|6AART|79RCR|8MBVNT|aERES
37	31411 18341	   	255.75	DCR|DCR|1VULN|1MLV|1AART	1DUR|2MLV|3MBVNT|4MGNSTR|5VULN|6BEXP|7AART|8aRCR|9AELOIC
38	31441 18341	   	255.75	DCR|DCR|1VULN|1MLV|1AART	1DUR|2MLV|3MBVNT|4CANARM|5VULN|6BEXP|7AART|8aRCR|9AELOIC
39	31223 55111	   	255.70	DCR|DCR|1VULN|1MLV|1AART|1ZMB	1DUR|2MLV|3FEWX|4VULN|5AART|6AAC|7aRCR|8ZMB|9SPLARM
40	31452 43611	   	255.65	DCR|DCR|1VULN|1MLV|1AART	1DUR|2MLV|3MBVNT|4AART|5ERES|6AME|7aRCR|8VULN|9AIRARM
41	41411 24271	   	254.57	DCR|3VULN|3DMG|1MLV	167DMG|2LWND|3MBVNT|47BLASTR|567VULN|67BPWR|8MLV|9RCR|aBBNT
42	41441 24271	   	254.57	DCR|3VULN|3DMG|1MLV	167DMG|2LWND|3MBVNT|47SNITOX|567VULN|67BPWR|8MLV|9RCR|aBBNT
43	41411 24273	   	254.47	DCR|3VULN|3DMG|1MLV|1SELL	167DMG|2LWND|3MBVNT|47BLASTR|567VULN|67BPWR|8MLV|9RCR|aSELL
44	41441 24273	   	254.47	DCR|3VULN|3DMG|1MLV|1SELL	167DMG|2LWND|3MBVNT|47SNITOX|567VULN|67BPWR|8MLV|9RCR|aSELL
45	31332 41415	 * 	253.06	ACR|DCR|1VULN|2MLV|1DMG	1DUR|28MLV|3BBNT|4aRCR|5ERES|6BELT|7DMG|9VULN
46	36223 12564	   	252.07	DCR|DCR|1VULN|1ASPD|1AART	1DUR|2RMIN|3FEWX|4VULN|5AART|6BEXP|79RCR|8MBVNT|aASPD
47	36223 32564	   	252.07	DCR|DCR|1VULN|1ASPD|1AART	1DUR|2RMIN|3FEWX|4VULN|5AART|6LWND|79RCR|8MBVNT|aASPD
48	31416 37312	 * 	251.80	DCR|3VULN|2MLV|1DMG|2DUR	18DUR|28MLV|3MBVNT|4MGNSTR|5DMG|6RCR|78aVULN|8BPWR|9RCVC
49	31446 37312	   	251.80	DCR|3VULN|2MLV|1DMG|2DUR	18DUR|28MLV|3MBVNT|4CANARM|5DMG|6RCR|78aVULN|8BPWR|9RCVC
50	31416 37344	   	251.55	DCR|3VULN|2MLV|1DMG|2DUR|1ZMB	18DUR|28MLV|3MBVNT|4MGNSTR|5DMG|6RCR|78aVULN|8BPWR|9ZMB
51	31446 37344	   	251.55	DCR|3VULN|2MLV|1DMG|2DUR|1ZMB	18DUR|28MLV|3MBVNT|4CANARM|5DMG|6RCR|78aVULN|8BPWR|9ZMB
52	31453 72114	   	251.16	DCR|3VULN|2MLV|2DUR|1AART|1RPLT	19DUR|29MLV|3MBVNT|4AART|5RPLT|689VULN|7RCR|9BPWR|aRCVC
53	31453 72112	   	251.06	DCR|3VULN|2MLV|2DUR|1AART|1RPLT	19DUR|29MLV|3MBVNT|4AART|5RPLT|689VULN|7RCR|9BPWR|aERES
54	31453 72113	   	251.06	DCR|3VULN|2MLV|2DUR|1AART|1RPLT|1ZMB	19DUR|29MLV|3MBVNT|4AART|5RPLT|689VULN|7RCR|9BPWR|aZMB
55	41411 24371	   	250.69	DCR|3VULN|3DMG|1ASPD	167DMG|2LWND|3MBVNT|47BLASTR|567VULN|67BPWR|8ASPD|9RCR|aBBNT
56	41441 24371	   	250.69	DCR|3VULN|3DMG|1ASPD	167DMG|2LWND|3MBVNT|47SNITOX|567VULN|67BPWR|8ASPD|9RCR|aBBNT
57	41411 24374	   	250.59	DCR|3VULN|3DMG|1ASPD	167DMG|2LWND|3MBVNT|47BLASTR|567VULN|67BPWR|8ASPD|9RCR|aLEGI
58	41441 24374	   	250.59	DCR|3VULN|3DMG|1ASPD	167DMG|2LWND|3MBVNT|47SNITOX|567VULN|67BPWR|8ASPD|9RCR|aLEGI
59	42512 35213	 * 	249.93	DCR|DCR|1VULN|1DMG|1RPLT|1ZMB	1DMG|2AAC|3ZMB|4BELT|5MDPS|6RPLT|7RMIN|8VULN|9aRCR
60	51423 35341	   	247.44	DCR|DCR|1VULN|1MLV|1AART	1LWND|2MLV|3MBVNT|4VULN|5BEXP|6AART|7AIRARM|8aRCR|9AELOIC
