0	Index      	 *	Score 	Summary	Detail	
1	24221 22433	 * 	288.63	DCR|DCR|2VULN|2AART|1ASPD|1CDMG	18VULN|2CDMG|3FEWX|4ASPD|5aAART|69RCR|7CGEN
20	24221 22436	   	280.76	DCR|DCR|2VULN|1ASPD|1CDMG|1AART	18VULN|2CDMG|3FEWX|4ASPD|5AART|69RCR|7CGEN|aERES
21	13622 31533	   	279.66	DCR|DCR|2VULN|2ASPD|1RPLT	1RPLT|2CGEN|34ASPD|5BBNT|69RCR|7FEWX|8aVULN
22	13622 32533	   	279.66	DCR|DCR|2VULN|2ASPD|1RPLT	1RPLT|2CGEN|34ASPD|5BBNT|69RCR|7BEXP|8aVULN
23	24131 22433	   	274.98	DCR|DCR|2VULN|2AART|1CDMG	18VULN|2CDMG|3AAC|4BEXP|5aAART|69RCR|7CGEN
24	24251 22433	   	274.98	DCR|DCR|2VULN|2AART|1CDMG	18VULN|2CDMG|3FEWX|4AAC|5aAART|69RCR|7CGEN
25	21323 36513	   	274.14	DCR|DCR|3VULN	158VULN|2DUR|34BEXP|6TSLFST|7aRCR|9ERES
26	21343 36513	   	274.14	DCR|DCR|3VULN	158VULN|2DUR|3BEXP|4RCVC|6TSLFST|7aRCR|9ERES
27	22243 36513	   	274.14	DCR|DCR|3VULN	158VULN|2FEWX|3DMSP|4DUR|6TSLFST|7aRCR|9ERES
28	21263 36513	   	274.04	DCR|DCR|3VULN	148VULN|2DUR|3DMSP|5DUST|6TSLFST|7aRCR|9ERES
29	21463 36113	   	273.94	DCR|DCR|3VULN	134VULN|2DUR|58DUST|6TSLFST|7aRCR|9ERES
30	13565 23333	   	273.52	DCR|DCR|2VULN|1DMG|1RPLT	1RPLT|2CGEN|3FEWX|4MDPS|5DMG|6LWND|79RCR|8aVULN
31	13165 23333	   	273.42	DCR|DCR|2VULN|1DMG|1RPLT	1RPLT|2CGEN|3DUST|4MDPS|5DMG|6LWND|79RCR|8aVULN
32	24332 62226	 * 	272.07	DCR|DCR|2VULN|2CDMG	14VULN|29CDMG|3LIT|5ERES|6aRCR|7DUR|8TBNT
33	24221 23133	   	268.74	DCR|DCR|1VULN|2CDMG|2AART|1ASPD	1VULN|27CDMG|3FEWX|4ASPD|5aAART|69RCR|8TLV
34	24221 23433	   	268.64	DCR|DCR|1VULN|2CDMG|2AART|1ASPD	1VULN|27CDMG|3FEWX|4ASPD|5aAART|69RCR|8ERES
35	11112 32121	 * 	267.78	ACR|DCR|2VULN|1DMG|2RPLT|1AART	17RPLT|2MBVNT|35VULN|49RCR|6AART|8DMG|aDUR
36	11113 11262	 * 	267.46	ACR|DCR|2VULN|2MLV|1AART|1RPLT	1RPLT|2MBVNT|37VULN|4aRCR|57MLV|67LHND|7BPWR|8AART|9VENTOX
37	11113 11272	   	267.46	ACR|DCR|2VULN|2MLV|1AART|1RPLT	1RPLT|2MBVNT|37VULN|4aRCR|57MLV|67LHND|7BPWR|8AART|9FRZFST
38	11113 51262	   	267.46	ACR|DCR|2VULN|2MLV|1AART|1RPLT	1RPLT|2MBVNT|37VULN|4aRCR|57MLV|67LWND|7BPWR|8AART|9VENTOX
39	11113 51272	   	267.46	ACR|DCR|2VULN|2MLV|1AART|1RPLT	1RPLT|2MBVNT|37VULN|4aRCR|57MLV|67LWND|7BPWR|8AART|9FRZFST
40	23232 23132	 * 	267.38	DCR|DCR|1VULN|1DMG|2CDMG|1AART	1VULN|2aLWND|3AART|47CDMG|5DMG|69RCR|8TLV
41	23232 23134	   	267.38	DCR|DCR|1VULN|1DMG|2CDMG|1AART	1VULN|2LWND|3AART|47CDMG|5DMG|69RCR|8TLV|aRCVC
42	23232 23135	   	267.38	DCR|DCR|1VULN|1DMG|2CDMG|1AART	1VULN|2LWND|3AART|47CDMG|5DMG|69RCR|8TLV|aFEWX
43	23232 23136	   	267.38	DCR|DCR|1VULN|1DMG|2CDMG|1AART	1VULN|2LWND|3AART|47CDMG|5DMG|69RCR|8TLV|aLIT
44	23232 23432	   	267.28	DCR|DCR|1VULN|1DMG|2CDMG|1AART	1VULN|2aLWND|3AART|47CDMG|5DMG|69RCR|8ERES
45	23232 23434	   	267.28	DCR|DCR|1VULN|1DMG|2CDMG|1AART	1VULN|2LWND|3AART|47CDMG|5DMG|69RCR|8ERES|aRCVC
46	23232 23435	   	267.28	DCR|DCR|1VULN|1DMG|2CDMG|1AART	1VULN|2LWND|3AART|47CDMG|5DMG|69RCR|8ERES|aFEWX
47	23232 23436	   	267.28	DCR|DCR|1VULN|1DMG|2CDMG|1AART	1VULN|2LWND|3AART|47CDMG|5DMG|69RCR|8ERES|aLIT
48	23232 23131	   	267.28	DCR|DCR|1VULN|1DMG|2CDMG|1AART	1VULN|2LWND|3AART|47CDMG|5DMG|69RCR|8TLV|aLEGI
49	23232 23133	   	267.28	DCR|DCR|1VULN|1DMG|2CDMG|1AART|1MSE	1VULN|2LWND|3AART|47CDMG|5DMG|69RCR|8TLV|aMSE
50	24131 22431	   	267.21	DCR|DCR|2VULN|1CDMG|1AART	18VULN|2CDMG|3AAC|4BEXP|5AART|69RCR|7CGEN|aLHND
51	24131 22432	   	267.21	DCR|DCR|2VULN|1CDMG|1AART	18VULN|2CDMG|3AAC|4BEXP|5AART|69RCR|7CGEN|aLIT
52	24131 22434	   	267.21	DCR|DCR|2VULN|1CDMG|1AART	18VULN|2CDMG|3AAC|4BEXP|5AART|69RCR|7CGEN|aRCVC
53	24131 22435	   	267.21	DCR|DCR|2VULN|1CDMG|1AART	18VULN|2CDMG|3AAC|4BEXP|5AART|69RCR|7CGEN|aFEWX
54	24251 22431	   	267.21	DCR|DCR|2VULN|1CDMG|1AART	18VULN|2CDMG|3FEWX|4AAC|5AART|69RCR|7CGEN|aLHND
55	24251 22432	   	267.21	DCR|DCR|2VULN|1CDMG|1AART	18VULN|2CDMG|3FEWX|4AAC|5AART|69RCR|7CGEN|aLIT
56	23232 23431	   	267.18	DCR|DCR|1VULN|1DMG|2CDMG|1AART	1VULN|2LWND|3AART|47CDMG|5DMG|69RCR|8ERES|aLEGI
57	23232 23433	   	267.18	DCR|DCR|1VULN|1DMG|2CDMG|1AART|1MSE	1VULN|2LWND|3AART|47CDMG|5DMG|69RCR|8ERES|aMSE
58	23236 22432	   	266.96	DCR|DCR|2VULN|1CDMG|1AART|1ZMB	18VULN|2aLWND|3AART|4CDMG|5ZMB|69RCR|7CGEN
59	23236 22434	   	266.96	DCR|DCR|2VULN|1CDMG|1AART|1ZMB	18VULN|2LWND|3AART|4CDMG|5ZMB|69RCR|7CGEN|aRCVC
60	23236 22435	   	266.96	DCR|DCR|2VULN|1CDMG|1AART|1ZMB	18VULN|2LWND|3AART|4CDMG|5ZMB|69RCR|7CGEN|aFEWX
61	23236 22436	   	266.96	DCR|DCR|2VULN|1CDMG|1AART|1ZMB	18VULN|2LWND|3AART|4CDMG|5ZMB|69RCR|7CGEN|aLIT
62	23236 22431	   	266.86	DCR|DCR|2VULN|1CDMG|1AART|1ZMB	18VULN|2LWND|3AART|4CDMG|5ZMB|69RCR|7CGEN|aLEGI
63	23236 22433	   	266.86	DCR|DCR|2VULN|1CDMG|1AART|1ZMB|1MSE	18VULN|2LWND|3AART|4CDMG|5ZMB|69RCR|7CGEN|aMSE
64	22323 36513	   	265.84	DCR|DCR|3VULN	158VULN|2FEWX|34BEXP|6TSLFST|7aRCR|9ERES
65	11136 53336	   	264.85	DCR|DCR|1VULN|1DMG|1MLV|1RPLT	1RPLT|2MBVNT|3VULN|4FEWX|5MLV|6FLTARM|7DMG|8aRCR|9LWND
66	11136 22336	   	264.75	DCR|DCR|1VULN|1DMG|1MLV|1RPLT	1RPLT|2MBVNT|3VULN|4FEWX|5MLV|6DMG|7CANARM|8aRCR|9LWND
67	13165 23336	   	264.75	DCR|DCR|1VULN|1DMG|1MLV|1RPLT	1RPLT|2CGEN|3DUST|4MDPS|5DMG|6LWND|79RCR|8VULN|aMLV
68	24332 61226	   	263.66	DCR|DCR|2VULN|2CDMG	14VULN|29CDMG|3LIT|5ERES|6aRCR|7DUST|8TBNT
69	21453 34321	 * 	263.48	DCR|3VULN|3DMG|1MLV|2DUR	137VULN|27DUR|467DMG|5BBNT|7BPWR|8AME|9RCR|aMLV
70	21661 63133	   	261.76	DCR|DCR|2VULN|1RPLT	1aVULN|2DUR|3MDPS|4CGEN|5AAC|6RPLT|79RCR|8LWND
71	21661 63233	   	261.76	DCR|DCR|2VULN|1RPLT	1aVULN|2DUR|3MDPS|4CGEN|5AAC|6RPLT|79RCR|8FEWX
72	13622 35531	   	261.76	DCR|DCR|1VULN|2ASPD|1RPLT	1RPLT|2CGEN|34ASPD|5BBNT|69RCR|7DUR|8VULN|aLHND
73	13622 35532	   	261.66	DCR|DCR|1VULN|2ASPD|1RPLT|1MSE	1RPLT|2CGEN|34ASPD|5BBNT|69RCR|7DUR|8VULN|aMSE
74	11112 32221	   	261.37	ACR|DCR|2VULN|2RPLT|1ASPD|1AART	17RPLT|2MBVNT|35VULN|49RCR|6AART|8ASPD|aDUR
75	23233 23132	   	260.97	DCR|DCR|1VULN|2CDMG|1ASPD|1AART	1VULN|2aLWND|3AART|47CDMG|5ASPD|69RCR|8TLV
76	23233 23134	   	260.97	DCR|DCR|1VULN|2CDMG|1ASPD|1AART	1VULN|2LWND|3AART|47CDMG|5ASPD|69RCR|8TLV|aRCVC
77	23233 23135	   	260.97	DCR|DCR|1VULN|2CDMG|1ASPD|1AART	1VULN|2LWND|3AART|47CDMG|5ASPD|69RCR|8TLV|aFEWX
78	23233 23136	   	260.97	DCR|DCR|1VULN|2CDMG|1ASPD|1AART	1VULN|2LWND|3AART|47CDMG|5ASPD|69RCR|8TLV|aLIT
79	24221 23131	   	260.97	DCR|DCR|1VULN|2CDMG|1ASPD|1AART	1VULN|27CDMG|3FEWX|4ASPD|5AART|69RCR|8TLV|aLHND
80	24221 23132	   	260.97	DCR|DCR|1VULN|2CDMG|1ASPD|1AART	1VULN|27CDMG|3FEWX|4ASPD|5AART|69RCR|8TLV|aLIT
81	24221 23134	   	260.97	DCR|DCR|1VULN|2CDMG|1ASPD|1AART	1VULN|27CDMG|3FEWX|4ASPD|5AART|69RCR|8TLV|aRCVC
82	24221 23135	   	260.97	DCR|DCR|1VULN|2CDMG|1ASPD|1AART	1VULN|27CDMG|3aFEWX|4ASPD|5AART|69RCR|8TLV
83	11147 22315	   	260.87	DCR|DCR|1VULN|1DMG|1ASPD|1RPLT	1RPLT|2MBVNT|3VULN|4LHND|5DMG|6ASPD|7SNITOX|8aRCR|9BBNT
84	11147 28315	   	260.87	DCR|DCR|1VULN|1DMG|1ASPD|1RPLT	1RPLT|2MBVNT|3VULN|4LHND|5DMG|6ASPD|7CANTOX|8aRCR|9BBNT
85	11147 54315	   	260.87	DCR|DCR|1VULN|1DMG|1ASPD|1RPLT	1RPLT|2MBVNT|3VULN|4LHND|5DMG|6MSLREG|7ASPD|8aRCR|9BBNT
86	23233 23131	   	260.87	DCR|DCR|1VULN|2CDMG|1ASPD|1AART	1VULN|2LWND|3AART|47CDMG|5ASPD|69RCR|8TLV|aLEGI
87	23233 23133	   	260.87	DCR|DCR|1VULN|2CDMG|1ASPD|1AART|1MSE	1VULN|2LWND|3AART|47CDMG|5ASPD|69RCR|8TLV|aMSE
88	23233 23432	   	260.87	DCR|DCR|1VULN|2CDMG|1ASPD|1AART	1VULN|2aLWND|3AART|47CDMG|5ASPD|69RCR|8ERES
89	23233 23434	   	260.87	DCR|DCR|1VULN|2CDMG|1ASPD|1AART	1VULN|2LWND|3AART|47CDMG|5ASPD|69RCR|8ERES|aRCVC
90	23233 23435	   	260.87	DCR|DCR|1VULN|2CDMG|1ASPD|1AART	1VULN|2LWND|3AART|47CDMG|5ASPD|69RCR|8ERES|aFEWX
91	23233 23436	   	260.87	DCR|DCR|1VULN|2CDMG|1ASPD|1AART	1VULN|2LWND|3AART|47CDMG|5ASPD|69RCR|8ERES|aLIT
92	24221 23136	   	260.87	DCR|DCR|1VULN|2CDMG|1ASPD|1AART	1VULN|27CDMG|3FEWX|4ASPD|5AART|69RCR|8TLV|aERES
93	24221 23431	   	260.87	DCR|DCR|1VULN|2CDMG|1ASPD|1AART	1VULN|27CDMG|3FEWX|4ASPD|5AART|69RCR|8ERES|aLHND
94	24221 23432	   	260.87	DCR|DCR|1VULN|2CDMG|1ASPD|1AART	1VULN|27CDMG|3FEWX|4ASPD|5AART|69RCR|8ERES|aLIT
95	24221 23434	   	260.87	DCR|DCR|1VULN|2CDMG|1ASPD|1AART	1VULN|27CDMG|3FEWX|4ASPD|5AART|69RCR|8ERES|aRCVC
96	24221 23435	   	260.87	DCR|DCR|1VULN|2CDMG|1ASPD|1AART	1VULN|27CDMG|3aFEWX|4ASPD|5AART|69RCR|8ERES
97	23233 23431	   	260.77	DCR|DCR|1VULN|2CDMG|1ASPD|1AART	1VULN|2LWND|3AART|47CDMG|5ASPD|69RCR|8ERES|aLEGI
98	23233 23433	   	260.77	DCR|DCR|1VULN|2CDMG|1ASPD|1AART|1MSE	1VULN|2LWND|3AART|47CDMG|5ASPD|69RCR|8ERES|aMSE
99	24221 23436	   	260.77	DCR|DCR|1VULN|2CDMG|1ASPD|1AART	1VULN|27CDMG|3FEWX|4ASPD|5AART|69RCR|8aERES
100	23232 22443	 * 	260.71	DCR|3VULN|2MLV|1DMG|2CDMG|1AART	18aVULN|2LWND|3AART|4aCDMG|5DMG|6RCR|7CGEN|9aMLV|aBPWR
101	24215 31116	   	259.71	DCR|DCR|1VULN|1DMG|1CDMG	1VULN|2CDMG|3FEWX|4DUR|5LIT|6DMG|7TBNT|8aRCR|9RMIN
102	24236 31116	   	259.71	DCR|DCR|1VULN|1DMG|1CDMG	1VULN|2CDMG|3FEWX|4TBNT|5LIT|6DMG|7DUR|8aRCR|9RMIN
103	11112 32122	   	259.47	ACR|DCR|2VULN|1DMG|2RPLT|1AART	17RPLT|2MBVNT|35VULN|49RCR|6AART|8DMG|aCGEN
104	11112 32124	   	259.47	ACR|DCR|2VULN|1DMG|2RPLT|1AART	17RPLT|2MBVNT|35VULN|49RCR|6AART|8DMG|aBEXP
105	11112 32125	   	259.47	ACR|DCR|2VULN|1DMG|2RPLT|1AART	17RPLT|2MBVNT|35VULN|49RCR|6AART|8DMG|aTLV
106	11112 32127	   	259.47	ACR|DCR|2VULN|1DMG|2RPLT|1AART	17RPLT|2MBVNT|35VULN|49RCR|6AART|8DMG|aLWND
107	11112 32128	   	259.47	ACR|DCR|2VULN|1DMG|2RPLT|1AART	17RPLT|2MBVNT|35VULN|49RCR|6AART|8DMG|aTBNT
108	11112 32123	   	259.37	ACR|DCR|2VULN|1DMG|2RPLT|1AART|1MSE	17RPLT|2MBVNT|35VULN|49RCR|6AART|8DMG|aMSE
109	11112 32126	   	259.37	ACR|DCR|2VULN|1DMG|2RPLT|1AART	17RPLT|2MBVNT|35VULN|49RCR|6AART|8DMG|aERES
