0	Index      	 *	Score 	Summary	Detail	
1	62351 31134	 * 	267.24	DCR|2LIT|4VULN|1DMG	1689VULN|2BLASTR|3RMIN|4DMG|56LIT|6BPWR|7LHND|aRCR
160	62112 23114	   	237.86	DCR|2LIT|2VULN|1MLV	16VULN|2BLASTR|3BEXP|45LIT|79CGEN|8MLV|aRCR
161	62112 23124	   	237.86	DCR|2LIT|2VULN|1MLV	16VULN|2BLASTR|39BEXP|45LIT|7CGEN|8MLV|aRCR
162	62112 23131	   	237.86	DCR|2LIT|2VULN|1MLV	16VULN|2BLASTR|3BEXP|45LIT|7CGEN|8MLV|9TLV|aRCR
163	62112 23154	   	237.86	DCR|2LIT|2VULN|1MLV	16VULN|2BLASTR|3BEXP|45LIT|7CGEN|8MLV|9DMSP|aRCR
164	14321 34253	   	237.85	DCR|1LIT|1VULN|1MLV|1DMG|1ASPD|1CDMG|1DUR	1ERES|2ASPD|3CDMG|4FEWX|5MLV|6VULN|7DUR|8DMG|9RCR|aLIT
165	11352 62134	   	237.76	DCR|2LIT|2VULN|1MLV	1ERES|27LIT|3NUKE|4FRZICY|5TLV|69VULN|8MLV|aRCR
166	14162 23253	 * 	237.69	DCR|2VULN|2DMG|1MLV|1ASPD|1CDMG	1ERES|2ASPD|39VULN|4DUST|58DMG|6CDMG|7RCR|aMLV
167	62621 25213	   	237.64	DCR|3VULN|1LIT|1CDMG|1ASPD|1DUR	16aVULN|2BLASTR|3RCVC|4DUR|5LIT|7RCR|8CDMG|9ASPD
168	65532 12232	   	237.38	DCR|1LIT|2VULN|1MLV|1CDMG	18VULN|2MLV|3CDMG|4LHND|5ZMB|6DUST|7LIT|9RCR|aBEXP
169	65532 12233	   	237.38	DCR|1LIT|2VULN|1MLV|1CDMG	18VULN|2MLV|3CDMG|4LHND|5ZMB|6DUST|7LIT|9RCR|aLWND
170	63413 22124	   	237.33	DCR|3VULN|1LIT|1MLV	168VULN|28CGEN|3RCVC|4MLV|5SPLREG|78FEWX|8BPWR|9LIT|aRCR
