0	Index      	 *	Score 	Summary	Detail	
1	21516 62331	 * 	293.70	DCR|2LIT|3VULN|1MLV|1AART|1CDMG	1BEXP|247VULN|34LIT|4BPWR|5RPLT|6MLV|8RCR|9CDMG|aAART
25	11516 22422	   	277.08	DCR|2LIT|2VULN|1MLV|1DMG|1ASPD	1FEWX|24VULN|34LIT|4BPWR|5RPLT|6LEGI|7RCR|8ASPD|9DMG|aMLV
26	21516 22422	   	277.08	DCR|2LIT|2VULN|1MLV|1DMG|1ASPD	1BEXP|24VULN|34LIT|4BPWR|5RPLT|6LEGI|7RCR|8ASPD|9DMG|aMLV
27	11515 31511	 * 	275.21	DCR|3LIT|3VULN|2ASPD	1FEWX|245VULN|345LIT|45BPWR|69ASPD|7RCVC|8RCR|aCGEN
28	11515 31512	   	275.21	DCR|3LIT|3VULN|2ASPD	1FEWX|245VULN|345LIT|45BPWR|69ASPD|7RCVC|8RCR|aLWND
29	11515 33511	   	275.21	DCR|3LIT|3VULN|2ASPD	17FEWX|245VULN|345LIT|45BPWR|69ASPD|8RCR|aCGEN
30	11515 33512	   	275.21	DCR|3LIT|3VULN|2ASPD	17FEWX|245VULN|345LIT|45BPWR|69ASPD|8RCR|aLWND
31	21515 31511	   	275.21	DCR|3LIT|3VULN|2ASPD	1BEXP|245VULN|345LIT|45BPWR|69ASPD|7RCVC|8RCR|aCGEN
32	21515 31512	   	275.21	DCR|3LIT|3VULN|2ASPD	1BEXP|245VULN|345LIT|45BPWR|69ASPD|7RCVC|8RCR|aLWND
33	21515 12163	   	274.51	DCR|3LIT|3VULN|1ASPD|1CDMG|1DUR	1BEXP|245VULN|345LIT|45BPWR|6DMSP|7DUR|8CDMG|9RCR|aASPD
34	21515 22163	   	274.41	DCR|3LIT|3VULN|2DUR|1ASPD|1CDMG	1BEXP|245VULN|345LIT|45BPWR|67DUR|8CDMG|9RCR|aASPD
35	21643 26233	 * 	273.73	DCR|4VULN|2MLV|1LIT	1BEXP|2456VULN|36MLV|6BPWR|7LIT|8LHND|9CGEN|aRCR
36	11511 61121	   	272.27	DCR|2LIT|2VULN|1MLV|1DMG	1FEWX|24VULN|34LIT|4BPWR|5CGEN|6RCR|7ZMB|8LHND|9MLV|aDMG
37	11511 64121	   	272.27	DCR|2LIT|2VULN|1MLV|1DMG	1FEWX|24VULN|34LIT|4BPWR|5CGEN|6RCR|7LWND|8ZMB|9MLV|aDMG
38	51515 12131	   	271.50	DCR|3LIT|3VULN|1CDMG	1aLHND|245VULN|345LIT|45BPWR|6AART|7RCR|8CDMG|9ZMB
39	51515 12133	   	271.50	DCR|3LIT|3VULN|1CDMG	1LHND|245VULN|345LIT|45BPWR|6AART|7RCR|8CDMG|9ZMB|aCGEN
40	21533 62331	   	271.46	DCR|2LIT|2VULN|1MLV|1AART|1CDMG	1BEXP|27VULN|35LIT|4RPLT|6MLV|8RCR|9CDMG|aAART
41	51515 12132	   	271.40	DCR|3LIT|3VULN|1CDMG	1LHND|245VULN|345LIT|45BPWR|6AART|7RCR|8CDMG|9ZMB|aMBVNT
42	11512 32362	 * 	270.87	DCR|3LIT|3VULN|1DMG	1FEWX|249VULN|348LIT|4BPWR|5LHND|6RPLT|7RCR|aDMG
43	11512 32363	 * 	270.87	DCR|3LIT|3VULN|1NUKE	1FEWX|249VULN|348LIT|4BPWR|5LHND|6RPLT|7RCR|aNUKE
44	21511 62162	   	270.81	DCR|3LIT|2VULN|1MLV|1CDMG	1BEXP|24VULN|347LIT|4BPWR|5CGEN|6MLV|8CDMG|9RCR|aRMIN
45	11516 22362	   	270.77	DCR|3LIT|3VULN|1DMG	1FEWX|249VULN|348LIT|4BPWR|5RPLT|6LEGI|7RCR|aDMG
46	11516 22363	   	270.77	DCR|3LIT|3VULN|1NUKE	1FEWX|249VULN|348LIT|4BPWR|5RPLT|6LEGI|7RCR|aNUKE
47	21516 22362	   	270.77	DCR|3LIT|3VULN|1DMG	1BEXP|249VULN|348LIT|4BPWR|5RPLT|6LEGI|7RCR|aDMG
48	21516 22363	   	270.77	DCR|3LIT|3VULN|1NUKE	1BEXP|249VULN|348LIT|4BPWR|5RPLT|6LEGI|7RCR|aNUKE
49	21511 62161	   	270.71	DCR|3LIT|2VULN|1MLV|1CDMG|1DUR	1BEXP|24VULN|347LIT|4BPWR|5CGEN|6MLV|8CDMG|9RCR|aDUR
50	53653 22132	   	269.08	DCR|3VULN|1LIT|3DMG	1LHND|246DMG|356VULN|6BPWR|7LIT|8RCR|9ZMB|aTLV
51	21511 62115	   	269.01	DCR|3LIT|2VULN|1MLV|1CDMG	1BEXP|24VULN|347LIT|4BPWR|5CGEN|6MLV|8CDMG|9FEWX|aRCR
52	21511 62135	   	269.01	DCR|3LIT|2VULN|1MLV|1CDMG	1BEXP|24VULN|347LIT|4BPWR|5CGEN|6MLV|8CDMG|9LWND|aRCR
53	11512 32336	   	267.70	DCR|3LIT|2VULN|1MLV	1FEWX|24VULN|348LIT|4BPWR|5LHND|6RPLT|7RCR|9MLV|aZMB
54	11513 36336	   	267.60	DCR|3LIT|2VULN|1MLV	1FEWX|24VULN|348LIT|4BPWR|5DUST|6RPLT|7RCR|9MLV|aZMB
55	11515 11522	   	267.37	DCR|3LIT|3VULN|1DMG	1FEWX|245VULN|345LIT|45BPWR|6DMSP|7LWND|8RPLT|9RCR|aDMG
56	11515 11523	   	267.37	DCR|3LIT|3VULN|1NUKE	1FEWX|245VULN|345LIT|45BPWR|6DMSP|7LWND|8RPLT|9RCR|aNUKE
57	11515 12522	   	267.27	DCR|3LIT|3VULN|1DMG|1DUR	1FEWX|245VULN|345LIT|45BPWR|6DMSP|7DUR|8RPLT|9RCR|aDMG
58	11515 12523	   	267.27	DCR|3LIT|3VULN|1NUKE|1DUR	1FEWX|245VULN|345LIT|45BPWR|6DMSP|7DUR|8RPLT|9RCR|aNUKE
59	11512 32421	   	267.22	DCR|2LIT|3VULN|1DMG|1ASPD	1FEWX|24aVULN|34LIT|4BPWR|5LHND|6RPLT|7RCR|8ASPD|9DMG
60	11515 22522	   	267.17	DCR|3LIT|3VULN|1DMG|2DUR	1FEWX|245VULN|345LIT|45BPWR|67DUR|8RPLT|9RCR|aDMG
61	11515 22523	   	267.17	DCR|3LIT|3VULN|1NUKE|2DUR	1FEWX|245VULN|345LIT|45BPWR|67DUR|8RPLT|9RCR|aNUKE
62	11513 36421	   	267.12	DCR|2LIT|3VULN|1DMG|1ASPD	1FEWX|24aVULN|34LIT|4BPWR|5DUST|6RPLT|7RCR|8ASPD|9DMG
63	11516 22421	   	267.12	DCR|2LIT|3VULN|1DMG|1ASPD	1FEWX|24aVULN|34LIT|4BPWR|5RPLT|6LEGI|7RCR|8ASPD|9DMG
64	21516 22421	   	267.12	DCR|2LIT|3VULN|1DMG|1ASPD	1BEXP|24aVULN|34LIT|4BPWR|5RPLT|6LEGI|7RCR|8ASPD|9DMG
65	11511 61126	   	265.85	DCR|2LIT|2VULN|1MLV|1ASPD	1FEWX|24VULN|34LIT|4BPWR|5CGEN|6RCR|7ZMB|8LHND|9MLV|aASPD
66	23226 13123	 * 	265.35	ACR|2LIT|2VULN|2DMG|1MLV	17BEXP|27DMG|3RCR|4aLIT|5FEWX|67VULN|7BPWR|8ZMB|9MLV
67	53226 13123	   	265.35	ACR|2LIT|2VULN|2DMG|1MLV	17LHND|27DMG|3RCR|4aLIT|5FEWX|67VULN|7BPWR|8ZMB|9MLV
68	11511 62121	   	265.33	DCR|2LIT|2VULN|1MLV|1DMG	1FEWX|24VULN|34LIT|4BPWR|5CGEN|6RCR|7RMIN|8LHND|9MLV|aDMG
69	11511 66121	   	265.33	DCR|2LIT|2VULN|1MLV|1DMG	1FEWX|24VULN|34LIT|4BPWR|5CGEN|6RCR|7TLV|8LHND|9MLV|aDMG
70	13222 13123	   	265.25	ACR|2LIT|2VULN|2DMG|1MLV	17FEWX|27DMG|3RCR|4aLIT|5DUST|67VULN|7BPWR|8ZMB|9MLV
71	23222 13123	   	265.25	ACR|2LIT|2VULN|2DMG|1MLV	17BEXP|27DMG|3RCR|4aLIT|5DUST|67VULN|7BPWR|8ZMB|9MLV
72	53222 13123	   	265.25	ACR|2LIT|2VULN|2DMG|1MLV	17LHND|27DMG|3RCR|4aLIT|5DUST|67VULN|7BPWR|8ZMB|9MLV
73	15343 11321	 * 	265.24	DCR|2LIT|2MLV|2VULN|1ASPD	17FEWX|27MLV|3LHND|4aVULN|5RPLT|67LIT|7BPWR|8RCR|9ASPD
74	15663 11321	   	265.24	DCR|2LIT|2MLV|2VULN|1ASPD	17FEWX|27MLV|3aVULN|4LHND|5RPLT|67LIT|7BPWR|8RCR|9ASPD
75	11663 11322	   	265.24	DCR|2LIT|2MLV|2VULN|1ASPD	17FEWX|27VULN|3aMLV|4LHND|5RPLT|67LIT|7BPWR|8RCR|9ASPD
76	11511 63121	   	265.23	DCR|2LIT|2VULN|1MLV|1DMG	1FEWX|24VULN|34LIT|4BPWR|5CGEN|6RCR|7ERES|8LHND|9MLV|aDMG
77	33226 13123	   	265.15	ACR|2LIT|2VULN|2DMG|1MLV	17DUST|27DMG|3RCR|4aLIT|5FEWX|67VULN|7BPWR|8ZMB|9MLV
78	51631 62311	 * 	264.86	DCR|1LIT|2VULN|1MLV|2ASPD|1DMG	1LHND|26VULN|3MLV|47ASPD|5RCVC|8RCR|9DMG|aLIT
79	23226 13253	 * 	264.71	ACR|2LIT|3VULN|2DMG|1AART	17BEXP|27DMG|3RCR|49LIT|5FEWX|678VULN|7BPWR|aAART
80	53226 13253	   	264.71	ACR|2LIT|3VULN|2DMG|1AART	17LHND|27DMG|3RCR|49LIT|5FEWX|678VULN|7BPWR|aAART
81	13222 13253	   	264.61	ACR|2LIT|3VULN|2DMG|1AART	17FEWX|27DMG|3RCR|49LIT|5DUST|678VULN|7BPWR|aAART
82	23222 13253	   	264.61	ACR|2LIT|3VULN|2DMG|1AART	17BEXP|27DMG|3RCR|49LIT|5DUST|678VULN|7BPWR|aAART
83	53222 13253	   	264.61	ACR|2LIT|3VULN|2DMG|1AART	17LHND|27DMG|3RCR|49LIT|5DUST|678VULN|7BPWR|aAART
84	51515 12312	   	264.56	DCR|3LIT|3VULN|1CDMG	1LHND|245VULN|345LIT|45BPWR|6AART|7RCR|8LWND|9CDMG|aBEXP
85	33226 13253	   	264.51	ACR|2LIT|3VULN|2DMG|1AART	17DUST|27DMG|3RCR|49LIT|5FEWX|678VULN|7BPWR|aAART
86	51515 12121	   	264.46	DCR|3LIT|3VULN|1CDMG	1aLHND|245VULN|345LIT|45BPWR|6AART|7RCR|8CDMG|9NUKE
87	51515 12123	   	264.46	DCR|3LIT|3VULN|1CDMG	1LHND|245VULN|345LIT|45BPWR|6AART|7RCR|8CDMG|9NUKE|aCGEN
88	51515 12212	   	264.46	DCR|3LIT|3VULN|1CDMG|1DUR	1LHND|245VULN|345LIT|45BPWR|6AART|7RCR|8DUR|9CDMG|aBEXP
89	51515 12313	   	264.46	DCR|3LIT|3VULN|1CDMG	1LHND|245VULN|345LIT|45BPWR|6AART|7RCR|8LWND|9CDMG|aDUST
90	11512 32344	   	264.46	DCR|3LIT|3VULN|1CDMG	1FEWX|24aVULN|348LIT|4BPWR|5LHND|6RPLT|7RCR|9CDMG
91	11512 32361	   	264.46	DCR|3LIT|3VULN|1ASPD	1FEWX|249VULN|348LIT|4BPWR|5LHND|6RPLT|7RCR|aASPD
92	11516 22361	   	264.36	DCR|3LIT|3VULN|1ASPD	1FEWX|249VULN|348LIT|4BPWR|5RPLT|6LEGI|7RCR|aASPD
93	21516 22361	   	264.36	DCR|3LIT|3VULN|1ASPD	1BEXP|249VULN|348LIT|4BPWR|5RPLT|6LEGI|7RCR|aASPD
94	51515 12122	   	264.36	DCR|3LIT|3VULN|1CDMG	1LHND|245VULN|345LIT|45BPWR|6AART|7RCR|8CDMG|9NUKE|aMBVNT
95	51515 12213	   	264.36	DCR|3LIT|3VULN|1CDMG|1DUR	1LHND|245VULN|345LIT|45BPWR|6AART|7RCR|8DUR|9CDMG|aDUST
96	11663 11331	   	263.90	DCR|2LIT|3VULN|1MLV	17FEWX|27aVULN|3MLV|4LHND|5RPLT|67LIT|7BPWR|8RCR|9CGEN
97	21516 62313	   	263.80	DCR|2LIT|3VULN|1MLV	1aBEXP|247VULN|34LIT|4BPWR|5RPLT|6MLV|8RCR|9CGEN
98	21516 62322	   	263.80	DCR|2LIT|3VULN|1MLV	1BEXP|247VULN|34LIT|4BPWR|5RPLT|6MLV|8RCR|9FEWX|aLHND
99	21516 62323	   	263.80	DCR|2LIT|3VULN|1MLV	1BEXP|247VULN|34LIT|4BPWR|5RPLT|6MLV|8RCR|9aFEWX
