0	Index      	 *	Score 	Summary	Detail	
1	42223 16118	 * 	313.36	DCR|2LIT|2MLV|2VULN|2DMG	1aVULN|24LIT|3aDMG|5CGEN|6RCR|7MBVNT|8LWND|9aMLV|aBPWR
16	42153 12211	   	296.17	DCR|3LIT|2VULN|1MLV|1DMG|1CDMG	13VULN|29aLIT|4DMG|5CGEN|6RCR|7CDMG|8MLV
17	42223 12361	   	296.17	DCR|3LIT|2VULN|1MLV|1DMG|1CDMG	18VULN|24aLIT|3DMG|5CGEN|6RCR|7CDMG|9MLV
18	42243 12211	   	296.17	DCR|3LIT|2VULN|1MLV|1DMG|1CDMG	14VULN|29aLIT|3DMG|5CGEN|6RCR|7CDMG|8MLV
19	42151 12211	   	296.07	DCR|3LIT|2VULN|1MLV|1DMG|1CDMG	13VULN|29aLIT|4DMG|5ERES|6RCR|7CDMG|8MLV
20	42241 12211	   	296.07	DCR|3LIT|2VULN|1MLV|1DMG|1CDMG	14VULN|29aLIT|3DMG|5ERES|6RCR|7CDMG|8MLV
21	43212 41125	 * 	295.81	ACR|2LIT|3VULN|2DMG|1MLV|1ASPD	13aVULN|2RCR|3BPWR|48LIT|56DMG|7ASPD|9MLV
22	42153 13523	 * 	295.73	DCR|3VULN|1LIT|2DMG|1MLV|1ASPD	139VULN|2LIT|4aDMG|5CGEN|6RCR|7MLV|8ASPD
23	42243 13523	   	295.73	DCR|3VULN|1LIT|2DMG|1MLV|1ASPD	149VULN|2LIT|3aDMG|5CGEN|6RCR|7MLV|8ASPD
24	42151 13523	   	295.63	DCR|3VULN|1LIT|2DMG|1MLV|1ASPD	139VULN|2LIT|4aDMG|5ERES|6RCR|7MLV|8ASPD
25	42241 13523	   	295.63	DCR|3VULN|1LIT|2DMG|1MLV|1ASPD	149VULN|2LIT|3aDMG|5ERES|6RCR|7MLV|8ASPD
26	42223 13521	   	295.13	DCR|2LIT|2VULN|1MLV|1DMG|1AART|1ASPD	19VULN|24LIT|3DMG|5CGEN|6RCR|7MLV|8ASPD|aAART
27	42221 13521	   	295.03	DCR|2LIT|2VULN|1MLV|1DMG|1AART|1ASPD	19VULN|24LIT|3DMG|5ERES|6RCR|7MLV|8ASPD|aAART
28	42153 13521	   	294.40	DCR|3VULN|1LIT|1MLV|1DMG|1AART|1ASPD	139VULN|2LIT|4DMG|5CGEN|6RCR|7MLV|8ASPD|aAART
29	42243 13521	   	294.40	DCR|3VULN|1LIT|1MLV|1DMG|1AART|1ASPD	149VULN|2LIT|3DMG|5CGEN|6RCR|7MLV|8ASPD|aAART
30	42151 13521	   	294.30	DCR|3VULN|1LIT|1MLV|1DMG|1AART|1ASPD	139VULN|2LIT|4DMG|5ERES|6RCR|7MLV|8ASPD|aAART
31	42241 13521	   	294.30	DCR|3VULN|1LIT|1MLV|1DMG|1AART|1ASPD	149VULN|2LIT|3DMG|5ERES|6RCR|7MLV|8ASPD|aAART
32	42153 12212	   	292.53	DCR|2LIT|2VULN|1MLV|1DMG|1CDMG|1ASPD	13VULN|29LIT|4DMG|5CGEN|6RCR|7CDMG|8MLV|aASPD
33	42155 12213	   	292.53	DCR|2LIT|2VULN|1MLV|1DMG|1CDMG|1ASPD	13VULN|29LIT|4DMG|5ASPD|6RCR|7CDMG|8MLV|aLWND
34	42243 12212	   	292.53	DCR|2LIT|2VULN|1MLV|1DMG|1CDMG|1ASPD	14VULN|29LIT|3DMG|5CGEN|6RCR|7CDMG|8MLV|aASPD
35	42245 12213	   	292.53	DCR|2LIT|2VULN|1MLV|1DMG|1CDMG|1ASPD	14VULN|29LIT|3DMG|5ASPD|6RCR|7CDMG|8MLV|aLWND
36	42223 12362	   	292.53	DCR|2LIT|2VULN|1MLV|1DMG|1CDMG|1ASPD	18VULN|24LIT|3DMG|5CGEN|6RCR|7CDMG|9MLV|aASPD
37	42225 12226	   	292.53	DCR|2LIT|2VULN|1MLV|1DMG|1CDMG|1ASPD	1aVULN|24LIT|3DMG|5ASPD|6RCR|7CDMG|8MLV|9BEXP
38	42225 12242	   	292.53	DCR|2LIT|2VULN|1MLV|1DMG|1ASPD|1CDMG	1aVULN|24LIT|3DMG|5ASPD|6RCR|7CDMG|8MLV|9TLV
39	42225 12363	   	292.53	DCR|2LIT|2VULN|1MLV|1DMG|1CDMG|1ASPD	18VULN|24LIT|3DMG|5ASPD|6RCR|7CDMG|9MLV|aLWND
40	42151 12212	   	292.43	DCR|2LIT|2VULN|1MLV|1DMG|1ASPD|1CDMG	13VULN|29LIT|4DMG|5ERES|6RCR|7CDMG|8MLV|aASPD
41	42225 12236	   	292.43	DCR|2LIT|2VULN|1MLV|1DMG|1CDMG|1ASPD	1aVULN|24LIT|3DMG|5ASPD|6RCR|7CDMG|8MLV|9DUR
42	42225 12252	   	292.43	DCR|2LIT|2VULN|1MLV|1DMG|1ASPD|1CDMG	1aVULN|24LIT|3DMG|5ASPD|6RCR|7CDMG|8MLV|9ERES
43	42225 13126	   	292.43	DCR|2LIT|2VULN|1MLV|1DMG|1CDMG|1ASPD	1aVULN|24LIT|3DMG|5ASPD|6RCR|7MLV|8DUR|9CDMG
44	42241 12212	   	292.43	DCR|2LIT|2VULN|1MLV|1DMG|1ASPD|1CDMG	14VULN|29LIT|3DMG|5ERES|6RCR|7CDMG|8MLV|aASPD
45	43212 62361	   	291.87	ACR|2LIT|3VULN|1MLV|1DMG|1CDMG|1ASPD	138VULN|2RCR|3BPWR|4aLIT|5DMG|6ASPD|7CDMG|9MLV
46	42153 12362	   	291.80	DCR|3VULN|1LIT|1MLV|1DMG|1CDMG|1ASPD	138VULN|2LIT|4DMG|5CGEN|6RCR|7CDMG|9MLV|aASPD
47	42243 12362	   	291.80	DCR|3VULN|1LIT|1MLV|1DMG|1CDMG|1ASPD	148VULN|2LIT|3DMG|5CGEN|6RCR|7CDMG|9MLV|aASPD
48	32335 16523	   	291.33	DCR|2LIT|2VULN|1MLV|2ASPD|1DMG	13LIT|2LHND|4MLV|57ASPD|6RCR|89VULN|aDMG
49	32355 13523	   	291.33	DCR|2LIT|2VULN|1MLV|2ASPD|1DMG	13LIT|2LHND|4DMG|58ASPD|6RCR|7MLV|9aVULN
50	42225 13533	   	291.33	DCR|2LIT|2VULN|1MLV|2ASPD|1DMG	1aVULN|24LIT|3DMG|58ASPD|6RCR|7MLV|9LHND
51	32113 52412	   	291.07	DCR|2LIT|2VULN|2DMG|1MLV|1CDMG	16LIT|2LHND|3aVULN|4MLV|58DMG|7CDMG|9RCR
52	42225 12214	   	289.93	DCR|3LIT|1VULN|1MLV|2CDMG|1DMG|1ASPD	1VULN|249LIT|3DMG|5ASPD|6RCR|7aCDMG|8MLV
53	42325 12361	   	289.76	DCR|3LIT|2VULN|1MLV|1CDMG|1ASPD	18VULN|24aLIT|3CGEN|5ASPD|6RCR|7CDMG|9MLV
54	42345 12211	   	289.76	DCR|3LIT|2VULN|1MLV|1CDMG|1ASPD	14VULN|29aLIT|3CGEN|5ASPD|6RCR|7CDMG|8MLV
55	42223 12461	 * 	287.56	DCR|3LIT|2DMG|1VULN|1MLV|1CDMG	1VULN|24aLIT|38DMG|5CGEN|6RCR|7CDMG|9MLV
56	32335 16521	   	287.52	DCR|2LIT|2VULN|1MLV|2ASPD|1AART	13LIT|2LHND|4MLV|57ASPD|6RCR|89VULN|aAART
57	43212 41126	   	287.32	ACR|2LIT|2VULN|2DMG|1MLV|1CDMG|1ASPD	13VULN|2RCR|3BPWR|48LIT|56DMG|7ASPD|9MLV|aCDMG
58	43212 62211	 * 	287.02	ACR|3LIT|2VULN|1MLV|1DMG|1CDMG|1ASPD	13VULN|2RCR|3BPWR|49aLIT|5DMG|6ASPD|7CDMG|8MLV
59	32335 13521	   	286.54	DCR|2LIT|2MLV|2VULN|1AART|1ASPD	13LIT|2LHND|47MLV|5ASPD|6RCR|89VULN|aAART
60	32113 52213	   	286.28	DCR|2LIT|2MLV|2DMG|1VULN|1CDMG	16LIT|2LHND|3VULN|48MLV|5aDMG|7CDMG|9RCR
61	41613 52213	   	286.28	DCR|2LIT|2MLV|2DMG|1VULN|1CDMG	1VULN|2LHND|36LIT|48MLV|5aDMG|7CDMG|9RCR
62	43231 21333	 * 	286.14	ACR|2LIT|2MLV|3VULN|1NUKE	139VULN|2RCR|39BPWR|49MLV|5MGNSTR|67LIT|89LHND|aNUKE
63	43231 21633	   	286.14	ACR|2LIT|2MLV|3VULN|1NUKE	139VULN|2RCR|39BPWR|49MLV|5MGNSTR|67LIT|89LWND|aNUKE
64	43231 21635	   	286.14	ACR|2LIT|2MLV|3VULN|1DMG	139VULN|2RCR|39BPWR|49MLV|5MGNSTR|67LIT|89LWND|aDMG
65	43231 66333	   	286.14	ACR|2LIT|2MLV|3VULN|1NUKE	139VULN|2RCR|39BPWR|49MLV|5MGNSTR|68FEWX|79LIT|aNUKE
66	42155 12222	   	285.91	DCR|1LIT|2VULN|1MLV|1DMG|1AART|1CDMG|1ASPD	13VULN|2LIT|4DMG|5ASPD|6RCR|7CDMG|8MLV|9BEXP|aAART
67	42245 12222	   	285.91	DCR|1LIT|2VULN|1MLV|1DMG|1AART|1CDMG|1ASPD	14VULN|2LIT|3DMG|5ASPD|6RCR|7CDMG|8MLV|9BEXP|aAART
68	42155 12232	   	285.81	DCR|1LIT|2VULN|1MLV|1DMG|1AART|1CDMG|1ASPD	13VULN|2LIT|4DMG|5ASPD|6RCR|7CDMG|8MLV|9DUR|aAART
69	42155 13122	   	285.81	DCR|1LIT|2VULN|1MLV|1DMG|1AART|1CDMG|1ASPD	13VULN|2LIT|4DMG|5ASPD|6RCR|7MLV|8DUR|9CDMG|aAART
70	42245 12232	   	285.81	DCR|1LIT|2VULN|1MLV|1DMG|1AART|1CDMG|1ASPD	14VULN|2LIT|3DMG|5ASPD|6RCR|7CDMG|8MLV|9DUR|aAART
71	42245 13122	   	285.81	DCR|1LIT|2VULN|1MLV|1DMG|1AART|1CDMG|1ASPD	14VULN|2LIT|3DMG|5ASPD|6RCR|7MLV|8DUR|9CDMG|aAART
72	42225 13353	   	285.72	DCR|2LIT|2VULN|1MLV|1DMG|1ASPD	1aVULN|24LIT|3DMG|5ASPD|6RCR|7MLV|8DUST|9ZMB
73	43222 32321	 * 	285.49	ACR|3VULN|1LIT|2DMG|1MLV|2ASPD	138VULN|2RCR|38BPWR|48ASPD|5LWND|6LIT|78DMG|9DUST|aMLV
74	43222 32331	   	285.49	ACR|3VULN|1LIT|2DMG|1MLV|2ASPD	138VULN|2RCR|38BPWR|48ASPD|5LWND|6LIT|78DMG|9MBVNT|aMLV
75	43212 41325	   	285.39	ACR|3VULN|1LIT|2DMG|1MLV|2ASPD	13aVULN|2RCR|3BPWR|4LIT|56DMG|78ASPD|9MLV
76	42345 12212	   	284.92	DCR|2LIT|2VULN|1MLV|2ASPD|1CDMG	14VULN|29LIT|3CGEN|5aASPD|6RCR|7CDMG|8MLV
77	42325 12362	   	284.92	DCR|2LIT|2VULN|1MLV|2ASPD|1CDMG	18VULN|24LIT|3CGEN|5aASPD|6RCR|7CDMG|9MLV
78	43231 21335	 * 	284.79	ACR|2LIT|4VULN|2MLV	139aVULN|2RCR|39BPWR|49MLV|5MGNSTR|67LIT|89LHND
79	42223 12462	   	283.91	DCR|2LIT|2DMG|1VULN|1MLV|1CDMG|1ASPD	1VULN|24LIT|38DMG|5CGEN|6RCR|7CDMG|9MLV|aASPD
80	42225 12243	   	283.91	DCR|2LIT|2DMG|1VULN|1MLV|1ASPD|1CDMG	1VULN|24LIT|3aDMG|5ASPD|6RCR|7CDMG|8MLV|9TLV
81	42225 12253	   	283.81	DCR|2LIT|2DMG|1VULN|1MLV|1ASPD|1CDMG	1VULN|24LIT|3aDMG|5ASPD|6RCR|7CDMG|8MLV|9ERES
82	42225 12211	   	283.62	DCR|3LIT|1VULN|1MLV|1DMG|1CDMG|1ASPD	1VULN|249LIT|3DMG|5ASPD|6RCR|7CDMG|8MLV|aCGEN
83	42225 12213	   	283.62	DCR|3LIT|1VULN|1MLV|1DMG|1CDMG|1ASPD	1VULN|249LIT|3DMG|5ASPD|6RCR|7CDMG|8MLV|aRCVC
84	42225 12215	   	283.62	DCR|3LIT|1VULN|1MLV|1DMG|1CDMG|1ASPD	1VULN|249LIT|3DMG|5ASPD|6RCR|7CDMG|8MLV|aDMSP
85	42225 12216	   	283.52	DCR|3LIT|1VULN|1MLV|1DMG|1ASPD|1CDMG	1VULN|249LIT|3DMG|5ASPD|6RCR|7CDMG|8MLV|aERES
86	42231 12552	   	283.39	DCR|2LIT|2VULN|1MLV|2CDMG|1DMG	1aVULN|28LIT|3DMG|46CDMG|5DMSP|7RCR|9MLV
