0	Index      	 *	Score 	Summary	Detail	
1	16322 33235	 * 	294.46	ACR|2LIT|2VULN|2DMG|1MLV|1CDMG|1ASPD	1BEXP|2RCR|3ASPD|4aLIT|5aDMG|6ZMB|7aVULN|8CDMG|9MLV|aBPWR
44	53324 23411	 * 	273.34	ACR|3VULN|1LIT|3DMG|1MLV	19CGEN|279VULN|3RCR|4LIT|5MLV|69aDMG|8RPLT|9BPWR
45	33422 38732	 * 	273.17	DCR|3LIT|2MLV|1VULN|1DMG|1DUR	1DUR|2MBVNT|3aMLV|489LIT|5DMG|6RCR|7VULN
46	16325 11126	   	272.93	ACR|3VULN|1LIT|2DMG|1MLV|1ASPD	1BEXP|2RCR|3ASPD|4LIT|5MLV|689VULN|7aDMG
47	16525 12211	 * 	272.86	ACR|1LIT|2VULN|3DMG|1MLV|2CDMG	1BEXP|2RCR|39aDMG|4LIT|5MLV|69VULN|7ERES|89CDMG|9BPWR
48	53232 15411	   	272.81	ACR|2MLV|3VULN|1LIT|2DMG	19CGEN|269VULN|3LIT|4RCR|5aDMG|79MLV|8RPLT|9BPWR
49	21324 64213	 * 	272.70	DCR|2LIT|1FLTARM|2DMG|1VULN|2ZMB	1aDMG|2RPLT|3RCVC|4VULN|5aLIT|6RCR|7TLV|8FLTARM|9aZMB|aBPWR
50	53324 21216	 * 	272.25	ACR|2MLV|1LIT|2VULN|2DMG|2CDMG	1CGEN|29VULN|3RCR|4LIT|5aMLV|69DMG|7LHND|89CDMG|9BPWR
51	53324 22216	   	272.25	ACR|2MLV|1LIT|2VULN|2DMG|2CDMG	1CGEN|29VULN|3RCR|4LIT|5aMLV|69DMG|7FEWX|89CDMG|9BPWR
52	33422 38538	   	271.97	DCR|2LIT|2VULN|1MLV|1DMG|1DUR	1DUR|2MBVNT|3MLV|49LIT|5DMG|6RCR|78VULN|aZMB
53	53322 15232	   	271.87	ACR|2LIT|2VULN|2DMG|1MLV|1CDMG	1CGEN|26VULN|3RCR|49LIT|5aDMG|7MLV|8CDMG
54	53324 23232	   	271.87	ACR|2LIT|2VULN|2DMG|1MLV|1CDMG	1CGEN|27VULN|3RCR|49LIT|5MLV|6aDMG|8CDMG
55	53321 55231	 * 	271.57	ACR|3LIT|2VULN|1MLV|1DMG|1CDMG	1CGEN|2aVULN|3RCR|459LIT|6DMG|7MLV|8CDMG
56	53234 23411	   	271.54	ACR|3VULN|1LIT|3DMG|1MLV	19CGEN|279VULN|3LIT|4RCR|5MLV|69aDMG|8RPLT|9BPWR
57	16525 33132	   	271.51	ACR|2LIT|3VULN|1MLV|1DMG	1BEXP|2RCR|3DMG|49LIT|5MLV|6ZMB|78aVULN
58	21146 22523	 * 	271.26	DCR|2LIT|3VULN|2DMG	1aDMG|2RPLT|3AART|4RMIN|5BELT|69aVULN|7RCR|8aLIT|aBPWR
59	53324 21211	   	271.16	ACR|1LIT|2VULN|3DMG|1MLV|2CDMG	1CGEN|29VULN|3RCR|4LIT|5MLV|69aDMG|7LHND|89CDMG|9BPWR
60	53324 22211	   	271.16	ACR|1LIT|2VULN|3DMG|1MLV|2CDMG	1CGEN|29VULN|3RCR|4LIT|5MLV|69aDMG|7FEWX|89CDMG|9BPWR
61	23325 11322	   	271.13	ACR|3VULN|1LIT|2DMG|1MLV|1ASPD	17DMG|2LWND|3RCR|4LIT|5MLV|69aVULN|8ASPD
62	25325 11322	   	271.13	ACR|3VULN|1LIT|2DMG|1MLV|1ASPD	17DMG|2FEWX|3RCR|4LIT|5MLV|69aVULN|8ASPD
63	26325 11322	   	271.13	ACR|3VULN|1LIT|2DMG|1MLV|1ASPD	17DMG|2LHND|3RCR|4LIT|5MLV|69aVULN|8ASPD
64	43325 11322	   	271.13	ACR|3VULN|1LIT|2DMG|1MLV|1ASPD	1LWND|27DMG|3RCR|4LIT|5MLV|69aVULN|8ASPD
65	13325 12211	   	271.06	ACR|1LIT|2VULN|3DMG|1MLV|2CDMG	1BEXP|29aDMG|3RCR|4LIT|5MLV|69VULN|7ERES|89CDMG|9BPWR
66	13325 41511	   	271.06	ACR|1LIT|2VULN|3DMG|1MLV|2CDMG	1BEXP|29aDMG|3RCR|4LIT|5MLV|69CDMG|7ERES|89VULN|9BPWR
67	43325 12211	   	271.06	ACR|1LIT|2VULN|3DMG|1MLV|2CDMG	1LWND|29aDMG|3RCR|4LIT|5MLV|69VULN|7ERES|89CDMG|9BPWR
68	53322 15235	   	270.41	ACR|2LIT|2MLV|2VULN|1DMG|1CDMG	1CGEN|26VULN|3RCR|49LIT|5DMG|7aMLV|8CDMG
69	53324 23235	   	270.41	ACR|2LIT|2MLV|2VULN|1DMG|1CDMG	1CGEN|27VULN|3RCR|49LIT|5aMLV|6DMG|8CDMG
70	33422 12656	 * 	270.28	DCR|2MLV|1LIT|2VULN|2ASPD|1DMG|1DUR	1DUR|2MBVNT|3aMLV|4LIT|5DMG|6aVULN|7ERES|8aASPD|9RCR|aBPWR
71	53232 15232	   	270.07	ACR|2LIT|2VULN|2DMG|1MLV|1CDMG	1CGEN|26VULN|39LIT|4RCR|5aDMG|7MLV|8CDMG
72	53234 23232	   	270.07	ACR|2LIT|2VULN|2DMG|1MLV|1CDMG	1CGEN|27VULN|39LIT|4RCR|5MLV|6aDMG|8CDMG
73	33422 31642	   	270.06	DCR|2LIT|2DMG|1VULN|1MLV|1ASPD|1DUR	1DUR|2MBVNT|3MLV|49LIT|57DMG|6RCR|8ASPD|aVULN
74	33626 31642	   	270.06	DCR|2LIT|2DMG|1VULN|1MLV|1ASPD|1DUR	1DUR|2MBVNT|37DMG|49LIT|5MLV|6RCR|8ASPD|aVULN
75	53231 55231	   	269.77	ACR|3LIT|2VULN|1MLV|1DMG|1CDMG	1CGEN|2aVULN|359LIT|4RCR|6DMG|7MLV|8CDMG
76	33647 36243	   	269.77	DCR|3LIT|1VULN|1MLV|1DMG|1ASPD|1DUR	1DUR|2MBVNT|3DMG|4ASPD|589LIT|6RCR|7MLV|aVULN
77	13325 33132	   	269.71	ACR|2LIT|3VULN|1MLV|1DMG	1BEXP|2DMG|3RCR|49LIT|5MLV|6ZMB|78aVULN
78	26325 33132	   	269.71	ACR|2LIT|3VULN|1MLV|1DMG	1DMG|2LHND|3RCR|49LIT|5MLV|6ZMB|78aVULN
79	53234 21216	   	269.55	ACR|2MLV|1LIT|2VULN|2DMG|2CDMG	1CGEN|29VULN|3LIT|4RCR|5aMLV|69DMG|7LHND|89CDMG|9BPWR
80	53234 22216	   	269.55	ACR|2MLV|1LIT|2VULN|2DMG|2CDMG	1CGEN|29VULN|3LIT|4RCR|5aMLV|69DMG|7FEWX|89CDMG|9BPWR
81	53234 21211	   	269.36	ACR|1LIT|2VULN|3DMG|1MLV|2CDMG	1CGEN|29VULN|3LIT|4RCR|5MLV|69aDMG|7LHND|89CDMG|9BPWR
82	53234 22211	   	269.36	ACR|1LIT|2VULN|3DMG|1MLV|2CDMG	1CGEN|29VULN|3LIT|4RCR|5MLV|69aDMG|7FEWX|89CDMG|9BPWR
83	13316 21524	 * 	269.15	ACR|1LIT|2VULN|1FLTARM|2DMG|1MLV	1BEXP|26DMG|3RCR|4LWND|5MLV|7FLTARM|8aVULN|9LIT
84	53324 11342	 * 	268.91	ACR|2LIT|3VULN|1MLV|2ASPD	1aCGEN|26aVULN|3RCR|49LIT|5MLV|7MBVNT|8aASPD|aBPWR
85	16325 13212	 * 	268.53	ACR|2LIT|2VULN|1MLV|2ASPD|2CDMG	1BEXP|2RCR|39ASPD|4aLIT|5MLV|69VULN|7ERES|89CDMG|9BPWR
86	33422 38673	   	268.26	DCR|1LIT|2VULN|1MLV|2ASPD|1DMG|1DUR	1DUR|2MBVNT|3MLV|4LIT|5DMG|6RCR|79VULN|8aASPD
87	16353 33235	 * 	268.07	ACR|2MLV|3VULN|1LIT|2ASPD|1CDMG	1BEXP|2RCR|3aASPD|4DUST|5LIT|67aVULN|8CDMG|9aMLV|aBPWR
88	21512 44213	 * 	267.83	ACR|3VULN|1LIT|1FLTARM|2DMG|2ZMB	1aDMG|2RPLT|3LIT|4RCR|56aVULN|7TLV|8FLTARM|9aZMB|aBPWR
89	13231 33235	   	267.79	ACR|2MLV|1LIT|2VULN|2DMG|1CDMG	1BEXP|2aDMG|3LIT|4RMIN|5RCR|6ZMB|7aVULN|8CDMG|9aMLV|aBPWR
90	53232 15235	   	267.71	ACR|2LIT|2MLV|2VULN|1DMG|1CDMG	1CGEN|26VULN|39LIT|4RCR|5DMG|7aMLV|8CDMG
91	53234 23235	   	267.71	ACR|2LIT|2MLV|2VULN|1DMG|1CDMG	1CGEN|27VULN|39LIT|4RCR|5aMLV|6DMG|8CDMG
92	53234 11342	   	267.11	ACR|2LIT|3VULN|1MLV|2ASPD	1aCGEN|26aVULN|39LIT|4RCR|5MLV|7MBVNT|8aASPD|aBPWR
93	16525 11232	   	266.95	ACR|2LIT|2VULN|2DMG|1MLV	1BEXP|2RCR|37DMG|49LIT|5MLV|6aVULN|8ZMB
94	33326 34168	   	266.78	DCR|1LIT|2VULN|1FLTARM|1MLV|1DUR	1DUR|2MBVNT|3ZMB|4LIT|5MLV|6RCR|79VULN|8AART|aFLTARM
95	33424 34168	   	266.78	DCR|1LIT|2VULN|1FLTARM|1MLV|1DUR	1DUR|2MBVNT|3MLV|4LIT|5ZMB|6RCR|79VULN|8AART|aFLTARM
96	21521 63511	   	266.48	DCR|2LIT|2VULN|3DMG	19aDMG|2RPLT|39LIT|4TLV|5ERES|6RCR|7DMSP|89VULN|9BPWR
97	25322 55332	 * 	266.36	ACR|1LIT|2VULN|3DMG|1FLTARM|1CDMG	156DMG|2FEWX|3RCR|4LIT|7FLTARM|8aVULN|9CDMG
98	33647 36133	   	266.12	DCR|2LIT|1VULN|1MLV|1DMG|1CDMG|1ASPD|1DUR	1DUR|2MBVNT|3DMG|4ASPD|5aLIT|6RCR|7MLV|8VULN|9CDMG
99	33422 38633	   	266.12	DCR|2LIT|1VULN|1MLV|1DMG|1CDMG|1ASPD|1DUR	1DUR|2MBVNT|3MLV|4aLIT|5DMG|6RCR|7VULN|8ASPD|9CDMG
100	13252 12211	   	265.82	DCR|3LIT|3DMG|1VULN|1CDMG	1BEXP|248DMG|345LIT|4BPWR|6VULN|7CGEN|9RCR|aCDMG
101	25336 31251	   	265.79	ACR|2MLV|1LIT|2VULN|3DMG	178DMG|2FEWX|3RCR|4DMSP|57VULN|67MLV|7BPWR|9LIT|aLWND
102	23336 11251	   	265.79	ACR|2MLV|1LIT|2VULN|3DMG	178DMG|2aLWND|3RCR|4DMSP|57MLV|67VULN|7BPWR|9LIT
103	23336 11254	   	265.79	ACR|2MLV|1LIT|2VULN|3DMG	178DMG|2LWND|3RCR|4DMSP|57MLV|67VULN|7BPWR|9LIT|aLHND
104	23336 11255	   	265.79	ACR|2MLV|1LIT|2VULN|3DMG	178DMG|2LWND|3RCR|4DMSP|57MLV|67VULN|7BPWR|9LIT|aCRUSTR
105	23336 11256	   	265.79	ACR|2MLV|1LIT|2VULN|3DMG	178DMG|2LWND|3RCR|4DMSP|57MLV|67VULN|7BPWR|9LIT|aCGEN
106	23336 11264	   	265.79	ACR|2MLV|1LIT|2VULN|3DMG	178DMG|2LWND|3RCR|4DMSP|57MLV|67VULN|7BPWR|9LHND|aLIT
107	23346 11251	   	265.79	ACR|2MLV|1LIT|2VULN|3DMG	178DMG|2aLWND|3RCR|4RCVC|57MLV|67VULN|7BPWR|9LIT
108	26336 11251	   	265.79	ACR|2MLV|1LIT|2VULN|3DMG	178DMG|2LHND|3RCR|4DMSP|57MLV|67VULN|7BPWR|9LIT|aLWND
109	53322 25411	   	265.79	ACR|2MLV|1LIT|2VULN|3DMG	19CGEN|29VULN|3RCR|4LIT|56aDMG|79MLV|8RPLT|9BPWR
110	16325 13211	 * 	265.72	ACR|1LIT|2VULN|1MLV|2ASPD|1DMG|2CDMG	1BEXP|2RCR|39ASPD|4LIT|5MLV|69VULN|7ERES|89CDMG|9BPWR|aDMG
111	13252 55211	   	265.72	DCR|3LIT|3DMG|1VULN|1CDMG	1BEXP|248DMG|345LIT|4BPWR|6ERES|7VULN|9RCR|aCDMG
112	25336 31224	   	265.64	ACR|2MLV|1LIT|2VULN|3DMG|1DUR	178DMG|2FEWX|3RCR|4DMSP|57VULN|67MLV|7BPWR|9DUR|aLIT
113	25336 31252	   	265.64	ACR|2MLV|1LIT|2VULN|3DMG	178DMG|2FEWX|3RCR|4DMSP|57VULN|67MLV|7BPWR|9LIT|aMBVNT
114	23336 11224	   	265.64	ACR|2MLV|1LIT|2VULN|3DMG|1DUR	178DMG|2LWND|3RCR|4DMSP|57MLV|67VULN|7BPWR|9DUR|aLIT
115	23336 11253	   	265.64	ACR|2MLV|1LIT|2VULN|3DMG	178DMG|2LWND|3RCR|4DMSP|57MLV|67VULN|7BPWR|9LIT|aTSLARM
116	23346 11224	   	265.64	ACR|2MLV|1LIT|2VULN|3DMG|1DUR	178DMG|2LWND|3RCR|4RCVC|57MLV|67VULN|7BPWR|9DUR|aLIT
117	23346 11253	   	265.64	ACR|2MLV|1LIT|2VULN|3DMG	178DMG|2LWND|3RCR|4RCVC|57MLV|67VULN|7BPWR|9LIT|aTSLARM
118	26336 11224	   	265.64	ACR|2MLV|1LIT|2VULN|3DMG|1DUR	178DMG|2LHND|3RCR|4DMSP|57MLV|67VULN|7BPWR|9DUR|aLIT
119	26336 11252	   	265.64	ACR|2MLV|1LIT|2VULN|3DMG	178DMG|2LHND|3RCR|4DMSP|57MLV|67VULN|7BPWR|9LIT|aMBVNT
120	13325 11232	   	265.15	ACR|2LIT|2VULN|2DMG|1MLV	1BEXP|27DMG|3RCR|49LIT|5MLV|6aVULN|8ZMB
121	25325 11622	   	265.15	ACR|2LIT|2VULN|2DMG|1MLV	17DMG|2FEWX|3RCR|48LIT|5MLV|6aVULN|9ZMB
122	13325 33136	   	265.15	ACR|2LIT|2VULN|2DMG|1MLV	1BEXP|2aDMG|3RCR|49LIT|5MLV|6ZMB|78VULN
123	26325 33136	   	265.15	ACR|2LIT|2VULN|2DMG|1MLV	1aDMG|2LHND|3RCR|49LIT|5MLV|6ZMB|78VULN
124	16325 11162	   	265.13	ACR|2MLV|3VULN|1LIT|1DMG|1ASPD	1BEXP|2RCR|3ASPD|4LIT|59MLV|68aVULN|7DMG
125	16325 33132	   	265.09	ACR|2LIT|3VULN|1MLV|1ASPD	1BEXP|2RCR|3ASPD|49LIT|5MLV|6ZMB|78aVULN
126	33422 32186	   	265.03	DCR|2LIT|2VULN|1MLV|1DMG|2DUR	1aDUR|2MBVNT|3MLV|4aLIT|5DMG|6RCR|7ERES|8aVULN|9RMIN|aBPWR
127	33422 38166	   	265.03	DCR|2LIT|2VULN|1MLV|1DMG|1DUR	1DUR|2MBVNT|3MLV|4aLIT|5DMG|6RCR|79VULN|8AART
128	33422 38533	   	265.03	DCR|2LIT|2VULN|1MLV|1DMG|1DUR	1DUR|2MBVNT|3MLV|49LIT|5DMG|6RCR|78VULN|aBEXP
129	33422 38536	   	265.03	DCR|2LIT|2VULN|1MLV|1DMG|1DUR	1DUR|2MBVNT|3MLV|49LIT|5DMG|6RCR|78VULN|aRPLT
130	33422 38537	   	265.03	DCR|2LIT|2VULN|1MLV|1DMG|1DUR	1DUR|2MBVNT|3MLV|49LIT|5DMG|6RCR|78VULN|aFEWX
131	33422 38325	   	264.93	DCR|2LIT|2VULN|1MLV|1DMG|1DUR	1DUR|2MBVNT|3MLV|49LIT|5DMG|6RCR|7aVULN|8SPLARM
132	33422 38532	   	264.93	DCR|2LIT|2VULN|1MLV|1DMG|1DUR	1DUR|2MBVNT|3MLV|49LIT|5DMG|6RCR|78VULN|aDUST
133	33647 36143	 * 	264.93	DCR|2LIT|1VULN|1MLV|2ASPD|1DMG|1DUR	1DUR|2MBVNT|3DMG|4aASPD|59LIT|6RCR|7MLV|8VULN
134	33647 36223	   	264.93	DCR|2LIT|1VULN|1MLV|2ASPD|1DMG|1DUR	1DUR|2MBVNT|3DMG|4aASPD|58LIT|6RCR|7MLV|9VULN
135	33422 38643	   	264.93	DCR|2LIT|1VULN|1MLV|2ASPD|1DMG|1DUR	1DUR|2MBVNT|3MLV|49LIT|5DMG|6RCR|7VULN|8aASPD
136	33422 38531	   	264.78	DCR|2LIT|2VULN|1MLV|1DMG|1DUR|1SELL	1DUR|2MBVNT|3MLV|49LIT|5DMG|6RCR|78VULN|aSELL
137	21146 22513	   	264.78	DCR|2LIT|2VULN|3DMG	19aDMG|2RPLT|3AART|4RMIN|5BELT|6aVULN|7RCR|8aLIT|aBPWR
138	25325 11326	   	264.65	ACR|1LIT|2VULN|3DMG|1MLV|1ASPD	17aDMG|2FEWX|3RCR|4LIT|5MLV|69VULN|8ASPD
139	26325 11326	   	264.65	ACR|1LIT|2VULN|3DMG|1MLV|1ASPD	17aDMG|2LHND|3RCR|4LIT|5MLV|69VULN|8ASPD
140	13253 14143	   	264.52	DCR|3LIT|2VULN|2DMG	1BEXP|24DMG|34aLIT|4BPWR|5LHND|6RPLT|79VULN|8RCR
