0	Index      	 *	Score 	Summary	Detail	
1	32221 41433	 * 	313.49	DCR|3LIT|2MLV|3VULN	12aLIT|3TLV|45aVULN|6aMLV|7RCR|8RPLT|9BELT|aBPWR
16	32521 24512	   	292.57	DCR|3LIT|2FLTARM|2VULN	128LIT|38VULN|4FEWX|5CGEN|6DLOT|78FLTARM|8BPWR|9RCR|aDUR
17	32533 24512	   	292.57	DCR|3LIT|2FLTARM|2VULN	128LIT|38VULN|4ERES|5AART|6FEWX|78FLTARM|8BPWR|9RCR|aDUR
18	32121 41621	   	292.51	DCR|2LIT|3VULN|1MLV|1DMG	12LIT|3ZMB|458VULN|6MLV|7RCR|9CGEN|aDMG
19	32533 34512	   	292.47	DCR|3LIT|2FLTARM|2VULN	128LIT|38VULN|4ERES|5AART|6DUST|78FLTARM|8BPWR|9RCR|aDUR
20	32532 24512	   	292.47	DCR|3LIT|2FLTARM|2VULN	128LIT|38VULN|4ERES|5LHND|6DLOT|78FLTARM|8BPWR|9RCR|aDUR
21	32121 41624	 * 	291.61	DCR|2LIT|4VULN|1MLV	12LIT|3ZMB|458aVULN|6MLV|7RCR|9CGEN
22	32121 41131	   	290.39	DCR|3LIT|2MLV|2VULN	12aLIT|3ZMB|45VULN|69MLV|7RCR|8LHND
23	32121 41211	   	290.39	DCR|3LIT|2MLV|2VULN	12aLIT|3ZMB|45VULN|68MLV|7RCR|9LWND
24	32121 41246	   	290.39	DCR|3LIT|2MLV|2VULN	12aLIT|3ZMB|45VULN|68MLV|7RCR|9RPLT
25	32121 41261	   	290.39	DCR|3LIT|2MLV|2VULN	12aLIT|3ZMB|45VULN|68MLV|7RCR|9LHND
26	32121 41611	   	289.74	DCR|3LIT|3VULN|1MLV	12aLIT|3ZMB|458VULN|6MLV|7RCR|9LWND
27	32121 41661	   	289.74	DCR|3LIT|3VULN|1MLV	12aLIT|3ZMB|458VULN|6MLV|7RCR|9LHND
28	32121 41531	   	289.64	DCR|3LIT|3VULN|1MLV	128LIT|3ZMB|45aVULN|6MLV|7RCR|9LSRREG
29	32121 41623	   	288.69	DCR|2LIT|3VULN|1MLV|1AART	12LIT|3ZMB|458VULN|6MLV|7RCR|9CGEN|aAART
30	32121 41516	   	287.66	DCR|3LIT|2VULN|1MLV|1NUKE	128LIT|3ZMB|45VULN|6MLV|7RCR|9FEWX|aNUKE
31	32121 41526	   	287.66	DCR|3LIT|2VULN|1MLV|1NUKE	128LIT|3ZMB|45VULN|6MLV|7RCR|9BEXP|aNUKE
32	35221 41433	   	287.55	DCR|2LIT|2MLV|3VULN	1aLIT|2RCVC|3TLV|45aVULN|6aMLV|7RCR|8RPLT|9BELT|aBPWR
33	32221 41224	   	287.25	DCR|2LIT|2MLV|3VULN	12LIT|3TLV|45aVULN|68MLV|7RCR|9CGEN
34	32421 41223	   	287.25	DCR|2LIT|2MLV|3VULN	12LIT|3RMIN|45aVULN|68MLV|7RCR|9CGEN
35	32561 41223	   	287.25	DCR|2LIT|2MLV|3VULN	12LIT|35aVULN|4RMIN|68MLV|7RCR|9CGEN
36	32511 41224	   	287.10	DCR|2LIT|2MLV|3VULN	12LIT|34aVULN|5ERES|68MLV|7RCR|9CGEN
37	32531 41224	   	287.10	DCR|2LIT|2MLV|3VULN	12LIT|35aVULN|4ERES|68MLV|7RCR|9CGEN
38	32221 41621	   	285.57	DCR|2LIT|3VULN|1MLV|1DMG	12LIT|3TLV|458VULN|6MLV|7RCR|9CGEN|aDMG
39	32421 41621	   	285.57	DCR|2LIT|3VULN|1MLV|1DMG	12LIT|3RMIN|458VULN|6MLV|7RCR|9CGEN|aDMG
40	32511 41621	   	285.47	DCR|2LIT|3VULN|1MLV|1DMG	12LIT|348VULN|5ERES|6MLV|7RCR|9CGEN|aDMG
41	32531 41621	   	285.47	DCR|2LIT|3VULN|1MLV|1DMG	12LIT|358VULN|4ERES|6MLV|7RCR|9CGEN|aDMG
42	32513 51261	   	285.37	DCR|2LIT|3VULN|1MLV|1DMG	12LIT|346VULN|59DUST|7RCR|8MLV|aDMG
43	31361 36335	 * 	284.72	DCR|2LIT|3MLV|3VULN	18LIT|2LHND|348VULN|5CGEN|6FEWX|789MLV|8BPWR|aRCR
44	32221 41624	   	284.67	DCR|2LIT|4VULN|1MLV	12LIT|3TLV|458aVULN|6MLV|7RCR|9CGEN
45	32421 41623	   	284.67	DCR|2LIT|4VULN|1MLV	12LIT|3RMIN|458aVULN|6MLV|7RCR|9CGEN
46	33361 16335	   	284.57	DCR|2LIT|3MLV|3VULN	18LIT|2FEWX|348VULN|5CGEN|6DUR|789MLV|8BPWR|aRCR
47	61333 54472	 * 	284.25	DCR|1LIT|2VULN|2DMG|1MLV|2ASPD	19ASPD|2RPLT|39VULN|4LIT|5BLAICY|6MBVNT|7RCR|89DMG|9BPWR|aMLV
48	32221 41221	   	284.13	DCR|2LIT|2MLV|2VULN|1DMG	12LIT|3TLV|45VULN|68MLV|7RCR|9CGEN|aDMG
49	32421 41221	   	284.13	DCR|2LIT|2MLV|2VULN|1DMG	12LIT|3RMIN|45VULN|68MLV|7RCR|9CGEN|aDMG
50	32561 41221	   	284.13	DCR|2LIT|2MLV|2VULN|1DMG	12LIT|35VULN|4RMIN|68MLV|7RCR|9CGEN|aDMG
51	32511 41221	   	283.98	DCR|2LIT|2MLV|2VULN|1DMG	12LIT|34VULN|5ERES|68MLV|7RCR|9CGEN|aDMG
52	32531 41221	   	283.98	DCR|2LIT|2MLV|2VULN|1DMG	12LIT|35VULN|4ERES|68MLV|7RCR|9CGEN|aDMG
53	32121 41326	   	283.92	DCR|2LIT|2VULN|1MLV|1DMG|1CDMG	12LIT|3ZMB|45VULN|6MLV|7RCR|8ERES|9CDMG|aDMG
