0	Index      	 *	Score 	Summary	Detail	
1	12356 43132	 * 	330.39	DCR|3LIT|2FLTARM|1VULN|1MLV|1DMG|1ASPD	13FLTARM|238LIT|3BPWR|4TLV|5VULN|6RCR|7MLV|9ASPD|aDMG
20	12353 43533	   	303.86	DCR|3LIT|2FLTARM|1VULN|1MLV	13FLTARM|239LIT|3BPWR|4TLV|5DUST|6RCR|7MLV|8LHND|aVULN
21	12356 43111	   	303.76	DCR|3LIT|2FLTARM|1VULN|1MLV	13FLTARM|238LIT|3BPWR|4TLV|5VULN|6RCR|7MLV|9DUST|aERES
22	12356 43122	   	303.76	DCR|3LIT|2FLTARM|1VULN|1MLV	13FLTARM|238LIT|3BPWR|4TLV|5VULN|6RCR|7MLV|9ERES|aDUST
23	12356 43123	   	303.76	DCR|3LIT|2FLTARM|1VULN|1MLV	13FLTARM|238LIT|3BPWR|4TLV|5VULN|6RCR|7MLV|9ERES|aLSRHEA
24	12333 23166	   	302.15	DCR|2LIT|2FLTARM|1VULN|1MLV|1DMG|1CDMG	13FLTARM|23LIT|3BPWR|4CDMG|5DMG|6MLV|7AART|8LWND|9VULN|aRCR
25	12351 41423	   	301.94	DCR|2LIT|2FLTARM|2VULN|1MLV	13FLTARM|23LIT|3BPWR|4TLV|5BEXP|6RCR|7FEWX|8MLV|9aVULN
26	12356 43321	   	301.94	DCR|2LIT|2FLTARM|2VULN|1MLV	13FLTARM|23LIT|3BPWR|4TLV|59VULN|6RCR|7MLV|8BEXP|aFEWX
27	12356 43323	   	301.94	DCR|2LIT|2FLTARM|2VULN|1MLV	13FLTARM|23LIT|3BPWR|4TLV|59VULN|6RCR|7MLV|8BEXP|aLHND
28	12353 41423	   	301.84	DCR|2LIT|2FLTARM|2VULN|1MLV	13FLTARM|23LIT|3BPWR|4TLV|5DUST|6RCR|7FEWX|8MLV|9aVULN
29	12353 43323	   	301.84	DCR|2LIT|2FLTARM|2VULN|1MLV	13FLTARM|23LIT|3BPWR|4TLV|5DUST|6RCR|7MLV|8BEXP|9aVULN
30	12322 36266	   	301.82	DCR|3LIT|2FLTARM|1MLV|1VULN|1SELL	13FLTARM|238LIT|3BPWR|4DUR|5SELL|6RMIN|7RCR|9MLV|aVULN
31	13616 43121	   	301.74	DCR|2LIT|2FLTARM|2VULN|1MLV	14FLTARM|2CGEN|38LIT|59VULN|6RCR|7MLV|aBASICY
32	13616 43123	   	301.74	DCR|2LIT|2FLTARM|2VULN|1MLV	14FLTARM|2CGEN|38LIT|59VULN|6RCR|7MLV|aERES
33	14216 13623	 * 	300.97	DCR|4VULN|2MLV|1LIT|1FLTARM	1FLTARM|238aVULN|47MLV|5LHND|6LIT|9RCR
34	56172 13413	 * 	300.71	DCR|3LIT|3VULN|3DMG	17aVULN|2aLWND|3MBVNT|478LIT|5BELT|67aDMG|7aBPWR|9RCR
