0	Index      	 *	Score 	Summary	Detail	
1	13621 36342	 * 	204.98	DCR|3DMG|2VULN|1AART|2FLTHEA|1CDMG	1CGEN|24VULN|34FLTHEA|4BPWR|578DMG|6AART|9CDMG|aRCR
23	42223 11131	   	184.55	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	1ZMB|2NUKE|35aVULN|4RCR|6CDMG|7ERES|8AART|9DMG
24	13235 16331	   	184.07	DCR|3DMG|2VULN|1AART|1ZMB	14CGEN|24VULN|3AART|4BPWR|5AIRHEL|678DMG|9ZMB|aRCR
25	63235 16331	   	184.07	DCR|3DMG|2VULN|1AART|1ZMB	14MLV|24VULN|3AART|4BPWR|5AIRHEL|678DMG|9ZMB|aRCR
26	13265 16331	   	183.97	DCR|3DMG|2VULN|1AART|1ZMB	1CGEN|24VULN|3AART|5AIRHEL|678DMG|9ZMB|aRCR
27	13231 62231	 * 	183.87	DCR|4VULN|1AART|1CDMG|1ZMB	14CGEN|249aVULN|3AART|4BPWR|5BEXP|6RCR|7ZMB|8CDMG
28	63231 62231	   	183.87	DCR|4VULN|1AART|1CDMG|1ZMB	14MLV|249aVULN|3AART|4BPWR|5BEXP|6RCR|7ZMB|8CDMG
29	13261 62231	   	183.77	DCR|4VULN|1AART|1CDMG|1ZMB	1CGEN|249aVULN|3AART|5BEXP|6RCR|7ZMB|8CDMG
30	63261 62231	   	183.77	DCR|4VULN|1AART|1CDMG|1ZMB	1MLV|249aVULN|3AART|5BEXP|6RCR|7ZMB|8CDMG
31	13231 66231	   	183.17	DCR|2VULN|2DMG|1AART|1CDMG	149CGEN|24VULN|3AART|49BPWR|59BEXP|6RCR|7RCVC|89DMG|aCDMG
32	13232 45241	 * 	183.16	DCR|3VULN|1AART|1CDMG|1FLTHEA|1ZMB|1DUR	14CGEN|246VULN|3AART|4BPWR|5CDMG|7FLTHEA|8DUR|9RCR|aZMB
33	13261 66231	   	183.07	DCR|2VULN|2DMG|1AART|1CDMG	19CGEN|24VULN|3AART|59BEXP|6RCR|7RCVC|89DMG|9BPWR|aCDMG
34	13231 64236	   	182.97	DCR|3VULN|2DMG|1AART	149CGEN|24aVULN|3AART|49BPWR|579BEXP|6RCR|89DMG
35	13231 61336	   	182.77	DCR|3VULN|2DMG|1AART	14CGEN|249VULN|3AART|4BPWR|5BEXP|6RCR|7BELT|8aDMG
36	63231 61333	   	182.77	DCR|3VULN|2DMG|1AART	14MLV|249VULN|3AART|4BPWR|5BEXP|6RCR|7BELT|8aDMG
37	13261 61336	   	182.67	DCR|3VULN|2DMG|1AART	1CGEN|249VULN|3AART|5BEXP|6RCR|7BELT|8aDMG
38	63261 61333	   	182.67	DCR|3VULN|2DMG|1AART	1MLV|249VULN|3AART|5BEXP|6RCR|7BELT|8aDMG
39	43621 36311	   	182.27	DCR|3DMG|2VULN|1AART|1ZMB	1ZMB|24VULN|34MGNLIT|4BPWR|578DMG|6AART|9ERES|aRCR
40	43113 45221	 * 	181.76	DCR|4VULN|2DMG|2ZMB|1DUR	18ZMB|2689VULN|3LIT|4BELT|5DUR|78DMG|8BPWR|aRCR
41	13231 62232	 * 	181.22	DCR|3VULN|2AART|1CDMG|1ZMB	14CGEN|249VULN|3aAART|4BPWR|5BEXP|6RCR|7ZMB|8CDMG
42	63231 62232	   	181.22	DCR|3VULN|2AART|1CDMG|1ZMB	14MLV|249VULN|3aAART|4BPWR|5BEXP|6RCR|7ZMB|8CDMG
43	26523 12133	 * 	181.15	ACR|2VULN|2AART|1DMG|1CDMG|1ZMB	18RMIN|2ZMB|35VULN|4RCR|6CDMG|79AART|aDMG
44	26523 12332	   	181.15	ACR|2VULN|2AART|1DMG|1CDMG|1ZMB	1RMIN|2ZMB|35VULN|4RCR|6CDMG|7aAART|8CGEN|9DMG
45	13261 62232	   	181.12	DCR|3VULN|2AART|1CDMG|1ZMB	1CGEN|249VULN|3aAART|5BEXP|6RCR|7ZMB|8CDMG
46	63261 62232	   	181.12	DCR|3VULN|2AART|1CDMG|1ZMB	1MLV|249VULN|3aAART|5BEXP|6RCR|7ZMB|8CDMG
47	13621 33153	   	181.08	DCR|2VULN|1AART|1DMG|2FLTHEA|1CDMG|1DUR	1CGEN|24VULN|34FLTHEA|4BPWR|5DMG|6AART|7FEWX|8DUR|9RCR|aCDMG
48	63621 33153	   	181.08	DCR|2VULN|1AART|1DMG|2FLTHEA|1CDMG|1DUR	1MLV|24VULN|34FLTHEA|4BPWR|5DMG|6AART|7FEWX|8DUR|9RCR|aCDMG
49	26523 12232	   	181.05	ACR|2VULN|2AART|1DMG|1CDMG|1ZMB	1RMIN|2ZMB|35VULN|4RCR|6CDMG|7aAART|8TLV|9DMG
50	42223 12132	   	181.05	ACR|2VULN|2AART|1DMG|1CDMG|1ZMB	1ZMB|2NUKE|35VULN|4RCR|6CDMG|7aAART|8RMIN|9DMG
51	42223 12232	   	181.05	ACR|2VULN|2AART|1DMG|1CDMG|1ZMB	1ZMB|2NUKE|35VULN|4RCR|6CDMG|7aAART|8CGEN|9DMG
52	13231 66236	 * 	180.97	DCR|2AART|2DMG|2VULN	149CGEN|24VULN|3aAART|49BPWR|59BEXP|6RCR|7RCVC|89DMG
53	13234 63231	   	180.96	DCR|2VULN|2DMG|1AART|1CDMG	149CGEN|24VULN|3AART|49BPWR|579LHND|6RCR|89DMG|aCDMG
54	13234 65231	   	180.96	DCR|2VULN|2DMG|1AART|1CDMG	1479CGEN|24VULN|3AART|49BPWR|59LHND|6RCR|89DMG|aCDMG
55	13264 63231	   	180.86	DCR|2VULN|2DMG|1AART|1CDMG	19CGEN|24VULN|3AART|579LHND|6RCR|89DMG|9BPWR|aCDMG
56	13621 51331	 * 	180.68	DCR|3VULN|1AART|1DMG|2FLTHEA|1DUR	1CGEN|246VULN|34FLTHEA|4BPWR|5DMG|7LHND|8DUR|9RCR|aAART
57	26523 11132	   	180.45	ACR|2VULN|2AART|1DMG|1CDMG|1ZMB	1RMIN|2ZMB|35VULN|4RCR|6CDMG|7ERES|8aAART|9DMG
58	42223 11132	   	180.35	ACR|2VULN|2AART|1DMG|1CDMG|1ZMB	1ZMB|2NUKE|35VULN|4RCR|6CDMG|7ERES|8aAART|9DMG
59	63211 13615	   	180.11	DCR|3VULN|2DMG|1AART|1DUR	18MLV|278VULN|3AART|4FEWX|5DUR|68DMG|8BPWR|9ERES|aRCR
60	63221 13633	   	180.11	DCR|3VULN|2DMG|1AART|1DUR	189MLV|279VULN|3AART|4DUST|5DUR|69DMG|9BPWR|aRCR
61	26523 12531	 * 	179.39	ACR|4VULN|1AART|1CDMG|1ZMB	1RMIN|2ZMB|359aVULN|4RCR|6CDMG|7AART|8LWND
62	26523 12252	   	179.29	ACR|4VULN|1AART|1CDMG|1ZMB	1RMIN|2ZMB|359aVULN|4RCR|6CDMG|7AART|8TLV
63	42223 12152	   	179.29	ACR|4VULN|1AART|1CDMG|1ZMB	1ZMB|2NUKE|359aVULN|4RCR|6CDMG|7AART|8RMIN
64	42223 12531	   	179.29	ACR|4VULN|1AART|1CDMG|1ZMB	1ZMB|2NUKE|359aVULN|4RCR|6CDMG|7AART|8LWND
65	63231 61332	 * 	179.28	DCR|4VULN|1AART|1DMG	14MLV|249aVULN|3AART|4BPWR|5BEXP|6RCR|7BELT|8DMG
66	63261 61332	   	179.18	DCR|4VULN|1AART|1DMG	1MLV|249aVULN|3AART|5BEXP|6RCR|7BELT|8DMG
67	62223 23632	 * 	178.03	ACR|4VULN|1AART|3DUR|1ASPD	189MLV|2NUKE|3589VULN|4RCR|689DUR|7AART|89BPWR|aASPD
68	43221 14413	   	177.76	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1ZMB|2aVULN|3AART|4DUST|5DUR|6aDMG|7ERES|8aBEXP|9RCR|aBPWR
69	43221 14613	   	177.76	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1ZMB|2aVULN|3AART|4DUST|5DUR|6aDMG|7ERES|8aLHND|9RCR|aBPWR
70	13161 12346	   	176.92	DCR|2VULN|2DMG|1AART|1ZMB	1aCGEN|2aVULN|3LIT|4RPLT|5AART|6RCR|7NUKE|8ZMB|9aDMG|aBPWR
71	26523 12532	   	176.74	ACR|3VULN|2AART|1CDMG|1ZMB	1RMIN|2ZMB|359VULN|4RCR|6CDMG|7aAART|8LWND
72	26523 12611	   	176.74	ACR|3VULN|2AART|1CDMG|1ZMB	1RMIN|2ZMB|35aVULN|4RCR|6CDMG|79AART|8FEWX
73	63231 62235	   	176.71	DCR|3VULN|1AART|1CDMG|1ZMB|1DUR	14MLV|249VULN|3AART|4BPWR|5BEXP|6RCR|7ZMB|8CDMG|aDUR
74	42223 12311	   	176.64	ACR|3VULN|2AART|1CDMG|1ZMB	1ZMB|2NUKE|35aVULN|4RCR|6CDMG|79AART|8FEWX
75	42223 12532	   	176.64	ACR|3VULN|2AART|1CDMG|1ZMB	1ZMB|2NUKE|359VULN|4RCR|6CDMG|7aAART|8LWND
76	26523 12235	   	176.54	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1RMIN|2ZMB|35VULN|4RCR|6CDMG|7AART|8TLV|9DMG|aDUR
77	42223 12135	   	176.54	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1ZMB|2NUKE|35VULN|4RCR|6CDMG|7AART|8RMIN|9DMG|aDUR
78	43322 34241	   	176.42	DCR|3VULN|1AART|1DMG|1ZMB|1ASPD	1ZMB|24aVULN|3LWND|5DMG|6AART|7BELT|8RCR|9ASPD
79	13232 45141	   	176.22	DCR|3VULN|1AART|1CDMG|1FLTHEA|1ZMB	14CGEN|246VULN|3AART|4BPWR|5CDMG|7FLTHEA|8BEXP|9RCR|aZMB
80	13231 61333	   	176.18	DCR|3VULN|1AART|1DMG|1ZMB	14CGEN|249VULN|3AART|4BPWR|5BEXP|6RCR|7BELT|8DMG|aZMB
81	13232 41231	 * 	176.17	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	14CGEN|246VULN|3AART|4BPWR|5CDMG|7ASPD|8RMIN|9DMG|aRCR
82	63232 52631	   	176.17	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	14MLV|248VULN|3AART|4BPWR|5CDMG|6CGEN|7ASPD|9DMG|aRCR
83	63232 62631	   	176.17	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	14MLV|248VULN|3AART|4BPWR|5CDMG|6RMIN|7ASPD|9DMG|aRCR
84	13261 61333	   	176.08	DCR|3VULN|1AART|1DMG|1ZMB	1CGEN|249VULN|3AART|5BEXP|6RCR|7BELT|8DMG|aZMB
85	13232 22631	   	176.07	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	14CGEN|248VULN|3AART|4BPWR|5CDMG|6ERES|7ASPD|9DMG|aRCR
86	13262 41231	   	176.07	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	1CGEN|246VULN|3AART|5CDMG|7ASPD|8RMIN|9DMG|aRCR
87	63232 22631	   	176.07	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	14MLV|248VULN|3AART|4BPWR|5CDMG|6ERES|7ASPD|9DMG|aRCR
88	13262 22631	   	175.97	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	1CGEN|248VULN|3AART|5CDMG|6ERES|7ASPD|9DMG|aRCR
89	63262 22631	   	175.97	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	1MLV|248VULN|3AART|5CDMG|6ERES|7ASPD|9DMG|aRCR
90	43631 13321	   	175.96	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD|1DUR	1ZMB|26VULN|3MGNLIT|4ASPD|5DUR|7AART|8DMG|9CDMG|aRCR
