0	Index      	 *	Score 	Summary	Detail	
1	24423 11241	 * 	191.74	ACR|3DMG|2VULN|1AART|1CDMG	16DUST|247DMG|3AART|5RCR|89VULN|aCDMG
13	21331 43425	 * 	180.46	ACR|4VULN|1AART|2CDMG|1SELL	18DUST|2RCR|3MGNLIT|4SELL|5AART|689aVULN|78CDMG|8BPWR
14	61132 51224	 * 	180.28	ACR|2AART|2DMG|2VULN	18FEWX|2RCR|3LIT|48CGEN|57AART|68VULN|8BPWR|9aDMG
15	24413 33132	 * 	180.27	ACR|3DMG|2AART|2ASPD|2DUR	158DUST|25aDMG|39AART|4RCR|5aBPWR|6aASPD|7aDUR
16	24423 11214	   	179.69	ACR|3DMG|2VULN|1AART	16DUST|247DMG|3AART|5RCR|8aVULN|9RCVC
17	24415 32313	   	179.15	ACR|3VULN|1AART|1DMG|1CDMG	1DUST|2DMG|3AART|4RCR|5CDMG|6RCVC|7LWND|89aVULN
18	21523 82484	 * 	178.47	ACR|3VULN|2DMG|1CDMG|1ASPD	1DUST|2RCR|3ASPD|4MBVNT|5CDMG|679VULN|8aDMG
19	24423 11242	   	178.09	ACR|3DMG|2VULN|1AART	16DUST|247DMG|3AART|5RCR|89VULN|aCGEN
20	24423 11243	   	177.99	ACR|3DMG|2VULN|1AART	16DUST|247DMG|3AART|5RCR|89VULN|aERES
21	21331 43424	 * 	177.80	ACR|3VULN|2AART|2CDMG|1SELL	18DUST|2RCR|3MGNLIT|4SELL|5aAART|689VULN|78CDMG|8BPWR
22	21345 32432	 * 	177.76	ACR|2AART|2VULN|3ZMB|1DUR	18DUST|2RCR|3MGNLIT|468ZMB|59AART|78VULN|8BPWR|aDUR
23	33161 65132	   	177.74	ACR|2VULN|2DMG|1AART|2DUR|2RCVC	14RCVC|28DUR|3FEWX|5RCR|68VULN|78DMG|8BPWR|9LEGI|aAART
24	61331 43423	 * 	177.56	ACR|3VULN|1AART|2CDMG|1ZMB|1SELL	18FEWX|2RCR|3MGNLIT|4SELL|5AART|689VULN|78CDMG|8BPWR|aZMB
25	21331 43423	 * 	177.36	ACR|3VULN|1AART|2CDMG|1ZMB|1SELL	18DUST|2RCR|3MGNLIT|4SELL|5AART|689VULN|78CDMG|8BPWR|aZMB
26	13115 63333	 * 	177.25	ACR|3DMG|1AART|3ASPD|1CDMG	19LIT|2AART|3SNIHEL|4RCR|569ASPD|789DMG|9BPWR|aCDMG
27	21221 37487	   	177.25	ACR|3VULN|1AART|1DMG|1CDMG	1DUST|2RCR|36CGEN|4MBVNT|569VULN|6BPWR|7CDMG|8DMG|aAART
28	21223 82487	   	177.15	ACR|3VULN|1AART|1DMG|1CDMG	1DUST|2RCR|3CGEN|4MBVNT|5CDMG|679VULN|8DMG|aAART
29	21421 63337	   	177.15	ACR|3VULN|1AART|1DMG|1CDMG	1DUST|2RCR|3MLV|4MBVNT|567VULN|8DMG|9CDMG|aAART
30	24416 31213	   	177.10	ACR|4VULN|1AART|1DMG	1DUST|2DMG|3AART|4RCR|56RPLT|789aVULN
31	13622 33626	 * 	176.96	ACR|2AART|2VULN|2CDMG|1DMG	1LIT|27AART|39VULN|48CDMG|5RCR|6TLV|aDMG
32	24413 31633	   	176.78	ACR|3DMG|1AART|1VULN|1DUR|1ASPD	157DUST|25aDMG|3AART|4RCR|5BPWR|6ASPD|8VULN|9DUR
33	24413 33163	   	176.78	ACR|3DMG|1AART|1VULN|1DUR|1ASPD	158DUST|25aDMG|3AART|4RCR|5BPWR|6ASPD|7DUR|9VULN
34	33161 64112	 * 	176.77	ACR|4VULN|3CDMG|3DUR|2RCVC	14RCVC|28aDUR|3FEWX|5RCR|689aVULN|78aCDMG|8aBPWR
35	24412 41211	   	176.65	ACR|3VULN|1AART|1DMG|1CDMG	1DUST|2DMG|3AART|4RCR|5aLWND|6CDMG|789VULN
36	24412 41212	   	176.65	ACR|3VULN|1AART|1DMG|1CDMG	1DUST|2DMG|3AART|4RCR|5LWND|6CDMG|789VULN|aBEXP
37	24412 41233	   	176.65	ACR|3VULN|1AART|1DMG|1CDMG	1DUST|2DMG|3AART|4RCR|59LWND|6CDMG|78aVULN
38	24415 21211	   	176.65	ACR|3VULN|1AART|1DMG|1CDMG	1DUST|2DMG|3AART|4RCR|5CDMG|6aLWND|789VULN
39	24415 21212	   	176.65	ACR|3VULN|1AART|1DMG|1CDMG	1DUST|2DMG|3AART|4RCR|5CDMG|6LWND|789VULN|aBEXP
40	24415 21233	   	176.65	ACR|3VULN|1AART|1DMG|1CDMG	1DUST|2DMG|3AART|4RCR|5CDMG|69LWND|78aVULN
41	24412 41222	   	176.55	ACR|3VULN|1AART|1DMG|1CDMG	1DUST|2DMG|3AART|4RCR|5LWND|6CDMG|78aVULN|9BASHEA
42	24412 42313	   	176.55	ACR|3VULN|1AART|1DMG|1CDMG	17DUST|2DMG|3AART|4RCR|5LWND|6CDMG|89aVULN
43	24415 12313	   	176.55	ACR|3VULN|1AART|1DMG|1CDMG	16DUST|2DMG|3AART|4RCR|5CDMG|7LWND|89aVULN
44	24415 21222	   	176.55	ACR|3VULN|1AART|1DMG|1CDMG	1DUST|2DMG|3AART|4RCR|5CDMG|6LWND|78aVULN|9BASHEA
45	24415 22313	   	176.55	ACR|3VULN|1AART|1DMG|1CDMG	17DUST|2DMG|3AART|4RCR|5CDMG|6LWND|89aVULN
46	21123 46236	   	176.54	ACR|2VULN|2DMG|1AART|1ZMB	1DUST|2RCR|3LIT|46VULN|5RPLT|78DMG|9ZMB|aAART
47	24414 13313	   	176.28	ACR|2AART|2VULN|2DMG	1aDUST|2aDMG|39AART|4RCR|58ERES|6LIT|7aVULN|aBPWR
48	21323 53525	   	175.88	ACR|2VULN|1AART|1DMG|2DUR|1ZMB	18DUST|2RCR|3MGNLIT|48DUR|58VULN|6AART|7RCVC|8BPWR|9ZMB|aDMG
49	24423 11211	   	175.75	ACR|3DMG|1AART|1VULN|1CDMG	16DUST|247DMG|3AART|5RCR|8VULN|9RCVC|aCDMG
50	21421 63444	   	175.70	ACR|3VULN|1AART|1DMG|1ZMB	1DUST|2RCR|3MLV|4MBVNT|567VULN|8AART|9ZMB|aDMG
51	46223 33153	   	175.68	ACR|3DMG|2VULN|1ZMB|1DUR|1SELL	1SELL|2RCR|345DMG|6LSRREG|7ZMB|89VULN|aDUR
52	21345 61221	   	175.60	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB	1DUST|2RCR|3MGNLIT|4ZMB|5AART|68DMG|7CDMG|9RMIN|aVULN
53	24642 32123	   	175.28	ACR|2AART|2VULN|2DMG	1aDUST|2aDMG|3LIT|4RCR|56AART|7MLV|8DMSP|9aVULN|aBPWR
54	54452 61224	   	175.28	ACR|2AART|2VULN|2DMG	1MBVNT|2RMIN|38LIT|4RCR|57AART|68VULN|8BPWR|9aDMG
55	54743 14448	   	175.06	DCR|2VULN|2DMG|1AART|1DUR	1MBVNT|2RMIN|3RCVC|4aBEXP|5DUR|6RCR|7AART|8aDMG|9aVULN|aBPWR
56	21345 32411	 * 	175.02	ACR|3VULN|3ZMB|1AART	18DUST|2RCR|3MGNLIT|468ZMB|5AART|78aVULN|8BPWR|9FEWX
57	54681 13124	 * 	174.98	DCR|4VULN|1AART|1DMG	1MBVNT|2RMIN|3578VULN|48LHND|6RCR|8BPWR|9DMG|aAART
58	13622 14413	   	174.95	ACR|3DMG|1AART|1VULN|1CDMG	1LIT|2AART|3VULN|4CDMG|5RCR|6LHND|789DMG|aLWND
59	13115 12614	   	174.95	ACR|2VULN|1AART|1DMG|2CDMG|1ASPD	1LIT|2AART|3aSNIHEL|4RCR|5ASPD|6BEXP|7aVULN|8DMG|9aCDMG|aBPWR
60	21432 61213	   	174.89	ACR|4VULN|1AART|1CDMG	1DUST|2RCR|3MLV|4AART|5LWND|6CDMG|789aVULN
61	24216 26321	 * 	174.88	DCR|2VULN|2DMG|1AART|2CDMG	18DUST|28DMG|3TLV|45VULN|68CDMG|7AART|8BPWR|9BELT|aRCR
62	13623 14242	 * 	174.83	DCR|2VULN|1AART|1DMG|1CDMG|1FLTHEA	1LIT|2AART|39VULN|4CDMG|5ERES|6BEXP|7RCR|8DMG|aFLTHEA
63	46223 24312	   	174.70	ACR|3DMG|1AART|1VULN|1DUR|1SELL	1SELL|2RCR|345DMG|6RCVC|7AART|8DUR|9VULN|aBEXP
64	46223 24313	   	174.70	ACR|3DMG|1AART|1VULN|1DUR|1SELL	1SELL|2RCR|345DMG|6RCVC|7AART|8DUR|9VULN|aLIT
65	46223 24311	   	174.60	ACR|3DMG|1AART|1VULN|1DUR|1SELL	1SELL|2RCR|345DMG|6RCVC|7AART|8DUR|9VULN|aERES
66	24413 21415	 * 	174.35	ACR|3DMG|2AART|1VULN	15DUST|258DMG|3aAART|4RCR|5BPWR|6LHND|7MBVNT|9VULN
67	14153 22242	 * 	174.25	ACR|3VULN|1AART|1DMG|1FLTHEA	1LIT|2RPLT|3ERES|4RCR|569VULN|7AART|8DMG|aFLTHEA
68	14153 22243	   	174.25	ACR|3VULN|1AART|1DMG|1CDMG	1LIT|2RPLT|3ERES|4RCR|569VULN|7AART|8DMG|aCDMG
69	15353 22242	   	174.25	ACR|3VULN|1AART|1DMG|1FLTHEA	1LIT|2ERES|3RPLT|4RCR|569VULN|7AART|8DMG|aFLTHEA
70	15353 22243	   	174.25	ACR|3VULN|1AART|1DMG|1CDMG	1LIT|2ERES|3RPLT|4RCR|569VULN|7AART|8DMG|aCDMG
71	24423 11233	   	174.05	ACR|3DMG|1AART|1VULN|1CDMG	169DUST|247DMG|3AART|5RCR|8VULN|aCDMG
72	21236 61523	 * 	174.04	ACR|3VULN|1AART|2CDMG|1DUR	1DUST|2RCR|3CGEN|4AART|5DUR|69CDMG|78aVULN
73	24413 21416	   	173.90	ACR|3DMG|1AART|1VULN|1ZMB	15DUST|258DMG|3AART|4RCR|5BPWR|6LHND|7MBVNT|9VULN|aZMB
74	13632 45223	   	173.87	DCR|3VULN|2DMG|1AART	158LIT|2AART|389VULN|4LHND|6BEXP|78DMG|8BPWR|aRCR
75	13632 55223	   	173.87	DCR|3VULN|2DMG|1AART	158LIT|2AART|389VULN|4LHND|6FEWX|78DMG|8BPWR|aRCR
76	21521 43455	   	173.81	ACR|4VULN|1AART|1ASPD|1DUR	1DUST|2RCR|3ASPD|4MBVNT|589aVULN|6AART|7DUR
77	21521 44355	   	173.81	ACR|4VULN|1AART|1ASPD|1DUR	1DUST|2RCR|3ASPD|4MBVNT|579aVULN|6AART|8DUR
78	61142 51223	   	173.70	ACR|2AART|2VULN|1DMG|1ZMB	18FEWX|2RCR|38LIT|4RMIN|57AART|68VULN|8BPWR|9DMG|aZMB
79	24422 23235	   	173.65	DCR|2VULN|2DMG|1AART|1DUR	18DUST|24DMG|3AART|5ERES|6RCR|7DUR|9aVULN
80	13622 33312	 * 	173.64	ACR|2AART|1VULN|1DMG|1FLTHEA|1CDMG|1DUR	1LIT|27AART|3VULN|4CDMG|5RCR|6TLV|8DUR|9DMG|aFLTHEA
81	21421 54513	   	173.59	ACR|4VULN|1AART|1CDMG	1DUST|2RCR|3MLV|4MBVNT|579aVULN|6AART|8CDMG
82	61331 43422	   	173.49	ACR|3VULN|1AART|2CDMG|1DUR|1SELL	18FEWX|2RCR|3MGNLIT|4SELL|5AART|689VULN|78CDMG|8BPWR|aDUR
83	46223 62323	 * 	173.49	ACR|3VULN|3DMG|1SELL	1SELL|2RCR|345DMG|6FEWX|79aVULN|8RPLT
84	46233 23162	 * 	173.39	ACR|3VULN|3DMG|1SELL	1SELL|2RCR|389DMG|4RMIN|58aVULN|678DUST|8BPWR
85	21331 43422	   	173.29	ACR|3VULN|1AART|2CDMG|1DUR|1SELL	18DUST|2RCR|3MGNLIT|4SELL|5AART|689VULN|78CDMG|8BPWR|aDUR
86	24423 11216	   	173.11	ACR|3DMG|1AART|1VULN|1ZMB	16DUST|247DMG|3AART|5RCR|8VULN|9RCVC|aZMB
87	46223 23621	   	172.90	ACR|3DMG|1AART|1VULN|1DUR|1SELL	1SELL|2RCR|345DMG|6RCVC|7RPLT|8VULN|9DUR|aAART
88	13622 14142	 * 	172.85	ACR|2VULN|1AART|1DMG|1CDMG|1FLTHEA	1LIT|2AART|39VULN|4CDMG|5RCR|6LHND|7DMG|8ERES|aFLTHEA
89	13115 12623	 * 	172.70	ACR|2DMG|1AART|1VULN|2ASPD|1ZMB	19LIT|2AART|3SNIHEL|4RCR|59ASPD|6BEXP|7VULN|89DMG|9BPWR|aZMB
90	46223 24332	   	172.58	ACR|3DMG|1AART|1ZMB|1ASPD|1DUR|1SELL	1SELL|2RCR|345DMG|6RCVC|7AART|8DUR|9ASPD|aZMB
91	24413 33133	   	172.57	ACR|2AART|2DMG|1VULN|1DUR|1ASPD	158DUST|25DMG|39AART|4RCR|5BPWR|6ASPD|7DUR|aVULN
92	13622 14316	 * 	172.55	ACR|2DMG|1AART|1VULN|2CDMG|1DUR	1LIT|2AART|3VULN|49CDMG|5RCR|6LHND|7aDMG|8DUR
93	21123 46216	   	172.47	ACR|2VULN|2DMG|1AART|1ASPD	1DUST|2RCR|3LIT|46VULN|5RPLT|78DMG|9ASPD|aAART
94	24413 33224	   	172.23	ACR|2DMG|1AART|1VULN|1ZMB|1ASPD|1DUR	15DUST|25DMG|3AART|4RCR|5BPWR|6ASPD|7DUR|8LWND|9ZMB|aVULN
95	24413 33324	   	172.23	ACR|2DMG|1AART|1VULN|1ZMB|1ASPD|1DUR	15DUST|25DMG|3AART|4RCR|5BPWR|6ASPD|7DUR|8BEXP|9ZMB|aVULN
96	21123 46253	 * 	172.08	ACR|4VULN|2DMG	1DUST|2RCR|3LIT|469aVULN|5RPLT|78DMG
97	33316 35162	   	171.95	DCR|2VULN|2DMG|1AART|2DUR	1RCVC|28DUR|38LHND|45VULN|6DUST|78DMG|8BPWR|9RCR|aAART
98	24423 21415	   	171.95	ACR|3DMG|2AART|1VULN	1DUST|248DMG|3aAART|5RCR|6LHND|7MBVNT|9VULN
99	21323 55511	   	171.92	ACR|3VULN|1AART|1CDMG|2DUR	18DUST|2RCR|3MGNLIT|48DUR|578VULN|6AART|8BPWR|9FEWX|aCDMG
100	24412 11341	   	171.87	ACR|2VULN|2DMG|1AART|1DUR	1DUST|2aDMG|3AART|4RCR|5LWND|6CGEN|7aERES|8DUR|9aVULN|aBPWR
101	54543 14448	   	171.65	DCR|2VULN|2DMG|1AART|1DUR	1MBVNT|23RMIN|4aBEXP|5DUR|6RCR|7AART|8aDMG|9aVULN|aBPWR
102	25516 21111	   	171.56	DCR|2VULN|2DMG|1AART|1CDMG	1DUST|2AART|3CDMG|49DMG|57VULN|6LWND|8LIT|aRCR
103	24423 11124	   	171.50	ACR|3DMG|1AART|1VULN|1ZMB	16DUST|247DMG|3AART|5RCR|8MLV|9ZMB|aVULN
104	24423 11226	   	171.50	ACR|3DMG|1AART|1VULN|1ZMB	16DUST|247DMG|3AART|5RCR|8VULN|9LWND|aZMB
105	24423 21416	   	171.50	ACR|3DMG|1AART|1VULN|1ZMB	1DUST|248DMG|3AART|5RCR|6LHND|7MBVNT|9VULN|aZMB
106	61331 43632	   	171.39	ACR|2VULN|1AART|1DMG|1CDMG|1DUR|1SELL	1FEWX|2RCR|3MGNLIT|4SELL|5AART|6aVULN|7CDMG|8DMG|9DUR
107	46233 42112	   	171.35	ACR|3VULN|2DMG|1ZMB|1SELL	1SELL|2RCR|38DMG|4RMIN|589VULN|6RCVC|78DUST|8BPWR|aZMB
108	25412 61213	   	171.19	ACR|4VULN|1AART|1CDMG	1DUST|2AART|3TLV|4RCR|5LWND|6CDMG|789aVULN
109	13622 33443	   	171.00	ACR|2AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	1LIT|27AART|3VULN|4CDMG|5RCR|6TLV|8ZMB|9DMG|aASPD
110	21345 32431	   	170.82	ACR|2AART|2VULN|3ZMB	18DUST|2RCR|3MGNLIT|468ZMB|59AART|78VULN|8BPWR|aMLV
111	21345 32433	   	170.82	ACR|2AART|2VULN|3ZMB	18DUST|2RCR|3MGNLIT|468ZMB|59AART|78VULN|8BPWR|aCGEN
112	21112 36423	   	170.74	ACR|2VULN|2DMG|1AART	18aDUST|2RCR|3aLIT|48ERES|5AART|68DMG|7RCVC|8aBPWR|9aVULN
113	21521 44174	   	170.73	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1DUST|2RCR|3ASPD|4MBVNT|57VULN|6AART|8BASICY|9CDMG|aDMG
114	21521 43457	   	170.72	ACR|3VULN|1AART|1ZMB|1ASPD|1DUR	1DUST|2RCR|3ASPD|4MBVNT|589VULN|6AART|7DUR|aZMB
115	21521 44357	   	170.72	ACR|3VULN|1AART|1ZMB|1ASPD|1DUR	1DUST|2RCR|3ASPD|4MBVNT|579VULN|6AART|8DUR|aZMB
116	13622 51252	   	170.64	ACR|2AART|2VULN|1DMG|1CDMG	1LIT|2aAART|39VULN|4CDMG|5RCR|6DUST|7FEWX|8DMG
117	21323 55521	   	170.58	ACR|3VULN|1AART|2DUR|1ZMB	18DUST|2RCR|3MGNLIT|48DUR|578VULN|6AART|8BPWR|9ZMB|aRCVC
118	21221 33634	   	170.54	ACR|3VULN|1AART|1DMG|1DUR	1DUST|2RCR|36CGEN|4MBVNT|569VULN|6BPWR|7DUR|8DMG|aAART
119	46214 12323	   	170.49	ACR|3DMG|1AART|1VULN|1DUR|1SELL	1SELL|2RCR|357DMG|47LIT|6RPLT|7BPWR|8DUR|9VULN|aAART
120	21421 63324	   	170.44	ACR|3VULN|1AART|1DMG|1DUR	1DUST|2RCR|3MLV|4MBVNT|567VULN|8DMG|9DUR|aAART
121	21421 64644	   	170.44	ACR|3VULN|1AART|1DMG|1DUR	1DUST|2RCR|3MLV|4MBVNT|569VULN|7DUR|8DMG|aAART
122	13622 45333	   	170.30	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LIT|2AART|37VULN|4CDMG|5RCR|6MGNSTR|8DMG|9RPLT|aZMB
123	33161 65121	   	170.29	ACR|3DMG|2VULN|2DUR|2RCVC	14RCVC|28DUR|3FEWX|5RCR|68VULN|789DMG|8BPWR|aLWND
124	33161 65123	   	170.29	ACR|3DMG|2VULN|2DUR|2RCVC	14RCVC|28DUR|3FEWX|5RCR|68VULN|789DMG|8BPWR|aBEXP
125	33161 65122	   	170.19	ACR|3DMG|2VULN|2DUR|2RCVC	14RCVC|28DUR|3FEWX|5RCR|68VULN|789DMG|8BPWR|aDUST
126	21323 55125	   	170.19	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1DUST|2RCR|3MGNLIT|4DUR|57VULN|6AART|8RCVC|9ZMB|aDMG
127	21513 15135	 * 	170.12	ACR|2DMG|1AART|1FLTHEA|1ZMB|1ASPD|1DUR	1DUST|2RCR|3ASPD|4RCVC|5DUR|6ZMB|7aDMG|8FLTHEA|9AART
128	64413 31414	   	170.04	ACR|3DMG|1AART|1VULN|1DUR	15FEWX|258DMG|3AART|4RCR|5BPWR|6LHND|7MBVNT|9VULN|aDUR
129	64413 11414	   	169.94	ACR|3DMG|1AART|1VULN|1DUR	15FEWX|258DMG|3AART|4RCR|5BPWR|6DUST|7MBVNT|9VULN|aDUR
130	13624 22142	 * 	169.86	DCR|2AART|1VULN|1DMG|2CDMG|1ZMB	1LIT|2aAART|3VULN|45CDMG|6DMG|7RCVC|8ZMB|9RCR
131	24413 13633	   	169.84	ACR|3DMG|1AART|1VULN|1DUR	156DUST|25aDMG|3AART|4RCR|5BPWR|7CGEN|8VULN|9DUR
132	24413 31263	   	169.84	ACR|3DMG|1AART|1VULN|1ASPD	157DUST|25aDMG|3AART|4RCR|5BPWR|6ASPD|8FEWX|9VULN
133	24413 21274	   	169.84	ACR|3DMG|1AART|1VULN|1DUR	15DUST|259DMG|3AART|4RCR|5BPWR|6LHND|7MBVNT|8VULN|aDUR
134	24413 21414	   	169.84	ACR|3DMG|1AART|1VULN|1DUR	15DUST|258DMG|3AART|4RCR|5BPWR|6LHND|7MBVNT|9VULN|aDUR
135	24413 21417	   	169.84	ACR|3DMG|1AART|1VULN|1ASPD	15DUST|258DMG|3AART|4RCR|5BPWR|6LHND|7MBVNT|9VULN|aASPD
136	24413 51414	   	169.84	ACR|3DMG|1AART|1VULN|1DUR	15DUST|258DMG|3AART|4RCR|5BPWR|6BEXP|7MBVNT|9VULN|aDUR
137	24423 33224	   	169.83	ACR|2DMG|1AART|1VULN|1ZMB|1ASPD|1DUR	1DUST|24DMG|3AART|5RCR|6ASPD|7DUR|8LWND|9ZMB|aVULN
138	24423 33324	   	169.83	ACR|2DMG|1AART|1VULN|1ZMB|1ASPD|1DUR	1DUST|24DMG|3AART|5RCR|6ASPD|7DUR|8BEXP|9ZMB|aVULN
139	21323 55512	 * 	169.72	ACR|3VULN|2AART|2DUR	18DUST|2RCR|3MGNLIT|48DUR|578VULN|6aAART|8BPWR|9FEWX
140	61132 51226	   	169.63	ACR|2AART|2VULN|1DMG|1DUR	18FEWX|2RCR|3LIT|48CGEN|57AART|68VULN|8BPWR|9DMG|aDUR
141	21413 55313	   	169.63	ACR|3VULN|1AART|1CDMG|1DUR	1DUST|2RCR|3MLV|4RCVC|5CDMG|6AART|7DUR|89aVULN
142	13613 35622	 * 	169.62	DCR|2VULN|1AART|1DMG|2ZMB|1DUR	18LIT|2AART|38VULN|4DUR|5BEXP|68ZMB|7RCR|8BPWR|9MLV|aDMG
143	21323 52533	   	169.62	ACR|3VULN|2AART|2DUR	178DUST|2RCR|3MGNLIT|48DUR|58aVULN|69AART|8BPWR
144	21556 23113	 * 	169.53	ACR|2VULN|2DMG|2ASPD|1CDMG	168DUST|2RCR|38ASPD|4CDMG|5aDMG|78VULN|8BPWR|9LHND
145	21556 23123	   	169.53	ACR|2VULN|2DMG|2ASPD|1CDMG	168DUST|2RCR|38ASPD|4CDMG|5aDMG|78VULN|8BPWR|9LIT
146	13613 35612	   	169.52	DCR|2VULN|1AART|1DMG|2ZMB|1DUR	18LIT|2AART|38VULN|4DUR|5BEXP|68ZMB|7RCR|8BPWR|9ERES|aDMG
147	52354 23724	 * 	169.33	ACR|2VULN|3ZMB|1AART|1DMG	1MBVNT|28LHND|3MGNLIT|468ZMB|5RCR|78VULN|8BPWR|9DMG|aAART
148	21421 63447	   	169.29	ACR|3VULN|1AART|1CDMG|1ZMB	1DUST|2RCR|3MLV|4MBVNT|567VULN|8AART|9ZMB|aCDMG
149	21323 55522	   	169.27	ACR|3VULN|1AART|2DUR|1ZMB	18DUST|2RCR|3MGNLIT|48DUR|578VULN|6AART|8BPWR|9ZMB|aLWND
150	52454 23724	   	169.23	ACR|2VULN|3ZMB|1AART|1DMG	1MBVNT|28LHND|3LSRREG|468ZMB|5RCR|78VULN|8BPWR|9DMG|aAART
151	21323 55523	   	169.17	ACR|3VULN|1AART|2DUR|1ZMB	18aDUST|2RCR|3MGNLIT|48DUR|578VULN|6AART|8BPWR|9ZMB
152	61123 46233	   	169.09	ACR|3DMG|2VULN|1ZMB	1FEWX|2RCR|3LIT|46VULN|5RPLT|78aDMG|9ZMB
153	46233 35112	   	169.04	ACR|3VULN|2DMG|1ZMB|1SELL	1SELL|2RCR|38DMG|46RMIN|589VULN|78FEWX|8BPWR|aZMB
154	21123 46233	   	168.99	ACR|3DMG|2VULN|1ZMB	1DUST|2RCR|3LIT|46VULN|5RPLT|78aDMG|9ZMB
155	21123 46235	   	168.99	ACR|3VULN|2DMG|1ZMB	1DUST|2RCR|3LIT|46aVULN|5RPLT|78DMG|9ZMB
156	46233 32112	   	168.84	ACR|3VULN|2DMG|1ZMB|1SELL	1SELL|2RCR|38DMG|46RMIN|589VULN|78DUST|8BPWR|aZMB
157	61132 53224	   	168.83	ACR|2VULN|2DMG|1AART	18FEWX|2RCR|3LIT|478CGEN|5AART|68VULN|8BPWR|9aDMG
158	46223 33151	   	168.74	ACR|3DMG|2VULN|1ZMB|1SELL	1SELL|2RCR|345DMG|6LSRREG|7ZMB|89VULN|aRMIN
159	21112 36424	   	168.70	ACR|3DMG|1AART|1VULN	18DUST|2RCR|3LIT|48ERES|5AART|68aDMG|7RCVC|8BPWR|9VULN
160	13115 12624	   	168.63	ACR|2DMG|1AART|1VULN|2ASPD|1DUR	19LIT|2AART|3SNIHEL|4RCR|59ASPD|6BEXP|7VULN|89DMG|9BPWR|aDUR
161	13622 36312	 * 	168.61	ACR|1AART|1VULN|1DMG|2CDMG|1FLTHEA|1DUR	17LIT|2AART|3VULN|47CDMG|5RCR|67TLV|7BPWR|8DUR|9DMG|aFLTHEA
162	13622 35432	   	168.51	ACR|1AART|1VULN|1DMG|2CDMG|1FLTHEA|1DUR	1LIT|2AART|3VULN|49CDMG|5RCR|6TLV|7DUR|8DMG|aFLTHEA
163	21512 23425	   	168.50	ACR|2AART|1DMG|1VULN|1FLTHEA|1ASPD	1DUST|2RCR|3ASPD|4RCVC|57AART|6LHND|8FLTHEA|9VULN|aDMG
164	21523 82317	   	168.43	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1DUST|2RCR|3ASPD|4MBVNT|5CDMG|67VULN|8LIT|9DMG|aAART
165	13655 22333	   	168.41	DCR|3VULN|1AART|1DMG|2DUR	149LIT|2AART|359VULN|6DUST|7DMG|89DUR|9BPWR|aRCR
166	21521 44278	   	168.19	ACR|2VULN|1AART|1DMG|1ZMB|1ASPD	1DUST|2RCR|3ASPD|4MBVNT|57VULN|6AART|8LHND|9DMG|aZMB
167	13622 14213	   	168.14	ACR|2DMG|1AART|1VULN|1CDMG|1ASPD	1LIT|2AART|3VULN|4CDMG|5RCR|6LHND|79DMG|8RCVC|aASPD
168	61321 15351	   	168.04	ACR|1AART|1VULN|1DMG|1CDMG|2DUR|1ZMB	1FEWX|2RCR|35MGNLIT|45DUR|5BPWR|6ZMB|7VULN|8DMG|9AART|aCDMG
