0	Index      	 *	Score 	Summary	Detail	
1	25352 22141	 * 	210.65	ACR|4VULN|2DMG|1AART|2CDMG	1579VULN|27CDMG|37DMG|4RCR|6RCVC|7BPWR|8ERES|aAART
81	25362 23221	 * 	183.58	DCR|2VULN|2AART|1DMG|2CDMG|1DUR	15VULN|24CDMG|3DMG|6aAART|7RCR|8DUR|9CGEN
82	25362 23261	   	183.58	DCR|2VULN|2AART|1DMG|2CDMG|1DUR	15VULN|24CDMG|3DMG|6aAART|7RCR|8DUR|9MLV
83	25362 23621	   	183.58	DCR|2VULN|2AART|1DMG|2CDMG|1DUR	15VULN|24CDMG|3DMG|6aAART|7RCR|8MLV|9DUR
84	25222 43161	 * 	183.55	ACR|3VULN|1AART|3ASPD|1CDMG|1ZMB	168VULN|2CDMG|38CGEN|4RCR|578ASPD|8BPWR|9ZMB|aAART
85	25362 23225	   	183.13	DCR|2VULN|1AART|1DMG|2CDMG|1ZMB|1DUR	15VULN|24CDMG|3DMG|6AART|7RCR|8DUR|9CGEN|aZMB
86	25362 23531	 * 	182.78	DCR|2VULN|2DMG|1AART|2CDMG	15VULN|24CDMG|39DMG|6AART|7RCR|8LIT|aDMSP
87	25362 23532	   	182.78	DCR|2VULN|2DMG|1AART|2CDMG	15VULN|24CDMG|39DMG|6AART|7RCR|8LIT|aFEWX
88	25362 23533	   	182.78	DCR|2VULN|2DMG|1AART|2CDMG	15VULN|24CDMG|39DMG|6AART|7RCR|8LIT|aRPLT
89	22434 12151	 * 	182.29	ACR|3VULN|1AART|3DUR|2ZMB|2ASPD	19aVULN|29ZMB|346DUR|5RCR|79ASPD|8AART|9BPWR
90	26334 12151	   	182.29	ACR|3VULN|1AART|3DUR|2ZMB|2ASPD	19aVULN|246DUR|39ZMB|5RCR|79ASPD|8AART|9BPWR
91	26123 21431	   	181.68	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD|1DUR	16VULN|2DUR|3DUST|4RCR|5ZMB|7DMG|8CDMG|9ASPD|aAART
92	25351 21331	   	181.68	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD|1DUR	18VULN|2CDMG|3DMG|4RCR|5DUST|6DUR|7ZMB|9ASPD|aAART
93	25356 31331	   	181.68	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD|1DUR	18VULN|2CDMG|3DMG|4RCR|5DUR|6DUST|7ZMB|9ASPD|aAART
94	25662 23212	   	181.47	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	159VULN|2CDMG|3aRCVC|4DMG|6AART|7RCR|8DUR
95	25662 23213	   	181.47	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	159VULN|2CDMG|3RCVC|4DMG|6AART|7RCR|8DUR|aBEXP
96	63221 31125	 * 	181.27	DCR|3DMG|2VULN|1AART	14ERES|2NUKE|348DMG|4BPWR|5AART|6RCR|7aVULN|9MLV
97	63221 31153	   	181.27	DCR|3DMG|2VULN|1AART	14ERES|2NUKE|348DMG|4BPWR|5AART|6RCR|7aVULN|9RMIN
98	23163 22222	   	181.23	ACR|3VULN|2DMG|1AART|1DUR	179VULN|29LIT|3DUR|4BEXP|5RCR|6RCVC|89DMG|9BPWR|aAART
99	23163 26423	   	181.23	ACR|3DMG|2VULN|1AART|1DUR	19VULN|29LIT|3DUR|4BEXP|5RCR|6RCVC|789DMG|9BPWR|aAART
100	25362 23112	   	180.84	DCR|3VULN|1AART|1DMG|2CDMG	159VULN|24CDMG|3DMG|6AART|7RCR|8LWND|aRCVC
101	25362 23113	   	180.84	DCR|3VULN|1AART|1DMG|2CDMG	159VULN|24CDMG|3DMG|6AART|7RCR|8LWND|aBEXP
102	25362 23115	   	180.84	DCR|3VULN|1AART|1DMG|2CDMG	159VULN|24CDMG|3DMG|6AART|7RCR|8LWND|aFEWX
103	25362 23116	   	180.84	DCR|3VULN|1AART|1DMG|2CDMG	159VULN|24CDMG|3DMG|6AART|7RCR|8aLWND
104	25362 23321	   	180.84	DCR|3VULN|1AART|1DMG|2CDMG	158VULN|24CDMG|3DMG|6AART|7RCR|9CGEN|aDMSP
105	25362 23324	   	180.84	DCR|3VULN|1AART|1DMG|2CDMG	158VULN|24CDMG|3DMG|6AART|7RCR|9CGEN|aRPLT
106	25362 23325	   	180.84	DCR|3VULN|1AART|1DMG|2CDMG	158VULN|24CDMG|3DMG|6AART|7RCR|9CGEN|aBEXP
107	25362 23631	   	180.84	DCR|3VULN|1AART|1DMG|2CDMG	159VULN|24CDMG|3DMG|6AART|7RCR|8MLV|aDMSP
108	25662 23111	   	180.84	DCR|3VULN|1AART|1DMG|2CDMG	159VULN|2aCDMG|3RCVC|4DMG|6AART|7RCR|8LWND
109	25352 11324	   	180.76	ACR|4VULN|1DMG|2CDMG|1ZMB	158aVULN|27CDMG|3DMG|4RCR|6LHND|9ZMB
110	25362 23311	   	180.74	DCR|3VULN|1AART|2CDMG|1DMG	158VULN|24CDMG|3DMG|6AART|7RCR|9ERES|aDMSP
111	25362 23314	   	180.74	DCR|3VULN|1AART|2CDMG|1DMG	158VULN|24CDMG|3DMG|6AART|7RCR|9ERES|aRPLT
112	25362 23315	   	180.74	DCR|3VULN|1AART|2CDMG|1DMG	158VULN|24CDMG|3DMG|6AART|7RCR|9ERES|aBEXP
113	25362 23323	   	180.74	DCR|3VULN|1AART|1DMG|2CDMG	158VULN|24CDMG|3DMG|6AART|7RCR|9CGEN|aTLV
114	25362 23342	   	180.74	DCR|3VULN|1AART|1DMG|2CDMG	158VULN|24CDMG|3DMG|6AART|7RCR|9MBVNT|aRCVC
115	25362 23343	   	180.74	DCR|3VULN|1AART|1DMG|2CDMG	158VULN|24CDMG|3DMG|6AART|7RCR|9MBVNT|aBEXP
116	25362 23352	   	180.74	DCR|3VULN|1AART|1DMG|2CDMG	158VULN|24CDMG|3DMG|6AART|7RCR|9DUST|aRCVC
117	25362 23353	   	180.74	DCR|3VULN|1AART|1DMG|2CDMG	158VULN|24CDMG|3DMG|6AART|7RCR|9DUST|aBEXP
118	25362 23361	   	180.74	DCR|3VULN|1AART|1DMG|2CDMG	158VULN|24CDMG|3DMG|6AART|7RCR|9TLV|aDMSP
119	25362 23633	   	180.74	DCR|3VULN|1AART|1DMG|2CDMG	159VULN|24CDMG|3DMG|6AART|7RCR|8MLV|aTLV
