0	Index      	 *	Score 	Summary	Detail	
1	31421 73427	 * 	207.02	DCR|4VULN|3DMG|1AART	179aVULN|27aDMG|3RPLT|4AART|5MBVNT|67aTLV|7aBPWR|8RCR
42	31212 31152	   	178.93	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	178VULN|2DMG|3ZMB|4RMIN|5AART|6LIT|9CDMG|aRCR
43	31262 31152	   	178.93	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	178VULN|2DMG|3ZMB|4MLV|5AART|6LIT|9CDMG|aRCR
44	31212 32352	 * 	178.78	DCR|2AART|2VULN|1DMG|2ZMB|1CDMG	17VULN|2DMG|37ZMB|4RMIN|58AART|67LIT|7BPWR|9CDMG|aRCR
45	33514 42321	   	178.59	DCR|2VULN|2DMG|1AART|1DUR|1ASPD	15VULN|2MLV|3DUR|45LWND|5BPWR|6RCR|7AART|8aDMG|9ASPD
46	33215 13515	   	178.39	ACR|4VULN|2DMG|1ZMB	168aVULN|2aMLV|3ZMB|4RCR|5BASHEA|7aDMG|9NUKE|aBPWR
47	31614 35321	   	178.19	ACR|3VULN|2DMG|1AART	15aVULN|26DMG|38aERES|4RCR|7AART|9aMLV|aBPWR
48	31522 32322	 * 	178.16	DCR|3VULN|2AART|1DMG|2DUR	179VULN|2DMG|37DUR|4RCVC|58AART|67LIT|7BPWR|aRCR
49	32262 65122	 * 	177.94	DCR|4VULN|1DMG|2CDMG|1ZMB	1457VULN|23CDMG|6LSRICY|8RCR|9ZMB|aDMG
50	31316 53235	   	177.94	ACR|3VULN|2DMG|1CDMG|1ZMB	179VULN|28DMG|3MLV|4RCR|5LWND|6CDMG|aZMB
51	31425 13121	   	177.89	ACR|3VULN|2DMG|1AART	179VULN|27DMG|3RPLT|4AART|5RCR|67aMLV|7BPWR|8LWND
52	31425 13123	   	177.89	ACR|3VULN|2DMG|1AART	179VULN|27DMG|3RPLT|4AART|5RCR|67MLV|7BPWR|8LWND|aFEWX
53	31425 13124	   	177.89	ACR|3VULN|2DMG|1AART	179VULN|27DMG|3RPLT|4AART|5RCR|67MLV|7BPWR|8LWND|aCGEN
54	31425 13321	   	177.89	ACR|3VULN|2DMG|1AART	179VULN|27DMG|3RPLT|4AART|5RCR|67aMLV|7BPWR|8FEWX
55	31425 13323	   	177.89	ACR|3VULN|2DMG|1AART	179VULN|27DMG|3RPLT|4AART|5RCR|67MLV|7BPWR|8aFEWX
56	31425 13324	   	177.89	ACR|3VULN|2DMG|1AART	179VULN|27DMG|3RPLT|4AART|5RCR|67MLV|7BPWR|8FEWX|aCGEN
57	32262 13122	   	177.84	DCR|4VULN|1DMG|2CDMG|1ZMB	1456VULN|23CDMG|7LSRHEA|8RCR|9ZMB|aDMG
58	31425 13125	   	177.79	ACR|3VULN|2DMG|1AART	179VULN|27DMG|3RPLT|4AART|5RCR|67MLV|7BPWR|8LWND|aTLV
59	31425 13225	   	177.79	ACR|3VULN|2DMG|1AART	17aVULN|27DMG|3RPLT|4AART|5RCR|67MLV|7BPWR|8LIT|9DUST
60	31425 13325	   	177.79	ACR|3VULN|2DMG|1AART	179VULN|27DMG|3RPLT|4AART|5RCR|67MLV|7BPWR|8FEWX|aTLV
61	31425 13521	   	177.79	ACR|3VULN|2DMG|1AART	17aVULN|27DMG|39RPLT|4AART|5RCR|67MLV|7BPWR|8CANHEL
62	31425 13523	 * 	177.79	ACR|3DMG|2VULN|1AART	17VULN|27aDMG|39RPLT|4AART|5RCR|67MLV|7BPWR|8CANHEL
63	31232 12155	   	177.73	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	189VULN|2DMG|3ZMB|4CDMG|5MLV|6FEWX|7AART|aRCR
64	31232 32155	   	177.73	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	189VULN|2DMG|3ZMB|4CDMG|5MLV|6BEXP|7AART|aRCR
65	32523 12155	   	177.73	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	189VULN|2CDMG|3ZMB|4MLV|5DMG|6FEWX|7AART|aRCR
66	32523 32155	   	177.73	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	189VULN|2CDMG|3ZMB|4MLV|5DMG|6BEXP|7AART|aRCR
67	31425 33121	   	177.69	ACR|3VULN|2DMG|1AART	179VULN|27DMG|3RPLT|4AART|5RCR|67ERES|7BPWR|8LWND|aMLV
68	31425 33123	   	177.69	ACR|3VULN|2DMG|1AART	179VULN|27DMG|3RPLT|4AART|5RCR|67ERES|7BPWR|8LWND|aLHND
69	31425 33124	   	177.69	ACR|3VULN|2DMG|1AART	179VULN|27DMG|3RPLT|4AART|5RCR|67ERES|7BPWR|8LWND|aCGEN
70	31425 33321	   	177.69	ACR|3VULN|2DMG|1AART	179VULN|27DMG|3RPLT|4AART|5RCR|67ERES|7BPWR|8FEWX|aMLV
71	31425 33322	   	177.69	ACR|3VULN|2DMG|1AART	179VULN|27DMG|3RPLT|4AART|5RCR|67ERES|7BPWR|8FEWX|aDMSP
72	31425 33324	   	177.69	ACR|3VULN|2DMG|1AART	179VULN|27DMG|3RPLT|4AART|5RCR|67ERES|7BPWR|8FEWX|aCGEN
73	31425 63121	   	177.69	ACR|3VULN|2DMG|1AART	179VULN|27DMG|3RPLT|4AART|5RCR|67TLV|7BPWR|8LWND|aMLV
74	31425 63123	   	177.69	ACR|3VULN|2DMG|1AART	179VULN|27DMG|3RPLT|4AART|5RCR|67TLV|7BPWR|8LWND|aLHND
75	31425 63321	   	177.69	ACR|3VULN|2DMG|1AART	179VULN|27DMG|3RPLT|4AART|5RCR|67TLV|7BPWR|8FEWX|aMLV
76	31425 63322	   	177.69	ACR|3VULN|2DMG|1AART	179VULN|27DMG|3RPLT|4AART|5RCR|67TLV|7BPWR|8FEWX|aDMSP
77	31425 13131	   	177.64	ACR|3DMG|2VULN|1AART|1SELL	17VULN|27aDMG|3RPLT|4AART|5RCR|67MLV|7BPWR|8LWND|9SELL
78	31425 13331	   	177.64	ACR|3DMG|2VULN|1AART|1SELL	17VULN|27aDMG|3RPLT|4AART|5RCR|67MLV|7BPWR|8FEWX|9SELL
79	31425 13126	   	177.64	ACR|3VULN|2DMG|1AART|1SELL	179VULN|27DMG|3RPLT|4AART|5RCR|67MLV|7BPWR|8LWND|aSELL
80	31425 13326	   	177.64	ACR|3VULN|2DMG|1AART|1SELL	179VULN|27DMG|3RPLT|4AART|5RCR|67MLV|7BPWR|8FEWX|aSELL
81	31425 33125	   	177.59	ACR|3VULN|2DMG|1AART	179VULN|27DMG|3RPLT|4AART|5RCR|67ERES|7BPWR|8LWND|aTLV
82	31425 33225	   	177.59	ACR|3VULN|2DMG|1AART	17aVULN|27DMG|3RPLT|4AART|5RCR|67ERES|7BPWR|8LIT|9DUST
83	31425 33325	   	177.59	ACR|3VULN|2DMG|1AART	179VULN|27DMG|3RPLT|4AART|5RCR|67ERES|7BPWR|8FEWX|aTLV
84	31425 33513	   	177.59	ACR|3DMG|2VULN|1AART	17VULN|27aDMG|3RPLT|4AART|5RCR|67ERES|7BPWR|8CANHEL|9LWND
85	31425 33521	   	177.59	ACR|3VULN|2DMG|1AART	17aVULN|27DMG|39RPLT|4AART|5RCR|67ERES|7BPWR|8CANHEL
86	31425 33523	   	177.59	ACR|3DMG|2VULN|1AART	17VULN|27aDMG|39RPLT|4AART|5RCR|67ERES|7BPWR|8CANHEL
87	31425 33533	   	177.59	ACR|3DMG|2VULN|1AART	17VULN|27aDMG|3RPLT|4AART|5RCR|67ERES|7BPWR|8CANHEL|9FEWX
88	31425 33131	   	177.44	ACR|3DMG|2VULN|1AART|1SELL	17VULN|27aDMG|3RPLT|4AART|5RCR|67ERES|7BPWR|8LWND|9SELL
89	31425 33331	   	177.44	ACR|3DMG|2VULN|1AART|1SELL	17VULN|27aDMG|3RPLT|4AART|5RCR|67ERES|7BPWR|8FEWX|9SELL
90	31425 63131	   	177.44	ACR|3DMG|2VULN|1AART|1SELL	17VULN|27aDMG|3RPLT|4AART|5RCR|67TLV|7BPWR|8LWND|9SELL
91	31425 63331	   	177.44	ACR|3DMG|2VULN|1AART|1SELL	17VULN|27aDMG|3RPLT|4AART|5RCR|67TLV|7BPWR|8FEWX|9SELL
92	31425 33126	   	177.44	ACR|3VULN|2DMG|1AART|1SELL	179VULN|27DMG|3RPLT|4AART|5RCR|67ERES|7BPWR|8LWND|aSELL
93	31425 33326	   	177.44	ACR|3VULN|2DMG|1AART|1SELL	179VULN|27DMG|3RPLT|4AART|5RCR|67ERES|7BPWR|8FEWX|aSELL
94	23214 32142	   	177.44	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	1CGEN|258VULN|3ZMB|4RCR|6DMG|7RCVC|9AART|aDUR
95	31421 13421	   	177.37	DCR|3VULN|2DMG|1AART	179VULN|27DMG|3RPLT|4AART|5MBVNT|67aMLV|7BPWR|8RCR
96	31421 13423	   	177.37	DCR|3VULN|2DMG|1AART	179VULN|27DMG|3RPLT|4AART|5MBVNT|67MLV|7BPWR|8RCR|aFEWX
97	31421 13424	   	177.37	DCR|3VULN|2DMG|1AART	179VULN|27DMG|3RPLT|4AART|5MBVNT|67MLV|7BPWR|8RCR|aDMSP
98	31421 13425	   	177.37	DCR|3VULN|2DMG|1AART	179VULN|27DMG|3RPLT|4AART|5MBVNT|67MLV|7BPWR|8RCR|aCGEN
99	23314 32141	   	177.29	ACR|3VULN|2DMG|1AART	1aCGEN|258VULN|3aMLV|4RCR|6aDMG|7RCVC|9AART|aBPWR
100	31421 13426	   	177.27	DCR|3VULN|2DMG|1AART	179VULN|27DMG|3RPLT|4AART|5MBVNT|67MLV|7BPWR|8RCR|aTLV
101	31421 21427	   	177.17	DCR|3VULN|2DMG|1AART	19aVULN|2aDMG|36RPLT|4AART|5MBVNT|7aTLV|8RCR|aBPWR
102	31421 53421	   	177.17	DCR|3VULN|2DMG|1AART	179VULN|27DMG|3RPLT|4AART|5MBVNT|67ERES|7BPWR|8RCR|aMLV
103	31421 53422	   	177.17	DCR|3VULN|2DMG|1AART	179VULN|27DMG|3RPLT|4AART|5MBVNT|67ERES|7BPWR|8RCR|aDMSP
104	31421 53423	   	177.17	DCR|3VULN|2DMG|1AART	179VULN|27DMG|3RPLT|4AART|5MBVNT|67ERES|7BPWR|8RCR|aBEXP
105	31421 53425	   	177.17	DCR|3VULN|2DMG|1AART	179VULN|27DMG|3RPLT|4AART|5MBVNT|67ERES|7BPWR|8RCR|aCGEN
106	31421 73421	   	177.17	DCR|3VULN|2DMG|1AART	179VULN|27DMG|3RPLT|4AART|5MBVNT|67TLV|7BPWR|8RCR|aMLV
107	31421 73422	   	177.17	DCR|3VULN|2DMG|1AART	179VULN|27DMG|3RPLT|4AART|5MBVNT|67TLV|7BPWR|8RCR|aDMSP
108	31421 73423	   	177.17	DCR|3VULN|2DMG|1AART	179VULN|27DMG|3RPLT|4AART|5MBVNT|67TLV|7BPWR|8RCR|aBEXP
109	31421 73425	   	177.17	DCR|3VULN|2DMG|1AART	179VULN|27DMG|3RPLT|4AART|5MBVNT|67TLV|7BPWR|8RCR|aCGEN
110	31421 74427	   	177.17	DCR|3VULN|2DMG|1AART	19aVULN|2aDMG|3RPLT|4AART|5MBVNT|6aTLV|7DMSP|8RCR|aBPWR
111	31421 13431	   	177.12	DCR|3DMG|2VULN|1AART|1SELL	17VULN|27aDMG|3RPLT|4AART|5MBVNT|67MLV|7BPWR|8RCR|9SELL
112	31421 13427	   	177.12	DCR|3VULN|2DMG|1AART|1SELL	179VULN|27DMG|3RPLT|4AART|5MBVNT|67MLV|7BPWR|8RCR|aSELL
113	31425 13232	 * 	177.09	ACR|2VULN|2DMG|1AART|2ZMB	17VULN|27DMG|3RPLT|4AART|5RCR|67MLV|7BPWR|8LIT|9aZMB
114	23614 32141	   	177.09	ACR|3VULN|2DMG|1AART	1aCGEN|258VULN|3aERES|4RCR|6aDMG|7RCVC|9AART|aBPWR
115	31614 32241	   	177.09	ACR|3VULN|2DMG|1AART	15aVULN|26DMG|3aERES|4RCR|78aCGEN|9AART|aBPWR
116	33611 32141	   	177.09	ACR|3VULN|2DMG|1AART	18aVULN|25MLV|3aERES|4RCR|6aDMG|7RCVC|9AART|aBPWR
117	33616 32141	   	177.09	ACR|3VULN|2DMG|1AART	18aVULN|2MLV|3aERES|4RCR|57RCVC|6aDMG|9AART|aBPWR
118	31421 31457	   	177.07	DCR|3VULN|2DMG|1AART	16aVULN|2aDMG|3RPLT|4AART|5MBVNT|79aTLV|8RCR|aBPWR
119	31421 53424	   	177.07	DCR|3VULN|2DMG|1AART	179VULN|27DMG|3RPLT|4AART|5MBVNT|67ERES|7BPWR|8RCR|aDUST
120	31421 53426	   	177.07	DCR|3VULN|2DMG|1AART	179VULN|27DMG|3RPLT|4AART|5MBVNT|67ERES|7BPWR|8RCR|aTLV
121	31421 73424	   	177.07	DCR|3VULN|2DMG|1AART	179VULN|27DMG|3RPLT|4AART|5MBVNT|67TLV|7BPWR|8RCR|aDUST
122	31421 73426	   	177.07	DCR|3VULN|2DMG|1AART	179VULN|27DMG|3RPLT|4AART|5MBVNT|67aTLV|7BPWR|8RCR
