0	Index      	 *	Score 	Summary	Detail	
1	52326 22436	 * 	215.21	DCR|3DMG|2VULN|1AART|3CDMG	13aCDMG|23aDMG|3aBPWR|4AART|5DUR|6RCR|7MBVNT|8CGEN|9aVULN
23	52315 26232	   	189.81	DCR|3DMG|2VULN|3CDMG|1ZMB	134CDMG|234DMG|34BPWR|58VULN|6CGEN|7ASPD|9ZMB|aRCR
24	52315 16232	   	189.71	DCR|3DMG|2VULN|3CDMG|1ZMB	134CDMG|234DMG|34BPWR|58VULN|6ERES|7ASPD|9ZMB|aRCR
25	52326 52322	   	188.52	DCR|2VULN|2DMG|1AART|2CDMG	13CDMG|23DMG|3BPWR|4AART|5DUR|6aVULN|7MBVNT|8RCR|9FEWX
26	52322 52312	   	188.52	DCR|2VULN|2DMG|1AART|2CDMG	13CDMG|23DMG|3BPWR|4AART|5FEWX|6aVULN|7MBVNT|8RCR|9DUR
27	52235 52444	   	188.42	DCR|3VULN|2DMG|1AART|1CDMG	1CDMG|25DMG|3FEWX|4AART|68aVULN|7MBVNT|9RCR
28	52135 52444	   	188.32	DCR|3VULN|2DMG|1AART|1CDMG	1CDMG|25DMG|3DUST|4AART|68aVULN|7MBVNT|9RCR
29	52322 52471	   	188.22	DCR|2AART|2VULN|2DMG|2CDMG	13CDMG|23DMG|3BPWR|49AART|5FEWX|68VULN|7MBVNT|aRCR
30	52322 22864	   	187.18	DCR|2AART|2DMG|1VULN|2CDMG	13CDMG|23DMG|3BPWR|49AART|5FEWX|6RCR|7MBVNT|8DUR|aVULN
31	52321 62132	   	186.83	DCR|2DMG|1AART|1VULN|2CDMG|1ZMB	13CDMG|23DMG|3BPWR|4AART|5BELT|6RCR|7ASPD|8CGEN|9ZMB|aVULN
32	52321 63831	   	186.83	DCR|3DMG|2AART|2CDMG|1ZMB	13CDMG|239DMG|3BPWR|4aAART|5BELT|6RCR|7MBVNT|8ZMB
33	52321 62232	   	186.73	DCR|2DMG|1AART|1VULN|2CDMG|1ZMB	13CDMG|23DMG|3BPWR|4AART|5BELT|6RCR|7ASPD|8ERES|9ZMB|aVULN
34	52321 32531	   	186.68	DCR|3DMG|1AART|1VULN|2CDMG	13CDMG|239DMG|3BPWR|4AART|5BELT|6RPLT|7DUR|8RCR|aVULN
35	52235 52344	   	186.61	DCR|2AART|2VULN|2DMG|1CDMG	1CDMG|25DMG|3FEWX|49AART|6aVULN|7MBVNT|8RCR
36	52322 52335	   	186.58	DCR|3DMG|1AART|1VULN|2CDMG	13CDMG|239DMG|3BPWR|4AART|5FEWX|6VULN|7MBVNT|8RCR|aASPD
37	52135 52344	   	186.51	DCR|2AART|2VULN|2DMG|1CDMG	1CDMG|25DMG|3DUST|49AART|6aVULN|7MBVNT|8RCR
38	52135 21135	   	186.38	DCR|2VULN|2DMG|1AART|2CDMG	1aCDMG|25DMG|3aDUST|4AART|6RCR|7CGEN|8LHND|9aVULN|aBPWR
39	52323 66111	   	186.19	DCR|3DMG|1AART|1VULN|2CDMG	13CDMG|237DMG|3BPWR|4AART|5LIT|6VULN|8RCVC|9RCR|aASPD
40	52326 52441	   	186.12	DCR|2VULN|2DMG|1AART|2CDMG	13CDMG|23DMG|3BPWR|4AART|5DUR|68VULN|7MBVNT|9RCR|aLIT
41	52326 52442	   	186.12	DCR|2VULN|2DMG|1AART|2CDMG	13CDMG|23DMG|3BPWR|4AART|5DUR|68VULN|7MBVNT|9RCR|aRMIN
42	52326 52443	   	186.12	DCR|2VULN|2DMG|1AART|2CDMG	13CDMG|23DMG|3BPWR|4AART|5DUR|68VULN|7MBVNT|9RCR|aLWND
43	52311 12165	   	186.01	DCR|3DMG|2VULN|3CDMG	134CDMG|234DMG|34BPWR|56BELT|7RCR|8ASPD|9aVULN
44	52323 66222	   	185.95	DCR|3DMG|1AART|1VULN|2CDMG|1ZMB	13CDMG|237DMG|3BPWR|4AART|5LIT|6VULN|8CGEN|9ZMB|aRCR
45	52322 52326	   	185.68	DCR|3DMG|1AART|3CDMG|1VULN	13aCDMG|23aDMG|3aBPWR|4AART|5FEWX|6VULN|7MBVNT|8RCR|9aERES
46	52322 52448	   	185.22	DCR|2VULN|2DMG|1AART|3CDMG	13aCDMG|23DMG|3BPWR|4AART|5FEWX|68VULN|7MBVNT|9RCR
