0	Index      	 *	Score 	Summary	Detail	
1	53223 13143	 * 	228.71	ACR|4VULN|3DMG|1AART|3ASPD	1489VULN|249DMG|3RCR|49BPWR|579ASPD|6LEGI|aAART
46	51533 42324	   	207.09	ACR|3VULN|2DMG|1AART|2CDMG	159VULN|2MBVNT|3RCR|4ASPD|69CDMG|79DMG|8AART|9BPWR|aRPLT
47	51533 42328	   	206.99	ACR|3VULN|2DMG|1AART|2CDMG	159VULN|2MBVNT|3RCR|4ASPD|69CDMG|79DMG|8AART|9BPWR|aDUST
48	12113 24345	   	206.79	ACR|3VULN|2DMG|1AART|2ASPD|1CDMG	1AART|238VULN|4TLV|5RCR|68ASPD|78DMG|8BPWR|9LWND|aCDMG
49	12153 24325	   	206.79	ACR|3VULN|2DMG|1AART|2ASPD|1CDMG	1AART|238VULN|4MLV|5RCR|68ASPD|78DMG|8BPWR|9DUST|aCDMG
50	12113 24325	   	206.69	ACR|3VULN|2DMG|1AART|2ASPD|1CDMG	1AART|238VULN|4TLV|5RCR|68ASPD|78DMG|8BPWR|9DUST|aCDMG
51	53223 24112	   	206.51	ACR|3VULN|2DMG|1AART|1CDMG	149VULN|24DMG|3RCR|4BPWR|5ASPD|6FEWX|7DUR|8CDMG|aAART
52	12333 53345	   	206.42	ACR|5VULN|2DMG|1AART	1AART|2678aVULN|34DMG|5RCR|9FEWX
53	12333 53351	   	206.42	ACR|5VULN|2DMG|1AART	1AART|26789VULN|34DMG|5RCR|aLIT
54	12333 53353	   	206.42	ACR|5VULN|2DMG|1AART	1AART|26789VULN|34DMG|5RCR|aFEWX
55	12333 53355	   	206.42	ACR|5VULN|2DMG|1AART	1AART|26789VULN|34DMG|5RCR|aBEXP
56	53223 14112	   	206.41	ACR|3VULN|2DMG|1AART|1CDMG	149VULN|24DMG|3RCR|4BPWR|5ASPD|6LEGI|7DUR|8CDMG|aAART
57	51231 82274	 * 	206.38	DCR|3VULN|3DMG|1AART|3ASPD	189VULN|2MBVNT|3BELT|468DMG|568ASPD|68BPWR|7AART|aRCR
58	12333 53336	   	206.32	ACR|5VULN|2DMG|1AART	1AART|2678aVULN|34DMG|5RCR|9MBVNT
59	12333 53354	   	206.32	ACR|5VULN|2DMG|1AART	1AART|26789VULN|34DMG|5RCR|aLSRHEA
60	53223 54312	   	206.27	ACR|3DMG|2VULN|1AART|1ZMB	14VULN|247DMG|3RCR|4BPWR|5ASPD|6AART|8DUR|9BEXP|aZMB
61	53223 54332	   	206.27	ACR|3DMG|2VULN|1AART|1ZMB	14VULN|247DMG|3RCR|4BPWR|5ASPD|6AART|8DUR|9FEWX|aZMB
62	53223 51212	   	206.17	ACR|3VULN|2DMG|1AART|1ZMB	148VULN|24DMG|3RCR|4BPWR|5ASPD|6AART|7TLV|9DUR|aZMB
63	53223 53112	   	206.17	ACR|3VULN|2DMG|1AART|1ZMB	148VULN|24DMG|3RCR|4BPWR|5ASPD|6AART|7ERES|9DUR|aZMB
64	53226 11114	   	206.13	ACR|4VULN|3DMG|1CDMG	1469VULN|245DMG|3RCR|4BPWR|7MLV|8CDMG|aDUR
65	53226 11151	   	206.13	ACR|4VULN|3DMG|1CDMG	146aVULN|245DMG|3RCR|4BPWR|7MLV|8CDMG|9ASPD
66	53223 51342	   	205.94	ACR|3VULN|2DMG|1AART|2ASPD|1ZMB	148VULN|24DMG|3RCR|48BPWR|58ASPD|6AART|78TLV|9LWND|aZMB
67	53223 51322	   	205.84	ACR|3VULN|2DMG|1AART|2ASPD|1ZMB	148VULN|24DMG|3RCR|48BPWR|58ASPD|6AART|78TLV|9DUST|aZMB
68	53223 53422	   	205.84	ACR|3VULN|2DMG|1AART|2ASPD|1ZMB	148VULN|24DMG|3RCR|48BPWR|58ASPD|6AART|78ERES|9DUST|aZMB
69	12333 56215	   	205.82	ACR|4VULN|2DMG|1AART|2DUR	1AART|268aVULN|34DMG|5RCR|79DUR
70	53226 12133	   	205.64	ACR|3VULN|3DMG|1AART|1ZMB	146VULN|245DMG|3RCR|4BPWR|7BEXP|8LHND|9ZMB|aAART
71	53226 12523	   	205.64	ACR|3VULN|3DMG|1AART|1ZMB	146VULN|245DMG|3RCR|4BPWR|7BEXP|8ZMB|9LWND|aAART
72	53262 33314	   	205.58	ACR|3VULN|3DMG|2ASPD|1CDMG	179VULN|27aDMG|3RCR|4ERES|5DUR|67ASPD|7BPWR|8CDMG
73	53223 13141	   	205.50	ACR|4VULN|3DMG|3ASPD	1489VULN|249DMG|3RCR|49BPWR|579ASPD|6LEGI|aCGEN
74	53223 13142	   	205.50	ACR|4VULN|3DMG|3ASPD	1489VULN|249DMG|3RCR|49BPWR|579ASPD|6LEGI|aRMIN
75	53223 13145	   	205.50	ACR|4VULN|3DMG|3ASPD	1489VULN|249DMG|3RCR|49BPWR|579ASPD|6LEGI|aFEWX
76	53223 13144	   	205.40	ACR|4VULN|3DMG|3ASPD	1489VULN|249DMG|3RCR|49BPWR|579ASPD|6LEGI|aDUST
77	12336 53215	   	205.40	DCR|4VULN|2DMG|1AART|2DUR	1AART|267aVULN|34DMG|59DUR|8RCR
78	12333 53321	   	205.04	ACR|4VULN|2AART|2DMG	19AART|2678VULN|34DMG|5RCR|aRMIN
79	12333 53323	   	205.04	ACR|4VULN|2AART|2DMG	19AART|2678VULN|34DMG|5RCR|aLHND
80	12333 53326	   	205.04	ACR|4VULN|2AART|2DMG	19AART|2678VULN|34DMG|5RCR|aCGEN
81	12333 53524	   	205.04	ACR|4VULN|2AART|2DMG	19AART|267aVULN|34DMG|5RCR|8DMSP
82	12333 53325	   	204.94	ACR|4VULN|2AART|2DMG	19AART|2678VULN|34DMG|5RCR|aTLV
83	12333 53344	   	204.59	ACR|4VULN|2DMG|1AART|1ZMB	1AART|2678VULN|34DMG|5RCR|9FEWX|aZMB
84	56231 13152	   	204.52	DCR|4VULN|2DMG|1AART|2ASPD	168aVULN|2FEWX|3BELT|48DMG|58ASPD|7RCR|8BPWR|9AART
85	12333 53312	   	204.49	ACR|4VULN|2DMG|1AART|1ZMB	1AART|2678VULN|34DMG|5RCR|9ERES|aZMB
86	53226 33252	   	204.47	ACR|3DMG|2VULN|1AART|1ZMB	14VULN|245DMG|3RCR|4BPWR|6ASPD|7DUR|8FEWX|9AART|aZMB
87	53226 31343	   	204.47	ACR|3DMG|2VULN|1AART|1ZMB	14VULN|245DMG|3RCR|4BPWR|6ASPD|7LWND|8ZMB|9AART|aDUR
88	53223 15343	   	204.37	ACR|3DMG|2VULN|1AART|1ZMB	14VULN|247DMG|3RCR|4BPWR|5ASPD|6LEGI|8ZMB|9AART|aDUR
89	12153 24342	   	204.24	ACR|3VULN|2DMG|1AART|2ASPD|1ZMB	1AART|238VULN|4MLV|5RCR|68ASPD|78DMG|8BPWR|9LWND|aZMB
90	12153 24362	   	204.24	ACR|3VULN|2DMG|1AART|2ASPD|1ZMB	1AART|238VULN|4MLV|5RCR|68ASPD|78DMG|8BPWR|9BEXP|aZMB
91	12335 53253	   	204.17	DCR|4VULN|2DMG|1AART|1ZMB	1AART|2679VULN|34DMG|5LWND|8RCR|aZMB
92	12334 33123	 * 	204.17	DCR|3DMG|2AART|2VULN|1CDMG	1aAART|27VULN|349DMG|5CGEN|6CDMG|8RCR
93	12113 24342	   	204.14	ACR|3VULN|2DMG|1AART|2ASPD|1ZMB	1AART|238VULN|4TLV|5RCR|68ASPD|78DMG|8BPWR|9LWND|aZMB
94	12153 24322	   	204.14	ACR|3VULN|2DMG|1AART|2ASPD|1ZMB	1AART|238VULN|4MLV|5RCR|68ASPD|78DMG|8BPWR|9DUST|aZMB
95	12333 54161	   	204.14	ACR|3VULN|2DMG|1AART|1CDMG|1ZMB	1AART|268VULN|34DMG|5RCR|7ZMB|9DMSP|aCDMG
96	53263 33162	   	204.14	ACR|3VULN|2DMG|1AART|2ASPD|1ZMB	178VULN|27DMG|3RCR|4ERES|5FEWX|67ASPD|7BPWR|9AART|aZMB
97	14232 53621	   	204.14	ACR|2VULN|2DMG|1AART|2CDMG|1ZMB	1AART|25CDMG|39DMG|4RCR|6ZMB|7aVULN|8DUR
98	14236 11621	   	204.14	ACR|2VULN|2DMG|1AART|2CDMG|1ZMB	1AART|27CDMG|39DMG|4RCR|5aVULN|6DUR|8ZMB
99	12113 24322	   	204.04	ACR|3VULN|2DMG|1AART|2ASPD|1ZMB	1AART|238VULN|4TLV|5RCR|68ASPD|78DMG|8BPWR|9DUST|aZMB
100	53421 31154	 * 	203.38	DCR|4VULN|3DMG|2ZMB	1489VULN|29aDMG|3RCVC|5MBVNT|6RCR|79ZMB|9BPWR
101	53223 51314	   	203.18	ACR|3VULN|2DMG|1AART|2ASPD	148VULN|24DMG|3RCR|48BPWR|58ASPD|6AART|78TLV|9DUR|aRCVC
102	53223 31162	   	203.03	ACR|3VULN|3DMG|1CDMG|1ZMB	148VULN|24aDMG|3RCR|4BPWR|5ASPD|6RMIN|7ZMB|9CDMG
103	53223 23142	   	202.78	ACR|5VULN|2DMG|3ASPD	1489aVULN|24DMG|3RCR|49BPWR|579ASPD|69FEWX
104	12333 56213	   	202.72	ACR|3VULN|2DMG|1AART|2DUR|1ZMB	1AART|268VULN|34DMG|5RCR|79DUR|aZMB
105	14234 53323	 * 	202.40	ACR|3DMG|1AART|1VULN|2CDMG|1ZMB	1AART|29CDMG|359DMG|4RCR|6ZMB|7VULN|89BEXP|9BPWR|aDUR
106	14236 15221	   	202.38	ACR|3VULN|2DMG|1AART|1CDMG	1AART|2CDMG|39DMG|4RCR|57aVULN|6DUR|8ERES
107	12336 53213	   	202.30	DCR|3VULN|2DMG|1AART|2DUR|1ZMB	1AART|267VULN|34DMG|59DUR|8RCR|aZMB
108	53225 41121	   	202.22	ACR|3VULN|2DMG|1AART|2DUR|1ZMB	148VULN|24DMG|3RCR|4BPWR|5DMSP|69DUR|7ZMB|aAART
109	53226 12143	   	202.18	ACR|3VULN|3DMG|1AART	146VULN|245DMG|3RCR|4BPWR|7BEXP|8LHND|9AART|aDUR
110	53223 23365	   	202.14	ACR|2VULN|2DMG|1AART|2ASPD|1CDMG|1ZMB	14VULN|24DMG|3RCR|4BPWR|57ASPD|6FEWX|8ZMB|9AART|aCDMG
111	12333 53616	   	202.08	ACR|3VULN|3DMG|1AART	1AART|267VULN|34aDMG|5RCR|8ASPD|9BEXP
112	12333 53636	   	202.08	ACR|3VULN|3DMG|1AART	1AART|267VULN|34aDMG|5RCR|8ASPD|9FEWX
113	12333 53626	   	201.98	ACR|3VULN|3DMG|1AART	1AART|267VULN|34aDMG|5RCR|8ASPD|9DUST
114	53223 51313	   	201.88	ACR|3VULN|2DMG|1AART|2ASPD	148VULN|24DMG|3RCR|48BPWR|58ASPD|6AART|78TLV|9DUR|aCGEN
115	53223 53224	   	201.88	ACR|3VULN|2DMG|1AART|1CDMG	14aVULN|24DMG|3RCR|4BPWR|5ASPD|6AART|7ERES|8CDMG|9LWND
116	53223 53413	   	201.88	ACR|3VULN|2DMG|1AART|2ASPD	148VULN|24DMG|3RCR|48BPWR|58ASPD|6AART|78ERES|9DUR|aCGEN
117	53223 31622	   	201.86	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB	14VULN|24DMG|3RCR|4BPWR|5ASPD|6RMIN|7ZMB|8CDMG|9DUR|aAART
118	53223 51225	   	201.78	ACR|3VULN|2DMG|1AART|1CDMG	148VULN|24DMG|3RCR|4BPWR|5ASPD|6AART|7TLV|9DUST|aCDMG
119	53223 53125	   	201.78	ACR|3VULN|2DMG|1AART|1CDMG	148VULN|24DMG|3RCR|4BPWR|5ASPD|6AART|7ERES|9DUST|aCDMG
120	53223 53214	   	201.78	ACR|3VULN|2DMG|1AART|1CDMG	14aVULN|24DMG|3RCR|4BPWR|5ASPD|6AART|7ERES|8CDMG|9DUST
121	53221 61313	   	201.58	ACR|3VULN|3DMG|1AART	148VULN|249DMG|3RCR|4BPWR|5LHND|6DUR|7MLV|aAART
122	53226 11613	   	201.58	ACR|3VULN|3DMG|1AART	146VULN|245DMG|3RCR|4BPWR|7MLV|8LHND|9DUR|aAART
123	53226 15313	   	201.58	ACR|3VULN|3DMG|1AART	146VULN|245DMG|3RCR|4BPWR|7LHND|8CGEN|9DUR|aAART
124	53262 25313	   	201.58	ACR|3VULN|3DMG|1AART	178VULN|279DMG|3RCR|4ERES|5DUR|67LWND|7BPWR|aAART
125	12153 24314	   	201.48	ACR|3VULN|2DMG|1AART|2ASPD	1AART|238VULN|4MLV|5RCR|68ASPD|78DMG|8BPWR|9DUR|aRCVC
126	53223 31163	   	201.48	ACR|4VULN|2DMG|1CDMG|1ZMB	148aVULN|24DMG|3RCR|4BPWR|5ASPD|6RMIN|7ZMB|9CDMG
127	12113 24314	   	201.38	ACR|3VULN|2DMG|1AART|2ASPD	1AART|238VULN|4TLV|5RCR|68ASPD|78DMG|8BPWR|9DUR|aRCVC
128	53421 31152	 * 	201.26	DCR|4VULN|2DMG|3ZMB	1489VULN|29DMG|3RCVC|5MBVNT|6RCR|79aZMB|9BPWR
129	12323 52623	   	200.92	ACR|2VULN|2DMG|1AART|1CDMG|2DUR|1ZMB	1AART|28VULN|38DMG|4LIT|5RCR|6LHND|78DUR|8BPWR|9ZMB|aCDMG
130	53226 23521	   	200.79	ACR|4VULN|3DMG|1CDMG	148aVULN|245DMG|3RCR|4BPWR|6LWND|7CDMG|9RCVC
131	53222 56333	   	200.63	ACR|4VULN|2DMG|1AART	146aVULN|24DMG|3RCR|4BPWR|5LIT|7CGEN|8DUR|9AART
132	53421 31153	 * 	200.55	DCR|5VULN|2DMG|2ZMB	1489aVULN|29DMG|3RCVC|5MBVNT|6RCR|79ZMB|9BPWR
133	12333 53343	   	200.53	ACR|4VULN|2DMG|1AART	1AART|2678VULN|34DMG|5RCR|9FEWX|aDUR
134	12333 53361	   	200.53	ACR|4VULN|2DMG|1AART	1AART|2678VULN|34DMG|5RCR|9DUR|aFEWX
135	12333 53362	   	200.53	ACR|4VULN|2DMG|1AART	1AART|2678VULN|34DMG|5RCR|9DUR|aLHND
136	12333 53552	   	200.53	ACR|4VULN|2DMG|1AART	1AART|2679VULN|34DMG|5RCR|8DMSP|aDUR
137	12143 24215	   	200.43	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	1AART|238VULN|4ZMB|5RCR|6ASPD|7DMG|9DUR|aCDMG
138	12333 53314	   	200.43	ACR|4VULN|2DMG|1AART	1AART|2678VULN|34DMG|5RCR|9ERES|aDUR
139	12333 53366	   	200.43	ACR|4VULN|2DMG|1AART	1AART|2678VULN|34DMG|5RCR|9DUR|aTLV
140	12153 24313	   	200.18	ACR|3VULN|2DMG|1AART|2ASPD	1AART|238VULN|4MLV|5RCR|68ASPD|78DMG|8BPWR|9DUR|aCGEN
141	53223 41225	   	200.18	ACR|3VULN|2DMG|1AART|1CDMG	14aVULN|24DMG|3RCR|4BPWR|5ASPD|6MGNLIT|7LWND|8CDMG|9AART
142	53226 33336	   	200.17	ACR|3VULN|3DMG|2ZMB	14aVULN|245DMG|3RCR|4BPWR|6ASPD|7DUR|89ZMB
143	12346 34313	   	200.15	DCR|3VULN|2DMG|1AART|2ASPD|2DUR	1AART|258VULN|38DMG|49DUR|6TLV|78ASPD|8BPWR|aRCR
144	51573 42324	   	200.15	ACR|3VULN|2DMG|1AART|2CDMG	159VULN|2MBVNT|3RCR|4RMIN|69CDMG|79DMG|8AART|9BPWR|aRPLT
145	12113 24313	   	200.08	ACR|3VULN|2DMG|1AART|2ASPD	1AART|238VULN|4TLV|5RCR|68ASPD|78DMG|8BPWR|9DUR|aCGEN
146	12333 52331	   	200.08	ACR|3VULN|2DMG|1AART|1CDMG	1AART|26aVULN|34DMG|5RCR|7LIT|8DUR|9CDMG
147	12333 56225	   	200.08	ACR|3VULN|2DMG|1AART|1CDMG	1AART|268VULN|34DMG|5RCR|7DUR|9LHND|aCDMG
148	53262 33163	   	200.08	ACR|3VULN|2DMG|1AART|2ASPD	178VULN|27DMG|3RCR|4ERES|5DUR|67ASPD|7BPWR|9AART|aCGEN
149	12333 53415	   	200.08	ACR|3VULN|2DMG|1AART|1CDMG	1AART|267VULN|34DMG|5RCR|8BEXP|9DUR|aCDMG
150	12333 53661	   	200.08	ACR|3VULN|2DMG|1AART|1CDMG	1AART|267VULN|34DMG|5RCR|8ASPD|9DMSP|aCDMG
151	12333 55215	   	200.08	ACR|3VULN|2DMG|1AART|1CDMG	1AART|268VULN|34DMG|5RCR|7FEWX|9DUR|aCDMG
152	51326 31151	   	200.08	DCR|4VULN|3DMG|2ZMB	1489VULN|2MBVNT|349DMG|49BPWR|5DMSP|6RCR|79ZMB|aFEWX
153	51326 31153	   	200.08	DCR|4VULN|3DMG|2ZMB	1489VULN|2MBVNT|349DMG|49BPWR|5DMSP|6RCR|79ZMB|aLHND
154	51326 31154	   	200.08	DCR|4VULN|3DMG|2ZMB	1489VULN|2MBVNT|349DMG|49BPWR|5DMSP|6RCR|79ZMB|aMLV
155	14236 11521	   	200.07	ACR|2VULN|2DMG|1AART|2CDMG	1AART|27CDMG|39DMG|4RCR|5aVULN|6DUR|8ASPD
156	53226 34311	   	200.04	ACR|3VULN|3DMG|2ZMB|2ASPD	148VULN|245DMG|3RCR|48BPWR|68ASPD|78ZMB|9RMIN|aFEWX
157	53226 34313	   	200.04	ACR|3VULN|3DMG|2ZMB|2ASPD	148VULN|245DMG|3RCR|48BPWR|68ASPD|78ZMB|9RMIN|aLHND
158	53226 34321	   	200.04	ACR|3VULN|3DMG|2ZMB|2ASPD	148VULN|245DMG|3RCR|48BPWR|68ASPD|78ZMB|9LWND|aRPLT
159	53226 34322	   	200.04	ACR|3VULN|3DMG|2ZMB|2ASPD	148VULN|245DMG|3RCR|48BPWR|68ASPD|78ZMB|9LWND|aLIT
160	53226 34323	   	200.04	ACR|3VULN|3DMG|2ZMB|2ASPD	148VULN|245DMG|3RCR|48BPWR|68ASPD|78ZMB|9LWND|aFEWX
161	53226 34331	   	200.04	ACR|3VULN|3DMG|2ZMB|2ASPD	148VULN|245DMG|3RCR|48BPWR|68ASPD|78ZMB|9CGEN|aFEWX
162	53226 34333	   	200.04	ACR|3VULN|3DMG|2ZMB|2ASPD	148VULN|245DMG|3RCR|48BPWR|68ASPD|78ZMB|9CGEN|aLHND
163	61263 12631	   	200.04	ACR|2VULN|2DMG|1AART|2CDMG|1ZMB	16CDMG|2CGEN|3ZMB|4RCR|56DMG|6BPWR|7aVULN|8AART|9ASPD
164	51326 31152	   	199.98	DCR|4VULN|3DMG|2ZMB	1489VULN|2MBVNT|349DMG|49BPWR|5DMSP|6RCR|79ZMB|aERES
165	53226 34312	   	199.94	ACR|3VULN|3DMG|2ZMB|2ASPD	148VULN|245DMG|3RCR|48BPWR|68ASPD|78ZMB|9RMIN|aERES
166	53226 34332	   	199.94	ACR|3VULN|3DMG|2ZMB|2ASPD	148VULN|245DMG|3RCR|48BPWR|68ASPD|78ZMB|9CGEN|aERES
167	12143 53312	   	199.83	ACR|5VULN|1AART|1DMG|1ZMB	1AART|23678VULN|4ZMB|5RCR|9LHND|aDMG
168	12143 53342	   	199.83	ACR|5VULN|1AART|1DMG|1ZMB	1AART|23678VULN|4ZMB|5RCR|9BEXP|aDMG
169	12143 53352	   	199.83	ACR|5VULN|1AART|1DMG|1ZMB	1AART|23678VULN|4ZMB|5RCR|9FEWX|aDMG
170	12143 53332	   	199.73	ACR|5VULN|1AART|1DMG|1ZMB	1AART|23678VULN|4ZMB|5RCR|9DUST|aDMG
171	12335 53215	   	199.66	DCR|3VULN|2DMG|1AART|1CDMG	1AART|267VULN|34DMG|5LWND|8RCR|9DUR|aCDMG
172	12336 53225	   	199.66	DCR|3VULN|2DMG|1AART|1CDMG	1AART|267VULN|34DMG|5DUR|8RCR|9LHND|aCDMG
173	53223 21112	   	199.58	ACR|3VULN|2DMG|1AART|1CDMG	149VULN|24DMG|3RCR|4BPWR|5ASPD|6FEWX|7LWND|8CDMG|aAART
174	53223 26112	   	199.58	ACR|3VULN|2DMG|1AART|1CDMG	149VULN|24DMG|3RCR|4BPWR|5ASPD|6FEWX|7BEXP|8CDMG|aAART
175	53226 23353	   	199.58	ACR|3DMG|2VULN|1AART|1CDMG	14VULN|245DMG|3RCR|4BPWR|6LWND|7CDMG|8RPLT|9DUR|aAART
