0	Index      	 *	Score 	Summary	Detail	
1	16251 31134	 * 	201.38	ACR|3DMG|2VULN|1AART|2ZMB|1DUR	18VULN|25ZMB|3RCR|45aDMG|5BPWR|6LIT|7DUR|9AART
27	16251 16221	   	192.82	ACR|2VULN|2DMG|3ZMB|1AART	19VULN|257ZMB|3RCR|45DMG|5BPWR|6MBVNT|8AART|aLWND
28	16251 16223	   	192.82	ACR|2VULN|2DMG|3ZMB|1AART	19VULN|257ZMB|3RCR|45DMG|5BPWR|6MBVNT|8AART|aBELT
29	16253 13524	   	192.67	ACR|3VULN|2DMG|1CDMG|2DUR|1ZMB	15aVULN|2ZMB|3RCR|4aDMG|6MBVNT|7LHND|8CDMG|9aDUR|aBPWR
30	16251 32136	   	192.44	ACR|2VULN|2DMG|1AART|2ZMB|1CDMG	18VULN|25ZMB|3RCR|45DMG|5BPWR|6LIT|7FEWX|9AART|aCDMG
31	16251 18134	   	192.34	ACR|2VULN|2DMG|1AART|2ZMB|1CDMG	18VULN|25ZMB|3RCR|45DMG|5BPWR|6MBVNT|7LIT|9AART|aCDMG
32	16251 32132	   	192.32	ACR|2VULN|2DMG|3ZMB|1AART	18VULN|25aZMB|3RCR|45DMG|5BPWR|6LIT|7FEWX|9AART
33	16251 18132	   	192.22	ACR|2VULN|2DMG|3ZMB|1AART	18VULN|25aZMB|3RCR|45DMG|5BPWR|6MBVNT|7LIT|9AART
34	33254 16133	   	191.07	ACR|2VULN|2DMG|1AART|1ZMB|1DUR|1ASPD|1SELL	1aBEXP|2ASPD|3RCR|4aDMG|5AART|6DUR|7SELL|8ZMB|9aVULN|aBPWR
35	16253 14634	   	190.99	ACR|3VULN|2DMG|1AART|1ZMB	159VULN|2ZMB|3RCR|4aDMG|6MBVNT|7BEXP|8AART
36	16253 14614	   	190.99	ACR|3DMG|2VULN|1AART|1ZMB	15VULN|2ZMB|3RCR|49aDMG|6MBVNT|7BEXP|8AART
37	16253 11634	   	190.89	ACR|3VULN|2DMG|1AART|1ZMB	159VULN|2ZMB|3RCR|4aDMG|6MBVNT|7DUST|8AART
38	16253 11614	   	190.89	ACR|3DMG|2VULN|1AART|1ZMB	15VULN|2ZMB|3RCR|49aDMG|6MBVNT|7DUST|8AART
39	16253 16144	 * 	190.50	ACR|3VULN|2DMG|2CDMG|2ZMB	15aVULN|27ZMB|3RCR|4aDMG|6MBVNT|8aCDMG|9DLOT|aBPWR
40	16253 32134	   	190.49	ACR|3VULN|2DMG|1AART|1ZMB	158VULN|2ZMB|3RCR|4aDMG|6LIT|7FEWX|9AART
41	16251 32421	   	190.39	ACR|3DMG|3ZMB|1AART|1VULN	1VULN|25aZMB|3RCR|458DMG|5BPWR|6LIT|7FEWX|9AART
42	16223 52325	 * 	189.88	ACR|2VULN|2AART|1DMG|1CDMG|1ZMB|1DUR	14VULN|2ZMB|3RCR|5LHND|6CDMG|7DMG|8aAART|9DUR
43	33222 42333	 * 	189.50	ACR|3VULN|2DMG|2FLTHEA|2ASPD	1aBEXP|25ASPD|3RCR|45aVULN|5aBPWR|69DMG|7CGEN|8aFLTHEA
44	52223 11224	 * 	189.43	DCR|4VULN|2DMG|2CDMG	178ERES|2aCDMG|38LHND|458aVULN|6RCR|8aBPWR|9aDMG
45	52621 13224	 * 	188.90	ACR|3VULN|3DMG|2CDMG	138ERES|2aCDMG|4RCR|58aVULN|6RMIN|78aDMG|8aBPWR|9NUKE
46	16251 16241	   	188.78	ACR|2DMG|3ZMB|1AART|1VULN|1CDMG	1VULN|257ZMB|3RCR|45DMG|5BPWR|6MBVNT|8AART|9DUST|aCDMG
47	52621 13214	   	188.20	ACR|3DMG|2VULN|2CDMG|2ZMB	138ERES|2aCDMG|4RCR|58VULN|6RMIN|78aDMG|8aBPWR|9aZMB
48	16241 52133	 * 	187.68	ACR|2VULN|3ZMB|1AART|1DMG|1CDMG	19VULN|258ZMB|3RCR|4FEWX|6CDMG|7DMG|aAART
49	16223 52351	   	187.15	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	149VULN|2ZMB|3RCR|5LHND|6CDMG|7DMG|8AART|aCGEN
50	16223 52352	   	187.15	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	149VULN|2ZMB|3RCR|5LHND|6CDMG|7DMG|8AART|aBEXP
51	16221 52332	   	187.05	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	14aVULN|2ZMB|3RCR|5DUST|6CDMG|7DMG|8AART|9LIT
52	16221 52351	   	187.05	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	149VULN|2ZMB|3RCR|5DUST|6CDMG|7DMG|8AART|aCGEN
53	16221 52352	   	187.05	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	149VULN|2ZMB|3RCR|5DUST|6CDMG|7DMG|8AART|aBEXP
54	16221 52353	   	187.05	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	149VULN|2ZMB|3RCR|5DUST|6CDMG|7DMG|8AART|aFEWX
55	16223 52336	   	187.05	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	14aVULN|2ZMB|3RCR|5LHND|6CDMG|7DMG|8AART|9AIRHEA
56	33254 11252	 * 	186.92	ACR|2VULN|2DMG|1AART|2ASPD|1DUR	19BEXP|2aASPD|3RCR|49DMG|5AART|6DUR|7LWND|89VULN|9BPWR
57	16253 32136	   	186.55	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	158VULN|2ZMB|3RCR|4DMG|6LIT|7FEWX|9AART|aCDMG
58	16253 18134	   	186.45	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	158VULN|2ZMB|3RCR|4DMG|6MBVNT|7LIT|9AART|aCDMG
59	16251 14632	   	186.23	ACR|2VULN|2DMG|1AART|2ZMB|1ASPD	19VULN|25ZMB|3RCR|45DMG|5BPWR|6MBVNT|7BEXP|8AART|aASPD
60	11453 23126	 * 	186.22	DCR|3VULN|2DMG|1AART|2ZMB	157VULN|26BEXP|37ZMB|47DMG|7BPWR|8ERES|9RCR|aAART
61	16251 11632	   	186.13	ACR|2VULN|2DMG|1AART|2ZMB|1ASPD	19VULN|25ZMB|3RCR|45DMG|5BPWR|6MBVNT|7DUST|8AART|aASPD
62	33222 42323	 * 	186.01	ACR|4VULN|1DMG|2FLTHEA|2ASPD	1aBEXP|25ASPD|3RCR|459aVULN|5aBPWR|6DMG|7CGEN|8aFLTHEA
63	16251 31131	   	185.63	ACR|2VULN|2DMG|1AART|2ZMB|1DUR	18VULN|25ZMB|3RCR|45DMG|5BPWR|6LIT|7DUR|9AART|aDUST
64	16251 31133	   	185.63	ACR|2VULN|2DMG|1AART|2ZMB|1DUR	18VULN|25ZMB|3RCR|45DMG|5BPWR|6LIT|7DUR|9AART|aERES
65	16253 31432	   	185.63	ACR|2VULN|2DMG|1AART|2ZMB|1DUR	15VULN|2aZMB|3RCR|48DMG|6LIT|7DUR|9AART
66	16223 52323	   	185.38	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD|1DUR	14VULN|2ZMB|3RCR|5LHND|6CDMG|7DMG|8AART|9DUR|aASPD
67	16221 52315	   	185.28	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD|1DUR	14VULN|2ZMB|3RCR|5DUST|6CDMG|7DMG|8AART|9ASPD|aDUR
68	16225 52323	   	185.28	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR|1ASPD	14VULN|2ZMB|3RCR|5LEGI|6CDMG|7DMG|8AART|9DUR|aASPD
69	16251 25333	   	185.13	ACR|2VULN|2DMG|1AART|2ZMB|1DUR	19VULN|25ZMB|3RCR|45DMG|5BPWR|6BEXP|7RPLT|8DUR|aAART
70	33222 66431	 * 	184.99	ACR|3VULN|3DMG|2ASPD	1BEXP|25ASPD|3RCR|457VULN|5BPWR|6LSRICY|89aDMG
71	33222 52112	 * 	184.85	ACR|2VULN|2DMG|3ASPD|1CDMG|1ZMB	1BEXP|25aASPD|3RCR|45VULN|5aBPWR|6CDMG|7aDMG|8ZMB|9aMLV
72	55123 31123	   	184.79	ACR|3DMG|2VULN|1AART	1ERES|2RCR|3LIT|4AART|5aVULN|6LWND|789DMG
73	55123 32124	   	184.79	ACR|3DMG|2VULN|1AART	1ERES|2RCR|3LIT|4AART|57VULN|6LWND|89aDMG
74	55123 21123	   	184.69	ACR|3DMG|2VULN|1AART	1ERES|2RCR|3LIT|4AART|5aVULN|6DUST|789DMG
75	55123 22124	   	184.69	ACR|3DMG|2VULN|1AART	1ERES|2RCR|3LIT|4AART|57VULN|6DUST|89aDMG
76	55123 51123	   	184.69	ACR|3DMG|2VULN|1AART	1ERES|2RCR|3LIT|4AART|5aVULN|6MBVNT|789DMG
77	33222 52122	   	184.65	ACR|2VULN|2DMG|3ASPD|1CDMG|1ZMB	1BEXP|25aASPD|3RCR|45VULN|5aBPWR|6CDMG|7aDMG|8ZMB|9aERES
78	16251 22331	 * 	184.29	ACR|3DMG|2VULN|2ZMB|1FLTHEA	1aVULN|25ZMB|3RCR|459DMG|5BPWR|6BEXP|7CGEN|8FLTHEA
79	16251 42331	   	184.29	ACR|3DMG|2VULN|2ZMB|1FLTHEA	1aVULN|25ZMB|3RCR|459DMG|5BPWR|6LHND|7CGEN|8FLTHEA
80	16251 22322	   	184.29	ACR|3DMG|2VULN|2ZMB|1FLTHEA	19VULN|25ZMB|3RCR|45aDMG|5BPWR|6BEXP|7CGEN|8FLTHEA
81	16251 42322	   	184.29	ACR|3DMG|2VULN|2ZMB|1FLTHEA	19VULN|25ZMB|3RCR|45aDMG|5BPWR|6LHND|7CGEN|8FLTHEA
82	16251 53231	   	184.29	ACR|3VULN|2DMG|2ZMB|1CDMG	179VULN|25ZMB|3RCR|45DMG|5BPWR|6RMIN|8CDMG|aFEWX
83	16251 53232	   	184.29	ACR|3VULN|2DMG|2ZMB|1CDMG	179VULN|25ZMB|3RCR|45DMG|5BPWR|6RMIN|8CDMG|aBEXP
84	16251 53233	   	184.29	ACR|3VULN|2DMG|2ZMB|1CDMG	179VULN|25ZMB|3RCR|45DMG|5BPWR|6RMIN|8CDMG|aLHND
85	33254 32136	   	184.19	ACR|2DMG|1AART|1VULN|2ZMB|1CDMG|1ASPD	19BEXP|2ASPD|3RCR|49DMG|5AART|6LSRREG|7CDMG|89ZMB|9BPWR|aVULN
86	16251 12331	   	184.19	ACR|3DMG|2VULN|2ZMB|1FLTHEA	1aVULN|25ZMB|3RCR|459DMG|5BPWR|6MBVNT|7CGEN|8FLTHEA
87	16251 12322	   	184.19	ACR|3DMG|2VULN|2ZMB|1FLTHEA	19VULN|25ZMB|3RCR|45aDMG|5BPWR|6MBVNT|7CGEN|8FLTHEA
88	16253 16414	   	184.17	ACR|3VULN|2DMG|3ZMB	158VULN|278ZMB|3RCR|48DMG|6MBVNT|8BPWR|9LWND|aLHND
89	16253 16431	   	184.17	ACR|3VULN|2DMG|3ZMB	158VULN|278ZMB|3RCR|48DMG|6MBVNT|8BPWR|9LIT|aLWND
90	16253 16432	   	184.17	ACR|3VULN|2DMG|3ZMB	158VULN|278ZMB|3RCR|48DMG|6MBVNT|8BPWR|9LIT|aLHND
91	16253 16433	   	184.17	ACR|3VULN|2DMG|3ZMB	158VULN|278ZMB|3RCR|48DMG|6MBVNT|8BPWR|9LIT|aFEWX
92	16253 16411	   	184.07	ACR|3VULN|2DMG|3ZMB	158VULN|278ZMB|3RCR|48DMG|6MBVNT|8BPWR|9LWND|aNUKE
93	16253 16413	   	184.07	ACR|3VULN|2DMG|3ZMB	158VULN|278ZMB|3RCR|48DMG|6MBVNT|8BPWR|9LWND|aDUST
94	16253 16422	   	183.97	ACR|3VULN|2DMG|3ZMB	158VULN|278ZMB|3RCR|48DMG|6MBVNT|8BPWR|9ERES|aAIRHEL
95	16253 16424	   	183.97	ACR|3VULN|2DMG|3ZMB	158VULN|278ZMB|3RCR|48DMG|6MBVNT|8BPWR|9aERES
96	11451 52321	 * 	183.87	DCR|3VULN|2DMG|2ZMB|1FLTHEA	159VULN|2BEXP|3aZMB|45DMG|5BPWR|6RCR|7CGEN|8FLTHEA
97	16351 52321	   	183.87	DCR|3VULN|2DMG|2ZMB|1FLTHEA	159VULN|2aZMB|3BEXP|45DMG|5BPWR|6RCR|7CGEN|8FLTHEA
98	33222 55532	 * 	183.84	ACR|4VULN|1AART|2ASPD|1CDMG	1BEXP|25ASPD|3RCR|459aVULN|5BPWR|6CDMG|7FEWX|8AART
99	16251 31422	   	183.79	ACR|3DMG|1AART|1VULN|2ZMB|1DUR	1VULN|25ZMB|3RCR|458DMG|5BPWR|6LIT|7DUR|9AART|aRMIN
100	16251 31423	   	183.79	ACR|3DMG|1AART|1VULN|2ZMB|1DUR	1VULN|25ZMB|3RCR|458DMG|5BPWR|6LIT|7DUR|9AART|aFEWX
101	33222 53632	   	183.74	ACR|4VULN|1AART|2ASPD|1CDMG	1BEXP|25ASPD|3RCR|459aVULN|5BPWR|6CDMG|7MBVNT|8AART
102	16253 31132	 * 	183.69	ACR|3VULN|1AART|1DMG|2ZMB|1DUR	158VULN|2aZMB|3RCR|4DMG|6LIT|7DUR|9AART
103	33222 66333	 * 	183.64	ACR|4VULN|2DMG|2ASPD	1aBEXP|25ASPD|3RCR|457aVULN|5aBPWR|6LSRICY|8MLV|9aDMG
104	33222 62133	   	183.54	ACR|4VULN|2DMG|2ASPD	1aBEXP|25ASPD|3RCR|458aVULN|5aBPWR|6LSRICY|7ERES|9aDMG
105	33222 64133	   	183.54	ACR|4VULN|2DMG|2ASPD	1aBEXP|25ASPD|3RCR|458aVULN|5aBPWR|6LSRICY|7TLV|9aDMG
106	33222 66633	   	183.54	ACR|4VULN|2DMG|2ASPD	1aBEXP|25ASPD|3RCR|457aVULN|5aBPWR|6LSRICY|8ERES|9aDMG
107	33222 66421	   	183.44	ACR|4VULN|2DMG|2ASPD	1BEXP|25ASPD|3RCR|4579VULN|5BPWR|6LSRICY|8aDMG
108	22343 51412	 * 	183.41	DCR|2VULN|1AART|2FLTHEA|1CDMG|2DUR|1ZMB	1aFLTHEA|2LWND|3aDUR|4AART|5RMIN|6CDMG|7RCR|8ZMB|9aVULN|aBPWR
109	33251 13226	 * 	183.32	ACR|2VULN|2DMG|2AART|1ASPD	1BEXP|2ASPD|3RCR|46DMG|5AIRHEL|78AART|9aVULN
110	33222 52611	 * 	182.98	ACR|3VULN|2DMG|2ASPD|1CDMG	1BEXP|25ASPD|3RCR|459VULN|5BPWR|6CDMG|78DMG|aLWND
111	33222 52612	   	182.98	ACR|3VULN|2DMG|2ASPD|1CDMG	1aBEXP|25ASPD|3RCR|459VULN|5BPWR|6CDMG|78DMG
112	33222 52614	   	182.98	ACR|3VULN|2DMG|2ASPD|1CDMG	1BEXP|25ASPD|3RCR|459VULN|5BPWR|6CDMG|78DMG|aRPLT
113	33222 52616	   	182.98	ACR|3VULN|2DMG|2ASPD|1CDMG	1BEXP|25ASPD|3RCR|459VULN|5BPWR|6CDMG|78DMG|aLHND
114	33222 52613	   	182.88	ACR|3VULN|2DMG|2ASPD|1CDMG	1BEXP|25ASPD|3RCR|459VULN|5BPWR|6CDMG|78DMG|aERES
115	16221 52321	   	182.85	ACR|2VULN|2AART|1DMG|1CDMG|1ZMB	14VULN|2ZMB|3RCR|5DUST|6CDMG|7DMG|89AART|aCGEN
116	16221 52322	   	182.85	ACR|2VULN|2AART|1DMG|1CDMG|1ZMB	14VULN|2ZMB|3RCR|5DUST|6CDMG|7DMG|89AART|aBEXP
117	16221 52323	   	182.85	ACR|2VULN|2AART|1DMG|1CDMG|1ZMB	14VULN|2ZMB|3RCR|5DUST|6CDMG|7DMG|89AART|aFEWX
118	16221 52324	   	182.85	ACR|2VULN|2AART|1DMG|1CDMG|1ZMB	14VULN|2ZMB|3RCR|5DUST|6CDMG|7DMG|89AART|aLHND
119	16221 52325	   	182.75	ACR|2VULN|2AART|1DMG|1CDMG|1ZMB	14VULN|2ZMB|3RCR|5DUST|6CDMG|7DMG|89AART|aBASHEA
120	16221 52326	   	182.75	ACR|2VULN|2AART|1DMG|1CDMG|1ZMB	14VULN|2ZMB|3RCR|5DUST|6CDMG|7DMG|89AART|aAIRHEA
121	16225 52332	   	182.75	ACR|2VULN|2AART|1DMG|1CDMG|1ZMB	14VULN|2ZMB|3RCR|5LEGI|6CDMG|7DMG|8aAART|9AIRHEA
122	33254 21334	 * 	182.36	ACR|2DMG|1AART|1VULN|3ASPD|1CDMG	167BEXP|27aASPD|3RCR|47DMG|5AART|7BPWR|8CDMG|9VULN
123	16241 52312	   	182.29	ACR|2VULN|1AART|1DMG|2ZMB|1CDMG|1ASPD	1aVULN|25ZMB|3RCR|4FEWX|6CDMG|7DMG|8AART|9ASPD
124	16261 52312	   	182.29	ACR|2VULN|1AART|1DMG|2ZMB|1CDMG|1ASPD	1aVULN|25ZMB|3RCR|4LHND|6CDMG|7DMG|8AART|9ASPD
125	16251 22325	 * 	182.29	ACR|2VULN|2DMG|2ZMB|1CDMG|1FLTHEA	19VULN|25ZMB|3RCR|45DMG|5BPWR|6BEXP|7CGEN|8FLTHEA|aCDMG
126	16221 34512	   	182.27	ACR|2VULN|2DMG|1AART|1ZMB|1ASPD	14VULN|2ZMB|3RCR|5DUST|6BEXP|79DMG|8AART|aASPD
127	16253 14612	   	182.27	ACR|2VULN|2DMG|1AART|1ZMB|1ASPD	15VULN|2ZMB|3RCR|49DMG|6MBVNT|7BEXP|8AART|aASPD
128	16222 16431	   	182.24	ACR|3VULN|3DMG|1ZMB	147VULN|2ZMB|3RCR|5MGNLIT|6DUST|89aDMG
129	16251 12326	   	182.19	ACR|2VULN|2DMG|2ZMB|1CDMG|1FLTHEA	19VULN|25ZMB|3RCR|45DMG|5BPWR|6MBVNT|7CGEN|8FLTHEA|aCDMG
130	16253 11612	   	182.17	ACR|2VULN|2DMG|1AART|1ZMB|1ASPD	15VULN|2ZMB|3RCR|49DMG|6MBVNT|7DUST|8AART|aASPD
131	16251 16212	   	182.17	ACR|2DMG|3ZMB|1AART|1VULN|1ASPD	1VULN|257ZMB|3RCR|45DMG|5BPWR|6MBVNT|8AART|9DMSP|aASPD
132	16251 16232	   	182.17	ACR|2DMG|3ZMB|1AART|1VULN|1DUR	1VULN|257ZMB|3RCR|45DMG|5BPWR|6MBVNT|8AART|9DUR|aFEWX
133	16251 16234	   	182.17	ACR|2DMG|3ZMB|1AART|1VULN|1DUR	1VULN|257ZMB|3RCR|45DMG|5BPWR|6MBVNT|8AART|9DUR|aBEXP
134	16251 22321	 * 	182.17	ACR|2VULN|2DMG|3ZMB|1FLTHEA	19VULN|25aZMB|3RCR|45DMG|5BPWR|6BEXP|7CGEN|8FLTHEA
135	16251 42321	   	182.17	ACR|2VULN|2DMG|3ZMB|1FLTHEA	19VULN|25aZMB|3RCR|45DMG|5BPWR|6LHND|7CGEN|8FLTHEA
136	16251 53111	   	182.17	ACR|2VULN|2DMG|3ZMB|1CDMG	17VULN|258ZMB|3RCR|45DMG|5BPWR|6RMIN|9LHND|aCDMG
137	16251 53121	   	182.17	ACR|2VULN|2DMG|3ZMB|1CDMG	17VULN|258ZMB|3RCR|45DMG|5BPWR|6RMIN|9FEWX|aCDMG
138	16251 16233	   	182.07	ACR|2DMG|3ZMB|1AART|1VULN|1DUR	1VULN|257ZMB|3RCR|45DMG|5BPWR|6MBVNT|8AART|9DUR|aERES
139	16251 12321	   	182.07	ACR|2VULN|2DMG|3ZMB|1FLTHEA	19VULN|25aZMB|3RCR|45DMG|5BPWR|6MBVNT|7CGEN|8FLTHEA
140	52621 13263	   	181.92	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	138ERES|2CDMG|4RCR|58VULN|6RMIN|78DMG|8BPWR|9AART|aDUR
141	16251 13533	   	181.69	ACR|2DMG|1AART|1VULN|2ZMB|1CDMG|1ASPD	1VULN|25ZMB|3RCR|45DMG|5BPWR|6MBVNT|7LHND|8CDMG|9AART|aASPD
142	16253 31431	   	181.67	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	15VULN|2ZMB|3RCR|48DMG|6LIT|7DUR|9AART|aDUST
143	16253 31433	   	181.67	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	15VULN|2ZMB|3RCR|48DMG|6LIT|7DUR|9AART|aERES
144	16255 31132	   	181.57	ACR|2VULN|3ZMB|1AART|1DMG|1DUR	18VULN|25aZMB|3RCR|4DMG|6LIT|7DUR|9AART
145	33222 53638	 * 	181.08	ACR|3VULN|2AART|2ASPD|1CDMG	1BEXP|25ASPD|3RCR|459VULN|5BPWR|6CDMG|7MBVNT|8aAART
146	33222 42335	 * 	180.98	ACR|2VULN|2DMG|2ASPD|1CDMG|1FLTHEA	1BEXP|25ASPD|3RCR|45VULN|5BPWR|69DMG|7CGEN|8FLTHEA|aCDMG
147	11451 52222	   	180.86	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	15VULN|29BEXP|3ZMB|45DMG|5BPWR|6RCR|7CGEN|8DUR|aAART
148	16351 52222	   	180.86	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	15VULN|2ZMB|39BEXP|45DMG|5BPWR|6RCR|7CGEN|8DUR|aAART
149	16233 36623	 * 	180.80	ACR|4VULN|1DMG|2ZMB|2ASPD	158aVULN|28ZMB|3RCR|4CGEN|6LIT|78ASPD|8BPWR|9DMG
150	16222 16421	   	180.69	ACR|4VULN|2DMG|1ZMB	1479VULN|2ZMB|3RCR|5MGNLIT|6DUST|8aDMG
151	16233 23514	   	180.44	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	15aVULN|2ZMB|3RCR|4CGEN|6BEXP|7DUR|8AART|9DMG
152	16251 22332	 * 	180.35	ACR|3DMG|1VULN|2ZMB|1CDMG|1FLTHEA	1VULN|25ZMB|3RCR|459DMG|5BPWR|6BEXP|7CGEN|8FLTHEA|aCDMG
153	16251 42332	   	180.35	ACR|3DMG|1VULN|2ZMB|1CDMG|1FLTHEA	1VULN|25ZMB|3RCR|459DMG|5BPWR|6LHND|7CGEN|8FLTHEA|aCDMG
154	16221 34532	   	180.34	ACR|3VULN|1AART|1DMG|1ZMB|1ASPD	149VULN|2ZMB|3RCR|5DUST|6BEXP|7DMG|8AART|aASPD
155	16253 14632	   	180.34	ACR|3VULN|1AART|1DMG|1ZMB|1ASPD	159VULN|2ZMB|3RCR|4DMG|6MBVNT|7BEXP|8AART|aASPD
156	16233 14615	   	180.34	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	15aVULN|2ZMB|3RCR|4CGEN|6MBVNT|7DUR|8AART|9DMG
157	16233 14684	   	180.34	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	159VULN|2ZMB|3RCR|4CGEN|6MBVNT|7DUR|8AART|aDMG
158	33221 25514	   	180.34	ACR|3VULN|1AART|1DMG|1ZMB|1ASPD	1BEXP|2ASPD|3RCR|47aVULN|5ZMB|6DUST|8AART|9DMG
