0	Index      	 *	Score 	Summary	Detail	
1	35321 16612	 * 	183.31	DCR|3VULN|3DMG|2ZMB|1DUR	1RMIN|248DMG|3FEWX|58ZMB|678VULN|8BPWR|9DUR|aRCR
36	31346 26221	 * 	178.39	ACR|3DMG|2VULN|1AART	1RMIN|2aCGEN|3AART|4aVULN|5RCR|6DUST|7FEWX|89aDMG|aBPWR
37	11412 15153	   	178.22	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1LWND|2LHND|3AART|479VULN|5DUR|6ZMB|8RCR|aDMG
38	53321 46121	   	177.97	DCR|3DMG|2VULN|1AART	1aMLV|29aDMG|3AART|4LHND|5DUST|6RMIN|7aVULN|8RCR|aBPWR
39	31351 44221	 * 	177.41	DCR|3DMG|1AART|1VULN|2DUR	1RMIN|2aCGEN|3AART|4aDUR|5DUST|6RCR|7VULN|89aDMG|aBPWR
40	24323 11632	   	177.29	DCR|3DMG|1AART|1VULN|1CDMG|1SELL	1LHND|249DMG|3CGEN|5AART|6RCR|7VULN|8SELL|aCDMG
41	53232 22426	   	177.26	DCR|3DMG|2VULN|2ZMB|1ASPD	1MLV|25aDMG|3LIT|4LWND|6RCR|7aVULN|8ASPD|9aZMB|aBPWR
42	24223 11132	   	177.16	DCR|2AART|2VULN|2DMG	1LHND|24DMG|3TLV|59AART|6RCR|7aVULN|8LWND
43	24223 14226	   	177.16	DCR|2AART|2VULN|2DMG	1LHND|24DMG|3TLV|57AART|6RCR|8CGEN|9aVULN
44	24323 14326	   	177.16	DCR|2AART|2VULN|2DMG	1LHND|24DMG|3CGEN|57AART|6RCR|8ERES|9aVULN
45	13325 16225	   	176.67	DCR|3DMG|1AART|1VULN|1CDMG|1ASPD	1LWND|2ASPD|3CGEN|459DMG|6VULN|7CDMG|8RCR|aAART
46	13225 16225	   	176.57	DCR|3DMG|1AART|1VULN|1CDMG|1ASPD	1LWND|2ASPD|3TLV|459DMG|6VULN|7CDMG|8RCR|aAART
47	32115 25121	   	176.45	DCR|2VULN|2DMG|1AART|2DUR	1RMIN|2aDUR|3RCVC|4AART|5aVULN|6CGEN|7RCR|8LWND|9aDMG|aBPWR
48	32115 25621	   	176.45	DCR|2VULN|2DMG|1AART|2DUR	1RMIN|2aDUR|3RCVC|4AART|5aVULN|6CGEN|7RCR|8BEXP|9aDMG|aBPWR
49	32115 25321	   	176.35	DCR|2VULN|2DMG|1AART|2DUR	1RMIN|2aDUR|3RCVC|4AART|5aVULN|6CGEN|7RCR|8DUST|9aDMG|aBPWR
50	35321 16632	   	176.27	DCR|3VULN|3DMG|2ZMB	1RMIN|248DMG|3FEWX|58ZMB|678VULN|8BPWR|9LEGI|aRCR
51	53312 14333	   	176.18	DCR|3DMG|1AART|1VULN|1ZMB	148MLV|248DMG|3AART|48BPWR|58DUST|6RCR|7DMSP|9VULN|aZMB
52	31341 35121	   	176.16	DCR|2AART|2VULN|2DMG	1RMIN|2aCGEN|36AART|4aVULN|5DUST|7RCR|8LWND|9aDMG|aBPWR
53	53653 21211	 * 	175.09	DCR|5VULN|2DMG	1MLV|26DMG|3468aVULN|5DMSP|6BPWR|7LHND|9RCR
54	53653 22111	   	175.09	DCR|5VULN|2DMG	1MLV|26DMG|3467aVULN|5DMSP|6BPWR|8LWND|9RCR
55	31356 14121	 * 	175.07	ACR|2VULN|2DMG|1AART|2DUR	1RMIN|2aCGEN|3AART|4aDUR|5RCR|6BEXP|78VULN|9aDMG|aBPWR
56	31356 34121	   	175.07	ACR|2VULN|2DMG|1AART|2DUR	1RMIN|2aCGEN|3AART|4aDUR|5RCR|6LWND|78VULN|9aDMG|aBPWR
57	53653 22211	   	174.99	DCR|5VULN|2DMG	1MLV|26DMG|3467aVULN|5DMSP|6BPWR|8DUST|9RCR
58	33226 42213	 * 	174.98	ACR|2VULN|1AART|1DMG|1CDMG|1FLTHEA|1ASPD	1RMIN|2CDMG|3SNIHEL|4DMG|5RCR|68VULN|7ASPD|9FLTHEA|aAART
59	31356 24121	   	174.97	ACR|2VULN|2DMG|1AART|2DUR	1RMIN|2aCGEN|3AART|4aDUR|5RCR|6DUST|78VULN|9aDMG|aBPWR
60	14321 21542	   	174.92	DCR|2VULN|2DMG|1AART|1ZMB	1LWND|24DMG|3CGEN|5ZMB|6RCR|7NUKE|8AART|9aVULN
61	14321 22542	   	174.92	DCR|2VULN|2DMG|1AART|1ZMB	1LWND|24DMG|3CGEN|5ZMB|6RCR|7ERES|8AART|9aVULN
62	24321 21542	   	174.92	DCR|2VULN|2DMG|1AART|1ZMB	1LHND|24DMG|3CGEN|5ZMB|6RCR|7NUKE|8AART|9aVULN
63	24321 22542	   	174.92	DCR|2VULN|2DMG|1AART|1ZMB	1LHND|24DMG|3CGEN|5ZMB|6RCR|7ERES|8AART|9aVULN
64	24323 11123	   	174.88	DCR|3DMG|1AART|1VULN|1ZMB	1LHND|249DMG|3CGEN|5AART|6RCR|7VULN|8LWND|aZMB
65	24323 11323	   	174.88	DCR|3DMG|1AART|1VULN|1ZMB	1LHND|249DMG|3CGEN|5AART|6RCR|7VULN|8BEXP|aZMB
66	14221 21542	   	174.82	DCR|2VULN|2DMG|1AART|1ZMB	1LWND|24DMG|3TLV|5ZMB|6RCR|7NUKE|8AART|9aVULN
67	14221 22542	   	174.82	DCR|2VULN|2DMG|1AART|1ZMB	1LWND|24DMG|3TLV|5ZMB|6RCR|7ERES|8AART|9aVULN
68	24221 21542	   	174.82	DCR|2VULN|2DMG|1AART|1ZMB	1LHND|24DMG|3TLV|5ZMB|6RCR|7NUKE|8AART|9aVULN
69	24221 22542	   	174.82	DCR|2VULN|2DMG|1AART|1ZMB	1LHND|24DMG|3TLV|5ZMB|6RCR|7ERES|8AART|9aVULN
70	24323 11633	   	174.64	DCR|3DMG|1AART|1VULN|1ZMB|1SELL	1LHND|249DMG|3CGEN|5AART|6RCR|7VULN|8SELL|aZMB
71	35225 21353	 * 	174.43	DCR|3VULN|1AART|1DMG|1CDMG	1RMIN|2DMG|3CDMG|4LIT|5TLV|6AART|7RCR|89aVULN
72	31366 31236	 * 	174.18	ACR|2AART|2VULN|2DMG	1RMIN|2aCGEN|36AART|4DUST|5RCR|7aVULN|8aDMG|9BELT|aBPWR
73	31366 31251	   	174.08	ACR|2AART|2VULN|2DMG	1RMIN|2aCGEN|36AART|4DUST|5RCR|7aVULN|8aDMG|9MBVNT|aBPWR
74	31341 43521	   	174.05	DCR|2VULN|2DMG|1AART|1DUR	1RMIN|2aCGEN|3AART|4aVULN|5DUST|6RCR|7RCVC|8DUR|9aDMG|aBPWR
75	33226 43141	 * 	173.78	ACR|5VULN|1DMG|1CDMG	1RMIN|2CDMG|3SNIHEL|4DMG|5RCR|6789aVULN
76	43325 13242	 * 	173.52	DCR|4VULN|2DMG|2ASPD	17BEXP|27ASPD|3CGEN|45DMG|6789VULN|7BPWR|aRCR
77	43225 13242	   	173.42	DCR|4VULN|2DMG|2ASPD	17BEXP|27ASPD|3TLV|45DMG|6789VULN|7BPWR|aRCR
78	53111 23232	   	173.18	DCR|3DMG|1AART|1VULN|1ZMB	13MLV|239DMG|3BPWR|4BEXP|5ZMB|6RCR|7LWND|8AART|aVULN
79	53141 24232	   	173.18	DCR|3DMG|1AART|1VULN|1ZMB	13MLV|239DMG|3BPWR|4LWND|5ZMB|6RCR|7FEWX|8AART|aVULN
80	53151 23232	   	173.18	DCR|3DMG|1AART|1VULN|1ZMB	13MLV|239DMG|3BPWR|4FEWX|5ZMB|6RCR|7LWND|8AART|aVULN
81	53241 52313	 * 	173.15	ACR|3VULN|1AART|1DMG|1CDMG	16MLV|2DMG|3LIT|4RCR|57aVULN|8CDMG|9AART
82	33226 16227	 * 	173.13	ACR|2VULN|2DMG|2CDMG|1ZMB|1DUR	1RMIN|2aCDMG|3SNIHEL|4aDMG|5RCR|6ZMB|7DUR|8aVULN|9MBVNT|aBPWR
83	14321 24232	   	173.08	DCR|3DMG|1AART|1VULN|1ZMB	1LWND|249DMG|3CGEN|5ZMB|6RCR|7FEWX|8AART|aVULN
84	35321 23232	   	173.08	DCR|3DMG|1AART|1VULN|1ZMB	1RMIN|249DMG|3FEWX|5ZMB|6RCR|7LWND|8AART|aVULN
85	44321 23232	   	173.08	DCR|3DMG|1AART|1VULN|1ZMB	1BEXP|249DMG|3CGEN|5ZMB|6RCR|7LWND|8AART|aVULN
86	31356 24221	 * 	173.03	ACR|3DMG|1AART|1VULN|2DUR	1RMIN|2aCGEN|3AART|4aDUR|5RCR|6DUST|7VULN|89aDMG|aBPWR
87	14221 24232	   	172.98	DCR|3DMG|1AART|1VULN|1ZMB	1LWND|249DMG|3TLV|5ZMB|6RCR|7FEWX|8AART|aVULN
88	35521 23232	   	172.98	DCR|3DMG|1AART|1VULN|1ZMB	1RMIN|249DMG|3LEGI|5ZMB|6RCR|7LWND|8AART|aVULN
89	44221 23232	   	172.98	DCR|3DMG|1AART|1VULN|1ZMB	1BEXP|249DMG|3TLV|5ZMB|6RCR|7LWND|8AART|aVULN
90	24323 13536	   	172.75	DCR|2VULN|2DMG|1AART|1ASPD	1LHND|24DMG|3CGEN|5AART|6RCR|7LIT|89VULN|aASPD
91	33226 36163	 * 	172.58	ACR|2VULN|2DMG|1AART|1CDMG	1RMIN|2CDMG|3SNIHEL|47DMG|5RCR|6LHND|8aVULN|9AART
92	23363 24312	   	172.53	DCR|2VULN|2DMG|1CDMG|2DUR|1ASPD	1LHND|2LIT|3aDMG|4aVULN|5ERES|6RCR|7aDUR|8CDMG|9ASPD|aBPWR
93	11411 44312	 * 	172.15	DCR|5VULN|1AART	18LWND|28LHND|3AART|4578aVULN|6RCR|8BPWR|9BEXP
94	11411 41232	   	172.02	DCR|3VULN|1AART|1DMG|1ASPD	1LWND|28LHND|3AART|45aVULN|6RCR|7ASPD|9DMG
95	11411 44231	   	172.02	DCR|3VULN|1AART|1DMG|1DUR	1LWND|2LHND|3AART|457VULN|6RCR|8CGEN|9DMG|aDUR
96	53312 11635	   	171.77	DCR|3DMG|1AART|1VULN|1DUR|1SELL	14MLV|249DMG|3AART|4BPWR|5DUST|6RCR|7VULN|8SELL|aDUR
97	24323 31325	   	171.77	DCR|3VULN|2DMG|1AART	1LHND|24DMG|3CGEN|5AART|679VULN|8ERES|aRCR
98	24323 32325	   	171.77	DCR|3VULN|2DMG|1AART	1LHND|24DMG|3CGEN|5AART|689VULN|7ERES|aRCR
99	24223 31225	   	171.77	DCR|3VULN|2DMG|1AART	1LHND|24DMG|3TLV|5AART|679VULN|8CGEN|aRCR
100	31341 25521	   	171.55	DCR|2VULN|2DMG|1AART|1DUR	1RMIN|2aCGEN|3AART|4aVULN|56DUST|7RCR|8DUR|9aDMG|aBPWR
101	35321 23246	   	171.08	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1RMIN|24DMG|3FEWX|5ZMB|6RCR|7LWND|8AART|9CDMG|aVULN
102	24521 33224	 * 	171.05	DCR|3VULN|2DMG|1CDMG|1DUR	1LHND|29DMG|3CDMG|4DUR|5DMSP|67aVULN|8RCR
103	14321 21543	   	170.98	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1LWND|24DMG|3CGEN|5ZMB|6RCR|7NUKE|8AART|9VULN|aCDMG
104	24321 21543	   	170.98	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1LHND|24DMG|3CGEN|5ZMB|6RCR|7NUKE|8AART|9VULN|aCDMG
105	14221 21543	   	170.88	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1LWND|24DMG|3TLV|5ZMB|6RCR|7NUKE|8AART|9VULN|aCDMG
106	24221 21543	   	170.88	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1LHND|24DMG|3TLV|5ZMB|6RCR|7NUKE|8AART|9VULN|aCDMG
107	23462 12332	 * 	170.87	ACR|2VULN|2DMG|2ZMB|1CDMG|1DUR	1LHND|2LIT|3aZMB|4aVULN|5RCR|6DUR|7aDMG|8CGEN|9CDMG|aBPWR
108	23462 12132	   	170.77	ACR|2VULN|2DMG|2ZMB|1CDMG|1DUR	1LHND|2LIT|3aZMB|4aVULN|5RCR|6DUR|7aDMG|8ERES|9CDMG|aBPWR
109	53621 11242	   	170.77	DCR|4VULN|2DMG|1ZMB	1MLV|24DMG|3689VULN|5ZMB|7BEXP|aRCR
110	23462 12611	 * 	170.76	ACR|2VULN|2DMG|3ZMB|1DUR	18LHND|2LIT|389ZMB|4aVULN|5RCR|6DUR|78DMG|8BPWR
111	33226 33163	   	170.65	ACR|3VULN|1AART|1DMG|1CDMG	1RMIN|2CDMG|3SNIHEL|4DMG|5RCR|6LHND|78aVULN|9AART
112	53111 24212	   	170.58	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	13MLV|23DMG|3BPWR|4BEXP|5ZMB|6RCR|7BELT|8CDMG|9AART|aVULN
113	53151 24212	   	170.58	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	13MLV|23DMG|3BPWR|4FEWX|5ZMB|6RCR|7BELT|8CDMG|9AART|aVULN
114	24323 11636	   	170.57	DCR|3DMG|1AART|1VULN|1ASPD|1SELL	1LHND|249DMG|3CGEN|5AART|6RCR|7VULN|8SELL|aASPD
115	11411 46132	 * 	170.57	DCR|4VULN|2AART	1LWND|2LHND|39AART|458aVULN|6RCR|7BEXP
116	33226 43423	   	170.55	ACR|3VULN|1AART|1DMG|1CDMG	1RMIN|2CDMG|3SNIHEL|4DMG|5RCR|67aVULN|8MBVNT|9AART
117	44321 24212	   	170.48	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1BEXP|24DMG|3CGEN|5ZMB|6RCR|7BELT|8CDMG|9AART|aVULN
118	24223 11635	   	170.47	DCR|3DMG|1AART|1VULN|1DUR|1SELL	1LHND|249DMG|3TLV|5AART|6RCR|7VULN|8SELL|aDUR
119	44221 24212	   	170.38	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1BEXP|24DMG|3TLV|5ZMB|6RCR|7BELT|8CDMG|9AART|aVULN
120	35223 21133	 * 	170.32	DCR|2VULN|2AART|1DMG|1CDMG	1RMIN|2DMG|3CDMG|4LIT|5MLV|68AART|7RCR|9aVULN
121	35225 21133	   	170.22	DCR|2VULN|2AART|1DMG|1CDMG	1RMIN|2DMG|3CDMG|4LIT|5TLV|68AART|7RCR|9aVULN
122	35225 21343	   	170.22	DCR|2VULN|2AART|1DMG|1CDMG	1RMIN|2DMG|3CDMG|4LIT|5TLV|69AART|7RCR|8aVULN
123	35321 21536	   	170.12	DCR|3DMG|2VULN|2ZMB	1RMIN|24aDMG|3FEWX|5aZMB|6RCR|7NUKE|8LEGI|9aVULN|aBPWR
124	53314 11162	   	170.11	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	14MLV|24DMG|3AART|4BPWR|5FEWX|6RCR|7VULN|8LWND|9CDMG|aDUR
125	11411 41233	   	170.01	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1LWND|28LHND|3AART|45VULN|6RCR|7ASPD|9DMG|aCDMG
126	11411 41332	   	170.01	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1LWND|2LHND|3AART|45VULN|6RCR|7ASPD|8BELT|9CDMG|aDMG
127	53312 11442	   	170.01	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	14MLV|24DMG|3AART|4BPWR|5DUST|6RCR|7VULN|8RMIN|9CDMG|aASPD
128	53314 11242	   	170.01	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	14MLV|24DMG|3AART|4BPWR|5FEWX|6RCR|7VULN|8NUKE|9CDMG|aASPD
129	53312 11242	   	169.91	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	14MLV|24DMG|3AART|4BPWR|5DUST|6RCR|7VULN|8NUKE|9CDMG|aASPD
130	35321 24222	   	169.88	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1RMIN|24DMG|3FEWX|5ZMB|6RCR|7BELT|8CDMG|9VULN|aAART
131	31326 64121	   	169.77	ACR|2VULN|2DMG|1AART|1DUR	1RMIN|2aCGEN|3AART|4aLHND|5RCR|6DUR|78VULN|9aDMG|aBPWR
132	31346 13521	   	169.77	ACR|2VULN|2DMG|1AART|1DUR	1RMIN|2aCGEN|3AART|4aVULN|5RCR|6BEXP|7RCVC|8DUR|9aDMG|aBPWR
133	35621 16222	   	169.76	DCR|3DMG|1VULN|1CDMG|2DUR|1ZMB	1RMIN|249DMG|3aDUR|5ZMB|6VULN|7CDMG|8RCR
134	53123 16225	   	169.73	DCR|3DMG|1AART|1VULN|1CDMG	13MLV|239DMG|3BPWR|4ERES|5LHND|6VULN|7CDMG|8RCR|aAART
135	31346 23521	   	169.67	ACR|2VULN|2DMG|1AART|1DUR	1RMIN|2aCGEN|3AART|4aVULN|5RCR|6DUST|7RCVC|8DUR|9aDMG|aBPWR
136	13325 23541	   	169.65	DCR|2VULN|2DMG|1AART|1ASPD	1LWND|2ASPD|3CGEN|45DMG|6RCR|7AIRHEL|89VULN|aAART
137	53622 31225	   	169.63	DCR|3DMG|1AART|1VULN|1CDMG	1MLV|249DMG|3VULN|5LHND|6CDMG|7ERES|8RCR|aAART
138	53314 11161	 * 	169.49	DCR|2DMG|1AART|1VULN|2CDMG	14MLV|24DMG|3AART|4BPWR|5FEWX|6RCR|7VULN|8LWND|9aCDMG
139	11411 46231	 * 	169.39	DCR|2VULN|1AART|1DMG|2CDMG	1LWND|2LHND|3AART|45VULN|6RCR|7BEXP|8DMG|9aCDMG
140	33226 42215	 * 	169.37	ACR|2VULN|2DMG|1CDMG|1FLTHEA|1ASPD	1RMIN|2CDMG|3SNIHEL|4aDMG|5RCR|68VULN|7ASPD|9FLTHEA
141	14321 26422	   	169.27	DCR|3DMG|1VULN|1CDMG|1ZMB|1DUR	1LWND|249DMG|3CGEN|5ZMB|6RCR|7CDMG|8VULN|aDUR
142	24321 26422	   	169.27	DCR|3DMG|1VULN|1CDMG|1ZMB|1DUR	1LHND|249DMG|3CGEN|5ZMB|6RCR|7CDMG|8VULN|aDUR
143	14221 26422	   	169.17	DCR|3DMG|1VULN|1CDMG|1ZMB|1DUR	1LWND|249DMG|3TLV|5ZMB|6RCR|7CDMG|8VULN|aDUR
144	24221 26422	   	169.17	DCR|3DMG|1VULN|1CDMG|1ZMB|1DUR	1LHND|249DMG|3TLV|5ZMB|6RCR|7CDMG|8VULN|aDUR
145	32325 53232	   	169.02	DCR|3DMG|1AART|1VULN|1DUR	1RMIN|2DUR|3CGEN|459DMG|6RCR|7LWND|8AART|aVULN
146	32225 53232	   	168.92	DCR|3DMG|1AART|1VULN|1DUR	1RMIN|2DUR|3TLV|459DMG|6RCR|7LWND|8AART|aVULN
147	24323 11442	   	168.81	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	1LHND|24DMG|3CGEN|5AART|6RCR|7VULN|8RMIN|9CDMG|aASPD
148	23361 25335	   	168.81	DCR|3VULN|2DMG|1CDMG	1LHND|2LIT|38DMG|47aVULN|5TLV|6RCR|9CDMG
149	24223 11442	   	168.71	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	1LHND|24DMG|3TLV|5AART|6RCR|7VULN|8RMIN|9CDMG|aASPD
150	24323 11242	   	168.71	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	1LHND|24DMG|3CGEN|5AART|6RCR|7VULN|8NUKE|9CDMG|aASPD
151	24223 11242	   	168.61	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	1LHND|24DMG|3TLV|5AART|6RCR|7VULN|8NUKE|9CDMG|aASPD
152	21211 11554	   	168.26	DCR|2VULN|2DMG|1AART|1CDMG	129LHND|3CDMG|4RPLT|5DMSP|69VULN|79DMG|8AART|9BPWR|aRCR
153	21212 11554	   	168.26	DCR|2VULN|2DMG|1AART|1CDMG	1259LHND|3CDMG|4RPLT|69VULN|79DMG|8AART|9BPWR|aRCR
154	22211 11554	   	168.26	DCR|2VULN|2DMG|1AART|1CDMG	19LHND|2RCVC|3CDMG|4RPLT|5DMSP|69VULN|79DMG|8AART|9BPWR|aRCR
155	22212 11554	   	168.26	DCR|2VULN|2DMG|1AART|1CDMG	159LHND|2RCVC|3CDMG|4RPLT|69VULN|79DMG|8AART|9BPWR|aRCR
156	53314 11131	   	167.91	DCR|2AART|2DMG|1VULN|1DUR	14MLV|24DMG|39AART|4BPWR|5FEWX|6RCR|7VULN|8LWND|aDUR
157	53312 11131	   	167.81	DCR|2AART|2DMG|1VULN|1DUR	14MLV|24DMG|39AART|4BPWR|5DUST|6RCR|7VULN|8LWND|aDUR
158	11414 41232	   	167.81	DCR|2AART|2VULN|1DMG|1ASPD	1LWND|28LHND|35AART|4aVULN|6RCR|7ASPD|9DMG
159	53314 14333	 * 	167.77	DCR|3DMG|2AART|1ZMB	148MLV|248DMG|39AART|48BPWR|58FEWX|6RCR|7DMSP|aZMB
160	24551 33222	 * 	167.75	DCR|2VULN|2DMG|3CDMG|1DUR	1LHND|29DMG|34aCDMG|5DUR|67VULN|8RCR
161	44131 51331	 * 	167.68	ACR|4VULN|2DMG	17aBEXP|27DMG|3RCVC|4RCR|5LEGI|679aVULN|7aBPWR|8aCGEN
162	35321 14612	   	167.66	DCR|3DMG|2VULN|2ZMB|1DUR	1RMIN|248DMG|37FEWX|58ZMB|68VULN|8BPWR|9DUR|aRCR
163	32325 51311	   	167.60	DCR|3DMG|2VULN|2DUR	1RMIN|2aDUR|38CGEN|45aDMG|6RCR|7NUKE|9aVULN|aBPWR
164	32325 51511	   	167.60	DCR|3DMG|2VULN|2DUR	1RMIN|2aDUR|3CGEN|45aDMG|6RCR|7NUKE|8DMSP|9aVULN|aBPWR
165	13325 21425	   	167.57	DCR|3DMG|1AART|1VULN|1ASPD|1SELL	1LWND|2ASPD|3CGEN|459DMG|6RCR|7SELL|8VULN|aAART
166	32225 51511	   	167.50	DCR|3DMG|2VULN|2DUR	1RMIN|2aDUR|3TLV|45aDMG|6RCR|7NUKE|8DMSP|9aVULN|aBPWR
