0	Index      	 *	Score 	Summary	Detail	
1	63325 61332	 * 	201.16	DCR|4VULN|2DMG|2ASPD|1ZMB|1DUR	139aVULN|23ASPD|3aBPWR|4aDMG|5DUR|6RCR|7ZMB|8aBEXP
51	31253 41332	   	185.01	ACR|3VULN|2DMG|2ZMB|2DUR|1ASPD	1aDUR|2MBVNT|39aVULN|48DMG|5RCR|6ASPD|7aZMB|aBPWR
52	31254 52842	   	184.95	DCR|3VULN|2DMG|2ASPD|2DUR|1ZMB	1aDUR|2MBVNT|37aVULN|48DMG|5ZMB|6aASPD|9RCR|aBPWR
53	31253 48464	   	184.82	ACR|2VULN|2DMG|1AART|2ASPD|2DUR	18DUR|2MBVNT|3aVULN|48DMG|5RCR|68ASPD|7LEGI|8BPWR|9AART
54	63321 63316	 * 	184.48	DCR|2VULN|2DMG|1AART|3ASPD	13VULN|23aASPD|3BPWR|49DMG|5DUST|6RCR|7AART|8LHND
55	15322 15353	 * 	184.46	DCR|2VULN|2DMG|3ZMB|3CDMG|1SELL	139ZMB|23VULN|39BPWR|49DMG|5RPLT|6SELL|789CDMG|aRCR
56	64263 12121	   	184.42	DCR|4VULN|2DMG|1CDMG|1ZMB	1269VULN|3ZMB|4CDMG|58DMG|7LHND|aRCR
57	31253 41731	   	184.41	ACR|2VULN|2DMG|1AART|1ZMB|1ASPD|1DUR	1DUR|2MBVNT|39VULN|4aDMG|5RCR|6ASPD|7ZMB|8AART
58	63322 34332	   	184.33	DCR|3VULN|1AART|1DMG|2ASPD|1ZMB	13aVULN|23ASPD|3BPWR|4DMG|5ZMB|6LWND|7RCR|8AART|9LIT
59	31253 64464	 * 	184.29	ACR|3VULN|1AART|1DMG|2ZMB|2DUR	18DUR|2MBVNT|38aVULN|4DMG|5RCR|6LWND|78ZMB|8BPWR|9AART
60	15313 61163	 * 	184.05	DCR|2VULN|3ZMB|1AART|3DUR|2ASPD	13aZMB|23VULN|3aBPWR|48aDUR|5aASPD|6RCR|7RPLT|9AART
61	15512 31232	   	183.57	DCR|3VULN|3DMG|2ZMB	1aZMB|29aVULN|3RMIN|4FEWX|5BEXP|68aDMG|7RCR|aBPWR
62	15514 31232	   	183.47	DCR|3VULN|3DMG|2ZMB	1aZMB|29aVULN|3RMIN|4FEWX|5DUST|68aDMG|7RCR|aBPWR
63	63325 61113	   	183.27	DCR|4VULN|1DMG|2ASPD|1ZMB|1DUR	139aVULN|23ASPD|3BPWR|4DMG|5DUR|6RCR|7ZMB|8BASICY
64	63325 63132	   	183.17	DCR|3VULN|1AART|1DMG|2ASPD|1DUR	13aVULN|23ASPD|3BPWR|4DMG|5DUR|6RCR|7AART|8TLV|9LIT
65	63322 34213	   	183.13	DCR|3VULN|1AART|1DMG|2ASPD|1ZMB	139VULN|23ASPD|3BPWR|4DMG|5ZMB|68LWND|7RCR|aAART
66	61523 44464	 * 	182.98	ACR|3VULN|1AART|1DMG|2ASPD|2DUR	18aVULN|2MBVNT|38ASPD|4LWND|5RCR|6DMG|78DUR|8BPWR|9AART
67	31253 51273	   	182.89	ACR|3VULN|3DMG|3DUR	19aDUR|2MBVNT|39aVULN|49aDMG|5RCR|68DMSP|7RMIN|9aBPWR
68	63321 11842	   	182.88	DCR|3VULN|2DMG|3ASPD|2ZMB	13aVULN|23aASPD|3aBPWR|48DMG|5DUST|6MBVNT|7aZMB|9RCR
69	63321 63612	   	182.74	DCR|3VULN|1AART|3ASPD|1DMG	13aVULN|23aASPD|3aBPWR|4DMG|5DUST|6RCR|7AART|89aCGEN
70	61212 31232	 * 	182.72	DCR|4VULN|3DMG	139aVULN|2MBVNT|4FEWX|5aBEXP|68aDMG|7RCR|aBPWR
71	61378 31232	   	182.72	DCR|4VULN|3DMG	159aVULN|2MBVNT|3FEWX|4aBEXP|68aDMG|7RCR|aBPWR
72	63321 63632	   	182.64	DCR|3VULN|1AART|3ASPD|1DMG	13aVULN|23aASPD|3aBPWR|4DMG|59DUST|6RCR|7AART|8aCGEN
73	64233 63311	   	182.56	DCR|2VULN|2DMG|1AART|1ZMB|1ASPD	12VULN|3ZMB|4LWND|5ASPD|6RCR|7AART|8LHND|9aDMG
74	15363 11613	   	182.52	DCR|4VULN|1DMG|2ZMB|1CDMG|1DUR	13ZMB|2369VULN|3BPWR|4CDMG|5DMG|7CGEN|8RCR|aDUR
75	61215 31232	   	182.52	DCR|4VULN|3DMG	139aVULN|2MBVNT|4FEWX|5aDUST|68aDMG|7RCR|aBPWR
76	63321 63162	   	182.44	DCR|3VULN|1AART|3ASPD|1DMG	13aVULN|23aASPD|3aBPWR|4DMG|59DUST|6RCR|7AART|8aTLV
77	34253 11842	   	182.19	DCR|3VULN|2DMG|2ZMB|2DUR|1ASPD	1aDUR|23aVULN|48DMG|5ASPD|6MBVNT|7aZMB|9RCR|aBPWR
78	15313 24512	   	182.18	DCR|3VULN|3ZMB|1AART|1DUR|1ASPD	13aZMB|23aVULN|3aBPWR|4DUR|5ASPD|69aCGEN|7RCR|8AART
79	15512 31632	   	182.02	DCR|4VULN|2DMG|2ZMB	1aZMB|289aVULN|3RMIN|4FEWX|5BEXP|6aDMG|7RCR|aBPWR
80	15232 31632	   	181.92	DCR|4VULN|2DMG|2ZMB	1aZMB|289aVULN|3DUST|4RMIN|5BEXP|6aDMG|7RCR|aBPWR
81	63321 61312	   	181.62	DCR|3VULN|2DMG|2ASPD|1ZMB	13aVULN|23ASPD|3aBPWR|4aDMG|5DUST|6RCR|7ZMB|8aBEXP|9RCVC
82	51214 83532	   	181.17	DCR|3VULN|2DMG|1AART	147DUST|2MBVNT|38aVULN|5AART|6RCR|9aDMG|aBPWR
83	21253 51173	   	180.94	ACR|4VULN|3DMG	19aLWND|2MBVNT|389aVULN|49aDMG|5RCR|6DMSP|7RMIN|9aBPWR
84	21253 52473	   	180.94	ACR|4VULN|3DMG	19aLWND|2MBVNT|379aVULN|49aDMG|5RCR|6DMSP|8RMIN|9aBPWR
85	61471 43812	   	180.87	DCR|2VULN|2DMG|1AART|2ZMB	1aVULN|2MBVNT|39CGEN|4AART|5aZMB|6aDMG|7RCR|8RCVC|aBPWR
86	31253 44178	 * 	180.58	ACR|3VULN|2DMG|3DUR|2ASPD	179DUR|2MBVNT|38aVULN|49DMG|5RCR|69ASPD|9BPWR
87	15351 11511	   	180.36	DCR|3VULN|2DMG|3ZMB	139ZMB|239VULN|39BPWR|4AIRHEA|5FEWX|69DMG|7RPLT|8RCR|aRCVC
88	15352 11511	   	180.36	DCR|3VULN|2DMG|3ZMB	139ZMB|239VULN|39BPWR|4AIRHEA|5BEXP|69DMG|7RPLT|8RCR|aRCVC
89	61232 44816	   	180.12	DCR|4VULN|3DMG	1379VULN|2MBVNT|4LIT|59ERES|69aDMG|8RCR|9BPWR
90	24253 61332	   	180.02	DCR|3VULN|1AART|1DMG|1ZMB|1ASPD	1LWND|23aVULN|4DMG|5ASPD|6RCR|7ZMB|8AART|9LIT
91	62253 61332	   	180.02	DCR|3VULN|1AART|1DMG|1ZMB|1ASPD	13aVULN|2LWND|4DMG|5ASPD|6RCR|7ZMB|8AART|9LIT
92	31385 47123	   	179.96	DCR|2VULN|2DMG|1AART|3DUR	135DUR|2MBVNT|4aDMG|6RCR|7aLSRREG|8AART|9aVULN|aBPWR
93	63321 61352	   	179.92	DCR|3VULN|2DMG|2ASPD|1ZMB	13aVULN|23ASPD|3aBPWR|4aDMG|59DUST|6RCR|7ZMB|8aBEXP
94	63321 51314	   	179.87	DCR|3VULN|2DMG|3ASPD|1DUR	13aVULN|236ASPD|3aBPWR|4aDMG|5DUST|7RCR|8DUR|9aMLV
95	63321 24512	   	179.74	DCR|3VULN|1AART|3ASPD|1DMG	13aVULN|23aASPD|3aBPWR|4DMG|5DUST|69aCGEN|7RCR|8AART
96	63321 24532	   	179.64	DCR|3VULN|1AART|3ASPD|1DMG	13aVULN|23aASPD|3aBPWR|4DMG|59DUST|6aCGEN|7RCR|8AART
97	15313 62523	   	179.57	DCR|4VULN|3ZMB|2DUR|1ASPD	13aZMB|237aVULN|3aBPWR|48DUR|5ASPD|6RCR|9aLHND
98	15333 62353	   	179.57	DCR|4VULN|3ZMB|2DUR|1ASPD	13aZMB|237aVULN|3aBPWR|48LWND|5ASPD|6RCR|9aDUR
99	16612 31533	   	179.56	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1ZMB|2DUR|3CGEN|4FEWX|59VULN|6aDMG|7RCR|8AART
100	34323 31533	   	179.56	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1DUR|29VULN|3FEWX|4CGEN|5ZMB|6aDMG|7RCR|8AART
101	34343 21533	   	179.46	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1DUR|29VULN|3FEWX|4aDMG|5ZMB|6ERES|7RCR|8AART
102	64225 11442	   	179.45	DCR|3VULN|3ZMB|1DMG|2ASPD|1DUR	12aVULN|37aZMB|4DMG|5DUR|6MBVNT|8aASPD|9RCR|aBPWR
103	61523 41344	   	179.39	ACR|3VULN|2DMG|2ZMB|2ASPD	19aVULN|2MBVNT|3aASPD|4LWND|5RCR|68DMG|7aZMB|aBPWR
104	63322 54312	   	179.22	DCR|3VULN|2DMG|2ASPD|1ZMB	13aVULN|23ASPD|3aBPWR|4aDMG|5ZMB|6DUST|7RCR|8aBEXP|9RCVC
105	15322 35161	   	179.20	DCR|2VULN|2DMG|3ZMB|2ASPD|1SELL	139ZMB|23VULN|39BPWR|49DMG|5RPLT|69ASPD|7RCR|8SELL|aDMSP
106	15322 35162	   	179.10	DCR|2VULN|2DMG|3ZMB|2ASPD|1SELL	139ZMB|23VULN|39BPWR|49DMG|5RPLT|69ASPD|7RCR|8SELL|aERES
107	15322 35163	   	179.10	DCR|2VULN|2DMG|3ZMB|2ASPD|1SELL	139ZMB|23VULN|39BPWR|49DMG|5RPLT|69ASPD|7RCR|8SELL|aMBVNT
108	15351 11513	   	179.05	DCR|3VULN|2DMG|3ZMB	139ZMB|239VULN|39BPWR|4AIRHEA|5FEWX|69DMG|7RPLT|8RCR|aDMSP
109	15352 11513	   	179.05	DCR|3VULN|2DMG|3ZMB	139ZMB|239VULN|39BPWR|4AIRHEA|5BEXP|69DMG|7RPLT|8RCR|aDMSP
110	63321 62222	   	178.98	DCR|4VULN|1DMG|2ASPD|1CDMG	1378VULN|23ASPD|3BPWR|4DMG|5DUST|6RCR|9LHND|aCDMG
111	15351 11512	   	178.95	DCR|3VULN|2DMG|3ZMB	139ZMB|239VULN|39BPWR|4AIRHEA|5FEWX|69DMG|7RPLT|8RCR|aDUST
112	15352 11512	   	178.95	DCR|3VULN|2DMG|3ZMB	139ZMB|239VULN|39BPWR|4AIRHEA|5BEXP|69DMG|7RPLT|8RCR|aDUST
113	63321 62242	   	178.88	DCR|4VULN|1DMG|2ASPD|1CDMG	1378VULN|23ASPD|3BPWR|4DMG|5DUST|6RCR|9LEGI|aCDMG
114	24253 61213	   	178.82	DCR|3VULN|1AART|1DMG|1ZMB|1ASPD	18LWND|239VULN|4DMG|5ASPD|6RCR|7ZMB|aAART
115	62253 61213	   	178.82	DCR|3VULN|1AART|1DMG|1ZMB|1ASPD	139VULN|28LWND|4DMG|5ASPD|6RCR|7ZMB|aAART
116	61124 32844	   	178.67	DCR|3VULN|3DMG|2ZMB	17aVULN|2MBVNT|3RMIN|4LWND|5aZMB|68aDMG|9RCR|aBPWR
117	31253 44175	 * 	178.58	ACR|2VULN|2DMG|3DUR|2ASPD|1CDMG	179DUR|2MBVNT|38VULN|49DMG|5RCR|69ASPD|9BPWR|aCDMG
118	61137 32842	   	178.57	DCR|3VULN|3DMG|2ZMB	17aVULN|2MBVNT|3RMIN|4DUST|5aZMB|68aDMG|9RCR|aBPWR
119	34253 63311	   	178.39	DCR|2VULN|2DMG|1AART|1DUR|1ASPD	1DUR|23VULN|49DMG|5ASPD|6RCR|7AART|8LHND|aERES
120	34253 63312	   	178.39	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	1DUR|23VULN|49DMG|5ASPD|6RCR|7AART|8LHND|aDUST
121	34253 63313	   	178.39	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	1DUR|23VULN|49DMG|5ASPD|6RCR|7AART|8LHND|aDLOT
122	61235 44812	   	178.32	DCR|4VULN|2DMG|1CDMG	1379VULN|2MBVNT|4LIT|59MLV|69DMG|8RCR|9BPWR|aCDMG
123	63321 63314	   	178.16	DCR|2VULN|2DMG|1AART|2ASPD	13VULN|23ASPD|3BPWR|49DMG|5DUST|6RCR|7AART|8aLHND
124	63321 63315	   	178.16	DCR|2VULN|2DMG|1AART|2ASPD	13VULN|23ASPD|3BPWR|49DMG|5DUST|6RCR|7AART|8LHND|aFEWX
125	63321 62211	   	178.16	DCR|5VULN|1DMG|2ASPD	13789VULN|23ASPD|3BPWR|4DMG|5DUST|6RCR|aFEWX
126	63321 62215	   	178.16	DCR|5VULN|1DMG|2ASPD	13789VULN|23ASPD|3BPWR|4DMG|5DUST|6RCR|aLWND
127	63321 62216	   	178.16	DCR|5VULN|1DMG|2ASPD	13789VULN|23ASPD|3BPWR|4DMG|5DUST|6RCR|aCGEN
128	61232 44812	   	178.12	DCR|4VULN|2DMG|1CDMG	1379VULN|2MBVNT|4LIT|59ERES|69DMG|8RCR|9BPWR|aCDMG
129	31253 52843	 * 	178.07	ACR|3DMG|2VULN|2ZMB|2DUR	1aDUR|2MBVNT|37VULN|48aDMG|5RCR|6DMSP|9aZMB|aBPWR
130	63321 63151	   	178.06	DCR|2VULN|2DMG|1AART|2ASPD	13VULN|23ASPD|3BPWR|4aDMG|5DUST|6RCR|7AART|8TLV|9LHND
131	63321 63252	   	178.06	DCR|2VULN|2DMG|1AART|2ASPD	13VULN|23ASPD|3BPWR|4aDMG|5DUST|6RCR|7AART|8LIT|9MBVNT
132	63321 63311	   	178.06	DCR|2VULN|2DMG|1AART|2ASPD	13VULN|23ASPD|3BPWR|49DMG|5DUST|6RCR|7AART|8LHND|aERES
133	63321 63313	   	178.06	DCR|2VULN|2DMG|1AART|2ASPD	13VULN|23ASPD|3BPWR|49DMG|5DUST|6RCR|7AART|8LHND|aDLOT
134	63364 73311	   	178.06	DCR|2VULN|2DMG|1AART|2ASPD	13VULN|23ASPD|3BPWR|4MBVNT|5ERES|6RCR|7AART|8LHND|9aDMG
135	63364 73411	   	178.06	DCR|2VULN|2DMG|1AART|2ASPD	13VULN|23ASPD|3BPWR|4MBVNT|5ERES|6RCR|7AART|8FEWX|9aDMG
136	63321 62213	   	178.06	DCR|5VULN|1DMG|2ASPD	13789VULN|23ASPD|3BPWR|4DMG|5DUST|6RCR|aERES
137	63321 62234	   	178.06	DCR|5VULN|1DMG|2ASPD	1378aVULN|23ASPD|3BPWR|4DMG|5DUST|6RCR|9TLV
138	63333 13335	   	177.84	DCR|3VULN|1AART|3ASPD|1DMG	13aVULN|235ASPD|3BPWR|4LWND|6CGEN|7AART|8RCR|9DMG
139	63321 61521	   	177.82	DCR|2VULN|1AART|1DMG|2ASPD|1ZMB|1DUR	13VULN|23ASPD|3BPWR|4DMG|5DUST|6RCR|7ZMB|8AART|9DLOT|aDUR
140	63313 11321	 * 	177.76	DCR|2VULN|2DMG|3ASPD|1CDMG|1DUR	13VULN|235ASPD|3BPWR|4DUR|6CGEN|7RCR|89DMG|aCDMG
141	63325 51221	   	177.76	DCR|2VULN|2DMG|3ASPD|1CDMG|1DUR	13VULN|236ASPD|3BPWR|49DMG|5DUR|7RCR|8CGEN|aCDMG
142	63313 61421	   	177.66	DCR|2VULN|2DMG|3ASPD|1CDMG|1DUR	13VULN|235ASPD|3BPWR|4DUR|6ERES|7RCR|89DMG|aCDMG
143	63325 51121	   	177.66	DCR|2VULN|2DMG|3ASPD|1CDMG|1DUR	13VULN|236ASPD|3BPWR|49DMG|5DUR|7RCR|8ERES|aCDMG
144	34325 61213	   	177.57	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1DUR|26VULN|3FEWX|4CGEN|5RCR|7ZMB|8AART|9aDMG
145	31248 31633	   	177.52	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1DUR|2MBVNT|359VULN|4FEWX|6DMG|7RCR|8AART|aZMB
146	31278 31633	   	177.52	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1DUR|2MBVNT|359VULN|4BEXP|6DMG|7RCR|8AART|aZMB
147	61257 41432	   	177.49	DCR|5VULN|2DMG	1345aVULN|2MBVNT|6LHND|7aDMG|8RCR|9aFEWX|aBPWR
148	21253 41731	   	177.47	ACR|2VULN|2DMG|1AART|1ZMB|1ASPD	1LWND|2MBVNT|39VULN|4aDMG|5RCR|6ASPD|7ZMB|8AART
149	61523 41731	   	177.47	ACR|2VULN|2DMG|1AART|1ZMB|1ASPD	19VULN|2MBVNT|3ASPD|4LWND|5RCR|6aDMG|7ZMB|8AART
150	15363 12521	 * 	177.10	DCR|4VULN|1DMG|2CDMG|2ZMB	13ZMB|2369VULN|3BPWR|48CDMG|5DMG|7LHND|aRCR
151	31253 46172	   	176.97	ACR|2VULN|2DMG|2ASPD|1CDMG|2DUR	19DUR|2MBVNT|38VULN|49DMG|5RCR|69ASPD|7RCVC|9BPWR|aCDMG
152	51214 83832	   	176.96	DCR|2AART|2VULN|2DMG	147DUST|2MBVNT|3aVULN|58AART|6RCR|9aDMG|aBPWR
153	61214 16632	   	176.67	DCR|3VULN|2DMG|1AART	13aVULN|2MBVNT|467FEWX|5AART|8RCR|9aDMG|aBPWR
154	34253 61113	   	176.56	DCR|4VULN|1DMG|1ZMB|1DUR|1ASPD	1DUR|239aVULN|4DMG|5ASPD|6RCR|7ZMB|8BASICY
155	15331 42522	   	176.47	DCR|2VULN|1AART|1DMG|2ZMB|1CDMG|1DUR	13ZMB|23VULN|3BPWR|4LWND|5AART|6DMG|7DUR|8AIRHEL|9RCR|aCDMG
156	64221 14842	   	176.47	DCR|3VULN|2DMG|2ZMB|2ASPD	12aVULN|3aZMB|48DMG|5DUST|6MBVNT|7aASPD|9RCR|aBPWR
157	34253 63132	   	176.46	DCR|3VULN|1AART|1DMG|1DUR|1ASPD	1DUR|23aVULN|4DMG|5ASPD|6RCR|7AART|8TLV|9LIT
158	21253 44464	   	176.37	ACR|3VULN|1AART|1DMG|2DUR|1ASPD	18LWND|2MBVNT|38aVULN|4DMG|5RCR|6ASPD|78DUR|8BPWR|9AART
159	63321 62263	   	176.33	DCR|4VULN|1DMG|2ASPD|1ZMB	1378VULN|23ASPD|3BPWR|4DMG|5DUST|6RCR|9FEWX|aZMB
160	63321 61113	   	176.23	DCR|4VULN|1DMG|2ASPD|1ZMB	139aVULN|23ASPD|3BPWR|4DMG|5DUST|6RCR|7ZMB|8BASICY
