0	Index      	 *	Score 	Summary	Detail	
1	36132 33523	 * 	231.37	DCR|5VULN|2DMG|1AART	1359aVULN|2aLHND|4AART|6aDMG|7RCR|8BELT|aBPWR
22	35324 25133	   	211.61	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	13VULN|2CDMG|4ERES|5DUST|6RCR|7ZMB|8aDMG|9AART
23	35232 13451	 * 	211.41	DCR|3VULN|1MDPS|2DMG|1AART|1CDMG	179VULN|2CDMG|3AART|47BEXP|5MDPS|67DMG|7BPWR|8LIT|aRCR
24	33523 16132	   	211.19	DCR|2VULN|1AART|1ASPD|1CDMG|2DUR|2ZMB	17VULN|27DUR|38ZMB|4CDMG|57LHND|6RCR|7BPWR|9AART|aASPD
25	35143 16123	 * 	210.16	DCR|2VULN|1AART|2CDMG|1ASPD|1ZMB|1DUR	17VULN|27CDMG|3DUR|4ASPD|57LHND|6RCR|7BPWR|8ZMB|9BEXP|aAART
26	33523 16136	   	209.95	DCR|2VULN|1MDPS|1AART|1CDMG|2DUR|2ZMB	17VULN|27DUR|38ZMB|4CDMG|57LHND|6RCR|7BPWR|9AART|aMDPS
27	31524 14332	   	209.86	DCR|2VULN|1AART|2CDMG|1ASPD|1ZMB|1DUR	17VULN|2DUST|3ZMB|48CDMG|5DUR|6RCR|9AART|aASPD
28	33542 14332	   	209.86	DCR|2VULN|1AART|2CDMG|1ASPD|1ZMB|1DUR	17VULN|2DUR|3ZMB|4DUST|58CDMG|6RCR|9AART|aASPD
29	35143 16131	 * 	209.45	DCR|3VULN|2CDMG|1ASPD|2DUR|1ZMB	179VULN|27CDMG|3aDUR|4ASPD|57LHND|6RCR|7BPWR|8ZMB
30	35311 11215	 * 	209.35	DCR|3VULN|1MDPS|2CDMG|1DMG|2DUR|1ZMB	139VULN|29CDMG|4MDPS|5ZMB|6RCR|7LWND|89DUR|9BPWR|aDMG
31	35311 12215	   	209.35	DCR|3VULN|1MDPS|2CDMG|1DMG|2DUR|1ZMB	139VULN|29CDMG|4MDPS|5ZMB|6RCR|7FEWX|89DUR|9BPWR|aDMG
32	13352 15233	 * 	209.24	DCR|2ASPD|1VULN|1AART|2CDMG|2DUR|1ZMB	1FEWX|2aDUR|3ZMB|4VULN|5aCDMG|6RCR|7AART|8LHND|9aASPD|aBPWR
33	13352 15533	   	209.24	DCR|2ASPD|1VULN|1AART|2CDMG|2DUR|1ZMB	1FEWX|2aDUR|3ZMB|4VULN|5aCDMG|6RCR|7AART|8BEXP|9aASPD|aBPWR
34	33523 16523	   	209.16	DCR|3VULN|1AART|1CDMG|2DUR|2ZMB	17aVULN|27DUR|3aZMB|4CDMG|57LHND|6RCR|7aBPWR|8AART|9aAME
35	35322 33536	   	208.92	DCR|2VULN|1MDPS|1AART|1ASPD|1CDMG|1DUR	13VULN|2CDMG|4ERES|5RMIN|6ASPD|7RCR|8DUR|9AART|aMDPS
36	33523 16332	   	207.97	DCR|2VULN|1AART|1ASPD|1CDMG|2DUR|1ZMB	17VULN|27DUR|3ZMB|4CDMG|57LHND|6RCR|7BPWR|8AELBLL|9AART|aASPD
37	33523 16432	   	207.97	DCR|2VULN|1AART|1ASPD|1CDMG|2DUR|1ZMB	17VULN|27DUR|3ZMB|4CDMG|578LHND|6RCR|7BPWR|9AART|aASPD
38	33523 16532	   	207.97	DCR|2VULN|1AART|1ASPD|1CDMG|2DUR|1ZMB	17VULN|27DUR|3ZMB|4CDMG|57LHND|6RCR|7BPWR|8AART|9FEWX|aASPD
39	33523 16243	   	207.87	DCR|2VULN|1AART|1ASPD|1CDMG|2DUR|1ZMB	17VULN|27DUR|3ZMB|4CDMG|57LHND|6RCR|7BPWR|8DUST|9ASPD|aAART
40	36132 33314	 * 	207.85	DCR|3VULN|2AART|1DMG|1DUR	135VULN|2LHND|4aAART|6DMG|7RCR|8BEXP|9DUR
41	35311 15333	 * 	207.83	DCR|3VULN|1MDPS|1AART|2CDMG|1ZMB|1DUR	13aVULN|2aCDMG|4MDPS|5ZMB|6RCR|7AART|8DUR|9aMLV|aBPWR
42	35311 13241	   	207.67	DCR|2VULN|1MDPS|1AART|1ASPD|1CDMG|2DUR|1ZMB	13VULN|2CDMG|4MDPS|5ZMB|6RCR|78DUR|9ASPD|aAART
43	35311 15323	   	207.63	DCR|3VULN|1MDPS|1AART|2CDMG|1ZMB|1DUR	13aVULN|2aCDMG|4MDPS|5ZMB|6RCR|7AART|8DUR|9aERES|aBPWR
44	35311 15363	   	207.63	DCR|3VULN|1MDPS|1AART|2CDMG|1ZMB|1DUR	13aVULN|2aCDMG|4MDPS|5ZMB|6RCR|7AART|8DUR|9aTLV|aBPWR
45	33523 16336	   	206.73	DCR|2VULN|1MDPS|1AART|1CDMG|2DUR|1ZMB	17VULN|27DUR|3ZMB|4CDMG|57LHND|6RCR|7BPWR|8AELBLL|9AART|aMDPS
46	33523 16511	   	206.63	DCR|2VULN|1MDPS|1AART|1CDMG|2DUR|1ZMB	17VULN|27DUR|3ZMB|4CDMG|57LHND|6RCR|7BPWR|8AART|9MDPS|aDUST
47	33523 16512	   	206.63	DCR|2VULN|1MDPS|1AART|1CDMG|2DUR|1ZMB	17VULN|27DUR|3ZMB|4CDMG|57LHND|6RCR|7BPWR|8AART|9MDPS|aBEXP
48	33523 16513	   	206.63	DCR|2VULN|1MDPS|1AART|1CDMG|2DUR|1ZMB	17VULN|27DUR|3ZMB|4CDMG|57LHND|6RCR|7BPWR|8AART|9MDPS|aERES
49	33111 55112	 * 	206.58	DCR|3VULN|3DMG|1MDPS|2DUR	139VULN|29DUR|489DMG|5MDPS|6RPLT|7RCR|9BPWR|aLHND
50	33111 55114	   	206.58	DCR|3VULN|3DMG|1MDPS|2DUR	139VULN|29DUR|489DMG|5MDPS|6RPLT|7RCR|9BPWR|aLWND
51	36323 15633	 * 	206.51	DCR|2VULN|2ASPD|1AART|1CDMG|1DUR	1aVULN|2LHND|3aMLV|4CDMG|5LEGI|6RCR|7DUR|8AART|9aASPD|aBPWR
52	33111 55111	   	206.48	DCR|3VULN|3DMG|1MDPS|2DUR|1MSE	139VULN|29DUR|489DMG|5MDPS|6RPLT|7RCR|9BPWR|aMSE
53	33111 55113	   	206.48	DCR|3VULN|3DMG|1MDPS|2DUR	139VULN|29DUR|489DMG|5MDPS|6RPLT|7RCR|9BPWR|aERES
54	33111 55115	   	206.48	DCR|3VULN|3DMG|1MDPS|2DUR	139VULN|29DUR|489DMG|5MDPS|6RPLT|7RCR|9BPWR|aLEGI
55	36132 33522	   	206.09	DCR|4VULN|1AART|1DMG|1AAC	1359VULN|2LHND|4AART|6DMG|7RCR|8BELT|aAAC
56	35322 33152	 * 	205.91	DCR|4VULN|2ASPD|1CDMG	138aVULN|2CDMG|4ERES|5RMIN|69ASPD|7RCR
57	35325 33152	   	205.81	DCR|4VULN|2ASPD|1CDMG|1AAC	138aVULN|2CDMG|4ERES|5AAC|69ASPD|7RCR
58	33523 14132	   	205.74	DCR|2VULN|1AART|1ASPD|1CDMG|2ZMB|1DUR	17VULN|2DUR|38ZMB|4CDMG|5LHND|6RCR|9AART|aASPD
59	31524 14132	   	205.64	DCR|2VULN|1AART|1ASPD|1CDMG|2ZMB|1DUR	17VULN|2DUST|38ZMB|4CDMG|5DUR|6RCR|9AART|aASPD
60	33542 14132	   	205.64	DCR|2VULN|1AART|1ASPD|1CDMG|2ZMB|1DUR	17VULN|2DUR|38ZMB|4DUST|5CDMG|6RCR|9AART|aASPD
61	33111 35355	 * 	205.40	DCR|2VULN|2DMG|1MDPS|1AART|1ASPD|1AAC|1DUR	13VULN|2DUR|47DMG|5MDPS|6ASPD|8AAC|9AART|aRCR
62	35161 16111	   	205.26	DCR|3VULN|3ZMB|2CDMG|2DUR	179VULN|27CDMG|39DUR|49aLWND|578ZMB|6RCR|79BPWR
63	35161 16113	   	205.26	DCR|3VULN|3ZMB|2CDMG|2DUR	179VULN|27CDMG|39DUR|49LWND|578ZMB|6RCR|79BPWR|aBELT
64	31114 52136	   	205.19	DCR|3VULN|2DMG|1AART|1ZMB	138VULN|2DUST|48DMG|58TLV|6AART|7MBVNT|8BPWR|9ZMB|aRCR
65	36132 16531	 * 	204.90	DCR|4VULN|3AART|1DUR	1358VULN|2LHND|47aAART|6DUR|9RCR
66	13352 14136	   	204.51	DCR|2VULN|1MDPS|1AART|1CDMG|2ZMB|1DUR	1FEWX|2DUR|38ZMB|47VULN|5CDMG|6RCR|9AART|aMDPS
67	33523 14136	   	204.51	DCR|2VULN|1MDPS|1AART|1CDMG|2ZMB|1DUR	17VULN|2DUR|38ZMB|4CDMG|5LHND|6RCR|9AART|aMDPS
68	35322 33532	   	204.31	DCR|2VULN|2ASPD|1AART|1CDMG|1DUR	13VULN|2CDMG|4ERES|5RMIN|6aASPD|7RCR|8DUR|9AART
69	35323 33532	   	204.31	DCR|2VULN|2ASPD|1AART|1CDMG|1DUR	13VULN|2CDMG|4ERES|5MLV|6aASPD|7RCR|8DUR|9AART
70	35325 33532	   	204.21	DCR|2VULN|2ASPD|1AART|1CDMG|1AAC|1DUR	13VULN|2CDMG|4ERES|5AAC|6aASPD|7RCR|8DUR|9AART
71	35143 16132	   	204.11	DCR|3VULN|2CDMG|1ASPD|1ZMB|1DUR	179VULN|27CDMG|3DUR|4ASPD|57LHND|6RCR|7BPWR|8ZMB|aTLV
72	35143 16133	   	204.11	DCR|3VULN|2CDMG|1ASPD|1ZMB|1DUR	179VULN|27CDMG|3DUR|4ASPD|57LHND|6RCR|7BPWR|8ZMB|aERES
73	35311 13515	   	204.11	DCR|3VULN|1MDPS|2CDMG|1DMG|1ZMB|1DUR	139VULN|29CDMG|4MDPS|5ZMB|6RCR|7DUR|89FEWX|9BPWR|aDMG
74	35232 13342	   	203.91	DCR|2VULN|1MDPS|2DMG|1AART|1CDMG|1ZMB	17VULN|2CDMG|3AART|47BEXP|5MDPS|67DMG|7BPWR|8ZMB|9LIT|aRCR
75	35352 26121	 * 	203.81	DCR|4VULN|1AART|1CDMG|1DUR	139aVULN|2CDMG|4AART|5RPLT|6DUR|7RCR|8CGEN
76	13142 14113	   	203.71	DCR|3VULN|1AART|1CDMG|2ZMB|1DUR	1aFEWX|2DUR|37aVULN|4AME|5CDMG|6RCR|8aZMB|9AART|aBPWR
77	33523 14523	   	203.71	DCR|3VULN|1AART|1CDMG|2ZMB|1DUR	17aVULN|2DUR|3aZMB|4CDMG|5LHND|6RCR|8AART|9aAME|aBPWR
78	35352 26221	   	203.71	DCR|4VULN|1AART|1CDMG|1DUR	139aVULN|2CDMG|4AART|5RPLT|6DUR|7RCR|8ERES
79	33111 31611	 * 	203.65	DCR|3VULN|1MDPS|2DMG|1ASPD|1DUR	13aVULN|2DUR|4aDMG|5MDPS|6ASPD|7DUST|8RCR|9aLHND|aBPWR
80	33111 31631	   	203.65	DCR|3VULN|2DMG|1MDPS|1ASPD|1DUR	13aVULN|2DUR|4aDMG|5MDPS|6ASPD|7DUST|8RCR|9aFEWX|aBPWR
81	32232 33336	   	203.53	DCR|3VULN|1AART|1ASPD|1DMG	159VULN|2RCVC|3LHND|4AART|6DMG|7RCR|8BEXP|aASPD
82	36132 33345	   	203.53	DCR|3VULN|1AART|1ASPD|1DMG	135VULN|2LHND|4AART|6DMG|7RCR|8BEXP|9RPLT|aASPD
83	36132 33366	   	203.53	DCR|3VULN|1AART|1ASPD|1DMG	135VULN|2LHND|4AART|6DMG|7RCR|8BEXP|9RCVC|aASPD
84	36432 33336	   	203.53	DCR|3VULN|1AART|1ASPD|1DMG	159VULN|2LHND|3RCVC|4AART|6DMG|7RCR|8BEXP|aASPD
85	36132 33212	   	203.43	DCR|3VULN|1AART|1ASPD|1DMG	135VULN|2LHND|4AART|6DMG|7RCR|8ERES|9ASPD|aFEWX
86	36132 33213	   	203.43	DCR|3VULN|1AART|1ASPD|1DMG	135VULN|2LHND|4AART|6DMG|7RCR|8ERES|9ASPD|aAME
87	36132 33215	   	203.43	DCR|3VULN|1AART|1ASPD|1DMG	135VULN|2LHND|4AART|6DMG|7RCR|8ERES|9ASPD|aRCVC
88	36132 33232	   	203.43	DCR|3VULN|1AART|1ASPD|1DMG	135VULN|2LHND|4AART|6DMG|7RCR|8ERES|9RPLT|aASPD
89	36132 33326	   	203.43	DCR|3VULN|1AART|1ASPD|1DMG	135VULN|2LHND|4AART|6DMG|7RCR|8BEXP|9ERES|aASPD
90	36132 33412	   	203.43	DCR|3VULN|1AART|1ASPD|1DMG	135VULN|2LHND|4AART|6DMG|7RCR|8TLV|9ASPD|aFEWX
91	36132 33413	   	203.43	DCR|3VULN|1AART|1ASPD|1DMG	135VULN|2LHND|4AART|6DMG|7RCR|8TLV|9ASPD|aAME
92	36132 33415	   	203.43	DCR|3VULN|1AART|1ASPD|1DMG	135VULN|2LHND|4AART|6DMG|7RCR|8TLV|9ASPD|aRCVC
93	36132 33452	   	203.43	DCR|3VULN|1AART|1ASPD|1DMG	135VULN|2LHND|4AART|6DMG|7RCR|8TLV|9LIT|aASPD
94	36132 33214	   	203.33	DCR|3VULN|1AART|1ASPD|1DMG	135VULN|2LHND|4AART|6DMG|7RCR|8ERES|9ASPD|aDUST
95	36132 33256	   	203.33	DCR|3VULN|1AART|1ASPD|1DMG	135VULN|2LHND|4AART|6DMG|7RCR|8ERES|9TLV|aASPD
96	36132 33414	   	203.33	DCR|3VULN|1AART|1ASPD|1DMG	135VULN|2LHND|4AART|6DMG|7RCR|8TLV|9ASPD|aDUST
97	13352 11443	   	202.53	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB|1DUR	1FEWX|2DUR|3ZMB|48VULN|5CDMG|6RCR|7LWND|9ASPD|aAART
98	35143 14123	   	202.53	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB|1DUR	17VULN|2CDMG|3DUR|4ASPD|5LHND|6RCR|8ZMB|9BEXP|aAART
99	13142 14116	   	202.53	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1FEWX|2DUR|37VULN|4AME|5CDMG|6RCR|8ZMB|9AART|aDMG
100	13323 14443	   	202.53	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB|1DUR	1FEWX|2DUR|3ZMB|4CDMG|5LHND|6RCR|78VULN|9ASPD|aAART
101	33523 12443	   	202.53	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB|1DUR	18VULN|2DUR|3ZMB|4CDMG|5LHND|6RCR|7FEWX|9ASPD|aAART
102	33523 14332	   	202.53	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB|1DUR	17VULN|2DUR|3ZMB|4CDMG|5LHND|6RCR|8AELBLL|9AART|aASPD
103	33523 14432	   	202.53	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB|1DUR	17VULN|2DUR|3ZMB|4CDMG|58LHND|6RCR|9AART|aASPD
104	33523 14532	   	202.53	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB|1DUR	17VULN|2DUR|3ZMB|4CDMG|5LHND|6RCR|8AART|9FEWX|aASPD
105	13352 14241	   	202.43	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB|1DUR	1FEWX|2DUR|3ZMB|47VULN|5CDMG|6RCR|8DUST|9ASPD|aAART
106	13352 16216	   	202.43	DCR|2VULN|1AART|1DMG|1CDMG|1AAC|1ZMB|1DUR	1FEWX|2DUR|3ZMB|48VULN|5CDMG|6RCR|7AAC|9AART|aDMG
107	35311 13341	   	202.43	DCR|2VULN|1MDPS|1AART|1ASPD|1CDMG|1ZMB|1DUR	13VULN|2CDMG|4MDPS|5ZMB|6RCR|7DUR|8RCVC|9ASPD|aAART
108	35311 13641	   	202.43	DCR|2VULN|1MDPS|1AART|1ASPD|1CDMG|1ZMB|1DUR	13VULN|2CDMG|4MDPS|5ZMB|6RCR|7DUR|8DMSP|9ASPD|aAART
109	35311 15336	   	202.43	DCR|2VULN|1MDPS|1AART|1ASPD|1CDMG|1ZMB|1DUR	13VULN|2CDMG|4MDPS|5ZMB|6RCR|7AART|8DUR|9MLV|aASPD
110	33523 14243	   	202.43	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB|1DUR	17VULN|2DUR|3ZMB|4CDMG|5LHND|6RCR|8DUST|9ASPD|aAART
111	31524 14232	   	202.33	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB|1DUR	17VULN|28DUST|3ZMB|4CDMG|5DUR|6RCR|9AART|aASPD
112	33542 14232	   	202.33	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB|1DUR	17VULN|2DUR|3ZMB|48DUST|5CDMG|6RCR|9AART|aASPD
113	35311 15326	   	202.33	DCR|2VULN|1MDPS|1AART|1ASPD|1CDMG|1ZMB|1DUR	13VULN|2CDMG|4MDPS|5ZMB|6RCR|7AART|8DUR|9ERES|aASPD
114	13352 15236	 * 	202.21	DCR|1AART|1VULN|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1FEWX|2DUR|3ZMB|4VULN|5CDMG|6RCR|7AART|8LHND|9ASPD|aDMG
115	36132 33221	   	202.10	DCR|3VULN|1MDPS|1AART|1DMG	135VULN|2LHND|4AART|6DMG|7RCR|8ERES|9MDPS|aFEWX
116	36132 33222	   	202.10	DCR|3VULN|1MDPS|1AART|1DMG	135VULN|2LHND|4AART|6DMG|7RCR|8ERES|9MDPS|aLIT
117	36132 33223	   	202.10	DCR|3VULN|1MDPS|1AART|1DMG|1DUR	135VULN|2LHND|4AART|6DMG|7RCR|8ERES|9MDPS|aDUR
118	36132 33224	   	202.10	DCR|3VULN|1MDPS|1AART|1DMG	135VULN|2LHND|4AART|6DMG|7RCR|8ERES|9MDPS|aAELBLL
119	36132 33225	   	202.10	DCR|3VULN|1MDPS|1AART|1DMG	135VULN|2LHND|4AART|6DMG|7RCR|8ERES|9MDPS|aCGEN
120	36132 33226	 * 	202.10	DCR|3VULN|1MDPS|1AART|1ASPD|1DMG	135VULN|2LHND|4AART|6DMG|7RCR|8ERES|9MDPS|aASPD
121	36132 33421	   	202.10	DCR|3VULN|1MDPS|1AART|1DMG	135VULN|2LHND|4AART|6DMG|7RCR|8TLV|9MDPS|aFEWX
122	36132 33422	   	202.10	DCR|3VULN|1MDPS|1AART|1DMG	135VULN|2LHND|4AART|6DMG|7RCR|8TLV|9MDPS|aLIT
123	36132 33423	   	202.10	DCR|3VULN|1MDPS|1AART|1DMG|1DUR	135VULN|2LHND|4AART|6DMG|7RCR|8TLV|9MDPS|aDUR
124	36132 33424	 * 	202.10	DCR|4VULN|1MDPS|1AART|1DMG	135aVULN|2LHND|4AART|6DMG|7RCR|8TLV|9MDPS
125	36132 33425	   	202.10	DCR|3VULN|1MDPS|1AART|1DMG	135VULN|2LHND|4AART|6DMG|7RCR|8TLV|9MDPS|aLWND
126	36132 33426	   	202.10	DCR|3VULN|1MDPS|1AART|1DMG	135VULN|2LHND|4AART|6DMG|7RCR|8TLV|9MDPS|aERES
127	35141 26312	 * 	201.90	DCR|2ASPD|1AART|1VULN|1DMG|1CDMG|1AAC|1DUR	1VULN|2CDMG|3DUR|4aASPD|5AAC|6ERES|7DMG|8RCR|9AART
128	35143 14131	   	201.83	DCR|3VULN|1ASPD|1CDMG|2DUR|1ZMB	179VULN|2CDMG|3aDUR|4ASPD|5LHND|6RCR|8ZMB
129	33523 11633	   	201.81	DCR|2ASPD|1AART|1VULN|1CDMG|2DUR|1ZMB	1VULN|2aDUR|3ZMB|4CDMG|5aLHND|6RCR|7LWND|8AART|9aASPD|aBPWR
130	13352 14132	 * 	201.76	DCR|2VULN|2AART|1CDMG|2ZMB|1DUR	1FEWX|2DUR|38ZMB|47VULN|5CDMG|6RCR|9aAART
131	35322 33244	 * 	201.75	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	13VULN|2CDMG|4ERES|5RMIN|6ASPD|7RCR|8TLV|9DMG|aAART
132	35323 33244	   	201.75	DCR|2VULN|1AART|1DMG|1ASPD|1CDMG	13VULN|2CDMG|4ERES|5MLV|6ASPD|7RCR|8TLV|9DMG|aAART
133	31523 14332	   	201.55	DCR|2VULN|1AART|2CDMG|1ASPD|1ZMB	17VULN|2DUST|3ZMB|48CDMG|5LHND|6RCR|9AART|aASPD
134	33111 55311	 * 	201.53	DCR|4VULN|1MDPS|2DMG|1DUR	139aVULN|2DUR|4aDMG|5MDPS|6RPLT|7RCR|8aLIT|aBPWR
