0	Index      	 *	Score 	Summary	Detail	
1	44321 32613	 * 	218.34	DCR|3DMG|2AART|1VULN|1ASPD	14LWND|29AART|345DMG|4BPWR|6RCR|7RCVC|8ASPD|aVULN
27	13534 33352	   	205.77	DCR|2DMG|2ASPD|1AART|1CDMG|1ZMB	1LEGI|2RCVC|38BEXP|4CDMG|58DMG|6RCR|78ASPD|8BPWR|9AART|aZMB
28	13532 33352	   	205.77	DCR|2DMG|2ASPD|1AART|1CDMG|1ZMB	1LEGI|2RCVC|38BEXP|4CDMG|58ASPD|6RCR|78DMG|8BPWR|9AART|aZMB
29	13334 33352	   	205.57	DCR|2DMG|2ASPD|1AART|1CDMG|1ZMB	1LEGI|2RCVC|38DUST|4CDMG|58DMG|6RCR|78ASPD|8BPWR|9AART|aZMB
30	13332 33352	   	205.57	DCR|2DMG|2ASPD|1AART|1CDMG|1ZMB	1LEGI|2RCVC|38DUST|4CDMG|58ASPD|6RCR|78DMG|8BPWR|9AART|aZMB
31	31432 33126	 * 	205.33	DCR|3VULN|2CDMG|1ASPD|1DMG|1AAC	19TLV|2BEXP|3AAC|49CDMG|5ASPD|6RCR|7DMG|89aVULN|9BPWR
32	31434 33126	   	205.33	DCR|3VULN|2CDMG|1ASPD|1DMG|1AAC	19TLV|2BEXP|3AAC|49CDMG|5DMG|6RCR|7ASPD|89aVULN|9BPWR
33	31662 33126	 * 	205.33	DCR|3VULN|2CDMG|1ASPD|1DMG|1NUKE	19TLV|2BEXP|39CDMG|4NUKE|5ASPD|6RCR|7DMG|89aVULN|9BPWR
34	33432 33126	   	205.23	DCR|3VULN|2CDMG|1ASPD|1DMG|1AAC	19TLV|2DUST|3AAC|49CDMG|5ASPD|6RCR|7DMG|89aVULN|9BPWR
35	33434 33126	   	205.23	DCR|3VULN|2CDMG|1ASPD|1DMG|1AAC	19TLV|2DUST|3AAC|49CDMG|5DMG|6RCR|7ASPD|89aVULN|9BPWR
36	33662 33126	   	205.23	DCR|3VULN|2CDMG|1ASPD|1DMG|1NUKE	19TLV|2DUST|39CDMG|4NUKE|5ASPD|6RCR|7DMG|89aVULN|9BPWR
37	21365 33213	 * 	204.20	DCR|2VULN|2ASPD|3ZMB|1DMG|1SELL	138ZMB|23BEXP|38BPWR|4SELL|58VULN|6RCR|78ASPD|9LWND|aDMG
38	21365 33231	 * 	204.20	DCR|2VULN|2ASPD|3ZMB|1DMG|1SELL	138ZMB|23BEXP|38BPWR|4SELL|58VULN|6RCR|78ASPD|9AME|aDMG
39	21365 33261	 * 	204.20	DCR|2VULN|2ASPD|3ZMB|1DMG|1SELL	138ZMB|23BEXP|38BPWR|4SELL|58VULN|6RCR|78ASPD|9CGEN|aDMG
40	23365 33213	 * 	204.00	DCR|2VULN|2ASPD|3ZMB|1DMG|1SELL	138ZMB|23DUST|38BPWR|4SELL|58VULN|6RCR|78ASPD|9LWND|aDMG
41	23365 33231	 * 	204.00	DCR|2VULN|2ASPD|3ZMB|1DMG|1SELL	138ZMB|23DUST|38BPWR|4SELL|58VULN|6RCR|78ASPD|9AME|aDMG
42	23365 33243	 * 	204.00	DCR|2VULN|2ASPD|3ZMB|1DMG|1SELL	138ZMB|23DUST|38BPWR|4SELL|58VULN|6RCR|78ASPD|9BEXP|aDMG
43	23365 33253	 * 	204.00	DCR|2VULN|2ASPD|3ZMB|1DMG|1SELL	138ZMB|23DUST|38BPWR|4SELL|58VULN|6RCR|78ASPD|9RPLT|aDMG
44	41234 33152	   	203.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	13LWND|2DUST|4CDMG|5DMG|6RCR|7ASPD|8aVULN|9AART
45	31432 33156	   	203.75	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1AAC	1TLV|2BEXP|3AAC|4CDMG|5ASPD|6RCR|7DMG|8aVULN|9AART
46	13534 33353	   	203.74	DCR|2DMG|2ASPD|1AART|1CDMG|1DUR	1LEGI|2RCVC|38BEXP|4CDMG|58DMG|6RCR|78ASPD|8BPWR|9AART|aDUR
47	13532 33353	   	203.74	DCR|2DMG|2ASPD|1AART|1CDMG|1DUR	1LEGI|2RCVC|38BEXP|4CDMG|58ASPD|6RCR|78DMG|8BPWR|9AART|aDUR
48	33432 33156	   	203.65	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1AAC	1TLV|2DUST|3AAC|4CDMG|5ASPD|6RCR|7DMG|8aVULN|9AART
49	13334 33353	   	203.54	DCR|2DMG|2ASPD|1AART|1CDMG|1DUR	1LEGI|2RCVC|38DUST|4CDMG|58DMG|6RCR|78ASPD|8BPWR|9AART|aDUR
50	13332 33353	   	203.54	DCR|2DMG|2ASPD|1AART|1CDMG|1DUR	1LEGI|2RCVC|38DUST|4CDMG|58ASPD|6RCR|78DMG|8BPWR|9AART|aDUR
51	13122 33341	 * 	203.05	DCR|3DMG|2ASPD|2CDMG|1DUR	1LEGI|2RCVC|38CDMG|4BEXP|58ASPD|6RCR|789DMG|8BPWR|aDUR
52	13124 33341	   	203.05	DCR|3DMG|2ASPD|2CDMG|1DUR	1LEGI|2RCVC|38CDMG|4BEXP|589DMG|6RCR|78ASPD|8BPWR|aDUR
53	13122 33351	   	202.86	DCR|2DMG|2ASPD|1AART|2CDMG	1LEGI|2RCVC|38CDMG|4BEXP|58ASPD|6RCR|78DMG|8BPWR|9AART|aFEWX
54	13122 33355	   	202.86	DCR|2DMG|2ASPD|1AART|2CDMG	1LEGI|2RCVC|38CDMG|4BEXP|58ASPD|6RCR|78DMG|8BPWR|9AART|aBELT
55	13122 33356	   	202.86	DCR|2DMG|2ASPD|1AART|2CDMG	1LEGI|2RCVC|38CDMG|4BEXP|58ASPD|6RCR|78DMG|8BPWR|9AART|aLIT
56	13122 33366	 * 	202.86	DCR|2DMG|2ASPD|1VULN|2CDMG	1LEGI|2RCVC|38CDMG|4BEXP|58ASPD|6RCR|78DMG|8BPWR|9RMIN|aVULN
57	13124 33351	   	202.86	DCR|2DMG|2ASPD|1AART|2CDMG	1LEGI|2RCVC|38CDMG|4BEXP|58DMG|6RCR|78ASPD|8BPWR|9AART|aFEWX
58	13124 33355	   	202.86	DCR|2DMG|2ASPD|1AART|2CDMG	1LEGI|2RCVC|38CDMG|4BEXP|58DMG|6RCR|78ASPD|8BPWR|9AART|aBELT
59	13124 33356	   	202.86	DCR|2DMG|2ASPD|1AART|2CDMG	1LEGI|2RCVC|38CDMG|4BEXP|58DMG|6RCR|78ASPD|8BPWR|9AART|aLIT
60	13124 33366	   	202.86	DCR|2DMG|2ASPD|1VULN|2CDMG	1LEGI|2RCVC|38CDMG|4BEXP|58DMG|6RCR|78ASPD|8BPWR|9RMIN|aVULN
61	13112 66343	 * 	202.83	DCR|3ASPD|2VULN|2CDMG|1DUR	1LEGI|2RCVC|3aCDMG|4DUR|59aASPD|6RPLT|7aVULN|8RCR|aBPWR
62	13122 33354	   	202.76	DCR|2DMG|2ASPD|1AART|2CDMG	1LEGI|2RCVC|38CDMG|4BEXP|58ASPD|6RCR|78DMG|8BPWR|9AART|aTLV
63	13124 33354	   	202.76	DCR|2DMG|2ASPD|1AART|2CDMG	1LEGI|2RCVC|38CDMG|4BEXP|58DMG|6RCR|78ASPD|8BPWR|9AART|aTLV
64	13122 33311	   	202.62	DCR|2DMG|2ASPD|2CDMG|1AART|1SELL	1LEGI|2RCVC|38CDMG|4BEXP|58ASPD|6RCR|78DMG|8BPWR|9SELL|aAART
65	13122 33313	   	202.62	DCR|2DMG|2ASPD|1VULN|2CDMG|1SELL	1LEGI|2RCVC|38CDMG|4BEXP|58ASPD|6RCR|78DMG|8BPWR|9SELL|aVULN
66	13124 33311	   	202.62	DCR|2DMG|2ASPD|2CDMG|1AART|1SELL	1LEGI|2RCVC|38CDMG|4BEXP|58DMG|6RCR|78ASPD|8BPWR|9SELL|aAART
67	13124 33313	   	202.62	DCR|2DMG|2ASPD|1VULN|2CDMG|1SELL	1LEGI|2RCVC|38CDMG|4BEXP|58DMG|6RCR|78ASPD|8BPWR|9SELL|aVULN
68	21365 33232	 * 	201.97	DCR|3VULN|2ASPD|3ZMB|1SELL	138ZMB|23BEXP|38BPWR|4SELL|58aVULN|6RCR|78ASPD|9AME
69	23365 33232	 * 	201.77	DCR|3VULN|2ASPD|3ZMB|1SELL	138ZMB|23DUST|38BPWR|4SELL|58aVULN|6RCR|78ASPD|9AME
70	13122 33166	   	201.64	DCR|3VULN|1ASPD|1DMG|1CDMG	1LEGI|2RCVC|3CDMG|4BEXP|5ASPD|6RCR|7DMG|89aVULN
71	13124 33166	   	201.64	DCR|3VULN|1ASPD|1DMG|1CDMG	1LEGI|2RCVC|3CDMG|4BEXP|5DMG|6RCR|7ASPD|89aVULN
72	13532 33166	   	201.64	DCR|3VULN|1ASPD|1DMG|1CDMG	1LEGI|2RCVC|3BEXP|4CDMG|5ASPD|6RCR|7DMG|89aVULN
73	13332 33166	   	201.54	DCR|3VULN|1ASPD|1DMG|1CDMG	1LEGI|2RCVC|3DUST|4CDMG|5ASPD|6RCR|7DMG|89aVULN
74	13334 33166	   	201.54	DCR|3VULN|1ASPD|1DMG|1CDMG	1LEGI|2RCVC|3DUST|4CDMG|5DMG|6RCR|7ASPD|89aVULN
75	23635 33111	   	201.31	DCR|2VULN|1AART|2CDMG|1ASPD|1ZMB|1SELL	1ZMB|24DUST|34CDMG|4BPWR|58VULN|6RCR|7ASPD|9SELL|aAART
76	16362 33144	 * 	201.28	DCR|3VULN|1AART|1ASPD|1CDMG|1SELL	1LEGI|24aVULN|3SELL|5ASPD|6RCR|7MBVNT|8AART|9CDMG
77	16364 33144	 * 	201.28	DCR|3VULN|1AART|1DMG|1CDMG|1SELL	1LEGI|24aVULN|3SELL|5DMG|6RCR|7MBVNT|8AART|9CDMG
78	32631 13261	 * 	201.00	DCR|3VULN|3ASPD|1DMG	189TLV|2CGEN|3BELT|489ASPD|5DMG|6LHND|789VULN|89BPWR|aRCR
79	32631 23261	   	201.00	DCR|3VULN|3ASPD|1DMG	189TLV|2CGEN|3BELT|489ASPD|5DMG|6LWND|789VULN|89BPWR|aRCR
80	44321 33522	 * 	200.88	DCR|3DMG|2VULN|1AART	14LWND|2AART|345DMG|4BPWR|6RCR|7DUST|8aVULN|9RMIN
81	44321 33512	   	200.78	DCR|3DMG|2VULN|1AART	14LWND|2AART|345DMG|4BPWR|6RCR|7DUST|8aVULN|9ERES
82	21365 33216	 * 	200.39	DCR|2VULN|2ASPD|3ZMB|1CDMG|1SELL	138ZMB|23BEXP|38BPWR|4SELL|58VULN|6RCR|78ASPD|9LWND|aCDMG
83	21365 33251	 * 	200.39	DCR|2VULN|2ASPD|3ZMB|1CDMG|1SELL	138ZMB|23BEXP|38BPWR|4SELL|58VULN|6RCR|78ASPD|9CDMG|aLHND
84	21365 33253	 * 	200.39	DCR|2VULN|2ASPD|3ZMB|1CDMG|1SELL	138ZMB|23BEXP|38BPWR|4SELL|58VULN|6RCR|78ASPD|9CDMG|aLWND
85	21365 33252	 * 	200.29	DCR|2VULN|2ASPD|3ZMB|1CDMG|1SELL|1MSE	138ZMB|23BEXP|38BPWR|4SELL|58VULN|6RCR|78ASPD|9CDMG|aMSE
86	21615 33233	   	200.21	DCR|2ASPD|3ZMB|1VULN|1DMG|1CDMG	18aZMB|248BEXP|3CDMG|5VULN|6RCR|78ASPD|8BPWR|9DMG
87	21563 33233	   	200.21	DCR|2ASPD|3ZMB|1VULN|1DMG|1CDMG	18aZMB|258BEXP|3VULN|4CDMG|6RCR|78ASPD|8BPWR|9DMG
88	21643 33233	   	200.21	DCR|2ASPD|3ZMB|1VULN|1DMG|1CDMG	18aZMB|258BEXP|3CDMG|4VULN|6RCR|78ASPD|8BPWR|9DMG
89	23365 33216	 * 	200.19	DCR|2VULN|2ASPD|3ZMB|1CDMG|1SELL	138ZMB|23DUST|38BPWR|4SELL|58VULN|6RCR|78ASPD|9LWND|aCDMG
90	23635 33231	 * 	199.62	DCR|1MDPS|2ASPD|1VULN|2CDMG|1DMG|2ZMB	18ZMB|248DUST|34CDMG|48BPWR|5VULN|6RCR|78ASPD|9DMG|aMDPS
91	21435 33126	   	199.02	DCR|3VULN|2CDMG|1ASPD|1AAC|2ZMB	19ZMB|2BEXP|3AAC|49CDMG|5CGEN|6RCR|7ASPD|89aVULN|9BPWR
92	21625 33126	   	199.02	DCR|3VULN|2CDMG|1ASPD|1AAC|2ZMB	19ZMB|2BEXP|39CDMG|4AAC|5CGEN|6RCR|7ASPD|89aVULN|9BPWR
93	23435 33126	   	198.92	DCR|3VULN|2CDMG|1ASPD|1AAC|2ZMB	19ZMB|2DUST|3AAC|49CDMG|5CGEN|6RCR|7ASPD|89aVULN|9BPWR
94	13126 33346	   	198.83	DCR|2ASPD|1VULN|2CDMG|1DMG|2ZMB	1LEGI|2RCVC|38CDMG|4BEXP|58ZMB|6RCR|78ASPD|8BPWR|9DMG|aVULN
95	23633 33354	 * 	198.70	DCR|2ASPD|1VULN|1AART|2CDMG|2ZMB	18ZMB|248DUST|34CDMG|48BPWR|5LWND|6RCR|78ASPD|9AART|aVULN
96	23635 33251	   	198.70	DCR|2ASPD|1VULN|1AART|2CDMG|2ZMB	18ZMB|248DUST|34CDMG|48BPWR|5VULN|6RCR|78ASPD|9AART|aLWND
97	23635 33252	   	198.70	DCR|2ASPD|1VULN|1AART|2CDMG|2ZMB	18ZMB|248DUST|34CDMG|48BPWR|5VULN|6RCR|78ASPD|9AART|aRMIN
98	23635 33253	   	198.70	DCR|2ASPD|1VULN|1AART|2CDMG|2ZMB	18ZMB|248DUST|34CDMG|48BPWR|5VULN|6RCR|78ASPD|9AART|aLHND
99	13114 66313	   	198.51	DCR|2VULN|2DMG|2CDMG|2DUR	1LEGI|2RCVC|3aCDMG|49DUR|5aDMG|6RPLT|7aVULN|8RCR|aBPWR
100	44321 32113	   	198.28	DCR|3DMG|2AART|1VULN	14LWND|29AART|345DMG|4BPWR|6RCR|7RCVC|8AME|aVULN
101	23635 33142	   	197.84	DCR|2VULN|2CDMG|1ASPD|1DMG|1ZMB	1ZMB|24DUST|34CDMG|4BPWR|58VULN|6RCR|7ASPD|9DMG|aBEXP
102	23635 33153	   	197.84	DCR|2VULN|2CDMG|1ASPD|1DMG|1ZMB	1ZMB|24DUST|34CDMG|4BPWR|58VULN|6RCR|7ASPD|9MLV|aDMG
103	31432 33166	   	197.81	DCR|3VULN|1ASPD|1DMG|1CDMG|1AAC	1TLV|2BEXP|3AAC|4CDMG|5ASPD|6RCR|7DMG|89aVULN
104	13132 54512	   	197.76	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB	1LEGI|2RCVC|3CDMG|4AART|5ERES|6RCR|7ASPD|89VULN|aZMB
105	13132 55512	   	197.76	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LEGI|2RCVC|3CDMG|4AART|5ERES|6RCR|7DMG|89VULN|aZMB
106	23635 33141	   	197.74	DCR|2VULN|2CDMG|1ASPD|1DMG|1ZMB	1ZMB|24DUST|34CDMG|4BPWR|58VULN|6RCR|7ASPD|9DMG|aERES
107	33432 33166	   	197.71	DCR|3VULN|1ASPD|1DMG|1CDMG|1AAC	1TLV|2DUST|3AAC|4CDMG|5ASPD|6RCR|7DMG|89aVULN
108	16362 33147	 * 	197.66	DCR|2VULN|2ASPD|1AART|1CDMG|1SELL	1LEGI|24VULN|3SELL|5aASPD|6RCR|7MBVNT|8AART|9CDMG
109	16362 33174	   	197.59	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB|1SELL	1LEGI|24VULN|3SELL|5ASPD|6RCR|7MBVNT|8AART|9ZMB|aDMG
110	26512 23312	 * 	197.24	DCR|3DMG|1MDPS|1AART|1VULN|1ZMB|1DUR	1ZMB|256DMG|3MDPS|456LIT|56BPWR|7RCR|8AART|9DUR|aVULN
111	23365 33143	   	197.19	DCR|2VULN|1ASPD|1DMG|1NUKE|2ZMB|1SELL	13ZMB|23DUST|3BPWR|4SELL|58VULN|6RCR|7ASPD|9DMG|aNUKE
112	23622 63151	 * 	196.74	ACR|2VULN|1AART|2CDMG|1ASPD|1DMG|2ZMB	1aZMB|2DUST|3aCDMG|4RCR|5RMIN|6ASPD|7DMG|8aVULN|9AART|aBPWR
113	13336 33365	 * 	196.61	DCR|3ASPD|3ZMB|1VULN|1CDMG	1LEGI|2RCVC|389DUST|4CDMG|589ZMB|6RCR|789ASPD|89BPWR|aVULN
114	44321 31413	   	196.47	DCR|3DMG|2AART|1VULN	14LWND|29AART|345DMG|4BPWR|6RCR|78TLV|aVULN
115	55432 33122	   	195.91	DCR|2VULN|2CDMG|1ASPD|1DMG|1AAC|1DUR	19BEXP|2TLV|3AAC|49CDMG|5ASPD|6RCR|7DMG|89VULN|9BPWR|aDUR
116	31432 33122	   	195.81	DCR|2VULN|2CDMG|1ASPD|1DMG|1AAC|1DUR	19TLV|2BEXP|3AAC|49CDMG|5ASPD|6RCR|7DMG|89VULN|9BPWR|aDUR
117	31434 33122	   	195.81	DCR|2VULN|2CDMG|1ASPD|1DMG|1AAC|1DUR	19TLV|2BEXP|3AAC|49CDMG|5DMG|6RCR|7ASPD|89VULN|9BPWR|aDUR
118	31662 33122	   	195.81	DCR|2VULN|2CDMG|1ASPD|1DMG|1NUKE|1DUR	19TLV|2BEXP|39CDMG|4NUKE|5ASPD|6RCR|7DMG|89VULN|9BPWR|aDUR
119	31664 33122	   	195.81	DCR|2VULN|2CDMG|1ASPD|1DMG|1NUKE|1DUR	19TLV|2BEXP|39CDMG|4NUKE|5DMG|6RCR|7ASPD|89VULN|9BPWR|aDUR
120	44321 32243	   	195.75	DCR|3DMG|1VULN|1AART|2DUR	14LWND|2AART|345DMG|4BPWR|6RCR|7RCVC|8aDUR|9VULN
121	13132 54513	   	195.73	DCR|2VULN|1AART|1ASPD|1CDMG|1DUR	1LEGI|2RCVC|3CDMG|4AART|5ERES|6RCR|7ASPD|89VULN|aDUR
122	13132 55513	   	195.73	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1LEGI|2RCVC|3CDMG|4AART|5ERES|6RCR|7DMG|89VULN|aDUR
123	21365 32233	 * 	195.71	DCR|2VULN|2DMG|3ZMB|1DUR|1SELL	13aZMB|23BEXP|3aBPWR|4SELL|5aVULN|6RCR|7DUR|8DUST|9aDMG
124	33432 33122	   	195.71	DCR|2VULN|2CDMG|1ASPD|1DMG|1AAC|1DUR	19TLV|2DUST|3AAC|49CDMG|5ASPD|6RCR|7DMG|89VULN|9BPWR|aDUR
125	33434 33122	   	195.71	DCR|2VULN|2CDMG|1ASPD|1DMG|1AAC|1DUR	19TLV|2DUST|3AAC|49CDMG|5DMG|6RCR|7ASPD|89VULN|9BPWR|aDUR
126	33662 33122	   	195.71	DCR|2VULN|2CDMG|1ASPD|1DMG|1NUKE|1DUR	19TLV|2DUST|39CDMG|4NUKE|5ASPD|6RCR|7DMG|89VULN|9BPWR|aDUR
127	33664 33122	   	195.71	DCR|2VULN|2CDMG|1ASPD|1DMG|1NUKE|1DUR	19TLV|2DUST|39CDMG|4NUKE|5DMG|6RCR|7ASPD|89VULN|9BPWR|aDUR
128	23635 33216	   	195.69	DCR|2ASPD|3ZMB|1VULN|2CDMG|1DUR	18aZMB|248DUST|34CDMG|48BPWR|5VULN|6RCR|78ASPD|9DUR
129	13532 33341	   	195.62	DCR|3DMG|2ASPD|1CDMG|1DUR	1LEGI|2RCVC|38BEXP|4CDMG|58ASPD|6RCR|789DMG|8BPWR|aDUR
130	13534 33341	   	195.62	DCR|3DMG|2ASPD|1CDMG|1DUR	1LEGI|2RCVC|38BEXP|4CDMG|589DMG|6RCR|78ASPD|8BPWR|aDUR
131	23365 32333	 * 	195.61	DCR|2VULN|2DMG|3ZMB|1DUR|1SELL	13aZMB|23DUST|3aBPWR|4SELL|5aVULN|6RCR|7DUR|8FEWX|9aDMG
132	23633 33166	   	195.60	DCR|3VULN|2CDMG|1ASPD|1ZMB	1ZMB|24DUST|34CDMG|4BPWR|5LWND|6RCR|7ASPD|89aVULN
133	31436 33126	   	195.60	DCR|3VULN|2CDMG|1ASPD|1AAC|1ZMB	19TLV|2BEXP|3AAC|49CDMG|5ZMB|6RCR|7ASPD|89aVULN|9BPWR
134	13122 33153	   	195.51	DCR|1AART|1VULN|1ASPD|1DMG|1CDMG|1DUR	1LEGI|2RCVC|3CDMG|4BEXP|5ASPD|6RCR|7DMG|8VULN|9AART|aDUR
135	13124 33153	   	195.51	DCR|1AART|1VULN|1ASPD|1DMG|1CDMG|1DUR	1LEGI|2RCVC|3CDMG|4BEXP|5DMG|6RCR|7ASPD|8VULN|9AART|aDUR
136	13532 33153	   	195.51	DCR|1AART|1VULN|1ASPD|1DMG|1CDMG|1DUR	1LEGI|2RCVC|3BEXP|4CDMG|5ASPD|6RCR|7DMG|8VULN|9AART|aDUR
137	13534 33153	   	195.51	DCR|1AART|1VULN|1ASPD|1DMG|1CDMG|1DUR	1LEGI|2RCVC|3BEXP|4CDMG|5DMG|6RCR|7ASPD|8VULN|9AART|aDUR
138	33436 33126	   	195.50	DCR|3VULN|2CDMG|1ASPD|1AAC|1ZMB	19TLV|2DUST|3AAC|49CDMG|5ZMB|6RCR|7ASPD|89aVULN|9BPWR
139	13534 33351	   	195.44	DCR|2DMG|2ASPD|1AART|1CDMG	1LEGI|2RCVC|38BEXP|4CDMG|58DMG|6RCR|78ASPD|8BPWR|9AART|aFEWX
140	13532 33351	   	195.44	DCR|2DMG|2ASPD|1AART|1CDMG	1LEGI|2RCVC|38BEXP|4CDMG|58ASPD|6RCR|78DMG|8BPWR|9AART|aFEWX
141	13532 33355	   	195.44	DCR|2DMG|2ASPD|1AART|1CDMG	1LEGI|2RCVC|38BEXP|4CDMG|58ASPD|6RCR|78DMG|8BPWR|9AART|aBELT
142	13532 33356	   	195.44	DCR|2DMG|2ASPD|1AART|1CDMG	1LEGI|2RCVC|38BEXP|4CDMG|58ASPD|6RCR|78DMG|8BPWR|9AART|aLIT
143	13532 33366	   	195.44	DCR|2DMG|2ASPD|1VULN|1CDMG	1LEGI|2RCVC|38BEXP|4CDMG|58ASPD|6RCR|78DMG|8BPWR|9RMIN|aVULN
144	13332 33341	   	195.42	DCR|3DMG|2ASPD|1CDMG|1DUR	1LEGI|2RCVC|38DUST|4CDMG|58ASPD|6RCR|789DMG|8BPWR|aDUR
145	13334 33341	   	195.42	DCR|3DMG|2ASPD|1CDMG|1DUR	1LEGI|2RCVC|38DUST|4CDMG|589DMG|6RCR|78ASPD|8BPWR|aDUR
