0	Index      	 *	Score 	Summary	Detail	
1	66126 21122	 * 	211.11	DCR|1SPLARM|2VULN|2ASPD|1AART|1AAC	1aASPD|2LWND|3AAC|4aVULN|5LIT|6RCR|7AART|8SPLARM|9aFEWX|aBPWR
114	33611 61342	   	186.15	DCR|3VULN|1DMG|1CDMG|1AAC|1DUR	1BEXP|2AAC|39aVULN|4DUR|5LIT|6RCR|7CDMG|8DMG
115	63325 62113	   	186.07	DCR|3VULN|1MDPS|2ASPD|2DUR	17ASPD|2RMIN|37DUR|47aVULN|5MDPS|6RCVC|7BPWR|8LWND|9RCR
116	63325 62313	   	186.07	DCR|3VULN|1MDPS|2ASPD|2DUR	17ASPD|2RMIN|37DUR|47aVULN|5MDPS|6RCVC|7BPWR|8LHND|9RCR
117	63341 62113	   	186.07	DCR|3VULN|1MDPS|2ASPD|2DUR	17ASPD|2RMIN|37DUR|4MDPS|57aVULN|6RCVC|7BPWR|8LWND|9RCR
118	63341 62313	   	186.07	DCR|3VULN|1MDPS|2ASPD|2DUR	17ASPD|2RMIN|37DUR|4MDPS|57aVULN|6RCVC|7BPWR|8LHND|9RCR
119	63521 42212	   	186.06	DCR|3VULN|1MDPS|2ASPD|1CDMG	17ASPD|2RMIN|37aVULN|4CDMG|5LWND|67DUST|7BPWR|8MDPS|9RCR
120	63522 31212	   	186.06	DCR|3VULN|2ASPD|1CDMG	18ASPD|2RMIN|35aVULN|4CDMG|6LEGI|7RPLT|9RCR
121	33611 61312	   	185.90	DCR|2VULN|2DMG|1CDMG|1AAC|1DUR	1BEXP|2AAC|3aVULN|4DUR|5LIT|6RCR|7CDMG|89DMG
122	33611 61341	   	185.90	DCR|2VULN|2DMG|1CDMG|1AAC|1DUR	1BEXP|2AAC|39VULN|4DUR|5LIT|6RCR|7CDMG|8aDMG
123	66222 22226	   	185.88	DCR|3VULN|2CDMG|1ASPD|1DUR	1ASPD|28LWND|3LHND|4AELBLL|589VULN|6DUR|78CDMG|8BPWR|aRCR
124	63221 11522	   	185.87	DCR|4VULN|1ASPD|1ZMB	1ASPD|2RMIN|3LWND|468aVULN|5FEWX|7RCR|9ZMB
125	12448 14425	   	185.86	DCR|3VULN|1ASPD|1DMG|1DUR	1AME|2DUST|3MBVNT|4DMG|567VULN|8RCR|9DUR|aASPD
126	63541 32113	   	185.86	DCR|4VULN|1MDPS|2ASPD	17ASPD|2RMIN|357aVULN|4MDPS|67LHND|7BPWR|8LWND|9RCR
127	63323 61533	   	185.81	DCR|2VULN|1ASPD|1DMG|2DUR|1ZMB	1ASPD|2RMIN|36DUR|48VULN|5LHND|7RCR|9DMG|aZMB
128	63541 32313	   	185.76	DCR|4VULN|1MDPS|2ASPD	17ASPD|2RMIN|357aVULN|4MDPS|67LHND|7BPWR|8LEGI|9RCR
129	63551 44423	   	185.75	DCR|4VULN|1ASPD|1DUR	1ASPD|2RMIN|347aVULN|5MBVNT|6RCR|8RPLT|9DUR
130	61511 61111	 * 	185.69	DCR|2DMG|1VULN|1ASPD|1CDMG|1DUR	1ASPD|2FEWX|3VULN|4DUR|5LIT|6RCR|7CDMG|8AME|9aDMG
131	65221 61111	   	185.69	DCR|2DMG|1VULN|1ASPD|1CDMG|1DUR	1ASPD|2DUR|3LHND|4VULN|5LIT|6RCR|7CDMG|8AME|9aDMG
132	31312 31532	   	185.59	DCR|3VULN|2DMG|1DUR	1BEXP|2AELBLL|3DUR|4MLV|58aVULN|69DMG|7RCR
133	32312 31532	   	185.59	DCR|3VULN|2DMG|1DUR	12BEXP|3DUR|4MLV|58aVULN|69DMG|7RCR
134	36214 31532	   	185.59	DCR|3VULN|2DMG|1DUR	15BEXP|28aVULN|3MLV|4DUR|69DMG|7RCR
135	61511 61311	 * 	185.59	DCR|2DMG|1VULN|1ASPD|1NUKE|1CDMG|1DUR	1ASPD|2FEWX|3VULN|4DUR|5LIT|6RCR|7CDMG|8NUKE|9aDMG
136	62511 61111	   	185.59	DCR|2DMG|1VULN|1ASPD|1CDMG|1DUR	1ASPD|2DUST|3VULN|4DUR|5LIT|6RCR|7CDMG|8AME|9aDMG
137	65221 61311	   	185.59	DCR|2DMG|1VULN|1ASPD|1NUKE|1CDMG|1DUR	1ASPD|2DUR|3LHND|4VULN|5LIT|6RCR|7CDMG|8NUKE|9aDMG
138	61523 11235	   	185.50	DCR|2VULN|1AART|1ASPD|1DMG	1ASPD|2FEWX|36VULN|4TLV|5DUST|7RCR|8SNIFST|9AART|aDMG
139	62521 11235	   	185.50	DCR|2VULN|1AART|1ASPD|1DMG	1ASPD|2DUST|36VULN|4TLV|5FEWX|7RCR|8SNIFST|9AART|aDMG
140	62511 61311	   	185.49	DCR|2DMG|1VULN|1ASPD|1NUKE|1CDMG|1DUR	1ASPD|2DUST|3VULN|4DUR|5LIT|6RCR|7CDMG|8NUKE|9aDMG
141	63421 42632	   	185.06	DCR|3VULN|1ASPD|1DMG	1ASPD|2RMIN|3RCVC|48aVULN|5MBVNT|6RCR|7LHND|9DMG
142	63421 44332	   	185.06	DCR|3VULN|1ASPD|1DMG	1ASPD|2RMIN|3RCVC|47aVULN|5MBVNT|6RCR|8LWND|9DMG
143	63511 11335	   	184.91	DCR|2DMG|1VULN|1AART|1ASPD	1ASPD|2RMIN|3VULN|4VENFST|5BEXP|6RCR|7CGEN|8aDMG|9AART
144	63512 11335	   	184.91	DCR|2DMG|1AART|1VULN|1ASPD	1ASPD|2RMIN|3VULN|4VENFST|5LWND|6RCR|7CGEN|8aDMG|9AART
145	63511 13335	   	184.81	DCR|2DMG|1VULN|1AART|1ASPD	1ASPD|2RMIN|3VULN|4VENFST|5BEXP|6RCR|7ERES|8aDMG|9AART
146	63512 13335	   	184.81	DCR|2DMG|1AART|1VULN|1ASPD	1ASPD|2RMIN|3VULN|4VENFST|5LWND|6RCR|7ERES|8aDMG|9AART
147	63531 42632	   	184.76	DCR|3VULN|1ASPD|1DMG	1ASPD|2RMIN|38aVULN|4RCVC|5MBVNT|6RCR|7LHND|9DMG
148	63531 44332	   	184.76	DCR|3VULN|1ASPD|1DMG	1ASPD|2RMIN|37aVULN|4RCVC|5MBVNT|6RCR|8LWND|9DMG
149	61423 24231	 * 	184.52	ACR|3VULN|3ASPD|1AART	168ASPD|258FEWX|3RPLT|4RCR|78aVULN|8BPWR|9AART
150	31135 26531	   	184.41	DCR|2VULN|1ASPD|1DMG|1CDMG|1ZMB	1BEXP|2AELBLL|3ERES|4CDMG|5aVULN|6DMG|7ZMB|8ASPD|9RCR
151	32135 26531	   	184.41	DCR|2VULN|1ASPD|1DMG|1CDMG|1ZMB	12BEXP|3ERES|4CDMG|5aVULN|6DMG|7ZMB|8ASPD|9RCR
152	61453 32221	   	184.39	DCR|2VULN|2ASPD|1AART|1ZMB	17ASPD|257FEWX|3RPLT|47VULN|6RMIN|7BPWR|8ZMB|9AART|aRCR
153	36433 11533	   	184.35	DCR|3VULN|1DMG|1CDMG|1DUR	1BEXP|248VULN|345LHND|4BPWR|6DUR|7RCR|9DMG|aCDMG
154	63552 11213	   	184.25	DCR|3VULN|1ASPD|1CDMG|1DUR	1ASPD|2RMIN|349VULN|5BEXP|6DUR|7RCR|8MLV|aCDMG
155	15324 61222	   	184.25	DCR|3VULN|1ASPD|1CDMG|1DUR	1AME|2DUR|3DMSP|4ASPD|5CDMG|6RMIN|7RCR|89aVULN
156	31522 11561	   	184.25	DCR|3VULN|1ASPD|1CDMG|1DUR	1BEXP|2AELBLL|35aVULN|4CDMG|6AME|7RCR|8ASPD|9DUR
157	32522 11561	   	184.25	DCR|3VULN|1ASPD|1CDMG|1DUR	12BEXP|35aVULN|4CDMG|6AME|7RCR|8ASPD|9DUR
158	63522 11432	   	184.25	DCR|3VULN|1ASPD|1CDMG|1DUR	1ASPD|2RMIN|35aVULN|4CDMG|69AME|7RCR|8DUR
159	13553 11533	   	184.25	DCR|3VULN|1DMG|1CDMG|1DUR	1AME|2RMIN|348VULN|5BEXP|6DUR|7RCR|9DMG|aCDMG
160	15621 21533	   	184.25	DCR|3VULN|1DMG|1CDMG|1DUR	1AME|2DUR|348VULN|5MLV|6BEXP|7RCR|9DMG|aCDMG
161	31323 11533	   	184.25	DCR|3VULN|1DMG|1CDMG|1DUR	1BEXP|2AELBLL|3DUR|468VULN|5LHND|7RCR|9DMG|aCDMG
162	32323 11533	   	184.25	DCR|3VULN|1DMG|1CDMG|1DUR	12BEXP|3DUR|468VULN|5LHND|7RCR|9DMG|aCDMG
163	36423 11533	   	184.25	DCR|3VULN|1DMG|1CDMG|1DUR	1BEXP|248VULN|35LHND|6DUR|7RCR|9DMG|aCDMG
164	13522 31561	   	184.15	DCR|3VULN|1ASPD|1CDMG|1AAC|1DUR	1AME|2RMIN|35aVULN|4CDMG|6AAC|7RCR|8ASPD|9DUR
165	15623 21533	   	184.15	DCR|3VULN|1DMG|1CDMG|1DUR	1AME|2DUR|348VULN|5TLV|6BEXP|7RCR|9DMG|aCDMG
