0	Index      	 *	Score 	Summary	Detail	
1	51211 46231	 * 	200.49	DCR|3ASPD|1AART|1DMG|1CDMG|2DUR	18DUR|28CANARM|3LWND|4CDMG|58aASPD|6RCR|7AART|8BPWR|9DMG
12	11311 44142	 * 	193.15	DCR|2VULN|1MDPS|1AART|1ASPD|1CDMG	1LWND|2CANARM|38VULN|4CDMG|5ASPD|6RCR|7CGEN|9AART|aMDPS
13	11311 46422	   	193.15	DCR|2VULN|1MDPS|1AART|1ASPD|1CDMG	1LWND|2CANARM|39VULN|4CDMG|5ASPD|6RCR|7AART|8RMIN|aMDPS
14	53311 32633	 * 	193.05	DCR|2VULN|2CDMG|1ASPD|1DMG|2DUR	17DUR|2TLV|36CDMG|48VULN|5ASPD|9DMG|aRCR
15	11311 46325	   	192.09	DCR|2VULN|1AART|1ASPD|1CDMG|1DUR	1LWND|2CANARM|3aVULN|4CDMG|5ASPD|6RCR|7AART|8LIT|9DUR
16	11311 46136	   	191.78	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1LWND|2CANARM|3VULN|4CDMG|5ASPD|6RCR|7AART|8DMSP|9DMG|aDUR
17	11311 46236	   	191.78	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	18LWND|2CANARM|3VULN|4CDMG|5ASPD|6RCR|7AART|9DMG|aDUR
18	24343 32131	 * 	191.63	DCR|2VULN|2DMG|2ASPD	1FEWX|26ASPD|3ERES|4AME|56VULN|6BPWR|7DUST|8RCR|9aDMG
19	24363 32131	   	191.63	DCR|2VULN|2DMG|2ASPD	1FEWX|26ASPD|3ERES|4CGEN|56VULN|6BPWR|7DUST|8RCR|9aDMG
20	54133 51321	   	190.65	DCR|2ASPD|1VULN|1DMG|1CDMG|1ZMB|1DUR	1DUR|29ASPD|34BEXP|5VULN|6ZMB|7RCR|8DMG|aCDMG
21	55333 51321	   	190.65	DCR|2ASPD|1VULN|1DMG|1CDMG|1ZMB|1DUR	1DUR|24BEXP|39ASPD|5VULN|6ZMB|7RCR|8DMG|aCDMG
22	34513 21323	   	190.41	DCR|2ASPD|1VULN|1DMG|1CDMG|1ZMB|1DUR|1SELL	1LHND|29ASPD|3CDMG|4VULN|5SELL|6DUR|7RCR|8DMG|aZMB
23	21211 26542	   	190.01	DCR|2VULN|2ASPD|1AART|1CDMG	1FEWX|28CANARM|3LWND|4CDMG|58ASPD|6TLV|78VULN|8BPWR|9AART|aRCR
24	34516 21333	 * 	190.01	DCR|3VULN|1ASPD|1DMG|1CDMG	15LHND|2ASPD|3CDMG|458VULN|5BPWR|6ERES|7LWND|9DMG|aRCR
25	53311 33355	   	189.81	DCR|2VULN|2CDMG|1ASPD|1DMG|1DUR	1DUR|2TLV|36CDMG|4aVULN|5ASPD|7RPLT|8DMG|9RCR
26	26361 31236	 * 	189.61	DCR|2VULN|2ASPD|1AART|2DUR	18FEWX|2LWND|38ASPD|4AART|5BEXP|6aVULN|78DUR|8BPWR|9RCR
27	53311 36142	 * 	189.58	DCR|3VULN|2CDMG|1ASPD|1DUR	1DUR|2TLV|36CDMG|49aVULN|5ASPD|7BELT|8RCR
28	34513 21311	   	189.53	DCR|1AART|1VULN|1ASPD|1DMG|1CDMG|1DUR|1SELL	1LHND|2ASPD|3CDMG|4VULN|5SELL|6DUR|7RCR|8DMG|9DUST|aAART
29	26361 31235	 * 	189.29	DCR|2ASPD|1VULN|1AART|1DMG|2DUR	18FEWX|2LWND|38ASPD|4AART|5BEXP|6VULN|78DUR|8BPWR|9RCR|aDMG
30	14251 41348	 * 	189.07	DCR|3ASPD|2VULN|1DMG	1aLWND|26aASPD|3LEGI|4MBVNT|5CGEN|7RCR|8DMG|9aVULN|aBPWR
31	61122 46323	 * 	189.02	DCR|3VULN|3DMG|1MDPS|1SELL	1BELT|267DMG|3MDPS|468VULN|5SELL|6BPWR|9RCR|aRCVC
32	61122 46321	 * 	188.69	DCR|3VULN|3DMG|1MDPS|1SELL	1BELT|267DMG|3MDPS|468VULN|5SELL|6BPWR|9RCR|aFEWX
33	61122 46322	 * 	188.59	DCR|3VULN|3DMG|1MDPS|1SELL	1BELT|267DMG|3MDPS|468VULN|5SELL|6BPWR|9RCR|aDUST
34	24133 51351	   	188.51	DCR|2VULN|1ASPD|1DMG|1CDMG|1ZMB	1FEWX|2ASPD|34BEXP|59VULN|6ZMB|7RCR|8DMG|aCDMG
35	25333 51351	   	188.51	DCR|2VULN|1ASPD|1DMG|1CDMG|1ZMB	1FEWX|24BEXP|3ASPD|59VULN|6ZMB|7RCR|8DMG|aCDMG
36	51211 46232	 * 	188.41	DCR|1MDPS|2ASPD|1AART|1DMG|1CDMG|2DUR	18DUR|28CANARM|3LWND|4CDMG|58ASPD|6RCR|7AART|8BPWR|9DMG|aMDPS
37	11311 43321	   	188.38	DCR|2VULN|1ASPD|1DMG|1CDMG|1DUR	1LWND|2CANARM|38VULN|4CDMG|5ASPD|6RCR|7DUR|9FEWX|aDMG
38	11311 43341	   	188.38	DCR|2VULN|1ASPD|1DMG|1CDMG|1DUR	1LWND|2CANARM|38VULN|4CDMG|5ASPD|6RCR|7DUR|9BEXP|aDMG
39	34513 11353	   	188.26	DCR|2VULN|1ASPD|1DMG|1CDMG|1ZMB|1SELL	1LHND|2ASPD|3CDMG|49VULN|5SELL|6FEWX|7RCR|8DMG|aZMB
40	11311 54361	   	188.13	DCR|2VULN|1AART|1ASPD|1CDMG|1DUR	1LWND|2CANARM|3aVULN|4CDMG|5ASPD|6RCVC|7AART|8DUR|9RCR
41	11311 46132	 * 	188.10	DCR|1MDPS|1VULN|1AART|1ASPD|1DMG|1CDMG	1LWND|2CANARM|3VULN|4CDMG|5ASPD|6RCR|7AART|8DMSP|9DMG|aMDPS
42	11311 46232	   	188.10	DCR|1MDPS|1VULN|1AART|1ASPD|1DMG|1CDMG	18LWND|2CANARM|3VULN|4CDMG|5ASPD|6RCR|7AART|9DMG|aMDPS
43	34512 32315	   	187.91	DCR|2VULN|2CDMG|1ASPD|1DMG|1DUR	1LHND|2ASPD|36CDMG|48VULN|5DMG|7DUR|9LWND|aRCR
44	61124 32161	   	187.62	DCR|2VULN|2DMG|1MDPS|1ASPD|1DUR	1BELT|25DMG|3MDPS|48VULN|6DUST|7RCR|9ASPD|aDUR
45	34513 21321	 * 	187.50	DCR|2ASPD|1VULN|2CDMG|1DMG|1DUR|1SELL	1LHND|29ASPD|3aCDMG|4VULN|5SELL|6DUR|7RCR|8DMG
46	51211 43631	   	187.46	DCR|2ASPD|1AART|1DMG|1CDMG|2DUR	17DUR|2CANARM|3LWND|4CDMG|5aASPD|6RCR|8AART|9DMG
47	51211 46233	   	187.46	DCR|2ASPD|1AART|1DMG|1CDMG|2DUR	18DUR|28CANARM|3LWND|4CDMG|58ASPD|6RCR|7AART|8BPWR|9DMG|aERES
48	61522 31126	 * 	187.40	DCR|2DMG|2ASPD|1AART|1CDMG	1BELT|29DMG|357ERES|49ASPD|6AART|8RCR|9BPWR|aCDMG
49	54133 51323	   	187.33	DCR|3ASPD|1VULN|1DMG|1ZMB|1DUR	1DUR|29aASPD|34BEXP|5VULN|6ZMB|7RCR|8DMG
50	55333 51323	   	187.33	DCR|3ASPD|1VULN|1DMG|1ZMB|1DUR	1DUR|24BEXP|39aASPD|5VULN|6ZMB|7RCR|8DMG
51	53311 33351	 * 	187.01	DCR|2DMG|1VULN|2CDMG|1ASPD|1DUR	1DUR|2TLV|36CDMG|4VULN|5ASPD|7RPLT|8aDMG|9RCR
52	24343 32133	   	186.97	DCR|3ASPD|2VULN|1DMG	1FEWX|26aASPD|3ERES|4AME|56VULN|6BPWR|7DUST|8RCR|9DMG
53	24363 32133	   	186.97	DCR|3ASPD|2VULN|1DMG	1FEWX|26aASPD|3ERES|4CGEN|56VULN|6BPWR|7DUST|8RCR|9DMG
54	21211 46231	   	186.94	DCR|3ASPD|1AART|1DMG|1CDMG	18FEWX|28CANARM|3LWND|4CDMG|58aASPD|6RCR|7AART|8BPWR|9DMG
55	31211 46231	   	186.94	DCR|3ASPD|1AART|1DMG|1CDMG	18LHND|28CANARM|3LWND|4CDMG|58aASPD|6RCR|7AART|8BPWR|9DMG
56	61341 22241	 * 	186.93	DCR|3VULN|2DMG|2DUR	1BELT|28DMG|3DMSP|48aVULN|5CGEN|6ERES|78DUR|8BPWR|9RCR
57	61342 22241	   	186.93	DCR|3VULN|2DMG|2DUR	1BELT|28DMG|3DMSP|48aVULN|5ERES|6CGEN|78DUR|8BPWR|9RCR
58	24133 51353	   	186.48	DCR|2VULN|2ASPD|1DMG|1ZMB	1FEWX|2aASPD|34BEXP|59VULN|6ZMB|7RCR|8DMG
59	25333 51353	   	186.48	DCR|2VULN|2ASPD|1DMG|1ZMB	1FEWX|24BEXP|3aASPD|59VULN|6ZMB|7RCR|8DMG
60	34516 21133	 * 	186.39	DCR|2VULN|2ASPD|1DMG|1CDMG	15LHND|28ASPD|3CDMG|45VULN|5BPWR|6ERES|7LWND|9DMG|aRCR
61	34511 21333	   	186.29	DCR|2VULN|2ASPD|1DMG|1CDMG	1LHND|25ASPD|3CDMG|48VULN|6ERES|7LWND|9DMG|aRCR
62	34513 21352	   	186.23	DCR|2VULN|1ASPD|1DMG|1CDMG|1DUR|1SELL	1LHND|2ASPD|3CDMG|49VULN|5SELL|6DUR|7RCR|8DMG|aLWND
63	11311 43362	   	186.15	DCR|3VULN|1ASPD|1CDMG|1DUR	1LWND|2CANARM|389VULN|4CDMG|5ASPD|6RCR|7DUR|aLHND
64	11311 43364	   	186.15	DCR|3VULN|1ASPD|1CDMG|1DUR	1LWND|2CANARM|389VULN|4CDMG|5ASPD|6RCR|7DUR|aRPLT
65	11311 54432	   	186.13	DCR|1MDPS|1VULN|1AART|1ASPD|1DMG|1CDMG	1LWND|2CANARM|3VULN|4CDMG|5ASPD|6RCVC|7AART|8RCR|9DMG|aMDPS
66	54343 31111	   	186.06	DCR|2VULN|2ASPD|1AART|1DUR	1DUR|26ASPD|3ERES|4AME|56VULN|6BPWR|7FEWX|8RCR|9DUST|aAART
67	54363 31111	   	186.06	DCR|2VULN|2ASPD|1AART|1DUR	1DUR|26ASPD|3ERES|4CGEN|56VULN|6BPWR|7FEWX|8RCR|9DUST|aAART
68	11311 43361	   	186.05	DCR|3VULN|1ASPD|1CDMG|1DUR	1LWND|2CANARM|389VULN|4CDMG|5ASPD|6RCR|7DUR|aERES
69	11311 43363	   	186.05	DCR|3VULN|1ASPD|1CDMG|1DUR|1MSE	1LWND|2CANARM|389VULN|4CDMG|5ASPD|6RCR|7DUR|aMSE
70	11311 43365	   	186.05	DCR|3VULN|1ASPD|1CDMG|1DUR|1SELL	1LWND|2CANARM|389VULN|4CDMG|5ASPD|6RCR|7DUR|aSELL
71	11311 43366	   	186.05	DCR|3VULN|1ASPD|1CDMG|1DUR	1LWND|2CANARM|389VULN|4CDMG|5ASPD|6RCR|7DUR|aBASFIG
72	61124 32122	   	185.83	DCR|2VULN|1MDPS|2DMG|1CDMG|1ZMB	1BELT|25DMG|3MDPS|48VULN|6DUST|7RCR|9ZMB|aCDMG
73	53325 41231	   	185.68	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1DUR|2TLV|3CDMG|4DUST|5AART|6VULN|7MLV|8DMG|9RCR|aASPD
74	53325 43231	   	185.68	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1DUR|2TLV|3CDMG|4DUST|5AART|6VULN|7AME|8DMG|9RCR|aASPD
75	15613 23335	 * 	185.49	DCR|3VULN|2DMG|1MDPS|1DUR	1LWND|2BEXP|3DUR|48DMG|59aVULN|6MDPS|7RCR
76	35313 23335	   	185.49	DCR|3VULN|1MDPS|2DMG|1DUR	1LHND|2BEXP|3DUR|48DMG|59aVULN|6MDPS|7RCR
77	36613 23335	   	185.49	DCR|3VULN|2DMG|1MDPS|1DUR	1LHND|2LWND|3DUR|48DMG|59aVULN|6MDPS|7RCR
78	55213 23335	   	185.49	DCR|3VULN|1MDPS|2DMG|1DUR	1DUR|2BEXP|3LHND|48DMG|59aVULN|6MDPS|7RCR
79	56213 23335	   	185.49	DCR|3VULN|2DMG|1MDPS|1DUR	1DUR|2LWND|3LHND|48DMG|59aVULN|6MDPS|7RCR
80	25413 51321	   	185.47	DCR|2DMG|1VULN|1ASPD|1CDMG|1ZMB|1SELL	1FEWX|2BEXP|3SELL|4CDMG|5VULN|6ZMB|7RCR|8aDMG|9ASPD
81	34513 11351	   	185.36	DCR|2VULN|2CDMG|1ASPD|1DMG|1SELL	1LHND|2ASPD|3aCDMG|49VULN|5SELL|6FEWX|7RCR|8DMG
82	34513 21324	 * 	185.32	DCR|2ASPD|1VULN|1DMG|1CDMG|2DUR|1SELL	1LHND|29ASPD|3CDMG|4VULN|5SELL|6aDUR|7RCR|8DMG
83	61141 62311	 * 	184.81	DCR|2DMG|1MDPS|1VULN|1AART|1ASPD	18BELT|24DMG|3MDPS|4BPWR|5ASPD|6RCR|7AART|9LWND|aVULN
84	61112 62243	 * 	184.71	DCR|2DMG|1MDPS|1VULN|1AART|1ASPD|1AAC	1BELT|25DMG|3MDPS|4AAC|6RCR|7AART|8BEXP|9ASPD|aVULN
85	61141 62131	   	184.61	DCR|2DMG|1MDPS|1VULN|1AART|1ASPD	1BELT|24DMG|3MDPS|4BPWR|5ASPD|6RCR|7AART|89DUST|aVULN
86	24343 32134	   	184.38	DCR|2VULN|2ASPD|1DMG|1ZMB	1FEWX|26ASPD|3ERES|4AME|56VULN|6BPWR|7DUST|8RCR|9DMG|aZMB
87	24363 32134	   	184.38	DCR|2VULN|2ASPD|1DMG|1ZMB	1FEWX|26ASPD|3ERES|4CGEN|56VULN|6BPWR|7DUST|8RCR|9DMG|aZMB
88	11224 35352	   	184.18	DCR|2VULN|1AART|1ASPD|1ZMB|1DUR	13LWND|2CANARM|45VULN|6ZMB|7RCR|8DUR|9ASPD|aAART
89	51211 36142	   	184.09	DCR|2VULN|1AART|1ASPD|1CDMG|1DUR	1DUR|2CANARM|3LWND|4CDMG|5ASPD|6RMIN|78VULN|9AART|aRCR
90	51514 21212	 * 	184.08	DCR|2AART|2DMG|3DUR|1ZMB	138DUR|238CANARM|38BPWR|46AART|58DMG|7RCR|9AME|aZMB
91	34511 33116	 * 	184.02	DCR|3VULN|2ASPD|1CDMG|1SELL	16LHND|25ASPD|3CDMG|469VULN|6BPWR|7SELL|8BEXP|aRCR
92	51211 26142	   	183.99	DCR|2VULN|1AART|1ASPD|1CDMG|1DUR	1DUR|2CANARM|3LWND|4CDMG|5ASPD|6TLV|78VULN|9AART|aRCR
93	51514 21232	   	183.98	DCR|2AART|2DMG|3DUR|1ZMB	138DUR|238CANARM|38BPWR|46AART|58DMG|7RCR|9TLV|aZMB
94	11311 46531	   	183.80	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG	1LWND|2CANARM|3VULN|4CDMG|5ASPD|6RCR|7AART|8RPLT|9DMG|aRCVC
95	11311 46315	   	183.79	DCR|2VULN|1AART|1ASPD|1CDMG	1LWND|2CANARM|3aVULN|4CDMG|5ASPD|6RCR|7AART|8LIT|9LHND
96	11311 46341	   	183.79	DCR|2VULN|1AART|1ASPD|1CDMG	1LWND|2CANARM|39VULN|4CDMG|5ASPD|6RCR|7AART|8LIT|aBEXP
97	11311 46411	   	183.79	DCR|2VULN|1AART|1ASPD|1CDMG	1LWND|2CANARM|3aVULN|4CDMG|5ASPD|6RCR|7AART|8RMIN|9CGEN
98	11311 44143	   	183.69	DCR|2VULN|1AART|1ASPD|1CDMG	1LWND|2CANARM|38VULN|4CDMG|5ASPD|6RCR|7CGEN|9AART|aERES
99	11311 46334	   	183.69	DCR|2VULN|1AART|1ASPD|1CDMG	1LWND|2CANARM|3aVULN|4CDMG|5ASPD|6RCR|7AART|8LIT|9ERES
100	11311 46342	   	183.69	DCR|2VULN|1AART|1ASPD|1CDMG	1LWND|2CANARM|39VULN|4CDMG|5ASPD|6RCR|7AART|8LIT|aERES
101	11311 46343	   	183.69	DCR|2VULN|1AART|1ASPD|1CDMG|1MSE	1LWND|2CANARM|39VULN|4CDMG|5ASPD|6RCR|7AART|8LIT|aMSE
102	11311 46423	   	183.69	DCR|2VULN|1AART|1ASPD|1CDMG	1LWND|2CANARM|39VULN|4CDMG|5ASPD|6RCR|7AART|8RMIN|aERES
103	11214 44221	 * 	183.61	DCR|2VULN|2AART|1DMG	13LWND|2CANARM|49AART|5DMG|6RCR|78VULN|aFEWX
104	11214 44222	   	183.61	DCR|2VULN|2AART|1DMG	13LWND|2CANARM|49AART|5DMG|6RCR|78VULN|aDMSP
105	11214 44223	   	183.61	DCR|2VULN|2AART|1DMG	13LWND|2CANARM|49AART|5DMG|6RCR|78VULN|aRPLT
106	11311 46134	   	183.47	DCR|1AART|1VULN|1ASPD|1DMG|1CDMG	1LWND|2CANARM|3VULN|4CDMG|5ASPD|6RCR|7AART|8DMSP|9DMG|aCGEN
107	11311 46234	   	183.47	DCR|1AART|1VULN|1ASPD|1DMG|1CDMG	18LWND|2CANARM|3VULN|4CDMG|5ASPD|6RCR|7AART|9DMG|aCGEN
108	11311 46533	   	183.47	DCR|1AART|1VULN|1ASPD|1DMG|1CDMG	1LWND|2CANARM|3VULN|4CDMG|5ASPD|6RCR|7AART|8RPLT|9DMG|aCGEN
109	61241 62213	   	183.47	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG	1BELT|2DMG|3FEWX|4DUST|5ASPD|6RCR|7AART|8VULN|9RPLT|aCDMG
110	34513 21361	   	183.44	DCR|2DMG|1VULN|1ASPD|1CDMG|1DUR|1SELL	1LHND|2ASPD|3CDMG|4VULN|5SELL|6DUR|7RCR|8aDMG|9CGEN
111	61522 31112	 * 	183.40	DCR|2VULN|1AART|1ASPD|1DMG	1BELT|2DMG|357ERES|4ASPD|6AART|8RCR|9aVULN
112	11311 46133	   	183.37	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG	1LWND|2CANARM|3VULN|4CDMG|5ASPD|6RCR|7AART|8DMSP|9DMG|aERES
113	11311 46135	   	183.37	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG	1LWND|2CANARM|3VULN|4CDMG|5ASPD|6RCR|7AART|8DMSP|9DMG|aTLV
114	11311 46233	   	183.37	DCR|1AART|1VULN|1ASPD|1DMG|1CDMG	18LWND|2CANARM|3VULN|4CDMG|5ASPD|6RCR|7AART|9DMG|aERES
115	11311 46235	   	183.37	DCR|1AART|1VULN|1ASPD|1DMG|1CDMG	18LWND|2CANARM|3VULN|4CDMG|5ASPD|6RCR|7AART|9DMG|aTLV
116	11311 46532	   	183.37	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG	1LWND|2CANARM|3VULN|4CDMG|5ASPD|6RCR|7AART|8RPLT|9DMG|aDUST
117	61523 31231	 * 	183.36	DCR|2DMG|2ASPD|1AART|2ZMB	1BELT|29DMG|37ERES|49ASPD|5RCVC|6AART|89ZMB|9BPWR|aRCR
118	34513 21331	   	183.34	DCR|2DMG|1VULN|1ASPD|1CDMG|1DUR|1SELL	1LHND|2ASPD|3CDMG|4VULN|5SELL|6DUR|7RCR|8aDMG|9ERES
119	61241 62221	 * 	183.29	DCR|2AART|1VULN|1ASPD|1DMG	1BELT|2DMG|3FEWX|4DUST|5ASPD|6RCR|7aAART|8VULN|9AME
120	53325 61123	 * 	182.80	DCR|2VULN|1AART|2CDMG|2DUR	1aDUR|2TLV|3aCDMG|4DUST|5AART|6RPLT|7RCR|8BEXP|9aVULN|aBPWR
121	24343 34311	 * 	182.79	DCR|3VULN|3ASPD|1SELL	17FEWX|267ASPD|3ERES|4AME|567VULN|67BPWR|8SELL|9RCR|aBELT
122	24363 34311	 * 	182.79	DCR|3VULN|3ASPD|1SELL	17FEWX|267ASPD|3ERES|4CGEN|567VULN|67BPWR|8SELL|9RCR|aBELT
123	24343 34312	 * 	182.69	DCR|3VULN|3ASPD|1SELL	17FEWX|267ASPD|3ERES|4AME|567VULN|67BPWR|8SELL|9RCR|aMBVNT
124	24343 34313	 * 	182.69	DCR|3VULN|3ASPD|1SELL	17FEWX|267ASPD|3ERES|4AME|567VULN|67BPWR|8SELL|9RCR|aDUST
125	24363 34312	 * 	182.69	DCR|3VULN|3ASPD|1SELL	17FEWX|267ASPD|3ERES|4CGEN|567VULN|67BPWR|8SELL|9RCR|aMBVNT
126	24363 34313	 * 	182.69	DCR|3VULN|3ASPD|1SELL	17FEWX|267ASPD|3ERES|4CGEN|567VULN|67BPWR|8SELL|9RCR|aDUST
127	23311 61552	 * 	182.38	DCR|2VULN|1ASPD|1NUKE|1CDMG|1DUR	1FEWX|2TLV|3CDMG|48VULN|5ASPD|6DUR|7LIT|9RCR|aNUKE
128	24133 51321	   	182.34	DCR|2ASPD|1VULN|1DMG|1CDMG|1ZMB	1FEWX|29ASPD|34BEXP|5VULN|6ZMB|7RCR|8DMG|aCDMG
129	25333 51321	   	182.34	DCR|2ASPD|1VULN|1DMG|1CDMG|1ZMB	1FEWX|24BEXP|39ASPD|5VULN|6ZMB|7RCR|8DMG|aCDMG
130	34135 51321	   	182.34	DCR|2ASPD|1VULN|1DMG|1CDMG|1ZMB	1LHND|29ASPD|34BEXP|5VULN|6ZMB|7RCR|8DMG|aCDMG
131	21211 46236	   	182.32	DCR|2ASPD|1AART|1DMG|1CDMG|1DUR	18FEWX|28CANARM|3LWND|4CDMG|58ASPD|6RCR|7AART|8BPWR|9DMG|aDUR
132	31211 46236	   	182.32	DCR|2ASPD|1AART|1DMG|1CDMG|1DUR	18LHND|28CANARM|3LWND|4CDMG|58ASPD|6RCR|7AART|8BPWR|9DMG|aDUR
133	24343 51321	   	182.24	DCR|2ASPD|1VULN|1DMG|1CDMG|1ZMB	1FEWX|29ASPD|3ERES|4AME|5VULN|6ZMB|7RCR|8DMG|aCDMG
134	24363 51321	   	182.24	DCR|2ASPD|1VULN|1DMG|1CDMG|1ZMB	1FEWX|29ASPD|3ERES|4CGEN|5VULN|6ZMB|7RCR|8DMG|aCDMG
135	51211 46131	   	182.22	DCR|2ASPD|1AART|1DMG|1CDMG|1DUR	1DUR|2CANARM|3LWND|4CDMG|5aASPD|6RCR|7AART|8DMSP|9DMG
136	25413 51323	   	182.10	DCR|2ASPD|1VULN|1DMG|1CDMG|1ZMB|1SELL	1FEWX|2BEXP|3SELL|4CDMG|5VULN|6ZMB|7RCR|8DMG|9aASPD
137	34513 11323	   	182.10	DCR|2ASPD|1VULN|1DMG|1CDMG|1ZMB|1SELL	1LHND|29ASPD|3CDMG|4VULN|5SELL|6FEWX|7RCR|8DMG|aZMB
138	34512 32115	 * 	181.75	DCR|2ASPD|1VULN|2CDMG|1DMG|1DUR	1LHND|28ASPD|36CDMG|4VULN|5DMG|7DUR|9LWND|aRCR
139	23325 61316	   	181.69	DCR|2VULN|1AART|1ASPD|1CDMG	1FEWX|2TLV|3CDMG|4DUST|5AART|6RPLT|7RCR|8ASPD|9aVULN
140	15213 23626	 * 	181.61	DCR|2VULN|2AART|1MDPS|1DMG	1LWND|2BEXP|3LHND|4DMG|5aVULN|6MDPS|7RCR|89AART
141	14233 23626	 * 	181.51	DCR|2VULN|2AART|1MDPS|1ASPD	1LWND|2ASPD|3LEGI|4BEXP|5aVULN|6MDPS|7RCR|89AART
142	34233 23626	   	181.51	DCR|2VULN|2AART|1MDPS|1ASPD	1LHND|2ASPD|3LEGI|4BEXP|5aVULN|6MDPS|7RCR|89AART
143	34553 21322	 * 	181.51	DCR|2DMG|2ASPD|2CDMG|1DUR|1SELL	1aLHND|29ASPD|3aCDMG|4LWND|5SELL|6DUR|7RCR|8aDMG|aBPWR
144	11311 54433	   	181.40	DCR|1AART|1VULN|1ASPD|1DMG|1CDMG	1LWND|2CANARM|3VULN|4CDMG|5ASPD|6RCVC|7AART|8RCR|9DMG|aERES
145	23325 61315	   	181.37	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG	1FEWX|2TLV|3CDMG|4DUST|5AART|6RPLT|7RCR|8ASPD|9VULN|aDMG
146	21211 43631	 * 	181.34	DCR|2ASPD|1AART|2CDMG|1DMG	1FEWX|2CANARM|3LWND|47CDMG|5aASPD|6RCR|8AART|9DMG
147	34513 11311	   	181.23	DCR|1AART|1VULN|1ASPD|1DMG|1CDMG|1SELL	1LHND|2ASPD|3CDMG|4VULN|5SELL|6FEWX|7RCR|8DMG|9DUST|aAART
148	61112 62511	 * 	180.72	DCR|2AART|2DMG|1MDPS|1VULN|1AAC	1BELT|25DMG|3MDPS|4AAC|6RCR|78AART|9LWND|aVULN
149	51211 46221	   	180.42	DCR|3ASPD|1AART|1CDMG|2DUR	18DUR|28CANARM|3LWND|4CDMG|58aASPD|6RCR|7AART|8BPWR|9MLV
150	11214 41242	   	180.16	DCR|1MDPS|1VULN|1AART|1ASPD|1DMG|1DUR	13LWND|2CANARM|4AART|5DMG|6RCR|7DUR|8VULN|9ASPD|aMDPS
151	53311 33255	   	180.08	DCR|2VULN|2CDMG|1ASPD|1ZMB|1DUR	1DUR|2TLV|36CDMG|4aVULN|5ASPD|7RPLT|8ZMB|9RCR
152	11311 41316	   	180.07	DCR|2VULN|1ASPD|1DMG|1CDMG	1LWND|2CANARM|3aVULN|4CDMG|5ASPD|6RCR|7MULARM|8LHND|9DMG
153	11311 42341	   	180.07	DCR|2VULN|1ASPD|1DMG|1CDMG	1LWND|2CANARM|38VULN|4CDMG|5ASPD|6RCR|7FEWX|9BEXP|aDMG
154	34513 21322	   	180.07	DCR|2ASPD|1VULN|1DMG|1CDMG|1DUR|1SELL	1LHND|29ASPD|3CDMG|4VULN|5SELL|6DUR|7RCR|8DMG|aLWND
