0	Index      	 *	Score 	Summary	Detail	
1	12241 33116	 * 	220.22	DCR|3ASPD|1MDPS|3CDMG|1VULN|1DMG|3DUR|1AAC	189DUR|2MDPS|3AAC|4VULN|589ASPD|6RCR|789CDMG|89BPWR|aDMG
33	12534 32263	   	200.30	DCR|2VULN|1MDPS|2ASPD|1AART|1ZMB|1DUR	1DUR|2MDPS|3ZMB|47ASPD|59VULN|6RCR|8AART|aAIRARM
34	12541 32213	   	200.30	DCR|2VULN|1MDPS|2ASPD|1AART|1ZMB|1DUR	1DUR|2MDPS|3ZMB|4aVULN|57ASPD|6RCR|8AART|9ERES
35	12541 32228	   	200.30	DCR|2VULN|1MDPS|2ASPD|1AART|1ZMB|1DUR	1DUR|2MDPS|3ZMB|4aVULN|57ASPD|6RCR|8AART|9MBVNT
36	12541 32261	   	200.30	DCR|2VULN|1MDPS|2ASPD|1AART|1ZMB|1DUR	1DUR|2MDPS|3ZMB|49VULN|57ASPD|6RCR|8AART|aERES
37	12541 32263	   	200.30	DCR|2VULN|1MDPS|2ASPD|1AART|1ZMB|1DUR	1DUR|2MDPS|3ZMB|49VULN|57ASPD|6RCR|8AART|aAIRARM
38	12241 33111	   	200.16	DCR|3ASPD|1MDPS|3CDMG|1VULN|3DUR|1AAC	189DUR|2MDPS|3AAC|4VULN|589ASPD|6RCR|789CDMG|89BPWR|aSPLJET
39	12241 33112	   	200.06	DCR|3ASPD|1MDPS|3CDMG|1VULN|3DUR|1AAC	189DUR|2MDPS|3AAC|4VULN|589ASPD|6RCR|789CDMG|89BPWR|aERES
40	12241 33113	   	200.06	DCR|3ASPD|1MDPS|3CDMG|1VULN|3DUR|1AAC	189DUR|2MDPS|3AAC|4VULN|589ASPD|6RCR|789CDMG|89BPWR|aMBVNT
41	12241 33115	   	200.06	DCR|3ASPD|1MDPS|3CDMG|1VULN|3DUR|1AAC|1MSE	189DUR|2MDPS|3AAC|4VULN|589ASPD|6RCR|789CDMG|89BPWR|aMSE
42	12241 33125	   	200.04	DCR|1MDPS|2ASPD|1VULN|2CDMG|1DMG|3DUR|1AAC	189DUR|2MDPS|3AAC|4VULN|58ASPD|6RCR|78CDMG|8BPWR|aDMG
43	12534 32225	   	199.98	DCR|1MDPS|2ASPD|1VULN|1AART|1DMG|1ZMB|1DUR	1DUR|2MDPS|3ZMB|47ASPD|5VULN|6RCR|8AART|9MBVNT|aDMG
44	12541 32225	   	199.98	DCR|1MDPS|2ASPD|1VULN|1AART|1DMG|1ZMB|1DUR	1DUR|2MDPS|3ZMB|4VULN|57ASPD|6RCR|8AART|9MBVNT|aDMG
45	12534 33125	   	199.47	DCR|1MDPS|1VULN|2CDMG|1ASPD|1DMG|3DUR|2ZMB	189DUR|2MDPS|38ZMB|4ASPD|5VULN|6RCR|78CDMG|8BPWR|aDMG
46	12541 33125	   	199.47	DCR|1MDPS|1VULN|2CDMG|1ASPD|1DMG|3DUR|2ZMB	189DUR|2MDPS|38ZMB|4VULN|5ASPD|6RCR|78CDMG|8BPWR|aDMG
47	12534 33111	   	199.12	DCR|1MDPS|3CDMG|3ZMB|1VULN|1ASPD|3DUR	189DUR|2MDPS|389ZMB|4ASPD|5VULN|6RCR|789CDMG|89BPWR|aSPLJET
48	12541 33111	   	199.12	DCR|1MDPS|3CDMG|3ZMB|1VULN|1ASPD|3DUR	189DUR|2MDPS|389ZMB|4VULN|5ASPD|6RCR|789CDMG|89BPWR|aSPLJET
49	22361 32516	 * 	199.11	DCR|3DMG|1MDPS|2ASPD|1VULN|1DUR	1DUST|2MDPS|3DUR|48aDMG|59ASPD|6RCR|7VULN
50	12534 33112	   	199.02	DCR|1MDPS|3CDMG|3ZMB|1VULN|1ASPD|3DUR	189DUR|2MDPS|389ZMB|4ASPD|5VULN|6RCR|789CDMG|89BPWR|aERES
51	12534 33115	   	199.02	DCR|1MDPS|3CDMG|3ZMB|1VULN|1ASPD|3DUR|1MSE	189DUR|2MDPS|389ZMB|4ASPD|5VULN|6RCR|789CDMG|89BPWR|aMSE
52	12541 33112	   	199.02	DCR|1MDPS|3CDMG|3ZMB|1VULN|1ASPD|3DUR	189DUR|2MDPS|389ZMB|4VULN|5ASPD|6RCR|789CDMG|89BPWR|aERES
53	12541 33115	   	199.02	DCR|1MDPS|3CDMG|3ZMB|1VULN|1ASPD|3DUR|1MSE	189DUR|2MDPS|389ZMB|4VULN|5ASPD|6RCR|789CDMG|89BPWR|aMSE
54	62361 51131	 * 	198.31	DCR|2VULN|2ASPD|1AART|1CDMG|1DUR	1CDMG|2LIT|39VULN|4MBVNT|5DUR|68ASPD|7AART|aRCR
55	51611 22216	 * 	197.95	DCR|4VULN|2ASPD|1ZMB|1SELL	1SELL|279aVULN|3ZMB|4aFEWX|5aASPD|6DLOT|8RCR|aBPWR
56	13313 53152	 * 	197.64	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	18DUR|28FEWX|3RPLT|4CGEN|5DMG|6RCR|78VULN|8BPWR|9CDMG|aAART
57	12111 32555	   	195.81	DCR|2VULN|1MDPS|2CDMG|1ASPD|1DMG|1DUR	1DUR|2MDPS|3aERES|4FEWX|5ASPD|6RCR|7aVULN|8DMG|9aCDMG|aBPWR
58	21251 12653	 * 	195.75	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1DUST|2ERES|3DMG|4ASPD|59VULN|6BEXP|7AART|8CDMG|aRCR
59	11251 43152	 * 	195.61	DCR|2DMG|1VULN|1AART|1ASPD|3DUR	168DUR|2ERES|38DMG|4ASPD|5VULN|78LHND|8BPWR|9AART|aRCR
60	22541 32322	 * 	195.60	DCR|3VULN|1MDPS|1AART|1ASPD|1ZMB	1DUST|2MDPS|3ZMB|478VULN|5ASPD|6RCR|9CGEN|aAART
61	51225 31322	 * 	195.43	DCR|2VULN|2DMG|1AART|1CDMG|1SELL	1SELL|27VULN|37LIT|4LWND|5CGEN|67DMG|7BPWR|8CDMG|9RCR|aAART
62	51245 31322	 * 	195.43	DCR|2VULN|2DMG|1AART|1CDMG|1SELL	1SELL|27VULN|37LIT|4LHND|5CGEN|67DMG|7BPWR|8CDMG|9RCR|aAART
63	51353 31322	 * 	195.43	DCR|2VULN|2DMG|1AART|1CDMG|1SELL	1SELL|27VULN|37LHND|4CGEN|5LIT|67DMG|7BPWR|8CDMG|9RCR|aAART
64	51363 31322	 * 	195.33	DCR|2VULN|2DMG|1AART|1CDMG|1SELL	1SELL|27VULN|37LHND|4ERES|5LIT|67DMG|7BPWR|8CDMG|9RCR|aAART
65	51611 23216	 * 	195.03	DCR|3VULN|3ASPD|1ZMB|1SELL	1SELL|29aVULN|3ZMB|4aFEWX|57aASPD|6DLOT|8RCR|aBPWR
66	51136 33184	 * 	194.69	DCR|3VULN|2DMG|1CDMG|1SELL	1SELL|279VULN|3RCVC|49DMG|5MBVNT|6RPLT|8RCR|9BPWR|aCDMG
67	12234 34316	   	193.79	DCR|2DMG|1MDPS|2ASPD|1VULN|1AAC|1ZMB|1DUR	1DUR|2MDPS|3AAC|49ASPD|5VULN|6RCR|7ZMB|8aDMG
68	12241 34316	   	193.79	DCR|2DMG|1MDPS|2ASPD|1VULN|1AAC|1ZMB|1DUR	1DUR|2MDPS|3AAC|4VULN|59ASPD|6RCR|7ZMB|8aDMG
69	62312 25641	 * 	193.72	DCR|3VULN|1AART|1DMG|1CDMG	1CDMG|24LIT|348VULN|4BPWR|5LWND|6MBVNT|7DMG|9AART|aRCR
70	62332 25641	   	193.62	DCR|3VULN|1AART|1DMG|1CDMG	1CDMG|2LIT|348VULN|5LWND|6MBVNT|7DMG|9AART|aRCR
71	12534 32232	   	192.94	DCR|3ASPD|1MDPS|1VULN|1AART|1ZMB|1DUR	1DUR|2MDPS|3ZMB|479ASPD|5VULN|6RCR|8AART|aLWND
72	12534 32234	   	192.94	DCR|3ASPD|1MDPS|1VULN|1AART|1ZMB|1DUR	1DUR|2MDPS|3ZMB|479ASPD|5VULN|6RCR|8AART|aBEXP
73	12534 32236	   	192.94	DCR|3ASPD|1MDPS|1VULN|1AART|1ZMB|1DUR	1DUR|2MDPS|3ZMB|479ASPD|5VULN|6RCR|8AART|aVENFST
74	12541 32232	   	192.94	DCR|3ASPD|1MDPS|1VULN|1AART|1ZMB|1DUR	1DUR|2MDPS|3ZMB|4VULN|579ASPD|6RCR|8AART|aLWND
75	12541 32234	   	192.94	DCR|3ASPD|1MDPS|1VULN|1AART|1ZMB|1DUR	1DUR|2MDPS|3ZMB|4VULN|579ASPD|6RCR|8AART|aBEXP
76	12541 32236	   	192.94	DCR|3ASPD|1MDPS|1VULN|1AART|1ZMB|1DUR	1DUR|2MDPS|3ZMB|4VULN|579ASPD|6RCR|8AART|aVENFST
77	12534 32233	   	192.84	DCR|3ASPD|1MDPS|1VULN|1AART|1ZMB|1DUR	1DUR|2MDPS|3ZMB|479ASPD|5VULN|6RCR|8AART|aERES
78	12534 32235	   	192.84	DCR|3ASPD|1MDPS|1AART|1VULN|1ZMB|1DUR	1DUR|2MDPS|3ZMB|479ASPD|5VULN|6RCR|8AART|aLEGI
79	12541 32233	   	192.84	DCR|3ASPD|1MDPS|1VULN|1AART|1ZMB|1DUR	1DUR|2MDPS|3ZMB|4VULN|579ASPD|6RCR|8AART|aERES
80	12541 32235	   	192.84	DCR|3ASPD|1MDPS|1AART|1VULN|1ZMB|1DUR	1DUR|2MDPS|3ZMB|4VULN|579ASPD|6RCR|8AART|aLEGI
81	12534 62232	   	192.40	DCR|2VULN|1MDPS|2ASPD|1AART|1ZMB|1DUR	1DUR|2MDPS|3ZMB|49ASPD|57VULN|6FEWX|8AART|aRCR
82	12541 62232	   	192.40	DCR|2VULN|1MDPS|2ASPD|1AART|1ZMB|1DUR	1DUR|2MDPS|3ZMB|47VULN|59ASPD|6FEWX|8AART|aRCR
83	62361 21531	   	192.20	DCR|3VULN|1AART|1CDMG|1ZMB|1DUR	1CDMG|2LIT|389VULN|4MBVNT|5DUR|6ZMB|7AART|aRCR
84	12534 13316	   	191.89	DCR|2DMG|1MDPS|2ASPD|1VULN|1ZMB|1DUR	1DUR|2MDPS|3ZMB|49ASPD|5VULN|6RMIN|7RCR|8aDMG
85	12541 13316	   	191.89	DCR|2DMG|1MDPS|2ASPD|1VULN|1ZMB|1DUR	1DUR|2MDPS|3ZMB|4VULN|59ASPD|6RMIN|7RCR|8aDMG
86	12531 63316	   	191.79	DCR|1MDPS|2DMG|2ASPD|1VULN|1ZMB|1DUR	1DUR|2MDPS|3ZMB|49ASPD|5ERES|6VULN|7RCR|8aDMG
87	22521 32134	   	191.67	DCR|1MDPS|2ASPD|1VULN|1AART|1DMG|1ZMB	1DUST|2MDPS|3ZMB|4LWND|59ASPD|6RCR|7VULN|8AART|aDMG
88	13242 44511	   	191.59	DCR|3VULN|1ASPD|1CDMG|2DUR	17DUR|2FEWX|378VULN|47MULFIG|5MBVNT|6RCR|7BPWR|9ASPD|aCDMG
89	13262 44511	   	191.39	DCR|3VULN|1ASPD|1CDMG|2DUR	17DUR|2FEWX|378VULN|47MSLREG|5MBVNT|6RCR|7BPWR|9ASPD|aCDMG
90	22341 32355	   	191.32	DCR|2VULN|1MDPS|2CDMG|1ASPD|2DUR|1ZMB	1DUST|2MDPS|3aDUR|4ZMB|5ASPD|6RCR|7aVULN|8TLV|9aCDMG|aBPWR
91	22541 32313	   	191.29	DCR|3VULN|1MDPS|1ASPD|1CDMG|2ZMB	1DUST|2MDPS|39ZMB|478VULN|5ASPD|6RCR|aCDMG
92	11251 53532	 * 	190.91	DCR|2DMG|1MDPS|1VULN|1AART|1ASPD|1DUR	1DUR|29ERES|38DMG|4ASPD|5VULN|6MDPS|7RCR|aAART
93	22361 32512	   	190.23	DCR|2DMG|1MDPS|2ASPD|1VULN|1AAC|1DUR	1DUST|2MDPS|3DUR|48DMG|59ASPD|6RCR|7VULN|aAAC
