0	Index      	 *	Score 	Summary	Detail	
1	51251 61122	 * 	308.90	紫紫2易伤2伤害3时间1烈焰减费	19伤害2雷电减费35核4策反679时间89易伤9序列升级a烈焰减费
17	51251 41133	   	283.30	紫紫1等级1易伤1伤害1全技能	1伤害2雷电减费35核4策反6技能7挖尘8易伤9等级a全技能
18	56232 23532	 * 	283.17	紫2等级2易伤3伤害	14a伤害24敌人爆炸3核4a序列升级5a等级6双倍秒伤7技能8额外掉落9a易伤
19	53362 21432	 * 	282.97	橙2易伤1等级3伤害2攻速	13a伤害2随机矿3a序列升级4等级5a攻速6基地爆炸7掉矿8a易伤9核
20	51251 36211	   	282.63	紫紫1等级1易伤1伤害2策反	1伤害2雷电减费35核47策反6随机技能8易伤9随机矿a等级
21	51251 13221	   	281.83	紫紫2等级2伤害2策反	19伤害2雷电减费35核49策反6a敌人爆炸7掉矿89等级9序列升级
22	51251 13222	   	281.83	紫紫2等级2伤害2策反	19伤害2雷电减费35核49策反6敌人爆炸7掉矿89等级9序列升级a基地爆炸
23	51251 13224	   	281.83	紫紫2等级2伤害2策反	19伤害2雷电减费35核49策反6敌人爆炸7掉矿89等级9序列升级a低血量敌人
24	51251 13226	   	281.83	紫紫2等级2伤害2策反	19伤害2雷电减费35核49策反6敌人爆炸7掉矿89等级9序列升级a雷电
25	51251 13223	   	281.73	紫紫2等级2伤害2策反	19伤害2雷电减费35核49策反6敌人爆炸7掉矿89等级9序列升级a暴雪减费
26	51251 23221	   	281.73	紫紫2等级2伤害2策反	19伤害2雷电减费35核49策反6挖尘7掉矿89等级9序列升级a敌人爆炸
27	51251 23222	   	281.73	紫紫2等级2伤害2策反	19伤害2雷电减费35核49策反6挖尘7掉矿89等级9序列升级a雷电
28	51251 23224	   	281.73	紫紫2等级2伤害2策反	19伤害2雷电减费35核49策反6挖尘7掉矿89等级9序列升级a低血量敌人
29	51251 23225	   	281.73	紫紫2等级2伤害2策反	19伤害2雷电减费35核49策反6挖尘7掉矿89等级9序列升级a基地爆炸
30	51251 51221	   	281.73	紫紫2等级2伤害2策反	19伤害2雷电减费35核49策反6掉矿7挖尘89等级9序列升级a敌人爆炸
31	51251 51222	   	281.73	紫紫2等级2伤害2策反	19伤害2雷电减费35核49策反6掉矿7挖尘89等级9序列升级a雷电
32	56251 13311	   	279.43	紫紫1等级1易伤1伤害	1伤害26敌人爆炸35核4策反7易伤8随机技能9随机矿a等级
33	56251 12211	   	279.43	紫紫1等级1易伤1伤害	1伤害26敌人爆炸35核4策反7随机技能8易伤9随机矿a等级
34	53362 53122	   	279.41	橙2等级3伤害1易伤2攻速	137伤害2随机矿37序列升级47等级57攻速6技能8易伤9核a最后敌人
35	54222 16221	 * 	279.41	紫2等级3伤害1易伤2攻速	169伤害2低血量敌人3核4立即金币59等级7随机矿89攻速9序列升级a易伤
36	54251 13223	   	279.33	紫紫1等级1易伤1伤害	1伤害2低血量敌人35核4策反6敌人爆炸7掉矿8等级9喷火对愈a易伤
37	56251 32221	   	279.33	紫紫1等级1易伤1伤害	1伤害28敌人爆炸35核4策反6随机技能7掉矿9易伤a等级
38	54222 14221	   	279.31	紫2等级3伤害1易伤2攻速	169伤害2低血量敌人3核4立即金币59等级79攻速8核弹9序列升级a易伤
39	54251 23223	   	279.23	紫紫1等级1易伤1伤害	1伤害2低血量敌人35核4策反6挖尘7掉矿8等级9喷火对愈a易伤
40	54251 31311	   	279.23	紫紫1等级1易伤1伤害	1伤害2低血量敌人35核4策反6随机技能7双倍秒伤8掉矿9易伤a等级
41	56251 31311	   	279.23	紫紫1等级1易伤1伤害	1伤害2敌人爆炸35核4策反6随机技能7双倍秒伤8掉矿9易伤a等级
42	51251 31315	   	279.13	紫紫1等级1易伤1伤害	1伤害2雷电减费35核4策反6随机技能7双倍秒伤8掉矿9易伤a等级
