0	Index      	 *	Score 	Summary	Detail	
1	35442 21213	 * 	300.26	DCR|2VULN|2TLV|2LIT|2ASPD|1DMG	17TLV|26ASPD|37VULN|47LIT|5MDPS|7BPWR|8ERES|9RCR|aDMG
32	34132 15413	 * 	285.71	ACR|3LIT|2VULN|2TLV|2MLV	1aTLV|24aLIT|38MLV|5RCR|6TBNT|7ERES|9aVULN|aBPWR
33	34133 31252	 * 	285.62	DCR|3TLV|2VULN|2LIT|1MLV	159TLV|24LIT|3MLV|6MDPS|7RCR|8aVULN
34	33441 21225	 * 	285.41	DCR|3VULN|2LIT|1TLV|1DMG	1TLV|2RMIN|358VULN|49LIT|6DUR|7RCR|aDMG
35	34523 16323	 * 	285.29	DCR|2TLV|2LIT|2MLV|2ASPD	1aTLV|27LIT|3BBNT|4RPLT|5BELT|6aMLV|8RCR|9aASPD|aBPWR
36	56523 12323	   	285.29	DCR|2TLV|2LIT|2MLV|2ASPD	1aLIT|26MLV|3BBNT|4RPLT|5BELT|7aTLV|8RCR|9aASPD|aBPWR
37	34631 21235	   	284.69	DCR|2VULN|2LIT|1TLV|1DMG|2DUR|1ASPD	1TLV|24LIT|3ASPD|58VULN|69DUR|7RCR|aDMG
38	15123 24423	 * 	284.19	DCR|DCR|1TLV|1LIT|1VULN|1CDMG|1SELL	1BEXP|2MDPS|3SELL|4RMIN|5VULN|6TLV|7CDMG|89RCR|aLIT
39	34131 21224	 * 	284.13	DCR|3LIT|2VULN|1TLV|1MLV|2DUR	1TLV|249LIT|3MLV|58VULN|6aDUR|7RCR
40	33443 21225	   	283.82	DCR|2VULN|2TLV|2LIT|1DMG	15TLV|2RMIN|38VULN|49LIT|6DUR|7RCR|aDMG
41	36232 31625	   	283.82	DCR|2VULN|2TLV|2LIT|1DMG	14TLV|2BBNT|3LHND|57LIT|69VULN|8DMG|aRCR
42	34131 31461	   	283.61	DCR|3LIT|2TLV|1VULN|1MLV	1aTLV|24aLIT|3MLV|5VULN|6aCGEN|7RMIN|8TBNT|9RCR|aBPWR
43	31331 41616	   	283.50	DCR|2VULN|2TLV|1LIT|1MLV|2DUR	17TLV|27DUR|3LIT|4ZMB|57VULN|6LEGI|7BPWR|8CGEN|9RCR|aMLV
44	31331 41416	   	283.40	DCR|2VULN|2TLV|1LIT|1MLV|2DUR	17TLV|27DUR|3LIT|4ZMB|57VULN|6LEGI|7BPWR|8ERES|9RCR|aMLV
45	31323 51512	   	283.39	DCR|2TLV|2LIT|1VULN|1MLV|1CDMG	15TLV|2DUR|37LIT|4CDMG|6BEXP|8RCR|9MLV|aVULN
46	34131 21451	   	283.39	DCR|2TLV|2LIT|1VULN|1MLV|1CDMG	19TLV|24LIT|3MLV|5VULN|6DUR|7RCR|8BEXP|aCDMG
47	34131 21551	   	283.39	DCR|2TLV|2LIT|1VULN|1MLV|1CDMG	19TLV|24LIT|3MLV|5VULN|6DUR|7RCR|8LWND|aCDMG
48	34133 31235	   	283.29	DCR|2TLV|2LIT|1VULN|1MLV|1ASPD	15TLV|24LIT|3MLV|6MDPS|7RCR|8VULN|9BBNT|aASPD
49	31321 35512	   	283.29	DCR|2TLV|2LIT|1VULN|1MLV|1CDMG	17TLV|2DUR|35LIT|4CDMG|6DUST|8RCR|9MLV|aVULN
50	31323 31512	   	283.29	DCR|2TLV|2LIT|1VULN|1MLV|1CDMG	15TLV|2DUR|37LIT|4CDMG|6DUST|8RCR|9MLV|aVULN
51	34135 21251	   	283.29	DCR|2TLV|2LIT|1VULN|1MLV|1CDMG	19TLV|24LIT|3MLV|5DUST|6DUR|7RCR|8VULN|aCDMG
52	33143 21251	   	283.14	DCR|2TLV|1LIT|1VULN|1MLV|1DMG|1CDMG	19TLV|2RMIN|3MLV|4LIT|5DMG|6DUR|7RCR|8VULN|aCDMG
53	35124 33236	   	283.13	DCR|2TLV|2LIT|2MLV|1DMG|1ASPD	19TLV|2ASPD|39MLV|4DMG|5AIRARM|69LIT|7RPLT|8RCR|9BPWR|aLHND
54	35125 33236	   	283.13	DCR|2TLV|2LIT|2MLV|1DMG|1ASPD	19TLV|2ASPD|39MLV|4DMG|5MSLFST|69LIT|7RPLT|8RCR|9BPWR|aLHND
55	35124 33231	   	283.03	DCR|2TLV|2LIT|2MLV|1DMG|1ASPD	19TLV|2ASPD|39MLV|4DMG|5AIRARM|69LIT|7RPLT|8RCR|9BPWR|aERES
56	35125 33231	   	283.03	DCR|2TLV|2LIT|2MLV|1DMG|1ASPD	19TLV|2ASPD|39MLV|4DMG|5MSLFST|69LIT|7RPLT|8RCR|9BPWR|aERES
57	35124 33234	   	282.89	DCR|2TLV|2LIT|2MLV|1DMG|1ASPD|1SELL	19TLV|2ASPD|39MLV|4DMG|5AIRARM|69LIT|7RPLT|8RCR|9BPWR|aSELL
58	35125 33234	   	282.89	DCR|2TLV|2LIT|2MLV|1DMG|1ASPD|1SELL	19TLV|2ASPD|39MLV|4DMG|5MSLFST|69LIT|7RPLT|8RCR|9BPWR|aSELL
59	33211 35241	 * 	282.68	DCR|DCR|2LIT|1TLV|1MLV	1TLV|2RMIN|3AART|4FLTFST|5MLV|6BEXP|7aLIT|89RCR
60	33261 35241	   	282.68	DCR|DCR|2LIT|1TLV|1MLV	1TLV|2RMIN|3AART|4BLALIT|5MLV|6BEXP|7aLIT|89RCR
61	34133 33534	   	282.67	DCR|2TLV|2LIT|2MLV|1VULN	15TLV|24LIT|3aMLV|6MDPS|7VULN|8DUR|9RCR
62	33211 65241	   	282.58	DCR|DCR|2LIT|1TLV|1MLV	1TLV|2RMIN|3AART|4FLTFST|5MLV|6DUST|7aLIT|89RCR
63	54133 23332	   	282.53	DCR|2VULN|2LIT|1TLV|1MLV|1DMG|1CDMG	14LIT|2AME|3MLV|5TLV|6RCR|78VULN|9CDMG|aDMG
64	34631 21224	   	282.41	DCR|3LIT|2VULN|1TLV|2DUR|1ASPD	1TLV|249LIT|3ASPD|58VULN|6aDUR|7RCR
65	34133 33114	   	281.93	DCR|2TLV|2LIT|1VULN|1MLV|1ASPD	15TLV|24LIT|3MLV|6MDPS|7VULN|8ASPD|9RCR|aRPLT
66	34131 21222	   	281.92	DCR|3LIT|2VULN|1TLV|1MLV	1TLV|249LIT|3MLV|58VULN|6DUR|7RCR|aTBNT
67	34512 11613	   	281.79	ACR|DCR|2LIT|1TLV|1VULN	1TLV|28LIT|3BBNT|4DUR|59RCR|6RPLT|7LWND|aVULN
68	34512 13613	   	281.79	ACR|DCR|2LIT|1TLV|1VULN	1TLV|28LIT|3BBNT|4DUR|59RCR|6RPLT|7LHND|aVULN
69	34531 31161	 * 	281.63	DCR|3LIT|2VULN|2TLV	1aTLV|27aLIT|3BBNT|4ERES|5CGEN|6aVULN|8RMIN|9RCR|aBPWR
70	13113 22445	   	281.18	DCR|2VULN|2TLV|1LIT|1MLV	1BEXP|2TBNT|3BBNT|46VULN|59TLV|7LIT|8RCR|aMLV
71	13113 42345	   	281.18	DCR|2VULN|2TLV|1LIT|1MLV	1BEXP|2TBNT|3BBNT|47VULN|59TLV|6RCR|8LIT|aMLV
72	34423 16323	   	281.18	DCR|2TLV|2LIT|2MLV|2ASPD	1aTLV|27LIT|3TBNT|4RPLT|5BELT|6aMLV|8RCR|9aASPD|aBPWR
73	56423 12323	   	281.18	DCR|2TLV|2LIT|2MLV|2ASPD	1aLIT|26MLV|3TBNT|4RPLT|5BELT|7aTLV|8RCR|9aASPD|aBPWR
74	23113 22445	   	281.08	DCR|2VULN|2TLV|1LIT|1MLV	1DUST|2TBNT|3BBNT|46VULN|59TLV|7LIT|8RCR|aMLV
75	34131 61226	   	280.35	DCR|3LIT|2VULN|1TLV|1MLV|1CDMG	1TLV|249LIT|3MLV|58VULN|6LWND|7RCR|aCDMG
76	32351 31332	   	280.34	DCR|2TLV|2LIT|1VULN|1MLV|1DMG	17TLV|2LWND|37LIT|4DMG|5VULN|67BEXP|7BPWR|8FEWX|9RCR|aMLV
77	32351 31416	   	280.24	DCR|2TLV|2LIT|1VULN|1MLV|1DMG	17TLV|2LWND|37LIT|4DMG|5VULN|67BEXP|7BPWR|8ERES|9RCR|aMLV
78	34123 41612	   	280.24	DCR|2TLV|2LIT|1VULN|1MLV|1DMG	17TLV|27LIT|3MLV|4LWND|57FEWX|6LEGI|7BPWR|8DMG|9RCR|aVULN
79	34631 21222	   	280.20	DCR|3LIT|2VULN|1TLV|1ASPD	1TLV|249LIT|3ASPD|58VULN|6DUR|7RCR|aTBNT
80	35442 21211	   	280.20	DCR|2VULN|2TLV|2LIT|2ASPD	17TLV|26ASPD|37VULN|47LIT|5MDPS|7BPWR|8ERES|9RCR|aLWND
81	35442 21212	   	280.20	DCR|2VULN|2TLV|2LIT|2ASPD	17TLV|26ASPD|37VULN|47LIT|5MDPS|7BPWR|8ERES|9RCR|aCGEN
82	34133 33611	   	280.04	DCR|2TLV|2LIT|1VULN|1MLV|1DMG	15TLV|24LIT|3MLV|6MDPS|7VULN|8DMG|9RCR|aLWND
83	34133 33612	   	280.04	DCR|2TLV|2LIT|1VULN|1MLV|1DMG	15TLV|24LIT|3MLV|6MDPS|7VULN|8DMG|9RCR|aCGEN
84	34133 33615	   	280.04	DCR|2TLV|2LIT|1VULN|1MLV|1DMG	15TLV|24LIT|3MLV|6MDPS|7VULN|8DMG|9RCR|aLHND
85	31352 11416	   	279.94	ACR|DCR|2TLV|2LIT|3DUR|1ASPD	19TLV|267DUR|36LIT|4RMIN|58RCR|6BPWR|aASPD
86	34133 33616	   	279.94	DCR|2TLV|2LIT|1VULN|1MLV|1DMG	15TLV|24LIT|3MLV|6MDPS|7VULN|8DMG|9RCR|aAME
87	34121 16262	   	279.51	DCR|2VULN|2TLV|1LIT|1MLV|1CDMG	17TLV|2LIT|3MLV|4LWND|58VULN|6ERES|9RCR|aCDMG
88	34131 21453	   	279.40	DCR|2TLV|2LIT|1VULN|1MLV	19TLV|24LIT|3MLV|5VULN|6DUR|7RCR|8BEXP|aBBNT
89	34135 21253	   	279.30	DCR|2TLV|2LIT|1VULN|1MLV	19TLV|24LIT|3MLV|5DUST|6DUR|7RCR|8VULN|aBBNT
90	33143 21253	   	279.15	DCR|2TLV|1LIT|1VULN|1MLV|1DMG	19TLV|2RMIN|3MLV|4LIT|5DMG|6DUR|7RCR|8VULN|aBBNT
91	35441 21221	   	279.00	DCR|3VULN|2LIT|1TLV|1ASPD	1TLV|2ASPD|358VULN|49LIT|6DUR|7RCR|aAAC
92	35441 21222	   	279.00	DCR|3VULN|2LIT|1TLV|1ASPD	1TLV|2ASPD|358VULN|49LIT|6DUR|7RCR|aCGEN
93	35441 21223	   	279.00	DCR|3VULN|2LIT|1TLV|1ASPD	1TLV|2ASPD|358VULN|49LIT|6DUR|7RCR|aFEWX
94	51113 26413	 * 	278.89	DCR|DCR|1TLV|1LIT|1VULN	1LIT|238DUST|4RCVC|5TLV|69RCR|7RPLT|aVULN
95	34131 61235	   	278.64	DCR|2VULN|2LIT|1TLV|1MLV|1DMG	1TLV|24LIT|3MLV|58VULN|6LWND|7RCR|9DUR|aDMG
96	34111 21225	   	278.64	DCR|2VULN|2LIT|1TLV|1MLV|1DMG	1TLV|29LIT|3MLV|4RCVC|58VULN|6DUR|7RCR|aDMG
97	33422 11423	 * 	278.08	DCR|DCR|1TLV|1VULN|1DMG	1TLV|2RMIN|3VULN|4DUST|5DUR|6DMG|7FEWX|89RCR|aBBNT
98	31352 11434	   	277.84	ACR|DCR|2LIT|1TLV|1VULN|3DUR	1TLV|267DUR|36LIT|4RMIN|58RCR|6BPWR|9RCVC|aVULN
99	34412 11613	   	277.68	ACR|DCR|2LIT|1TLV|1VULN	1TLV|28LIT|3TBNT|4DUR|59RCR|6RPLT|7LWND|aVULN
100	34412 13613	   	277.68	ACR|DCR|2LIT|1TLV|1VULN	1TLV|28LIT|3TBNT|4DUR|59RCR|6RPLT|7LHND|aVULN
101	33541 31622	   	277.63	DCR|3LIT|2VULN|2TLV	18TLV|2RMIN|36BEXP|489LIT|58VULN|7RCR|8BPWR|aTBNT
102	33541 31631	   	277.60	DCR|2VULN|2TLV|2LIT|1CDMG	18TLV|2RMIN|36BEXP|48LIT|58VULN|7RCR|8BPWR|9DUR|aCDMG
103	34431 31161	   	277.53	DCR|3LIT|2VULN|2TLV	1aTLV|27aLIT|3TBNT|4ERES|5CGEN|6aVULN|8RMIN|9RCR|aBPWR
104	34131 24123	   	277.51	DCR|2TLV|2LIT|1VULN|1MLV|2DUR	18TLV|24LIT|3MLV|5VULN|67DUR|9BELT|aRCR
105	31351 41111	   	277.50	DCR|2VULN|2TLV|2LIT|1ASPD	17TLV|2DUR|37LIT|4RMIN|57VULN|6LEGI|7BPWR|8ASPD|9RCR|aLWND
106	31351 41112	   	277.50	DCR|2VULN|2TLV|2LIT|1ASPD	17TLV|2DUR|37LIT|4RMIN|57VULN|6LEGI|7BPWR|8ASPD|9RCR|aCGEN
107	31351 41115	   	277.50	DCR|2VULN|2TLV|2LIT|1ASPD	17TLV|2DUR|37LIT|4RMIN|57VULN|6LEGI|7BPWR|8ASPD|9RCR|aLHND
108	31351 41613	   	277.50	DCR|2VULN|2TLV|2LIT|1ASPD	17TLV|2DUR|37LIT|4RMIN|57VULN|6LEGI|7BPWR|8CGEN|9RCR|aASPD
109	31541 41111	   	277.50	DCR|2VULN|2TLV|2LIT|1ASPD	17TLV|2DUR|3RMIN|47LIT|57VULN|6LEGI|7BPWR|8ASPD|9RCR|aLWND
110	31541 41112	   	277.50	DCR|2VULN|2TLV|2LIT|1ASPD	17TLV|2DUR|3RMIN|47LIT|57VULN|6LEGI|7BPWR|8ASPD|9RCR|aCGEN
111	31351 41116	   	277.40	DCR|2VULN|2TLV|2LIT|1ASPD	17TLV|2DUR|37LIT|4RMIN|57VULN|6LEGI|7BPWR|8ASPD|9RCR|aAME
112	31351 41413	   	277.40	DCR|2VULN|2TLV|2LIT|1ASPD	17TLV|2DUR|37LIT|4RMIN|57VULN|6LEGI|7BPWR|8ERES|9RCR|aASPD
113	33143 21254	   	277.26	DCR|2TLV|1LIT|1VULN|1MLV|1DMG|2DUR	19TLV|2RMIN|3MLV|4LIT|5DMG|6aDUR|7RCR|8VULN
114	34611 21225	   	276.92	DCR|2VULN|2LIT|1TLV|1DMG|1ASPD	1TLV|29LIT|3ASPD|4RCVC|58VULN|6DUR|7RCR|aDMG
115	34631 23532	   	276.82	DCR|2VULN|2LIT|1TLV|1DMG|1ASPD	1TLV|24LIT|3ASPD|57VULN|6DUR|8DMG|9CANSTR|aRCR
116	33442 32321	   	276.78	ACR|3LIT|2VULN|2TLV|1MLV	18TLV|2RMIN|38VULN|478LIT|5RCR|6BBNT|8BPWR|9VENTOX|aMLV
117	33442 32351	   	276.78	ACR|3LIT|2VULN|2TLV|1MLV	18TLV|2RMIN|38VULN|478LIT|5RCR|6BBNT|8BPWR|9LSRREG|aMLV
118	34152 21251	   	276.62	DCR|2TLV|1LIT|1VULN|1MLV|1ASPD|1CDMG	19TLV|2LIT|3MLV|4ASPD|5AME|6DUR|7RCR|8VULN|aCDMG
119	35142 21251	   	276.62	DCR|2TLV|1LIT|1VULN|1MLV|1ASPD|1CDMG	19TLV|2ASPD|3MLV|4LIT|5AME|6DUR|7RCR|8VULN|aCDMG
120	34133 56221	   	276.59	DCR|2TLV|2LIT|1VULN|1MLV	15TLV|24LIT|3MLV|6RPLT|7AART|8VULN|9MDPS|aRCR
121	34131 61224	   	276.36	DCR|3LIT|2VULN|1TLV|1MLV	1TLV|249LIT|3MLV|58VULN|6LWND|7RCR|aDUR
122	34131 21221	   	276.36	DCR|3LIT|2VULN|1TLV|1MLV	1TLV|249LIT|3MLV|58VULN|6DUR|7RCR|aCGEN
123	34131 21223	   	276.36	DCR|3LIT|2VULN|1TLV|1MLV	1TLV|249LIT|3MLV|58VULN|6DUR|7RCR|aLWND
124	34131 21226	   	276.36	DCR|3LIT|2VULN|1TLV|1MLV	1TLV|249LIT|3MLV|58VULN|6DUR|7RCR|aFEWX
125	34131 21225	   	276.26	DCR|3LIT|2VULN|1TLV|1MLV	1TLV|249LIT|3MLV|58VULN|6DUR|7RCR|aDUST
126	54133 23413	   	276.26	DCR|3LIT|2VULN|1TLV|1MLV	14aLIT|29aAME|3MLV|5TLV|6RCR|7aVULN|8BBNT|aBPWR
127	34124 21251	   	276.10	DCR|2TLV|2MLV|1LIT|1VULN|1CDMG	19TLV|2LIT|35MLV|4LWND|6DUR|7RCR|8VULN|aCDMG
128	35133 32425	 * 	276.02	DCR|DCR|1TLV|1VULN|1MLV|1ASPD	1TLV|2ASPD|3MLV|4LWND|5BEXP|6VULN|7DUST|89RCR|aRPLT
129	33443 21214	   	275.63	DCR|2VULN|2TLV|1LIT|1MLV	15TLV|2RMIN|38VULN|4LIT|6DUR|7RCR|9ZMB|aMLV
130	34111 23123	   	275.63	DCR|2VULN|2TLV|1LIT|1MLV	18TLV|2LIT|3MLV|4RCVC|57VULN|6DUR|9BELT|aRCR
131	36232 16263	   	275.63	DCR|2VULN|2TLV|1LIT|1MLV	14TLV|2BBNT|3LHND|5LIT|6MLV|78VULN|9RCR|aCGEN
132	36232 52262	   	275.63	DCR|2VULN|2TLV|1LIT|1MLV	14TLV|2BBNT|36LHND|5LIT|7MLV|8aVULN|9RCR
133	36232 11262	   	275.53	DCR|2VULN|2TLV|1LIT|1MLV	14TLV|2BBNT|3LHND|5LIT|6MLV|7AEFBLL|8aVULN|9RCR
134	36232 16261	   	275.53	DCR|2VULN|2TLV|1LIT|1MLV	14TLV|2BBNT|3LHND|5LIT|6MLV|78VULN|9RCR|aCRUHEL
135	36532 11262	   	275.53	DCR|2VULN|2TLV|1LIT|1MLV	14TLV|2BBNT|3BEXP|5LIT|6MLV|7AEFBLL|8aVULN|9RCR
136	22343 22631	 * 	275.51	DCR|3VULN|2TLV|1DMG|1CDMG	19DUST|259VULN|3DUR|4CDMG|69TLV|7AART|8RCR|9BPWR|aDMG
137	34631 12522	   	275.15	DCR|2TLV|2LIT|1VULN|1DMG|1ASPD|1CDMG	19TLV|24LIT|3ASPD|5VULN|6CDMG|7ERES|8RCR|aDMG
138	34631 21221	   	274.64	DCR|3LIT|2VULN|1TLV|1ASPD	1TLV|249LIT|3ASPD|58VULN|6DUR|7RCR|aCGEN
139	34631 21223	   	274.64	DCR|3LIT|2VULN|1TLV|1ASPD	1TLV|249LIT|3ASPD|58VULN|6DUR|7RCR|aLWND
140	34631 21226	   	274.64	DCR|3LIT|2VULN|1TLV|1ASPD	1TLV|249LIT|3ASPD|58VULN|6DUR|7RCR|aBELT
141	31352 11413	   	274.60	ACR|DCR|2TLV|2LIT|3DUR	19TLV|267DUR|36LIT|4RMIN|58RCR|6BPWR|aRPLT
142	31542 11413	   	274.60	ACR|DCR|2TLV|2LIT|3DUR	19TLV|267DUR|3RMIN|46LIT|58RCR|6BPWR|aRPLT
143	34631 21225	   	274.54	DCR|3LIT|2VULN|1TLV|1ASPD	1TLV|249LIT|3ASPD|58VULN|6DUR|7RCR|aDUST
144	32368 25242	 * 	274.44	ACR|3MLV|2VULN|2TLV|2LIT	17TLV|2LWND|37LIT|4MBVNT|5RCR|679MLV|7BPWR|8aVULN
145	33442 32361	 * 	274.42	ACR|3LIT|2VULN|2TLV|1DMG	18TLV|2RMIN|38VULN|478LIT|5RCR|6BBNT|8BPWR|9DUR|aDMG
146	32351 31412	   	274.26	DCR|2VULN|2TLV|2LIT|1DMG	17TLV|2LWND|37LIT|4DMG|5aVULN|67BEXP|7BPWR|8ERES|9RCR
147	34251 41331	   	274.26	DCR|2VULN|2TLV|2LIT|1DMG	17TLV|27LIT|3BEXP|4DMG|57VULN|6LEGI|7BPWR|8FEWX|9RCR|aLWND
148	34251 41332	   	274.26	DCR|2VULN|2TLV|2LIT|1DMG	17TLV|27LIT|3BEXP|4DMG|57VULN|6LEGI|7BPWR|8FEWX|9RCR|aRCVC
149	34121 16261	   	274.17	DCR|2VULN|2TLV|1LIT|1MLV	17TLV|2LIT|3MLV|4LWND|58VULN|6ERES|9RCR|aRPLT
150	34251 41333	   	274.16	DCR|2VULN|2TLV|2LIT|1DMG	17TLV|27LIT|3BEXP|4DMG|57VULN|6LEGI|7BPWR|8FEWX|9RCR|aDUST
151	35124 31126	 * 	274.11	DCR|3LIT|1TLV|1VULN|1MLV|1DMG|1ASPD	1TLV|2ASPD|3MLV|4DMG|5AIRARM|67aLIT|8RCR|9VULN
152	35125 31126	   	274.11	DCR|3LIT|1TLV|1VULN|1MLV|1DMG|1ASPD	1TLV|2ASPD|3MLV|4DMG|5MSLFST|67aLIT|8RCR|9VULN
153	33441 21326	   	274.06	DCR|3VULN|1TLV|1LIT|1MLV|1CDMG	1TLV|2RMIN|35aVULN|4LIT|6DUR|7RCR|8MLV|9CDMG
154	34123 41112	   	273.83	DCR|2TLV|2LIT|1VULN|1MLV|1ASPD	17TLV|27LIT|3MLV|4LWND|57FEWX|6LEGI|7BPWR|8ASPD|9RCR|aVULN
155	32323 51514	   	273.73	DCR|2TLV|2LIT|1VULN|1MLV|1CDMG	15TLV|2LWND|37LIT|4CDMG|6BEXP|8RCR|9MLV|aVULN
156	32321 35514	   	273.63	DCR|2TLV|2LIT|1VULN|1MLV|1CDMG	17TLV|2LWND|35LIT|4CDMG|6DUST|8RCR|9MLV|aVULN
157	32323 31514	   	273.63	DCR|2TLV|2LIT|1VULN|1MLV|1CDMG	15TLV|2LWND|37LIT|4CDMG|6DUST|8RCR|9MLV|aVULN
158	34133 31213	   	273.63	DCR|2TLV|2LIT|1VULN|1MLV|1ASPD	15TLV|24LIT|3MLV|6MDPS|7RCR|8VULN|9ZMB|aASPD
159	34133 31223	   	273.63	DCR|2TLV|2LIT|1VULN|1MLV|1ASPD	15TLV|24LIT|3MLV|6MDPS|7RCR|8VULN|9RMIN|aASPD
160	34133 31263	   	273.63	DCR|2TLV|2LIT|1VULN|1MLV|1ASPD	15TLV|24LIT|3MLV|6MDPS|7RCR|8VULN|9CGEN|aASPD
161	34133 31326	   	273.63	DCR|2TLV|2LIT|1VULN|1MLV|1CDMG	15TLV|24LIT|3MLV|6MDPS|7RCR|8CGEN|9CDMG|aVULN
