0	Index      	 *	Score 	Summary	Detail	
1	36434 32233	 * 	306.79	ACR|DCR|2TLV|2LIT|1VULN|1MLV	13LIT|23TLV|3BPWR|4DUST|5aRCR|6MLV|7ERES|8BEXP|9VULN
13	36461 21132	   	295.08	DCR|3VULN|3TLV|2LIT|1CDMG	13LIT|235TLV|35BPWR|457VULN|6CGEN|8CDMG|9RCR|aTBNT
14	36425 31323	 * 	294.94	DCR|3MLV|2TLV|2LIT|1VULN	13LIT|23TLV|3BPWR|45aMLV|6RCR|7LHND|8VULN|9DUR
15	26612 16133	 * 	294.65	DCR|DCR|1TLV|1LIT|1VULN|1RPLT	1AAC|2RPLT|3VULN|4LWND|5TBNT|69RCR|7LIT|8DUST|aTLV
16	32363 23525	 * 	292.32	ACR|DCR|3LIT|2TLV	158LIT|29RCR|3AART|4TBNT|68TLV|7RPLT|8BPWR|aBBNT
17	36426 12221	   	291.26	DCR|2TLV|2LIT|1VULN|1MLV|2DUR|1CDMG	13LIT|23TLV|3BPWR|4MLV|5DMSP|68DUR|7RCR|9VULN|aCDMG
18	36422 41323	   	291.26	DCR|2TLV|2LIT|1VULN|1MLV|2DUR|1CDMG	13LIT|23TLV|3BPWR|4MLV|56DUR|7CDMG|8VULN|9LHND|aRCR
19	36421 12221	   	291.16	DCR|2TLV|2LIT|1VULN|1MLV|2DUR|1CDMG	13LIT|23TLV|3BPWR|4MLV|5AEFBLL|68DUR|7RCR|9VULN|aCDMG
20	36425 31111	   	290.99	DCR|3LIT|2TLV|2MLV|1VULN	138LIT|23TLV|3BPWR|45MLV|6RCR|7LHND|9RCVC|aVULN
21	63513 24332	 * 	290.66	DCR|3VULN|2DMG|1TLV|1LIT|2DUR	1DMSP|2aDMG|3TLV|47aVULN|5BEXP|6RCR|8LIT|9aDUR|aBPWR
22	36425 12222	   	290.64	DCR|2TLV|2LIT|2MLV|1VULN|2DUR	13LIT|23TLV|3BPWR|45MLV|68DUR|7RCR|9VULN|aLHND
23	36425 12223	   	290.54	DCR|2TLV|2LIT|2MLV|1VULN|2DUR	13LIT|23TLV|3BPWR|45MLV|68DUR|7RCR|9VULN|aERES
24	36421 34323	   	289.80	DCR|2TLV|2LIT|1VULN|1MLV|1DMG	13LIT|23TLV|3BPWR|4MLV|5AEFBLL|6RCR|7LWND|8VULN|9DUR|aDMG
25	36421 42333	   	289.80	DCR|2TLV|2LIT|1VULN|1MLV|1DMG	13LIT|23TLV|3BPWR|4MLV|5AEFBLL|6FEWX|7RCR|8VULN|9BBNT|aDMG
26	36422 31131	   	289.80	DCR|2TLV|2LIT|1VULN|1MLV|2CDMG	13LIT|23TLV|3BPWR|4MLV|5DUR|6BEXP|7VULN|8aCDMG|9RCR
27	36461 21133	   	289.52	DCR|3VULN|3TLV|2LIT|1CDMG	13LIT|235TLV|35BPWR|457VULN|6CGEN|8CDMG|9RCR|aLHND
28	36422 31132	   	289.04	DCR|2TLV|2LIT|1VULN|1MLV|1CDMG	13LIT|23TLV|3BPWR|4MLV|5DUR|6BEXP|7VULN|8CDMG|9RCR|aTBNT
29	36426 12111	   	287.62	DCR|3LIT|2TLV|1VULN|1MLV	138LIT|23TLV|3BPWR|4MLV|5DMSP|6DUR|7RCR|9RCVC|aVULN
30	36412 31335	   	287.52	DCR|3LIT|2TLV|1VULN|1MLV	135LIT|23TLV|3BPWR|4GSSFST|6BEXP|7MLV|8DUR|9RCR|aVULN
31	36421 12111	   	287.52	DCR|3LIT|2TLV|1VULN|1MLV	138LIT|23TLV|3BPWR|4MLV|5AEFBLL|6DUR|7RCR|9RCVC|aVULN
32	36421 12135	   	287.27	DCR|3LIT|2TLV|1VULN|1MLV|1SELL	138LIT|23TLV|3BPWR|4MLV|5AEFBLL|6DUR|7RCR|9SELL|aVULN
33	32423 31136	 * 	287.18	ACR|3LIT|2VULN|2TLV|1MLV|1DMG	14aLIT|2RCR|34VULN|4BPWR|5CGEN|6MLV|78TLV|9DMG
34	32425 21136	   	287.08	ACR|3LIT|2VULN|2TLV|1MLV|1DMG	14aLIT|2RCR|34VULN|4BPWR|5MLV|6ERES|78TLV|9DMG
35	32421 32431	 * 	286.95	ACR|DCR|3LIT|2VULN|1DMG|1ASPD	14aLIT|29RCR|34VULN|4BPWR|5SPLARM|6DUR|7ASPD|8DMG
36	32422 32431	   	286.95	ACR|DCR|3LIT|2VULN|1DMG|1ASPD	14aLIT|29RCR|34VULN|4BPWR|5BASARM|6DUR|7ASPD|8DMG
37	36134 23131	   	286.82	ACR|3LIT|2TLV|1VULN|1MLV|1DMG|2DUR	147LIT|27TLV|37DUR|5RCR|6AART|7BPWR|8DMG|9VULN|aMLV
38	36421 31351	   	286.76	DCR|2TLV|2LIT|2MLV|1VULN|1CDMG	13LIT|23TLV|3BPWR|49MLV|5AEFBLL|6RCR|7LHND|8VULN|aCDMG
39	36425 32221	   	286.76	DCR|2TLV|2LIT|2MLV|1VULN|1CDMG	13LIT|23TLV|3BPWR|45MLV|6RCR|7ERES|8ZMB|9VULN|aCDMG
40	36421 31153	   	286.16	DCR|3LIT|2TLV|1VULN|1MLV	138LIT|23TLV|3BPWR|4MLV|5AEFBLL|6RCR|7LHND|9RPLT|aVULN
41	36461 23223	 * 	285.92	DCR|3TLV|2VULN|2LIT|1MLV	13LIT|235TLV|35BPWR|45VULN|6CGEN|7FEWX|8MLV|9LWND|aRCR
42	36451 32331	 * 	285.42	DCR|3LIT|2VULN|2TLV|1ASPD	13aLIT|23TLV|3BPWR|4ERES|5AEFBLL|6RCR|78VULN|9ASPD
43	51336 23236	 * 	285.34	DCR|DCR|2VULN|2TLV	1ERES|27TLV|35VULN|4LWND|6aRCR|8FLTARM|9RCVC
44	36425 31313	   	285.28	DCR|3MLV|2TLV|2LIT|1VULN	13LIT|23TLV|3BPWR|45aMLV|6RCR|7LHND|8VULN|9BEXP
45	32426 21141	 * 	285.23	ACR|3VULN|2TLV|2LIT|1MLV|1CDMG	14LIT|2RCR|346VULN|46BPWR|56LWND|78TLV|9MLV|aCDMG
46	32425 31125	 * 	284.51	ACR|3VULN|2TLV|2LIT|2MLV	14LIT|2RCR|349VULN|4BPWR|56MLV|7BEXP|8aTLV
47	36434 11233	   	284.36	ACR|DCR|2TLV|2LIT|1VULN	13LIT|23TLV|3BPWR|4DUST|5aRCR|6DUR|7RCVC|8BEXP|9VULN
48	32426 26323	 * 	284.19	ACR|DCR|5VULN|2LIT	14LIT|2aRCR|34689VULN|46BPWR|56LWND|7DMSP
49	36422 31133	   	283.49	DCR|2TLV|2LIT|1VULN|1MLV|1CDMG	13LIT|23TLV|3BPWR|4MLV|5DUR|6BEXP|7VULN|8CDMG|9RCR|aLWND
50	36426 11323	   	283.49	DCR|2TLV|2LIT|1VULN|1MLV|1CDMG	13LIT|23TLV|3BPWR|4MLV|5DMSP|6DUR|7CDMG|8VULN|9LHND|aRCR
51	36421 11323	   	283.39	DCR|2TLV|2LIT|1VULN|1MLV|1CDMG	13LIT|23TLV|3BPWR|4MLV|5AEFBLL|6DUR|7CDMG|8VULN|9LHND|aRCR
52	36422 31135	   	283.39	DCR|2TLV|2LIT|1VULN|1MLV|1CDMG	13LIT|23TLV|3BPWR|4MLV|5DUR|6BEXP|7VULN|8CDMG|9RCR|aDUST
53	36421 36121	   	283.29	DCR|2TLV|2LIT|1VULN|1MLV|1ASPD	13LIT|23TLV|3BPWR|4MLV|5AEFBLL|6RCR|7BBNT|8MSLTOX|9VULN|aASPD
54	36425 12321	   	282.87	DCR|2TLV|2LIT|2MLV|1VULN	13LIT|23TLV|3BPWR|45MLV|6DUR|7RCR|8MGNLIT|9RCVC|aVULN
55	36425 31322	   	282.87	DCR|2TLV|2LIT|2MLV|1VULN	13LIT|23TLV|3BPWR|45MLV|6RCR|7LHND|8VULN|9DUR|aLWND
56	36426 31323	   	282.87	DCR|2TLV|2LIT|2MLV|1VULN	13LIT|23TLV|3BPWR|4aMLV|5DMSP|6RCR|7LHND|8VULN|9DUR
57	36421 31323	   	282.77	DCR|2TLV|2LIT|2MLV|1VULN	13LIT|23TLV|3BPWR|4aMLV|5AEFBLL|6RCR|7LHND|8VULN|9DUR
58	36425 31321	   	282.77	DCR|2TLV|2LIT|2MLV|1VULN	13LIT|23TLV|3BPWR|45MLV|6RCR|7LHND|8VULN|9DUR|aSNIHEL
59	51336 23324	 * 	282.69	DCR|3VULN|2TLV|2MLV|1ASPD	1aERES|27TLV|35aVULN|4LWND|6RCR|8ASPD|9aMLV|aBPWR
60	32356 23522	   	282.66	ACR|DCR|3LIT|2TLV	148LIT|29RCR|3AART|5TBNT|68TLV|7RPLT|8BPWR|aCGEN
61	32356 23523	   	282.66	ACR|DCR|3LIT|2TLV	148LIT|29RCR|3AART|5TBNT|68TLV|7RPLT|8BPWR|aLHND
62	32363 23522	   	282.66	ACR|DCR|3LIT|2TLV	158LIT|29RCR|3AART|4TBNT|68TLV|7RPLT|8BPWR|aCGEN
63	32363 23523	   	282.66	ACR|DCR|3LIT|2TLV	158LIT|29RCR|3AART|4TBNT|68TLV|7RPLT|8BPWR|aLHND
64	32363 23524	   	282.66	ACR|DCR|3LIT|2TLV	158LIT|29RCR|3AART|4TBNT|68TLV|7RPLT|8BPWR|aFEWX
65	32363 23526	   	282.66	ACR|DCR|3LIT|2TLV	158LIT|29RCR|3AART|4TBNT|68TLV|7RPLT|8BPWR|aLWND
66	32356 23521	   	282.56	ACR|DCR|3LIT|2TLV	148LIT|29RCR|3AART|5TBNT|68TLV|7RPLT|8BPWR|aDUST
67	32363 23521	   	282.56	ACR|DCR|3LIT|2TLV	158LIT|29RCR|3AART|4TBNT|68TLV|7RPLT|8BPWR|aDUST
68	32423 31355	   	282.43	ACR|2VULN|2TLV|2LIT|2MLV|1DMG	14LIT|2RCR|34VULN|4BPWR|5CGEN|69MLV|7aTLV|8DMG
69	36426 31331	   	282.13	DCR|2TLV|2LIT|1VULN|1MLV|1CDMG	13LIT|23TLV|3BPWR|4MLV|5DMSP|6RCR|7LHND|8VULN|9RPLT|aCDMG
70	36421 31331	   	282.03	DCR|2TLV|2LIT|1VULN|1MLV|1CDMG	13LIT|23TLV|3BPWR|4MLV|5AEFBLL|6RCR|7LHND|8VULN|9RPLT|aCDMG
71	36421 34331	   	282.03	DCR|2TLV|2LIT|1VULN|1MLV|1CDMG	13LIT|23TLV|3BPWR|4MLV|5AEFBLL|6RCR|7LWND|8VULN|9RPLT|aCDMG
72	36425 31333	   	281.51	DCR|2TLV|2LIT|2MLV|1VULN	13LIT|23TLV|3BPWR|45MLV|6RCR|7LHND|8VULN|9RPLT|aAAC
73	36421 35323	   	280.90	DCR|2TLV|2LIT|1MLV|1DMG|1ASPD|1CDMG	13LIT|23TLV|3BPWR|4MLV|5AEFBLL|6RCR|7ASPD|8CDMG|9TBNT|aDMG
74	32423 31116	   	280.77	ACR|3LIT|2VULN|2TLV|1MLV|1ASPD	14aLIT|2RCR|34VULN|4BPWR|5CGEN|6MLV|78TLV|9ASPD
75	32425 21116	   	280.67	ACR|3LIT|2VULN|2TLV|1MLV|1ASPD	14aLIT|2RCR|34VULN|4BPWR|5MLV|6ERES|78TLV|9ASPD
76	36425 12112	 * 	280.62	DCR|3LIT|3MLV|2TLV	138LIT|23TLV|3BPWR|45aMLV|6DUR|7RCR|9RCVC
77	36425 12122	   	280.62	DCR|3LIT|3MLV|2TLV	138LIT|23TLV|3BPWR|45aMLV|6DUR|7RCR|9CGEN
78	36425 32323	   	280.29	DCR|2TLV|2LIT|2MLV|1DMG|1CDMG	13LIT|23TLV|3BPWR|45MLV|6RCR|7ERES|8CDMG|9TBNT|aDMG
79	32423 31141	 * 	280.15	ACR|3LIT|2VULN|2TLV|2MLV	14aLIT|2RCR|34VULN|4BPWR|5CGEN|69MLV|78TLV
80	36421 34313	   	280.14	DCR|2TLV|2LIT|1VULN|1MLV|1DMG	13LIT|23TLV|3BPWR|4MLV|5AEFBLL|6RCR|7LWND|8VULN|9BEXP|aDMG
81	32425 21141	   	280.05	ACR|3LIT|2VULN|2TLV|2MLV	14aLIT|2RCR|34VULN|4BPWR|59MLV|6ERES|78TLV
82	36421 32532	   	280.04	DCR|2TLV|2LIT|1VULN|1MLV|1DMG	13LIT|23TLV|3BPWR|4MLV|5AEFBLL|6RCR|7ERES|8VULN|9DMG|aBEXP
83	36421 32531	   	279.94	DCR|2TLV|2LIT|1VULN|1MLV|1DMG	13LIT|23TLV|3BPWR|4MLV|5AEFBLL|6RCR|7ERES|8VULN|9DMG|aMBVNT
84	36134 23321	   	279.79	ACR|3LIT|2TLV|2MLV|1VULN|2DUR	147LIT|27TLV|37DUR|5RCR|6AART|7BPWR|8aMLV|9VULN
85	36422 12633	   	279.50	DCR|2TLV|2LIT|1VULN|1MLV	13LIT|23TLV|3BPWR|4MLV|5DUR|6BBNT|7VULN|8CGEN|9DMSP|aRCR
86	14113 61116	 * 	279.41	DCR|DCR|2VULN|2LIT|1SELL	18LWND|2SELL|3AART|4LHND|58LIT|6aRCR|78VULN|8BPWR|9RPLT
87	36451 32231	   	279.30	DCR|2TLV|2LIT|1VULN|1MLV	13LIT|23TLV|3BPWR|4ERES|5AEFBLL|6RCR|7VULN|8DUR|9BBNT|aMLV
88	32424 23151	 * 	279.00	ACR|3VULN|3LIT|2MLV|1TLV	149LIT|2RCR|349VULN|49BPWR|5BELT|69MLV|7AART|8TBNT|aTLV
89	32421 32435	   	278.83	ACR|DCR|2VULN|2LIT|1DMG|1ASPD	14LIT|29RCR|34VULN|4BPWR|5SPLARM|6DUR|7ASPD|8DMG|aBBNT
90	32422 32435	   	278.83	ACR|DCR|2VULN|2LIT|1DMG|1ASPD	14LIT|29RCR|34VULN|4BPWR|5BASARM|6DUR|7ASPD|8DMG|aBBNT
91	36421 42332	   	278.04	DCR|2TLV|2LIT|1VULN|1MLV	13LIT|23TLV|3BPWR|4MLV|5AEFBLL|6FEWX|7RCR|8VULN|9BBNT|aAART
92	36426 31111	   	277.95	DCR|3LIT|2TLV|1VULN|1MLV	138LIT|23TLV|3BPWR|4MLV|5DMSP|6RCR|7LHND|9RCVC|aVULN
93	36421 31111	   	277.85	DCR|3LIT|2TLV|1VULN|1MLV	138LIT|23TLV|3BPWR|4MLV|5AEFBLL|6RCR|7LHND|9RCVC|aVULN
94	36421 34111	   	277.85	DCR|3LIT|2TLV|1VULN|1MLV	138LIT|23TLV|3BPWR|4MLV|5AEFBLL|6RCR|7LWND|9RCVC|aVULN
95	36421 42121	   	277.85	DCR|3LIT|2TLV|1VULN|1MLV	138LIT|23TLV|3BPWR|4MLV|5AEFBLL|69FEWX|7RCR|aVULN
96	36225 62132	   	277.85	DCR|3LIT|2TLV|1VULN|1MLV	168LIT|2aTLV|34BEXP|5MLV|7RCR|9VULN
97	36421 32226	   	277.76	DCR|3LIT|2TLV|1VULN|1MLV	13aLIT|23TLV|3BPWR|4MLV|5AEFBLL|6RCR|7ERES|8ZMB|9VULN
98	32423 31332	   	277.71	ACR|2VULN|2TLV|2LIT|1MLV|1DMG	14LIT|2RCR|34VULN|4BPWR|5CGEN|6MLV|7aTLV|8DMG|9RPLT
99	36421 32134	   	277.65	DCR|3LIT|2TLV|1VULN|1MLV	13aLIT|23TLV|3BPWR|4MLV|5AEFBLL|6RCR|7ERES|8MDPS|9VULN
100	32425 21332	   	277.61	ACR|2VULN|2TLV|2LIT|1MLV|1DMG	14LIT|2RCR|34VULN|4BPWR|5MLV|6ERES|7aTLV|8DMG|9RPLT
101	36422 42321	   	277.61	DCR|2TLV|2LIT|1VULN|1MLV|2DUR	13LIT|23TLV|3BPWR|4MLV|56DUR|7RCR|8MGNLIT|9RCVC|aVULN
102	36426 12222	   	277.61	DCR|2TLV|2LIT|1VULN|1MLV|2DUR	13LIT|23TLV|3BPWR|4MLV|5DMSP|68DUR|7RCR|9VULN|aLHND
103	36421 12222	   	277.51	DCR|2TLV|2LIT|1VULN|1MLV|2DUR	13LIT|23TLV|3BPWR|4MLV|5AEFBLL|68DUR|7RCR|9VULN|aLHND
104	36426 12223	   	277.51	DCR|2TLV|2LIT|1VULN|1MLV|2DUR	13LIT|23TLV|3BPWR|4MLV|5DMSP|68DUR|7RCR|9VULN|aERES
105	36421 12223	   	277.41	DCR|2TLV|2LIT|1VULN|1MLV|2DUR	13LIT|23TLV|3BPWR|4MLV|5AEFBLL|68DUR|7RCR|9VULN|aERES
106	32421 42431	   	277.29	ACR|DCR|3LIT|2VULN|1DMG|1ASPD	14aLIT|29RCR|34VULN|4BPWR|5SPLARM|6LHND|7ASPD|8DMG
107	32422 42431	   	277.29	ACR|DCR|3LIT|2VULN|1DMG|1ASPD	14aLIT|29RCR|34VULN|4BPWR|5BASARM|6LHND|7ASPD|8DMG
108	36421 12224	   	277.26	DCR|2TLV|2LIT|1VULN|1MLV|2DUR|1SELL	13LIT|23TLV|3BPWR|4MLV|5AEFBLL|68DUR|7RCR|9VULN|aSELL
109	32426 21136	 * 	277.24	ACR|3VULN|3LIT|2TLV|1DMG	14aLIT|2RCR|346VULN|46BPWR|56LWND|78TLV|9DMG
110	36421 12225	   	276.94	DCR|3TLV|2LIT|1VULN|1MLV|2DUR	13LIT|23aTLV|3BPWR|4MLV|5AEFBLL|68DUR|7RCR|9VULN
111	36412 13331	   	276.84	DCR|3LIT|2TLV|1MLV|2DUR|1ASPD	135LIT|23TLV|3BPWR|4GSSFST|68DUR|7ASPD|9RCR|aMLV
