0	Index      	 *	Score 	Summary	Detail	
1	33112 41361	 * 	289.51	DCR|3LIT|2VULN|2TLV|2DUR	18RCVC|24aLIT|34TLV|4aBPWR|5aVULN|6MDPS|7aDUR|9RCR
21	33112 16542	   	274.16	DCR|2VULN|2TLV|2LIT|1DMG	1RCVC|24LIT|34TLV|4BPWR|5aVULN|6BELT|7NUKE|8DMG|9RCR
22	33113 15325	   	273.83	DCR|2TLV|2LIT|1VULN|1MLV|1ASPD	1RCVC|24LIT|34TLV|4BPWR|5MLV|6BELT|7RMIN|8ASPD|9VULN|aRCR
23	24132 26323	 * 	272.98	ACR|DCR|2DMG|1TLV|1LIT|1MLV|1RPLT	1aRCR|2RPLT|39DMG|4LWND|5TLV|6MLV|7DUST|8LIT
24	24132 21313	   	272.93	ACR|DCR|1TLV|1LIT|1MLV|1DMG|1RPLT|2DUR	1aRCR|2RPLT|3DMG|4LWND|5TLV|6MLV|79DUR|8LIT
25	53113 12543	 * 	270.72	DCR|3VULN|3LIT|3ASPD	1TBNT|2AAC|39aVULN|4LHND|59aLIT|69aASPD|7AART|8RCR|9aBPWR
26	21125 53123	 * 	270.71	ACR|DCR|1TLV|1LIT|1VULN|1ASPD|1CDMG|1BBNT	17RCR|2CDMG|3BBNT|4SNIHEL|5ASPD|6LIT|8FEWX|9TLV|aVULN
27	21125 53341	   	270.71	ACR|DCR|1TLV|1LIT|1VULN|1ASPD|1CDMG|1BBNT	17RCR|2CDMG|3BBNT|4SNIHEL|5ASPD|6LIT|8ZMB|9TLV|aVULN
28	21125 53423	   	270.71	ACR|DCR|1TLV|1LIT|1VULN|1ASPD|1CDMG|1BBNT	17RCR|2CDMG|3BBNT|4SNIHEL|5ASPD|6LIT|8LHND|9TLV|aVULN
29	33122 15521	   	269.50	DCR|3LIT|2VULN|1TLV|1BBNT	1RCVC|269LIT|3TLV|49LWND|5BBNT|79VULN|8RPLT|9BPWR|aRCR
30	33132 15521	   	269.50	DCR|3LIT|2VULN|1TLV|1BBNT	1RCVC|269LIT|3TLV|49BEXP|5BBNT|79VULN|8RPLT|9BPWR|aRCR
31	33165 32224	   	269.31	DCR|2VULN|2TLV|2LIT|1BBNT	1RCVC|28LIT|38TLV|4AME|5DUST|6BBNT|78VULN|8BPWR|9TBNT|aRCR
32	24132 14353	   	268.74	ACR|DCR|2LIT|1TLV|1DMG|1RPLT	19RCR|2RPLT|3DMG|48LWND|5TLV|6aLIT|7AART
33	33112 25243	   	268.28	DCR|2TLV|2LIT|1VULN|1MLV	1RCVC|24LIT|34TLV|4BPWR|5VULN|6AART|7MBVNT|8MDPS|9RCR|aMLV
34	33112 63243	   	268.28	DCR|2TLV|2LIT|1VULN|1MLV	1RCVC|24LIT|34TLV|4BPWR|5VULN|6MBVNT|7AART|8MDPS|9RCR|aMLV
35	33112 22124	   	268.06	DCR|2VULN|2TLV|2LIT	1RCVC|24LIT|34TLV|4BPWR|57VULN|6AART|8TBNT|9CGEN|aRCR
36	33112 22164	   	268.06	DCR|2VULN|2TLV|2LIT	1RCVC|24LIT|34TLV|4BPWR|57VULN|6AART|8TBNT|9RMIN|aRCR
37	33112 32663	   	267.92	DCR|3TLV|2LIT|1VULN|1MLV	1RCVC|24LIT|348TLV|4BPWR|5VULN|6MLV|7RMIN|9RCR|aRPLT
38	33112 12325	   	267.84	DCR|2VULN|2TLV|2LIT|1ASPD	1RCVC|24LIT|34TLV|4BPWR|59VULN|6BELT|7LWND|8ASPD|aRCR
39	12331 12544	   	267.68	DCR|2VULN|2LIT|1TLV|1DMG	19LHND|2DMG|3RMIN|49VULN|59LIT|6TBNT|7AART|8RCR|9BPWR|aTLV
40	24162 44641	 * 	267.00	ACR|3VULN|2TLV|3DMG|1RPLT	1RCR|2RPLT|37aDMG|4MBVNT|57TLV|67aVULN|7aBPWR|8aZMB|9AART
41	21322 33154	 * 	266.61	ACR|DCR|4VULN|1DMG|1RPLT|1CDMG	19RCR|2CDMG|3RPLT|4ERES|5678VULN|aDMG
42	24162 44823	 * 	266.45	ACR|2VULN|2TLV|2DMG|1LIT|1RPLT|1ASPD	1RCR|2RPLT|37DMG|4MBVNT|57TLV|67VULN|7BPWR|8LWND|9ASPD|aLIT
43	24162 44374	 * 	266.44	ACR|2VULN|2TLV|2DMG|1MLV|1RPLT|1ASPD	1RCR|2RPLT|37DMG|4MBVNT|57TLV|67VULN|7BPWR|8ERES|9ASPD|aMLV
44	33113 53364	   	265.73	DCR|2TLV|2LIT|1VULN|1MLV	1RCVC|24LIT|34TLV|4BPWR|5MLV|6DMSP|7CGEN|8TBNT|9RCR|aVULN
45	24432 16123	   	265.40	ACR|DCR|2LIT|1TLV|1MLV|1RPLT|1DUR	1aRCR|2RPLT|3FEWX|4AAC|5TLV|67LIT|8DUR|9MLV
46	24632 16223	   	265.40	ACR|DCR|2LIT|1TLV|1MLV|1RPLT|1DUR	1aRCR|2RPLT|3AAC|4DUR|5TLV|67LIT|8LWND|9MLV
47	33112 41364	   	263.75	DCR|2VULN|2TLV|2LIT|1DUR	18RCVC|24LIT|34TLV|4BPWR|5aVULN|6MDPS|7DUR|9RCR
48	33112 53316	   	263.75	DCR|2VULN|2TLV|2LIT|1DUR	1RCVC|24LIT|34TLV|4BPWR|59VULN|6AAC|7AEFBLL|8DUR|aRCR
49	22522 11241	 * 	263.39	ACR|DCR|2VULN|1TLV|1MLV|1DMG	17RCR|2LHND|3CGEN|4MLV|59VULN|6DMG|8LWND|aTLV
50	31432 26422	   	263.27	DCR|2VULN|2LIT|1TLV|2CDMG|1BBNT	1RCVC|27CDMG|3LEGI|4BEXP|57VULN|67LIT|7BPWR|8TLV|9BBNT|aRCR
51	33112 13213	   	262.50	DCR|2VULN|2TLV|2LIT	1RCVC|24LIT|34TLV|4BPWR|58VULN|6BELT|7RPLT|9CGEN|aRCR
52	24162 44533	   	262.46	ACR|2VULN|2TLV|2DMG|1LIT|1RPLT|1DUR	1RCR|2RPLT|37DMG|4MBVNT|57TLV|67VULN|7BPWR|8CGEN|9DUR|aLIT
53	24162 44633	   	262.46	ACR|2VULN|2TLV|2DMG|1LIT|1RPLT|1DUR	1RCR|2RPLT|37DMG|4MBVNT|57TLV|67VULN|7BPWR|8ZMB|9DUR|aLIT
54	33112 64154	   	262.40	DCR|2VULN|2TLV|2LIT	1RCVC|24LIT|34TLV|4BPWR|57VULN|6MBVNT|8CGEN|9RPLT|aRCR
55	24162 44333	   	262.36	ACR|2VULN|2TLV|2DMG|1LIT|1RPLT|1DUR	1RCR|2RPLT|37DMG|4MBVNT|57TLV|67VULN|7BPWR|8ERES|9DUR|aLIT
56	33112 22661	   	262.30	DCR|2VULN|2TLV|2LIT	1RCVC|24LIT|34TLV|4BPWR|57VULN|6AART|8MBVNT|9LEGI|aRCR
57	33112 25245	   	262.30	DCR|2VULN|2TLV|2LIT	1RCVC|24LIT|34TLV|4BPWR|5aVULN|6AART|7MBVNT|8MDPS|9RCR
58	33112 63245	   	262.30	DCR|2VULN|2TLV|2LIT	1RCVC|24LIT|34TLV|4BPWR|5aVULN|6MBVNT|7AART|8MDPS|9RCR
59	33112 64854	   	262.30	DCR|2VULN|2TLV|2LIT	1RCVC|24LIT|34TLV|4BPWR|57VULN|6MBVNT|8ERES|9RPLT|aRCR
60	33141 26231	   	262.02	DCR|2VULN|2LIT|1TLV|2CDMG	1RCVC|2aLIT|3TLV|4aCDMG|5ZMB|6FEWX|7aVULN|8RCR|9RPLT|aBPWR
61	33141 56231	   	261.92	DCR|2VULN|2LIT|1TLV|2CDMG	1RCVC|2aLIT|3TLV|4aCDMG|5ZMB|6DUST|7aVULN|8RCR|9RPLT|aBPWR
62	24162 44644	   	261.20	ACR|2VULN|2TLV|2DMG|1MLV|1RPLT	1RCR|2RPLT|37DMG|4MBVNT|57TLV|67VULN|7BPWR|8ZMB|9AART|aMLV
63	23653 14231	 * 	260.69	ACR|2VULN|2TLV|2DMG|1LIT|2ASPD	1RCR|2LWND|3aASPD|45VULN|6LIT|7aDMG|8LHND|9aTLV|aBPWR
64	33142 36253	   	260.61	DCR|2TLV|1LIT|1VULN|1DMG|1CDMG|1DUR|1BBNT	1RCVC|2LIT|39TLV|4CDMG|5DMG|6DUR|7VULN|8RCR|aBBNT
65	33113 15425	   	260.17	DCR|2TLV|2LIT|1VULN|1MLV	1RCVC|24LIT|34TLV|4BPWR|5MLV|6BELT|7RMIN|8AAC|9VULN|aRCR
66	33116 22262	   	260.17	DCR|2TLV|2LIT|1VULN|1MLV	1RCVC|24LIT|34TLV|4BPWR|5FEWX|6LWND|7VULN|8BELT|9MLV|aRCR
67	33116 35262	   	260.17	DCR|2TLV|2LIT|1VULN|1MLV	1RCVC|24LIT|34TLV|4BPWR|5FEWX|6LHND|7VULN|8BELT|9MLV|aRCR
68	33112 31148	   	260.07	DCR|2TLV|2LIT|1VULN|1MLV	1RCVC|24LIT|34TLV|4BPWR|5VULN|6MLV|7DMSP|8FEWX|9MBVNT|aRCR
69	33113 11325	   	260.07	DCR|2TLV|2LIT|1VULN|1MLV	1RCVC|24LIT|34TLV|4BPWR|5MLV|6BELT|7ERES|8ZMB|9VULN|aRCR
70	33113 11425	   	260.07	DCR|2TLV|2LIT|1VULN|1MLV	1RCVC|24LIT|34TLV|4BPWR|5MLV|6BELT|7ERES|8AAC|9VULN|aRCR
71	33113 23642	   	260.07	DCR|2TLV|2LIT|1VULN|1MLV	1RCVC|24LIT|34TLV|4BPWR|5MLV|6DUST|7VULN|8LWND|9BELT|aRCR
72	33112 61772	   	260.07	DCR|2TLV|2LIT|1VULN|1MLV	1RCVC|24LIT|34TLV|4BPWR|5VULN|6MBVNT|7LHND|8AAC|9RCR|aMLV
73	33112 67372	   	260.07	DCR|2TLV|2LIT|1VULN|1MLV	1RCVC|24LIT|34TLV|4BPWR|5VULN|6MBVNT|7FEWX|8CGEN|9RCR|aMLV
74	33116 62372	   	260.07	DCR|2TLV|2LIT|1VULN|1MLV	1RCVC|24LIT|34TLV|4BPWR|5FEWX|6MBVNT|7VULN|8CGEN|9RCR|aMLV
75	52263 13621	 * 	259.94	ACR|DCR|2TLV|1VULN|1MLV	1TBNT|27BEXP|3FRZFST|49RCR|58TLV|6VULN|aMLV
76	21361 52232	   	259.81	ACR|DCR|2VULN|1TLV|1RPLT|1CDMG	18RCR|2CDMG|3RPLT|4DLOT|5RCVC|6TLV|7AAC|9aVULN
77	22223 34136	 * 	259.80	ACR|DCR|2VULN|1TLV|1LIT|1SELL	19RCR|2LHND|3LWND|4TLV|5aVULN|6LIT|7SELL|8ZMB
78	23123 34136	 * 	259.80	ACR|DCR|2VULN|1TLV|1LIT|1SELL	19RCR|2LWND|3LHND|4TLV|5aVULN|6LIT|7SELL|8ZMB
79	33113 66126	   	259.70	DCR|2TLV|2LIT|1MLV|1CDMG|1DUR	1RCVC|24LIT|34TLV|4BPWR|5MLV|6BEXP|7RPLT|8CDMG|9DUR|aRCR
80	33112 32661	   	259.61	DCR|3TLV|2LIT|1VULN|1MLV	1RCVC|24LIT|348TLV|4BPWR|5VULN|6MLV|7RMIN|9RCR|aLWND
81	33112 32662	   	259.61	DCR|3TLV|2LIT|1VULN|1MLV	1aRCVC|24LIT|348TLV|4BPWR|5VULN|6MLV|7RMIN|9RCR
82	33112 32665	   	259.61	DCR|3TLV|2LIT|1VULN|1MLV	1RCVC|24LIT|348TLV|4BPWR|5VULN|6MLV|7RMIN|9RCR|aLHND
83	33113 26126	   	259.60	DCR|2TLV|2LIT|1MLV|1CDMG|1DUR	1RCVC|24LIT|34TLV|4BPWR|5MLV|6DUST|7RPLT|8CDMG|9DUR|aRCR
84	33113 32164	   	259.51	DCR|3TLV|2LIT|1VULN|1MLV	1RCVC|24LIT|346TLV|4BPWR|5MLV|7LWND|8ERES|9RCR|aVULN
85	33113 34264	   	259.51	DCR|3TLV|2LIT|1VULN|1MLV	1RCVC|24LIT|346TLV|4BPWR|5MLV|7ERES|8FEWX|9RCR|aVULN
86	33113 34663	   	259.51	DCR|3TLV|2LIT|1VULN|1MLV	1RCVC|24LIT|346TLV|4BPWR|5MLV|7ERES|8AAC|9RCR|aVULN
87	33113 36164	   	259.51	DCR|3TLV|2LIT|1VULN|1MLV	1RCVC|24LIT|346TLV|4BPWR|5MLV|7FEWX|8ERES|9RCR|aVULN
