0	Index      	Bounty	 *	Score 	Summary	Detail	
1	22254 26184	10	 * 	296.09	DCR|4VULN|2DMG|2DUR|2TLV	17DUR|2467VULN|3MBVNT|57TLV|7BPWR|89DMG|aRCR
36	22254 22538	8	   	274.79	DCR|4VULN|2DUR|1DMG|1TLV	1aDUR|246aVULN|3MBVNT|5TLV|7RCR|8DMG|9aCGEN|aBPWR
37	22254 22428	7	   	274.59	DCR|4VULN|2DUR|1DMG|1TLV	1aDUR|246aVULN|3MBVNT|5TLV|7RCR|8DMG|9aERES|aBPWR
38	22254 22527	10	   	274.59	DCR|4VULN|2DUR|1DMG|1TLV	1aDUR|2469VULN|3MBVNT|5TLV|7RCR|8DMG
39	22254 22528	8	   	274.59	DCR|4VULN|2DUR|1DMG|1TLV	1aDUR|246aVULN|3MBVNT|5TLV|7RCR|8DMG|9aERES|aBPWR
40	22254 22561	10	   	274.59	DCR|4VULN|2DUR|1DMG|1TLV	19DUR|246aVULN|3MBVNT|5TLV|7RCR|8DMG
41	22254 82521	10	   	274.59	DCR|4VULN|2DUR|1DMG|1TLV	16DUR|249aVULN|3MBVNT|5TLV|7RCR|8DMG
42	22651 43121	9	   	273.91	DCR|3VULN|3DUR|1TLV|2LIT|1CDMG	178DUR|248VULN|3TLV|5CDMG|68LIT|8BPWR|9RCR|aBEXP
43	22651 43122	10	   	273.91	DCR|3VULN|3DUR|1TLV|2LIT|1CDMG	178DUR|248VULN|3TLV|5CDMG|68LIT|8BPWR|9RCR|aRPLT
44	22651 43123	9	   	273.91	DCR|3VULN|3DUR|1TLV|2LIT|1CDMG	178DUR|248VULN|3TLV|5CDMG|68LIT|8BPWR|9RCR|aDMSP
45	22651 43123	10	   	273.91	DCR|3VULN|3DUR|1TLV|2LIT|1CDMG	178DUR|248VULN|3TLV|5CDMG|68LIT|8BPWR|9RCR|aCGEN
46	22651 43121	10	   	273.81	DCR|3VULN|3DUR|1TLV|2LIT|1CDMG	178DUR|248VULN|3TLV|5CDMG|68LIT|8BPWR|9RCR|aDUST
47	22651 43122	9	   	273.81	DCR|3VULN|3DUR|1TLV|2LIT|1CDMG	178DUR|248VULN|3TLV|5CDMG|68LIT|8BPWR|9RCR|aDUST
48	22341 36222	4	   	273.42	DCR|2VULN|3DMG|3DUR	178DUR|28VULN|367ERES|4AART|578DMG|78BPWR|9LIT|aRCR
49	22254 61448	7	   	273.35	DCR|3VULN|2DMG|2DUR|2TLV	1aDUR|24aVULN|3MBVNT|59TLV|6RCR|7ERES|8aDMG|aBPWR
50	22232 24768	3	 * 	273.31	ACR|4VULN|3DUR|2DMG|1TLV	16aDUR|256aVULN|3MBVNT|4RCR|6aBPWR|7TLV|8ERES|9aDMG
51	22254 26441	8	   	273.29	DCR|4VULN|2DUR|2TLV|2LIT	17DUR|2467VULN|3MBVNT|57TLV|7BPWR|89LIT|aRCR
52	15233 33614	2	 * 	273.07	DCR|5VULN|3ASPD|2LIT	179FEWX|2aLIT|3569aVULN|49aASPD|8RCR|9aBPWR
53	22217 31728	10	 * 	272.81	DCR|4VULN|3DUR|2ASPD|1NUKE	167DUR|2789VULN|3MBVNT|47ASPD|5NUKE|7BPWR|aRCR
54	22163 46211	4	   	272.16	DCR|4VULN|2DUR|2AART|1TLV	17DUR|257aVULN|34AART|6RCR|7BPWR|8TLV|9BEXP
55	23262 24521	2	   	272.06	DCR|4VULN|3DUR|1DMG	18aDUR|2RPLT|348aVULN|5FEWX|6DMG|78aLHND|8aBPWR|9RCR
56	22254 26383	10	   	271.99	DCR|4VULN|2DUR|2TLV|1CDMG	17DUR|2467VULN|3MBVNT|57TLV|7BPWR|8ERES|9RCR|aCDMG
57	22251 26148	10	   	271.76	DCR|4VULN|3DUR|1DMG	179DUR|2467VULN|3MBVNT|57CGEN|7BPWR|8DMG|aRCR
58	22254 26137	7	   	271.66	DCR|4VULN|3DUR|2TLV	17aDUR|2467VULN|3MBVNT|57TLV|7BPWR|8LWND|9RCR
59	22254 26437	7	   	271.66	DCR|4VULN|3DUR|2TLV	17aDUR|2467VULN|3MBVNT|57TLV|7BPWR|8FEWX|9RCR
60	22254 26337	7	   	271.56	DCR|4VULN|3DUR|2TLV	17aDUR|2467VULN|3MBVNT|57TLV|7BPWR|8DUST|9RCR
61	22255 31324	9	 * 	271.24	DCR|5VULN|3DUR	167DUR|24789VULN|3MBVNT|57FEWX|7BPWR|aRCR
62	35222 61533	5	   	271.15	DCR|4VULN|2DMG|2LIT|1ASPD	18LIT|28DMG|3468VULN|5RPLT|7RCR|8BPWR|9ERES|aASPD
63	35231 61533	5	   	271.15	DCR|4VULN|2DMG|2LIT|1ASPD	18LIT|28DMG|3568VULN|4RPLT|7RCR|8BPWR|9ERES|aASPD
64	22254 22528	10	   	271.01	DCR|4VULN|1DMG|1TLV|1DUR|1ASPD	1DUR|2469VULN|3MBVNT|5TLV|7RCR|8DMG|aASPD
65	22112 61225	9	   	270.11	DCR|3VULN|2DUR|1DMG|1CDMG|1ASPD	15DUR|27aVULN|3AART|4CDMG|6ASPD|8DMG|9RCR
66	22523 61225	9	   	270.11	DCR|3VULN|2DUR|1DMG|1CDMG|1ASPD	14DUR|27aVULN|3CDMG|5AART|6ASPD|8DMG|9RCR
67	22522 24432	10	   	269.86	DCR|3VULN|3DUR|1TLV|1CDMG|1ASPD	145DUR|269VULN|3CDMG|7TLV|8ASPD|aRCR
68	21621 26135	1	   	269.70	DCR|2VULN|3DUR|2DMG|1TLV|1CDMG	167DUR|27VULN|3DLOT|4RMIN|57DMG|7BPWR|8RCR|9TLV|aCDMG
69	22621 26135	2	   	269.70	DCR|2VULN|3DUR|2DMG|1TLV|1CDMG	167DUR|27VULN|3DLOT|4RMIN|57DMG|7BPWR|8RCR|9TLV|aCDMG
70	11341 33612	1	   	269.61	DCR|3VULN|3DMG|1DUR|2LIT	179FEWX|246VULN|349DMG|49BPWR|59LIT|8RCR|aDUR
71	21421 31432	7	   	269.61	DCR|3VULN|2DUR|2TLV|1DMG|1CDMG	1aDUR|2BELT|3LHND|47aVULN|5DMG|6RCR|8CDMG|9aTLV|aBPWR
72	21421 31632	8	   	269.61	DCR|3VULN|2DUR|2TLV|1DMG|1CDMG	1aDUR|2BELT|3LHND|47aVULN|5DMG|6RCR|8CDMG|9aTLV|aBPWR
73	21421 36432	6	   	269.61	DCR|3VULN|2DUR|2TLV|1DMG|1CDMG	1aDUR|2BELT|3LHND|47aVULN|5DMG|6RCR|8CDMG|9aTLV|aBPWR
74	21651 31332	7	   	269.61	DCR|3VULN|2DUR|2TLV|1DMG|1CDMG	1aDUR|2BELT|3DMG|47aVULN|5LWND|6RCR|8CDMG|9aTLV|aBPWR
75	21651 31632	8	   	269.61	DCR|3VULN|2DUR|2TLV|1DMG|1CDMG	1aDUR|2BELT|3DMG|47aVULN|5LWND|6RCR|8CDMG|9aTLV|aBPWR
76	21651 36332	6	   	269.61	DCR|3VULN|2DUR|2TLV|1DMG|1CDMG	1aDUR|2BELT|3DMG|47aVULN|5LWND|6RCR|8CDMG|9aTLV|aBPWR
77	22151 26114	4	   	269.53	DCR|2VULN|3DUR|2DMG|2TLV	167DUR|2aVULN|3AART|47TLV|57DMG|7BPWR|8RCR|9RCVC
78	33516 33611	2	   	269.51	DCR|3VULN|3DMG|1TLV|2LIT	19LIT|27FEWX|349DMG|569VULN|8RCR|9BPWR|aTLV
79	33735 63413	1	   	269.48	DCR|4VULN|3ASPD|1DUR|2LIT	19LIT|2MBVNT|3DUR|479ASPD|5689VULN|9BPWR|aRCR
80	35231 61512	4	   	269.41	DCR|3VULN|3DMG|1DUR|2LIT	18LIT|258DMG|368VULN|4RPLT|7RCR|8BPWR|9BBNT|aDUR
81	35231 61532	4	   	269.41	DCR|3VULN|3DMG|1DUR|2LIT	18LIT|258DMG|368VULN|4RPLT|7RCR|8BPWR|9ERES|aDUR
82	22163 46231	4	 * 	269.31	DCR|3VULN|2DUR|3AART|1TLV|1CDMG	17DUR|257VULN|34aAART|6RCR|7BPWR|8TLV|9CDMG
83	21653 16321	8	   	268.94	DCR|3VULN|3DUR|1DMG|2CDMG|1SELL	19aDUR|2BELT|3DMG|45aVULN|6SELL|7aCDMG|8RCR|aBPWR
84	22115 21425	5	   	268.00	DCR|4VULN|2DUR|2CDMG	18DUR|267aVULN|3AART|48CDMG|58DUST|8BPWR|9RCR
85	22115 21425	4	   	268.00	DCR|4VULN|2DUR|2CDMG	18DUR|267aVULN|3AART|48CDMG|58DUST|8BPWR|9RCR
86	35235 15111	5	   	267.23	DCR|3VULN|2TLV|1DMG|1DUR|2LIT|1ASPD	1aLIT|2DMG|38aVULN|4RPLT|5DUR|6RCR|7ASPD|9aTLV|aBPWR
87	35235 15111	6	   	267.23	DCR|3VULN|2TLV|1DMG|1DUR|2LIT|1ASPD	1aLIT|2DMG|38aVULN|4RPLT|5DUR|6RCR|7ASPD|9aTLV|aBPWR
88	21612 41531	5	   	267.03	DCR|3VULN|2DMG|2DUR|1CDMG	15DUR|2BELT|39DMG|4CDMG|678VULN|aRCR
89	23617 46111	4	   	266.91	DCR|3VULN|3DUR|2DMG	17aDUR|2RPLT|3MBVNT|47DMG|57aVULN|6RCR|7aBPWR|8RCVC|9aLHND
90	23617 46121	4	   	266.91	DCR|3VULN|3DUR|2DMG	17aDUR|2RPLT|3MBVNT|47DMG|57aVULN|6RCR|7aBPWR|8RCVC|9aBEXP
91	23617 46131	4	   	266.91	DCR|3VULN|3DUR|2DMG	17aDUR|2RPLT|3MBVNT|47DMG|57aVULN|6RCR|7aBPWR|8RCVC|9aLWND
92	22163 25511	4	   	266.91	DCR|4VULN|2DUR|2AART|1ASPD	17DUR|2567VULN|34AART|7BPWR|8RCR|9ASPD|aCGEN
93	22163 25512	4	   	266.91	DCR|4VULN|2DUR|2AART|1ASPD	17DUR|2567VULN|34AART|7BPWR|8RCR|9ASPD|aRPLT
94	22163 46111	4	   	266.91	DCR|4VULN|2DUR|2AART|1ASPD	17DUR|257aVULN|34AART|6RCR|7BPWR|8ASPD|9BEXP
95	22251 26425	8	   	266.84	DCR|4VULN|2DUR|1DMG	17DUR|2467VULN|3MBVNT|57CGEN|7BPWR|8LIT|9RCR|aDMG
96	22524 11351	10	 * 	266.84	DCR|2VULN|3DUR|2ASPD|1DMG|1CDMG	148DUR|28VULN|3CDMG|5RMIN|6DMG|78ASPD|8BPWR|9AART|aRCR
97	23614 41171	9	   	266.81	DCR|3VULN|3DUR|2DMG	15aDUR|2RPLT|3MBVNT|45DMG|5aBPWR|6RCR|79aVULN|8aFEWX
98	23614 41241	8	   	266.81	DCR|3VULN|3DUR|2DMG	15aDUR|2RPLT|3MBVNT|45DMG|5aBPWR|6RCR|79aVULN|8aLHND
99	23614 41271	9	   	266.81	DCR|3VULN|3DUR|2DMG	15aDUR|2RPLT|3MBVNT|45DMG|5aBPWR|6RCR|79aVULN|8aLHND
100	23614 41611	7	   	266.81	DCR|3VULN|3DUR|2DMG	15aDUR|2RPLT|3MBVNT|45DMG|5aBPWR|6RCR|78aVULN|9aLHND
101	23614 41621	7	   	266.81	DCR|3VULN|3DUR|2DMG	15aDUR|2RPLT|3MBVNT|45DMG|5aBPWR|6RCR|78aVULN|9aBEXP
102	23614 41631	7	   	266.81	DCR|3VULN|3DUR|2DMG	15aDUR|2RPLT|3MBVNT|45DMG|5aBPWR|6RCR|78aVULN|9aLWND
103	23614 41641	6	   	266.81	DCR|3VULN|3DUR|2DMG	15aDUR|2RPLT|3MBVNT|45DMG|5aBPWR|6RCR|7aLWND|89aVULN
104	23614 44611	6	   	266.81	DCR|3VULN|3DUR|2DMG	15aDUR|2RPLT|3MBVNT|45DMG|5aBPWR|6RCR|78aVULN|9aLHND
105	23614 44621	6	   	266.81	DCR|3VULN|3DUR|2DMG	15aDUR|2RPLT|3MBVNT|45DMG|5aBPWR|6RCR|78aVULN|9aBEXP
106	23614 44631	6	   	266.81	DCR|3VULN|3DUR|2DMG	15aDUR|2RPLT|3MBVNT|45DMG|5aBPWR|6RCR|78aVULN|9aLWND
107	23614 45641	6	   	266.81	DCR|3VULN|3DUR|2DMG	15aDUR|2RPLT|3MBVNT|45DMG|5aBPWR|6RCR|7aLHND|89aVULN
108	23614 46641	7	   	266.81	DCR|3VULN|3DUR|2DMG	15aDUR|2RPLT|3MBVNT|45DMG|5aBPWR|6RCR|7aLHND|89aVULN
109	22163 46131	4	   	266.81	DCR|4VULN|2DUR|2AART|1ASPD	17DUR|257aVULN|34AART|6RCR|7BPWR|8ASPD|9MBVNT
110	22254 26421	8	   	266.74	DCR|4VULN|2DUR|2TLV	17DUR|2467VULN|3MBVNT|57TLV|7BPWR|8LIT|9RCR|aCGEN
111	22254 26422	8	   	266.74	DCR|4VULN|2DUR|2TLV	17DUR|2467VULN|3MBVNT|57TLV|7BPWR|8LIT|9RCR|aLHND
112	22254 26426	8	   	266.74	DCR|4VULN|2DUR|2TLV	17DUR|2467VULN|3MBVNT|57TLV|7BPWR|8LIT|9RCR|aLWND
113	22254 26427	8	   	266.74	DCR|4VULN|2DUR|2TLV	17DUR|2467VULN|3MBVNT|57TLV|7BPWR|8LIT|9RCR|aMLV
114	22254 26134	7	   	266.74	DCR|4VULN|2DUR|2TLV	17DUR|2467VULN|3MBVNT|57TLV|7BPWR|8LWND|9RCR|aLIT
115	22254 26434	7	   	266.74	DCR|4VULN|2DUR|2TLV	17DUR|2467VULN|3MBVNT|57TLV|7BPWR|8FEWX|9RCR|aLIT
116	22254 26451	9	   	266.74	DCR|4VULN|2DUR|2TLV	17DUR|2467VULN|3MBVNT|57TLV|7BPWR|8LIT|9RCVC|aRCR
117	22254 26461	9	   	266.74	DCR|4VULN|2DUR|2TLV	17DUR|2467VULN|3MBVNT|57TLV|7BPWR|8LIT|9DMSP|aRCR
118	22254 26634	8	   	266.74	DCR|4VULN|2DUR|2TLV	17DUR|2467VULN|3MBVNT|57TLV|7BPWR|8LWND|9RCR|aLIT
119	16433 32326	7	   	266.71	DCR|3VULN|3DUR|2DMG	18FEWX|256DUR|3DUST|48aVULN|78DMG|8BPWR|9RCR
120	22245 18164	7	   	266.71	DCR|3VULN|3DUR|2DMG	18aDUR|26aVULN|3MBVNT|4BEXP|5LWND|7RCR|9aDMG|aBPWR
121	22423 65111	7	   	266.71	DCR|3VULN|3DUR|2DMG	157DUR|279VULN|3DUST|4LWND|67DMG|7BPWR|8BEXP|aRCR
122	22423 65111	8	   	266.71	DCR|3VULN|3DUR|2DMG	157DUR|279VULN|3DUST|4LWND|67DMG|7BPWR|8BEXP|aRCR
123	23631 33261	7	   	266.71	DCR|3VULN|3DUR|2DMG	15aDUR|2RPLT|3MBVNT|4LHND|67aVULN|8RCR|9aDMG|aBPWR
124	22243 78814	9	   	266.71	DCR|3VULN|3DUR|2DMG	15aDUR|289VULN|3MBVNT|4aBEXP|6aDMG|7RCR|aBPWR
125	22524 11312	8	 * 	266.70	DCR|2VULN|3DUR|3ASPD|1DMG|1CDMG	148DUR|28VULN|3CDMG|5RMIN|6DMG|789ASPD|8BPWR|aRCR
126	22254 26334	7	   	266.64	DCR|4VULN|2DUR|2TLV	17DUR|2467VULN|3MBVNT|57TLV|7BPWR|8DUST|9RCR|aLIT
127	22254 26384	10	   	266.64	DCR|4VULN|2DUR|2TLV	17DUR|2467VULN|3MBVNT|57TLV|7BPWR|8ERES|9RCR|aLIT
128	22254 26424	8	   	266.64	DCR|4VULN|2DUR|2TLV	17DUR|2467VULN|3MBVNT|57TLV|7BPWR|8LIT|9RCR|aERES
129	22254 26544	7	   	266.64	DCR|4VULN|2DUR|2TLV	17DUR|2467VULN|3MBVNT|57TLV|7BPWR|8BBNT|9LIT|aRCR
130	22254 26734	7	   	266.64	DCR|4VULN|2DUR|2TLV	17DUR|2467VULN|3MBVNT|57TLV|7BPWR|8LEGI|9RCR|aLIT
131	22641 42211	3	   	266.64	DCR|4VULN|2DUR|2TLV	17DUR|248aVULN|34TLV|4BPWR|5LIT|6TBNT|9RCR
132	23614 43641	4	   	266.61	DCR|3VULN|3DUR|2DMG	17aDUR|2RPLT|3MBVNT|4aDMG|5LEGI|6RCR|89aVULN|aBPWR
133	23617 43741	4	   	266.61	DCR|3VULN|3DUR|2DMG	17aDUR|2RPLT|3MBVNT|4aDMG|59aVULN|6RCR|8LEGI|aBPWR
134	22316 53312	5	   	266.61	DCR|3VULN|3DUR|2DMG	178DUR|27aVULN|3ERES|4LHND|57DMG|6TBNT|7BPWR|9RCR
135	23617 46421	4	   	266.61	DCR|3VULN|3DUR|2DMG	179DUR|2RPLT|3MBVNT|47DMG|57aVULN|6RCR|7BPWR|8ERES
136	22423 65311	7	   	266.61	DCR|3VULN|3DUR|2DMG	157DUR|279VULN|3DUST|4LWND|67DMG|7BPWR|8LEGI|aRCR
137	22254 82118	8	   	266.52	DCR|3VULN|3DUR|2ASPD|1TLV	16aDUR|24aVULN|3MBVNT|5TLV|7RCR|8CGEN|9aASPD|aBPWR
138	22614 53312	4	   	266.52	DCR|3VULN|3DUR|2ASPD|1TLV	178DUR|27aVULN|3TLV|4LHND|57ASPD|6TBNT|7BPWR|9RCR
139	22254 26423	8	   	266.50	DCR|4VULN|2DUR|2TLV|1SELL	17DUR|2467VULN|3MBVNT|57TLV|7BPWR|8LIT|9RCR|aSELL
140	22121 26125	4	   	266.37	DCR|3VULN|3DUR|2DMG|1NUKE|1SELL	167DUR|27aVULN|3AART|4NUKE|57DMG|7BPWR|8RCR|9SELL
