0	Index      	Bounty	 *	Score 	Summary	Detail	
1	33244 22215	7	 * 	291.55	DCR|4VULN|3DUR|1TLV|3CDMG	138CDMG|2389VULN|38BPWR|4TLV|5MLV|68aDUR|7RCR
31	33244 22214	7	   	278.33	DCR|4VULN|2DUR|1TLV|3CDMG	138CDMG|2389VULN|38BPWR|4TLV|5MLV|68DUR|7RCR|aRPLT
32	33244 63212	5	   	278.33	DCR|4VULN|2DUR|1TLV|3CDMG	138CDMG|2389VULN|38BPWR|4TLV|5MLV|6RCR|78DUR|aLHND
33	33246 63212	5	   	278.33	DCR|4VULN|2DUR|1TLV|3CDMG	138CDMG|2389VULN|38BPWR|4TLV|5CGEN|6RCR|78DUR|aLHND
34	33246 63212	4	   	278.33	DCR|4VULN|2DUR|1TLV|3CDMG	138CDMG|2389VULN|38BPWR|4TLV|5CGEN|6RCR|78DUR|aLHND
35	33244 22211	7	   	278.23	DCR|4VULN|2DUR|1TLV|3CDMG	138CDMG|2389VULN|38BPWR|4TLV|5MLV|68DUR|7RCR|aTBNT
36	33244 63211	5	   	278.23	DCR|4VULN|2DUR|1TLV|3CDMG	138CDMG|2389VULN|38BPWR|4TLV|5MLV|6RCR|78DUR|aTBNT
37	33246 63211	5	   	278.23	DCR|4VULN|2DUR|1TLV|3CDMG	138CDMG|2389VULN|38BPWR|4TLV|5CGEN|6RCR|78DUR|aTBNT
38	33246 63211	4	   	278.23	DCR|4VULN|2DUR|1TLV|3CDMG	138CDMG|2389VULN|38BPWR|4TLV|5CGEN|6RCR|78DUR|aTBNT
39	33241 24222	8	 * 	277.70	DCR|4VULN|2TLV|1DMG|2CDMG	13CDMG|239aVULN|3BPWR|48TLV|5LIT|6DMG|7RCR
40	33241 24326	8	   	277.70	DCR|4VULN|2TLV|1DMG|2CDMG	13CDMG|2389VULN|3BPWR|4aTLV|5LIT|6DMG|7RCR
41	33215 62223	3	   	277.55	DCR|5VULN|3DUR|2CDMG	13CDMG|2359aVULN|35BPWR|458DUR|6RCR|7MLV
42	33235 62223	4	   	277.55	DCR|5VULN|3DUR|2CDMG	13CDMG|2359aVULN|35BPWR|458DUR|6RCR|7MLV
43	33242 33462	7	   	277.47	DCR|4VULN|1TLV|1DMG|2CDMG|1DUR|1NUKE	13CDMG|236aVULN|3BPWR|4TLV|5NUKE|7DUR|8DMG|9RCR
44	33215 64223	3	   	277.45	DCR|5VULN|3DUR|2CDMG	13CDMG|2359aVULN|35BPWR|458DUR|6RCR|7ERES
45	33235 64223	4	   	277.45	DCR|5VULN|3DUR|2CDMG	13CDMG|2359aVULN|35BPWR|458DUR|6RCR|7ERES
46	33244 22241	7	   	277.24	DCR|3VULN|2DUR|3CDMG|1TLV|1DMG	138CDMG|238VULN|38BPWR|4TLV|5MLV|68DUR|7RCR|9ERES|aDMG
47	33266 63231	3	   	277.24	DCR|3VULN|2DUR|1TLV|3CDMG|1DMG	138CDMG|238VULN|38BPWR|4CGEN|5ERES|6RCR|78DUR|9TLV|aDMG
48	33241 36522	5	   	276.21	DCR|5VULN|1TLV|2CDMG	13CDMG|2369aVULN|3BPWR|4TLV|5LIT|7ASPD|8RCR
49	33241 24324	8	   	276.17	DCR|4VULN|1TLV|1DMG|2CDMG|2LIT	13CDMG|2389VULN|3BPWR|4TLV|5aLIT|6DMG|7RCR
50	33241 24362	9	   	276.17	DCR|4VULN|1TLV|1DMG|2CDMG|2LIT	13CDMG|238aVULN|3BPWR|4TLV|59LIT|6DMG|7RCR
51	33241 24422	7	   	276.17	DCR|4VULN|1TLV|1DMG|2CDMG|2LIT	13CDMG|239aVULN|3BPWR|4TLV|58LIT|6DMG|7RCR
52	33241 24622	8	   	276.17	DCR|4VULN|1TLV|1DMG|2CDMG|2LIT	13CDMG|239aVULN|3BPWR|4TLV|58LIT|6DMG|7RCR
53	33215 32522	8	   	275.85	DCR|5VULN|1TLV|2CDMG|1DUR	13CDMG|2368aVULN|3BPWR|4LHND|5DUR|7RCR|9TLV
54	33232 32522	8	   	275.85	DCR|5VULN|1TLV|2CDMG|1DUR	13CDMG|2368aVULN|3BPWR|4DUR|5LHND|7RCR|9TLV
55	33244 22522	8	   	275.85	DCR|5VULN|1TLV|2CDMG|1DUR	13CDMG|2389aVULN|3BPWR|4TLV|5MLV|6DUR|7RCR
56	33215 61513	3	   	274.35	DCR|4VULN|2DUR|1DMG|2CDMG	13CDMG|235aVULN|35BPWR|45DUR|6RCR|7ASPD|8DMG|9LHND
57	33215 61523	3	   	274.35	DCR|4VULN|2DUR|1DMG|2CDMG	13CDMG|2359VULN|35BPWR|45DUR|6RCR|7ASPD|8DMG|aFEWX
58	33235 61513	4	   	274.35	DCR|4VULN|2DUR|1DMG|2CDMG	13CDMG|235aVULN|35BPWR|45DUR|6RCR|7ASPD|8DMG|9LHND
59	33235 61523	4	   	274.35	DCR|4VULN|2DUR|1DMG|2CDMG	13CDMG|2359VULN|35BPWR|45DUR|6RCR|7ASPD|8DMG|aFEWX
60	33215 61324	3	   	274.25	DCR|4VULN|2DUR|1DMG|2CDMG	13CDMG|2359VULN|35BPWR|45DUR|6RCR|7ASPD|8ERES|aDMG
61	33215 61521	3	   	274.25	DCR|4VULN|2DUR|1DMG|2CDMG	13CDMG|2359VULN|35BPWR|45DUR|6RCR|7ASPD|8DMG|aMBVNT
62	33215 61522	3	   	274.25	DCR|4VULN|2DUR|1DMG|2CDMG	13CDMG|2359VULN|35BPWR|45DUR|6RCR|7ASPD|8DMG|aERES
63	33235 61324	4	   	274.25	DCR|4VULN|2DUR|1DMG|2CDMG	13CDMG|2359VULN|35BPWR|45DUR|6RCR|7ASPD|8ERES|aDMG
64	33235 61521	4	   	274.25	DCR|4VULN|2DUR|1DMG|2CDMG	13CDMG|2359VULN|35BPWR|45DUR|6RCR|7ASPD|8DMG|aMBVNT
65	33235 61522	4	   	274.25	DCR|4VULN|2DUR|1DMG|2CDMG	13CDMG|2359VULN|35BPWR|45DUR|6RCR|7ASPD|8DMG|aERES
66	33242 32433	8	 * 	273.81	DCR|5VULN|2TLV|3CDMG|1NUKE	138CDMG|23678VULN|38BPWR|48TLV|5NUKE|9BEXP|aRCR
67	33242 32453	9	   	273.81	DCR|5VULN|2TLV|3CDMG|1NUKE	138CDMG|23678VULN|38BPWR|48TLV|5NUKE|9BEXP|aRCR
68	33242 61243	5	   	273.79	DCR|3VULN|2DUR|1TLV|3CDMG|1NUKE	139CDMG|239VULN|39BPWR|4TLV|5NUKE|6RCR|7ASPD|89DUR|aLIT
69	33215 61243	4	   	273.76	DCR|4VULN|3DUR|3CDMG	139CDMG|2359VULN|359BPWR|45LHND|6RCR|7ASPD|89aDUR
70	33241 24323	9	   	273.13	DCR|3VULN|1TLV|1DMG|2CDMG|1DUR	13CDMG|238VULN|3BPWR|4TLV|5LIT|6DMG|7RCR|9DUR|aASPD
71	33241 24225	8	   	272.90	DCR|3VULN|2TLV|1DMG|2CDMG|1DUR	13CDMG|239VULN|3BPWR|48TLV|5LIT|6DMG|7RCR|aDUR
72	33241 24325	10	   	272.90	DCR|3VULN|2TLV|1DMG|2CDMG|1DUR	13CDMG|238VULN|3BPWR|4aTLV|5LIT|6DMG|7RCR|9DUR
73	33215 61622	3	   	272.63	DCR|5VULN|2DUR|2CDMG	13CDMG|2359aVULN|35BPWR|45DUR|6RCR|7ASPD|8ZMB
74	33235 61622	4	   	272.63	DCR|5VULN|2DUR|2CDMG	13CDMG|2359aVULN|35BPWR|45DUR|6RCR|7ASPD|8ZMB
75	33215 61322	3	   	272.53	DCR|5VULN|2DUR|2CDMG	13CDMG|2359aVULN|35BPWR|45DUR|6RCR|7ASPD|8ERES
76	33235 61322	4	   	272.53	DCR|5VULN|2DUR|2CDMG	13CDMG|2359aVULN|35BPWR|45DUR|6RCR|7ASPD|8ERES
77	52273 23311	5	 * 	272.34	DCR|3VULN|3DUR|2TLV|1DMG	147DUR|2DUST|3MBVNT|57TLV|679VULN|7BPWR|8DMG|aRCR
78	52276 23311	4	   	272.34	DCR|3VULN|3DUR|2TLV|1DMG	147DUR|2DUST|3MBVNT|57TLV|679VULN|7BPWR|8DMG|aRCR
79	33215 62521	3	   	272.09	DCR|4VULN|2DUR|3CDMG|1DMG	13aCDMG|2359VULN|35BPWR|45DUR|6RCR|7MLV|8DMG
80	33235 62521	4	   	272.09	DCR|4VULN|2DUR|3CDMG|1DMG	13aCDMG|2359VULN|35BPWR|45DUR|6RCR|7MLV|8DMG
81	33215 61212	3	   	271.72	DCR|4VULN|2DUR|2CDMG|2AART	13CDMG|2359VULN|35BPWR|45DUR|6RCR|7ASPD|8aAART
82	33235 61212	4	   	271.72	DCR|4VULN|2DUR|2CDMG|2AART	13CDMG|2359VULN|35BPWR|45DUR|6RCR|7ASPD|8aAART
83	54263 21333	8	 * 	271.40	DCR|3VULN|3DMG|3DUR	137DUR|258DMG|456VULN|5BPWR|9BEXP|aRCR
84	54263 31333	8	   	271.40	DCR|3VULN|3DMG|3DUR	136DUR|258DMG|457VULN|5BPWR|9BEXP|aRCR
85	33241 24324	10	   	271.37	DCR|3VULN|1TLV|1DMG|2CDMG|1DUR|2LIT	13CDMG|238VULN|3BPWR|4TLV|5aLIT|6DMG|7RCR|9DUR
86	33241 24361	10	   	271.37	DCR|3VULN|1TLV|1DMG|2CDMG|1DUR|2LIT	13CDMG|238VULN|3BPWR|4TLV|59LIT|6DMG|7RCR|aDUR
87	54263 11331	10	   	271.16	DCR|3VULN|3DMG|3DUR|1SELL	13aDUR|257DMG|45aVULN|5aBPWR|6aERES|8SELL|9RCR
88	33215 63111	3	   	271.10	DCR|3VULN|2DUR|1TLV|1DMG|2CDMG	13CDMG|235VULN|35BPWR|45DUR|6RCR|7FEWX|8DLOT|9TLV|aDMG
89	33235 63111	4	   	271.10	DCR|3VULN|2DUR|1TLV|1DMG|2CDMG	13CDMG|235VULN|35BPWR|45DUR|6RCR|7FEWX|8DLOT|9TLV|aDMG
90	33215 66111	3	   	271.00	DCR|3VULN|2DUR|1TLV|1DMG|2CDMG	13CDMG|235VULN|35BPWR|45DUR|6RCR|7LEGI|8DLOT|9TLV|aDMG
91	33235 66111	4	   	271.00	DCR|3VULN|2DUR|1TLV|1DMG|2CDMG	13CDMG|235VULN|35BPWR|45DUR|6RCR|7LEGI|8DLOT|9TLV|aDMG
92	33215 32246	7	   	270.67	DCR|5VULN|2DUR|3CDMG	139CDMG|2369aVULN|39aBPWR|4LHND|5aDUR|7RCR|89aMLV
93	33215 32346	8	   	270.67	DCR|5VULN|2DUR|3CDMG	139CDMG|2369aVULN|39aBPWR|4LHND|5aDUR|7RCR|89aCGEN
94	33243 24533	9	   	270.66	DCR|2VULN|2TLV|3CDMG|1DMG|1DUR|2LIT|1AART	138CDMG|23VULN|38BPWR|48TLV|5AART|68LIT|7RCR|9DMG|aDUR
95	33243 24533	10	   	270.66	DCR|2VULN|2TLV|3CDMG|1DMG|1DUR|2LIT|1AART	138CDMG|23VULN|38BPWR|48TLV|5AART|68LIT|7RCR|9DMG|aDUR
96	33235 43363	10	   	270.60	DCR|3VULN|3DUR|1TLV|3CDMG	137CDMG|238VULN|378BPWR|457DUR|678FEWX|9TLV|aRCR
97	33235 63363	10	   	270.60	DCR|3VULN|3DUR|1TLV|3CDMG	137CDMG|238VULN|378BPWR|457DUR|678BEXP|9TLV|aRCR
98	33233 13363	10	   	270.60	DCR|3VULN|3DUR|1TLV|3CDMG	137CDMG|238VULN|378BPWR|478DUR|567FEWX|9TLV|aRCR
99	33263 23363	10	   	270.60	DCR|3VULN|3DUR|1TLV|3CDMG	137CDMG|238VULN|378BPWR|457FEWX|678DUR|9TLV|aRCR
100	33231 32525	8	   	270.47	DCR|5VULN|2DUR|3CDMG	13aCDMG|23689VULN|3aBPWR|4aDUR|5aBEXP|7RCR
101	33555 31222	2	 * 	270.35	DCR|4VULN|3DMG|1CDMG	1CDMG|2569VULN|3RMIN|456DMG|56BPWR|7BBNT|8ASPD|aRCR
102	33215 61522	4	   	269.72	DCR|4VULN|1TLV|1DMG|2CDMG	13CDMG|235aVULN|35BPWR|45LHND|6RCR|7ASPD|8DMG|9TLV
103	33241 24321	8	   	269.62	DCR|4VULN|1TLV|1DMG|2CDMG	13CDMG|2389VULN|3BPWR|4TLV|5LIT|6DMG|7RCR|aLWND
104	33241 25312	9	   	269.62	DCR|4VULN|1TLV|1DMG|2CDMG	13CDMG|237aVULN|3BPWR|4TLV|5LIT|6DMG|8DMSP|9RCR
105	33241 25521	7	   	269.62	DCR|4VULN|1TLV|1DMG|2CDMG	13CDMG|2379VULN|3BPWR|4TLV|5LIT|6DMG|8RCR|aLWND
106	33246 32123	10	   	269.62	DCR|4VULN|1TLV|1DMG|2CDMG	13CDMG|2367VULN|3BPWR|4TLV|5CGEN|8DMG|9RCR|aLIT
107	34214 24322	8	   	269.52	DCR|4VULN|1TLV|1DMG|2CDMG	12CDMG|3LIT|4TLV|589aVULN|6DMG|7RCR
108	54263 23223	5	   	269.40	DCR|3VULN|3DUR|2DMG|1CDMG	138DUR|25DMG|459VULN|5BPWR|6LHND|7CDMG|aRCR
109	33244 32115	10	   	269.40	DCR|4VULN|2TLV|1DMG|2CDMG	13CDMG|2367VULN|3BPWR|49TLV|5MLV|8DMG|aRCR
110	33241 24323	8	   	269.38	DCR|4VULN|1TLV|2CDMG|1DMG|1SELL	13CDMG|2389VULN|3BPWR|4TLV|5LIT|6DMG|7RCR|aSELL
111	33241 25523	7	   	269.38	DCR|4VULN|1TLV|2CDMG|1DMG|1SELL	13CDMG|2379VULN|3BPWR|4TLV|5LIT|6DMG|8RCR|aSELL
112	33242 32115	10	   	269.30	DCR|4VULN|2TLV|1DMG|2CDMG|1NUKE	13CDMG|2367VULN|3BPWR|49TLV|5NUKE|8DMG|aRCR
113	33242 32221	7	   	269.16	DCR|5VULN|1TLV|2CDMG|1NUKE|1AART	13CDMG|23678VULN|3BPWR|4TLV|5NUKE|9RCR|aAART
114	33243 24123	7	   	269.00	DCR|3VULN|2DUR|1TLV|2CDMG|1AART	13CDMG|238VULN|3BPWR|4TLV|5AART|6LIT|7RCR|9aDUR
115	33243 61243	8	   	268.74	DCR|3VULN|2TLV|3CDMG|1DUR|1AART	138CDMG|238VULN|38BPWR|48TLV|5AART|6DMSP|7RCR|9DUR|aASPD
116	33212 36426	3	 * 	268.62	DCR|3VULN|2DMG|2DUR|3CDMG	13aCDMG|23aVULN|3aBPWR|45DUR|6TBNT|7ZMB|8aDMG|9RCR
117	33232 36426	4	   	268.62	DCR|3VULN|2DMG|2DUR|3CDMG	13aCDMG|23aVULN|3aBPWR|45DUR|6TBNT|7ZMB|8aDMG|9RCR
118	33243 61242	8	   	268.20	DCR|3VULN|2TLV|3CDMG|2AART|1DUR	138CDMG|238VULN|38BPWR|48TLV|5aAART|6DMSP|7RCR|9DUR
119	33241 11322	8	   	267.90	DCR|5VULN|1TLV|2CDMG	13CDMG|2389aVULN|3BPWR|4TLV|5LIT|6RMIN|7RCR
120	33244 11322	8	   	267.90	DCR|5VULN|1TLV|2CDMG	13CDMG|2389aVULN|3BPWR|4TLV|5MLV|6LIT|7RCR
121	33244 31122	8	   	267.90	DCR|5VULN|1TLV|2CDMG	13CDMG|2369aVULN|3BPWR|4TLV|5MLV|7LIT|8RCR
122	33244 32212	9	   	267.90	DCR|5VULN|1TLV|2CDMG	13CDMG|2367aVULN|3BPWR|4TLV|5MLV|8LIT|9RCR
123	33246 31122	8	   	267.90	DCR|5VULN|1TLV|2CDMG	13CDMG|2369aVULN|3BPWR|4TLV|5CGEN|7LIT|8RCR
124	33246 32212	9	   	267.90	DCR|5VULN|1TLV|2CDMG	13CDMG|2367aVULN|3BPWR|4TLV|5CGEN|8LIT|9RCR
125	33242 14322	8	   	267.80	DCR|5VULN|1TLV|2CDMG|1NUKE	13CDMG|2389aVULN|3BPWR|4TLV|5NUKE|6LIT|7RCR
126	33242 15522	7	   	267.80	DCR|5VULN|1TLV|2CDMG|1NUKE	13CDMG|2379aVULN|3BPWR|4TLV|5NUKE|6LIT|8RCR
127	33242 31522	7	   	267.80	DCR|5VULN|1TLV|2CDMG|1NUKE	13CDMG|2369aVULN|3BPWR|4TLV|5NUKE|7LIT|8RCR
128	33242 32212	9	   	267.80	DCR|5VULN|1TLV|2CDMG|1NUKE	13CDMG|2367aVULN|3BPWR|4TLV|5NUKE|8LIT|9RCR
129	33215 61325	3	   	267.42	DCR|4VULN|3DUR|2CDMG	13CDMG|2359VULN|35BPWR|45aDUR|6RCR|7ASPD|8ERES
130	33235 61325	4	   	267.42	DCR|4VULN|3DUR|2CDMG	13CDMG|2359VULN|35BPWR|45aDUR|6RCR|7ASPD|8ERES
131	33244 32123	10	 * 	267.36	DCR|4VULN|1TLV|3CDMG|1DMG	139CDMG|2367VULN|3BPWR|4TLV|5MLV|8DMG|aRCR
132	33246 32163	10	   	267.36	DCR|4VULN|1TLV|3CDMG|1DMG	139CDMG|2367VULN|3BPWR|4TLV|5CGEN|8DMG|aRCR
133	33243 24522	9	   	267.35	DCR|3VULN|2TLV|3CDMG|2LIT|1AART	138CDMG|23aVULN|38BPWR|48TLV|5AART|68LIT|7RCR|9ASPD
134	33243 24522	10	   	267.35	DCR|3VULN|2TLV|3CDMG|2LIT|1AART	138CDMG|23aVULN|38BPWR|48TLV|5AART|68LIT|7RCR|9ASPD
135	33241 24342	10	 * 	266.16	DCR|3VULN|2DMG|1TLV|2CDMG	13CDMG|238VULN|3BPWR|4TLV|5LIT|6aDMG|7RCR|9RMIN
136	33241 24352	10	   	266.16	DCR|3VULN|2DMG|1TLV|2CDMG	13CDMG|238VULN|3BPWR|4TLV|5LIT|6aDMG|7RCR|9CGEN
137	33155 12163	3	   	266.06	DCR|3VULN|2DMG|1TLV|2CDMG	15CDMG|268VULN|3ASPD|45DMG|5BPWR|7ERES|9RCR|aTLV
138	33212 62522	3	   	265.95	DCR|4VULN|2DUR|1DMG|2CDMG	13CDMG|239aVULN|3BPWR|45DUR|6RCR|7MLV|8DMG
139	33215 62523	3	   	265.95	DCR|4VULN|2DUR|1DMG|2CDMG	13CDMG|2359VULN|35BPWR|45DUR|6RCR|7MLV|8DMG|aTBNT
140	33231 32124	8	   	265.95	DCR|4VULN|2DUR|2CDMG|1DMG	13CDMG|2369VULN|3BPWR|48DUR|5BEXP|7RCR|aDMG
141	33232 62522	4	   	265.95	DCR|4VULN|2DUR|1DMG|2CDMG	13CDMG|239aVULN|3BPWR|45DUR|6RCR|7MLV|8DMG
142	33235 62522	5	   	265.95	DCR|4VULN|2DUR|1DMG|2CDMG	13CDMG|239aVULN|3BPWR|45DUR|6RCR|7MLV|8DMG
143	33235 62523	4	   	265.95	DCR|4VULN|2DUR|1DMG|2CDMG	13CDMG|2359VULN|35BPWR|45DUR|6RCR|7MLV|8DMG|aTBNT
144	54221 23226	3	 * 	265.86	DCR|2VULN|2DMG|2TLV|2DUR|1CDMG	13DUR|2aDMG|4BEXP|5LHND|6aVULN|7RCR|8CDMG|9aTLV|aBPWR
145	54222 23226	3	   	265.86	DCR|2VULN|2DMG|2TLV|2DUR|1CDMG	13DUR|2aDMG|4BEXP|5LWND|6aVULN|7RCR|8CDMG|9aTLV|aBPWR
146	33212 64522	3	   	265.85	DCR|4VULN|2DUR|1DMG|2CDMG	13CDMG|239aVULN|3BPWR|45DUR|6RCR|7ERES|8DMG
147	33232 64522	4	   	265.85	DCR|4VULN|2DUR|1DMG|2CDMG	13CDMG|239aVULN|3BPWR|45DUR|6RCR|7ERES|8DMG
148	33215 32524	8	   	265.81	DCR|4VULN|1TLV|2CDMG|1DUR	13CDMG|2368VULN|3BPWR|4LHND|5DUR|7RCR|9TLV|aASPD
149	33232 32524	8	   	265.81	DCR|4VULN|1TLV|2CDMG|1DUR	13CDMG|2368VULN|3BPWR|4DUR|5LHND|7RCR|9TLV|aASPD
150	33241 11325	8	   	265.81	DCR|4VULN|1TLV|2CDMG|1DUR	13CDMG|2389VULN|3BPWR|4TLV|5LIT|6RMIN|7RCR|aDUR
151	33244 11325	8	   	265.81	DCR|4VULN|1TLV|2CDMG|1DUR	13CDMG|2389VULN|3BPWR|4TLV|5MLV|6LIT|7RCR|aDUR
152	33244 31125	8	   	265.81	DCR|4VULN|1TLV|2CDMG|1DUR	13CDMG|2369VULN|3BPWR|4TLV|5MLV|7LIT|8RCR|aDUR
153	33244 32211	10	   	265.81	DCR|4VULN|1TLV|2CDMG|1DUR	13CDMG|2367VULN|3BPWR|4TLV|5MLV|8LIT|9RCR|aDUR
154	33244 32215	9	   	265.81	DCR|4VULN|1TLV|2CDMG|1DUR	13CDMG|2367VULN|3BPWR|4TLV|5MLV|8LIT|9RCR|aDUR
155	33246 31122	9	   	265.81	DCR|4VULN|1TLV|2CDMG|1DUR	13CDMG|236aVULN|3BPWR|4TLV|5CGEN|7LIT|8RCR|9DUR
156	33246 31125	8	   	265.81	DCR|4VULN|1TLV|2CDMG|1DUR	13CDMG|2369VULN|3BPWR|4TLV|5CGEN|7LIT|8RCR|aDUR
157	33246 32211	10	   	265.81	DCR|4VULN|1TLV|2CDMG|1DUR	13CDMG|2367VULN|3BPWR|4TLV|5CGEN|8LIT|9RCR|aDUR
158	33246 32215	9	   	265.81	DCR|4VULN|1TLV|2CDMG|1DUR	13CDMG|2367VULN|3BPWR|4TLV|5CGEN|8LIT|9RCR|aDUR
159	24243 23226	5	   	265.76	DCR|2VULN|2DMG|2TLV|2DUR|1CDMG	1DUST|2aDMG|35DUR|4BEXP|6aVULN|7RCR|8CDMG|9aTLV|aBPWR
160	33242 14262	5	   	265.71	DCR|4VULN|1TLV|2CDMG|1DUR|1NUKE	13CDMG|236aVULN|3BPWR|4TLV|5NUKE|7DUR|8ASPD|9RCR
161	33242 14325	8	   	265.71	DCR|4VULN|1TLV|2CDMG|1DUR|1NUKE	13CDMG|2389VULN|3BPWR|4TLV|5NUKE|6LIT|7RCR|aDUR
162	33242 31525	7	   	265.71	DCR|4VULN|1TLV|2CDMG|1DUR|1NUKE	13CDMG|2369VULN|3BPWR|4TLV|5NUKE|7LIT|8RCR|aDUR
163	33242 32211	10	   	265.71	DCR|4VULN|1TLV|2CDMG|1DUR|1NUKE	13CDMG|2367VULN|3BPWR|4TLV|5NUKE|8LIT|9RCR|aDUR
164	33242 32215	9	   	265.71	DCR|4VULN|1TLV|2CDMG|1DUR|1NUKE	13CDMG|2367VULN|3BPWR|4TLV|5NUKE|8LIT|9RCR|aDUR
165	33242 33262	7	   	265.71	DCR|4VULN|1TLV|2CDMG|1DUR|1NUKE	13CDMG|236aVULN|3BPWR|4TLV|5NUKE|7DUR|8ASPD|9RCR
