0	Index      	Bounty	 *	Score 	Summary	Detail	
1	46123 15123	9	 * 	298.86	DCR|3VULN|3DMG|2DUR|3LIT	126LIT|279BPWR|379VULN|4AART|579DMG|89DUR|aRCR
67	36121 35421	8	 * 	273.41	DCR|2VULN|3DUR|2DMG|2TLV|1CDMG	1aVULN|2aTLV|3CDMG|467DUR|5ERES|8aDMG|9RCR|aBPWR
68	22216 21122	3	   	273.30	DCR|3VULN|2DMG|2DUR|2CDMG|1SELL	18DUR|238VULN|45CDMG|6CGEN|78DMG|8BPWR|9SELL|aRCR
69	34216 21122	3	   	273.30	DCR|3VULN|2DMG|2DUR|2CDMG|1SELL	138VULN|28DUR|45CDMG|6CGEN|78DMG|8BPWR|9SELL|aRCR
70	22216 41122	3	   	273.20	DCR|3VULN|2DMG|2DUR|2CDMG|1SELL	18DUR|238VULN|45CDMG|6ERES|78DMG|8BPWR|9SELL|aRCR
71	34216 41122	3	   	273.20	DCR|3VULN|2DMG|2DUR|2CDMG|1SELL	138VULN|28DUR|45CDMG|6ERES|78DMG|8BPWR|9SELL|aRCR
72	36121 26741	4	 * 	272.41	DCR|3VULN|2DMG|2TLV|1DUR|1CDMG	18aVULN|2aTLV|3CDMG|4DUR|5aDMG|6TBNT|7MBVNT|9RCR|aBPWR
73	36131 26741	3	   	272.41	DCR|3VULN|2DMG|2TLV|1DUR|1CDMG	18aVULN|2aTLV|3CDMG|4DUR|5aDMG|6TBNT|7MBVNT|9RCR|aBPWR
74	32542 41122	5	   	272.37	DCR|3VULN|2DMG|2TLV|1DUR|1CDMG|1SELL	128VULN|38TLV|4CDMG|5RCVC|6DUR|78DMG|8BPWR|9SELL|aRCR
75	32542 61122	6	   	272.37	DCR|3VULN|2DMG|2TLV|1DUR|1CDMG|1SELL	128VULN|38TLV|4CDMG|5RCVC|6DUR|78DMG|8BPWR|9SELL|aRCR
76	36112 41122	5	   	272.37	DCR|3VULN|2DMG|2TLV|1DUR|1CDMG|1SELL	148VULN|28TLV|3CDMG|5RCVC|6DUR|78DMG|8BPWR|9SELL|aRCR
77	36112 61122	6	   	272.37	DCR|3VULN|2DMG|2TLV|1DUR|1CDMG|1SELL	148VULN|28TLV|3CDMG|5RCVC|6DUR|78DMG|8BPWR|9SELL|aRCR
78	36114 41122	4	   	272.37	DCR|3VULN|2DMG|2TLV|1DUR|1CDMG|1SELL	148VULN|28TLV|3CDMG|5DMSP|6DUR|78DMG|8BPWR|9SELL|aRCR
79	36123 41122	4	   	272.37	DCR|3VULN|2DMG|2TLV|1DUR|1CDMG|1SELL	158VULN|28TLV|3CDMG|4DUR|6RCVC|78DMG|8BPWR|9SELL|aRCR
80	36133 41122	3	   	272.37	DCR|3VULN|2DMG|2TLV|1DUR|1CDMG|1SELL	158VULN|28TLV|3CDMG|4DUR|6RCVC|78DMG|8BPWR|9SELL|aRCR
81	21333 63636	10	 * 	271.86	DCR|4VULN|3DUR|3LIT	18aDUR|2LHND|3BELT|4RCVC|589aVULN|68aLIT|7RCR|8aBPWR
82	21262 24262	4	 * 	271.76	DCR|4VULN|3DUR|3TLV	18aDUR|2LHND|378aVULN|4RPLT|5DLOT|68aTLV|8aBPWR|9RCR
83	23532 42422	8	 * 	270.33	DCR|3VULN|3DUR|2ASPD|2CDMG	135DUR|2aCDMG|4LHND|6aASPD|78aVULN|9RCR|aBPWR
84	25242 52222	5	   	270.33	DCR|3VULN|3DUR|2ASPD|2CDMG	145DUR|2aASPD|3BEXP|6aCDMG|78aVULN|9RCR|aBPWR
85	43351 33136	10	   	270.10	DCR|3VULN|2DMG|1TLV|1DUR|2LIT	19LIT|2DUR|3BELT|49DMG|5BEXP|6TLV|7RCR|89aVULN|9BPWR
86	43356 33133	10	   	270.10	DCR|3VULN|2DMG|1TLV|1DUR|2LIT	19LIT|2DUR|3BELT|49DMG|5LWND|6TLV|7RCR|89aVULN|9BPWR
87	22124 61121	3	   	269.70	DCR|2VULN|3DUR|2DMG|1TLV|1CDMG	168DUR|28VULN|3ERES|4CDMG|5DMSP|78DMG|8BPWR|9RCR|aTLV
88	22624 61121	2	   	269.70	DCR|2VULN|3DUR|2DMG|1TLV|1CDMG	168DUR|28VULN|3ERES|4CDMG|5DMSP|78DMG|8BPWR|9RCR|aTLV
89	34124 61121	3	   	269.70	DCR|2VULN|3DUR|2DMG|1TLV|1CDMG	18VULN|268DUR|3ERES|4CDMG|5DMSP|78DMG|8BPWR|9RCR|aTLV
90	34214 61121	2	   	269.70	DCR|2VULN|3DUR|2DMG|1TLV|1CDMG	18VULN|268DUR|3DMSP|4CDMG|5ERES|78DMG|8BPWR|9RCR|aTLV
91	35214 61121	1	   	269.70	DCR|2VULN|3DUR|2DMG|1TLV|1CDMG	18VULN|268DUR|3DMSP|4CDMG|5ERES|78DMG|8BPWR|9RCR|aTLV
92	22214 61121	2	   	269.70	DCR|2VULN|3DUR|2DMG|1TLV|1CDMG	168DUR|28VULN|3DMSP|4CDMG|5ERES|78DMG|8BPWR|9RCR|aTLV
93	24314 61121	1	   	269.70	DCR|2VULN|3DUR|2DMG|1TLV|1CDMG	168DUR|2DMSP|38VULN|4CDMG|5ERES|78DMG|8BPWR|9RCR|aTLV
94	22225 25433	9	   	269.58	DCR|4VULN|2DUR|1TLV|2LIT	18DUR|2358VULN|4BEXP|6TLV|78LIT|8BPWR|9ERES|aRCR
95	34215 21841	3	 * 	269.41	DCR|3VULN|2DUR|2TLV|1DMG|1CDMG	13aVULN|2aDUR|4CDMG|5MBVNT|6TBNT|7DMG|8aTLV|9RCR|aBPWR
96	22215 21841	3	   	269.41	DCR|3VULN|2DUR|2TLV|1DMG|1CDMG	1aDUR|23aVULN|4CDMG|5MBVNT|6TBNT|7DMG|8aTLV|9RCR|aBPWR
97	33351 32221	3	   	269.29	DCR|3VULN|3DUR|1DMG|2CDMG	15aVULN|2aCGEN|3MLV|456DUR|5aBPWR|7DMG|8aCDMG|9RCR
98	33551 32221	2	   	269.19	DCR|3VULN|3DUR|1DMG|2CDMG	15aVULN|2aCGEN|3ERES|456DUR|5aBPWR|7DMG|8aCDMG|9RCR
99	21252 61234	3	 * 	269.11	DCR|2VULN|3DMG|3DUR|1CDMG	159DUR|2LHND|36VULN|457DMG|5BPWR|8CDMG|aRCR
100	22152 61234	2	   	269.11	DCR|2VULN|3DMG|3DUR|1CDMG	159DUR|26VULN|3LHND|457DMG|5BPWR|8CDMG|aRCR
