0	Index      	Bounty	 *	Score 	Summary	Detail	
1	33633 62413	2	 * 	290.55	DCR|4VULN|3DUR|2DMG|1CDMG	167DUR|2LWND|347aVULN|57DMG|7BPWR|8CDMG|9RCR
18	32153 52421	6	   	265.44	DCR|2VULN|3DUR|2DMG|2TLV	139DUR|2DMSP|48VULN|59TLV|6RCR|79DMG|9BPWR|aRMIN
19	32153 52422	6	   	265.44	DCR|2VULN|3DUR|2DMG|2TLV	139DUR|2DMSP|48VULN|59TLV|6RCR|79DMG|9BPWR|aLWND
20	32153 52423	6	   	265.34	DCR|2VULN|3DUR|2DMG|2TLV	139DUR|2DMSP|48VULN|59TLV|6RCR|79DMG|9BPWR|aTBNT
21	33453 32141	1	   	265.34	DCR|2VULN|3DUR|2DMG|2TLV	147DUR|27DMG|3LHND|5ERES|67TLV|7BPWR|8aVULN|9RCR
22	33643 32141	1	   	265.34	DCR|2VULN|3DUR|2DMG|2TLV	137DUR|27DMG|4LHND|5ERES|67TLV|7BPWR|8aVULN|9RCR
23	32153 52432	6	 * 	264.26	DCR|3VULN|3DUR|1TLV|1DMG	13aDUR|2DMSP|489VULN|5TLV|6RCR|7DMG
24	33633 62261	2	   	264.15	DCR|3VULN|3DUR|2DMG	167DUR|2LWND|347VULN|57DMG|7BPWR|8LIT|9RCR|aMLV
25	33633 62262	2	   	264.05	DCR|3VULN|3DUR|2DMG	167DUR|2LWND|347VULN|57DMG|7BPWR|8LIT|9RCR|aDUST
26	33633 62263	2	   	264.05	DCR|3VULN|3DUR|2DMG	167DUR|2LWND|347VULN|57DMG|7BPWR|8LIT|9RCR|aTBNT
27	34112 24336	1	 * 	263.99	DCR|2VULN|2DMG|2DUR|1TLV|2CDMG	1aDUR|2MBVNT|37CDMG|4aVULN|5LHND|6RCR|8TLV|9aDMG|aBPWR
28	34113 24336	1	   	263.99	DCR|2VULN|2DMG|2DUR|1TLV|2CDMG	1aDUR|2MBVNT|37CDMG|4aVULN|5LWND|6RCR|8TLV|9aDMG|aBPWR
29	34117 24336	1	   	263.99	DCR|2VULN|2DMG|2DUR|1TLV|2CDMG	1aDUR|2MBVNT|37CDMG|4aVULN|5BEXP|6RCR|8TLV|9aDMG|aBPWR
30	32153 52353	10	   	262.93	DCR|2VULN|3DUR|1TLV|1DMG|2LIT	139DUR|2DMSP|49VULN|5TLV|6RCR|7ASPD|89LIT|9BPWR|aDMG
31	34732 12346	1	 * 	262.48	DCR|3VULN|2DMG|2DUR|2CDMG	17DUR|2MBVNT|349VULN|57CDMG|67DMG|7BPWR|8RPLT|aRCR
32	12631 42313	1	   	261.88	DCR|4VULN|2DUR|1TLV|1AART	17LHND|27DUR|3457VULN|6RPLT|7BPWR|8AART|9TLV|aRCR
33	33631 42313	2	   	261.88	DCR|4VULN|2DUR|1TLV|1AART	17DUR|27LWND|3457VULN|6RPLT|7BPWR|8AART|9TLV|aRCR
34	34116 62442	1	   	261.84	DCR|3VULN|3DUR|3ASPD|2CDMG	179DUR|2MBVNT|39CDMG|479VULN|567ASPD|79BPWR|8RCR|aRCVC
35	34116 62444	1	   	261.84	DCR|3VULN|3DUR|3ASPD|2CDMG	179DUR|2MBVNT|39CDMG|479VULN|567ASPD|79BPWR|8RCR|aLWND
