0	Index      	Bounty	 *	Score 	Summary	Detail	
1	12344 33532	8	 * 	298.07	DCR|4VULN|3DUR|3CDMG|1DMG	189CDMG|2DMG|3589VULN|4BEXP|6LHND|789DUR|89BPWR|aRCR
105	23232 44421	9	   	269.24	DCR|3VULN|3DMG|2DUR	19aVULN|29LHND|3LWND|45DUR|689DMG|7RCR|9BPWR
106	12344 33136	8	   	269.19	DCR|3VULN|3DUR|1DMG|2CDMG	19CDMG|2DMG|359VULN|4BEXP|6LHND|789DUR|9BPWR|aRCR
107	26122 33513	3	   	269.14	DCR|3VULN|3DMG|2DUR	167VULN|23RCVC|4BBNT|567DMG|67BPWR|89DUR|aRCR
108	26162 33513	3	   	269.14	DCR|3VULN|3DMG|2DUR	167VULN|23RCVC|4TBNT|567DMG|67BPWR|89DUR|aRCR
109	26322 33513	2	   	269.14	DCR|3VULN|3DMG|2DUR	167VULN|2RCVC|3DMSP|4BBNT|567DMG|67BPWR|89DUR|aRCR
110	26362 33513	2	   	269.14	DCR|3VULN|3DMG|2DUR	167VULN|2RCVC|3DMSP|4TBNT|567DMG|67BPWR|89DUR|aRCR
111	26521 31513	1	   	269.04	DCR|3VULN|3DMG|2DUR	146VULN|267DMG|3BBNT|5RCVC|6BPWR|89DUR|aRCR
112	24322 31513	1	   	269.04	DCR|3VULN|3DMG|2DUR	126VULN|3DMSP|4BBNT|567DMG|6BPWR|89DUR|aRCR
113	24362 31513	1	   	269.04	DCR|3VULN|3DMG|2DUR	126VULN|3DMSP|4TBNT|567DMG|6BPWR|89DUR|aRCR
114	12361 11141	10	 * 	269.01	DCR|2VULN|3DMG|3DUR|1CDMG	1CDMG|249DMG|3aVULN|568DUR|7RCR
115	24122 11256	1	   	268.92	DCR|5VULN|2DUR|1ASPD	12458VULN|38DUR|68DUST|7RCR|8BPWR|9LHND|aASPD
116	12226 15216	3	   	268.87	DCR|2VULN|2DMG|2CDMG|1TLV|1DUR|1ASPD	13CDMG|23DMG|3BPWR|47VULN|5DUR|6AART|8ASPD|9RCR|aTLV
117	14266 23121	8	   	268.80	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	1CDMG|257VULN|3RMIN|45DMG|5BPWR|6LHND|8DUR|9RCR|aTLV
118	12324 13623	8	   	268.70	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	1CDMG|2aDMG|357VULN|4LWND|6DUR|8TLV|9RCR
119	12324 63253	8	   	268.70	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	1CDMG|2aDMG|357VULN|4LWND|6RCR|8TLV|9DUR
120	12324 63253	9	   	268.70	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	1CDMG|2aDMG|357VULN|4LWND|6RCR|8TLV|9DUR
121	12334 13623	8	   	268.70	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	1CDMG|2aDMG|357VULN|4FEWX|6DUR|8TLV|9RCR
122	12334 63253	9	   	268.70	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	1CDMG|2aDMG|357VULN|4FEWX|6RCR|8TLV|9DUR
123	12334 63253	8	   	268.70	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	1CDMG|2aDMG|357VULN|4FEWX|6RCR|8TLV|9DUR
124	12344 12623	8	   	268.70	DCR|3VULN|2DMG|1DUR|1TLV|1CDMG	1CDMG|2aDMG|357VULN|4BEXP|6DUR|8TLV|9RCR
125	14334 63113	8	   	268.70	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	1CDMG|257VULN|3TLV|4FEWX|6RCR|8DUR|9aDMG
126	16334 63113	8	   	268.70	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	1CDMG|2TLV|357VULN|4FEWX|6RCR|8DUR|9aDMG
127	12361 63336	7	   	268.60	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	1CDMG|24DMG|379VULN|5DUR|6RCR|8BBNT|aTLV
128	25413 42313	8	   	268.54	DCR|3VULN|1DMG|2AART|1TLV|1DUR|1CDMG	13aVULN|27AART|3BPWR|4DUR|5DMG|6TLV|8CDMG|9RCR
129	11614 44131	3	   	268.52	DCR|3VULN|2DMG|2CDMG|1DUR	17CDMG|2MBVNT|3AART|4MLV|57DMG|67aVULN|7BPWR|8DUR|9RCR
130	11654 44131	3	   	268.52	DCR|3VULN|2DMG|2CDMG|1DUR	17CDMG|2MBVNT|3AART|4CGEN|57DMG|67aVULN|7BPWR|8DUR|9RCR
131	12223 15413	3	   	268.52	DCR|3VULN|2DMG|2CDMG|1TLV	13CDMG|23DMG|3BPWR|47aVULN|5BEXP|6AART|8TLV|9RCR
132	12226 13412	3	   	268.52	DCR|3VULN|2DMG|2CDMG|1DUR	13CDMG|23DMG|3BPWR|48aVULN|5DUR|6AART|7ZMB|9RCR
133	12242 51413	6	   	268.52	DCR|3VULN|2DMG|2CDMG|1DUR	13CDMG|23DMG|3BPWR|4DUR|5RMIN|6AART|78aVULN|9RCR
134	12264 21413	4	   	268.52	DCR|3VULN|2DMG|2CDMG|1TLV	13CDMG|23DMG|3BPWR|4TLV|5AART|6FEWX|78aVULN|9RCR
135	12264 31413	4	   	268.52	DCR|3VULN|2DMG|2CDMG|1TLV	13CDMG|23DMG|3BPWR|4TLV|5AART|6LWND|78aVULN|9RCR
136	14363 63322	8	   	268.51	DCR|4VULN|1DMG|1TLV|1CDMG|1ASPD	1CDMG|2789VULN|3TLV|4DMG|5CGEN|6RCR|aASPD
137	16363 63322	8	   	268.51	DCR|4VULN|1DMG|1TLV|1CDMG|1ASPD	1CDMG|2TLV|3789VULN|4DMG|5CGEN|6RCR|aASPD
138	12216 63533	10	   	268.43	DCR|2VULN|3DMG|2DUR|3CDMG	138CDMG|238DMG|38BPWR|4BEXP|5LHND|6RCR|78VULN|9aDUR
139	11614 44131	4	   	268.42	DCR|3VULN|2DMG|2CDMG|1DUR	17CDMG|2MBVNT|3AART|4ERES|57DMG|67aVULN|7BPWR|8DUR|9RCR
140	12226 15513	3	   	268.42	DCR|3VULN|2DMG|2CDMG|1DUR|1NUKE	13CDMG|23DMG|3BPWR|47aVULN|5DUR|6AART|8NUKE|9RCR
141	12263 51413	6	   	268.42	DCR|3VULN|2DMG|2CDMG|1TLV	13CDMG|23DMG|3BPWR|4TLV|5DUST|6AART|78aVULN|9RCR
142	12243 53431	5	   	268.33	DCR|2VULN|3DMG|2DUR|3CDMG	137CDMG|237DMG|37BPWR|47DUR|5RCVC|6RCR|8BBNT|9aVULN
143	26122 61533	2	   	268.30	DCR|4VULN|2DUR|1DMG	1459VULN|2RCVC|39DUR|69FEWX|7RCR|8AART|9BPWR|aDMG
144	12226 15215	3	   	268.27	DCR|2VULN|3DMG|2CDMG|1DUR|1ASPD	13CDMG|23aDMG|3BPWR|47VULN|5DUR|6AART|8ASPD|9RCR
145	12261 53431	2	   	268.23	DCR|2VULN|3DMG|2DUR|3CDMG	137CDMG|247DMG|57DUR|6RCR|7BPWR|8BBNT|9aVULN
146	25413 12134	6	   	268.10	DCR|4VULN|2DUR|1DMG	1389VULN|2AART|3BPWR|46DUR|5DMG|7LHND|aRCR
147	25413 13134	7	   	268.10	DCR|4VULN|2DUR|1DMG	1389VULN|2AART|3BPWR|46DUR|5DMG|7FEWX|aRCR
148	25413 22134	5	   	268.10	DCR|4VULN|2DUR|1DMG	1389VULN|2AART|3BPWR|46DUR|5DMG|7LHND|aRCR
