0	Index      	Bounty	 *	Score 	Summary	Detail	
1	15231 13512	9	 * 	296.11	DCR|4VULN|2DMG|3CDMG|2LIT	1RMIN|245CDMG|345aVULN|45aBPWR|6RCR|7aDMG|8aLIT|9AART
23	21516 33118	1	   	279.48	DCR|3VULN|3DMG|2ASPD|2CDMG	167DMG|25CDMG|37ASPD|47aVULN|7BPWR|8MBVNT|9RCR
24	22245 21215	8	   	279.01	DCR|4VULN|3DMG	147DMG|2LIT|37LHND|5AART|6789VULN|7BPWR|aRCR
25	22245 21235	9	   	279.01	DCR|4VULN|3DMG	147DMG|2LIT|37LHND|5AART|6789VULN|7BPWR|aRCR
26	15231 13552	9	   	278.36	DCR|4VULN|3CDMG|1DMG|1TLV	1RMIN|245CDMG|345aVULN|45BPWR|6RCR|7DMG|8LIT|9TLV
27	15231 33531	10	   	275.78	DCR|4VULN|2DUR|3CDMG|1ASPD	1RMIN|245CDMG|3458VULN|458BPWR|68LWND|78DUR|9ASPD|aRCR
28	15233 25312	9	   	274.24	DCR|4VULN|2DUR|3CDMG	1RMIN|246CDMG|3469VULN|46BPWR|5AART|78DUR|aRCR
29	15233 25362	8	   	274.24	DCR|4VULN|2DUR|3CDMG	1RMIN|246CDMG|3469VULN|46BPWR|5AART|78DUR|aRCR
30	15233 35112	9	   	274.24	DCR|4VULN|2DUR|3CDMG	1RMIN|246CDMG|3489VULN|48BPWR|5AART|78DUR|aRCR
31	15233 35162	8	   	274.24	DCR|4VULN|2DUR|3CDMG	1RMIN|246CDMG|3489VULN|48BPWR|5AART|78DUR|aRCR
32	15233 41112	9	   	274.24	DCR|4VULN|2DUR|3CDMG	1RMIN|247CDMG|3489VULN|48BPWR|5AART|68DUR|aRCR
33	15233 41162	8	   	274.24	DCR|4VULN|2DUR|3CDMG	1RMIN|247CDMG|3489VULN|48BPWR|5AART|68DUR|aRCR
34	15231 14153	10	 * 	273.45	DCR|5VULN|3CDMG|2TLV	1RMIN|245CDMG|3458aVULN|45aBPWR|6RCR|7aLHND|9aTLV
35	15231 11542	6	   	273.35	DCR|5VULN|3CDMG|1DMG	1RMIN|245CDMG|34589VULN|45BPWR|6RCR|7BEXP|aDMG
36	15231 13322	8	   	273.35	DCR|5VULN|3CDMG|1DMG	1RMIN|245CDMG|34589VULN|45BPWR|6RCR|7DMG|aRPLT
37	15231 13322	10	   	273.35	DCR|5VULN|3CDMG|1DMG	1RMIN|245CDMG|3458aVULN|45BPWR|6RCR|7DMG|9RCVC
38	15231 13326	8	   	273.35	DCR|5VULN|3CDMG|1DMG	1RMIN|245CDMG|34589VULN|45BPWR|6RCR|7DMG|aLWND
39	15231 13332	10	   	273.35	DCR|5VULN|3CDMG|1DMG	1RMIN|245CDMG|3458aVULN|45BPWR|6RCR|7DMG|9FEWX
40	15231 13334	9	   	273.35	DCR|5VULN|3CDMG|1DMG	1RMIN|245CDMG|3458aVULN|45BPWR|6RCR|7DMG|9FEWX
41	15231 13352	10	   	273.35	DCR|5VULN|3CDMG|1DMG	1RMIN|245CDMG|3458aVULN|45BPWR|6RCR|7DMG|9LHND
42	15231 13354	9	   	273.35	DCR|5VULN|3CDMG|1DMG	1RMIN|245CDMG|3458aVULN|45BPWR|6RCR|7DMG|9LHND
43	15231 13362	10	   	273.35	DCR|5VULN|3CDMG|1DMG	1RMIN|245CDMG|3458aVULN|45BPWR|6RCR|7DMG|9BEXP
44	15231 13364	9	   	273.35	DCR|5VULN|3CDMG|1DMG	1RMIN|245CDMG|3458aVULN|45BPWR|6RCR|7DMG|9BEXP
45	15231 13422	10	   	273.35	DCR|5VULN|3CDMG|1DMG	1RMIN|245CDMG|3459aVULN|45BPWR|6RCR|7DMG|8LHND
46	15231 13424	9	   	273.35	DCR|5VULN|3CDMG|1DMG	1RMIN|245CDMG|3459aVULN|45BPWR|6RCR|7DMG|8LHND
47	15231 13522	7	   	273.35	DCR|5VULN|3CDMG|1DMG	1RMIN|245CDMG|34589VULN|45BPWR|6RCR|7DMG|aRPLT
48	15231 13526	7	   	273.35	DCR|5VULN|3CDMG|1DMG	1RMIN|245CDMG|34589VULN|45BPWR|6RCR|7DMG|aLWND
49	15231 14142	10	   	273.35	DCR|5VULN|3CDMG|1DMG	1RMIN|245CDMG|3458aVULN|45BPWR|6RCR|7LHND|9DMG
50	15231 14142	8	   	273.35	DCR|5VULN|3CDMG|1DMG	1RMIN|245CDMG|34589VULN|45BPWR|6RCR|7LHND|aDMG
51	15231 15522	6	   	273.35	DCR|5VULN|3CDMG|1DMG	1RMIN|245CDMG|34589VULN|45BPWR|6RCR|7DMG|aRPLT
52	15231 16142	8	   	273.35	DCR|5VULN|3CDMG|1DMG	1RMIN|245CDMG|34589VULN|45BPWR|6RCR|7FEWX|aDMG
53	15231 16142	10	   	273.35	DCR|5VULN|3CDMG|1DMG	1RMIN|245CDMG|3458aVULN|45BPWR|6RCR|7FEWX|9DMG
54	15231 13532	9	   	273.31	DCR|3VULN|2DMG|3CDMG|1DUR	1RMIN|245CDMG|345VULN|45BPWR|6RCR|79DMG|8LIT|aDUR
55	15231 13535	10	   	273.31	DCR|3VULN|2DMG|3CDMG|1DUR	1RMIN|245CDMG|345VULN|45BPWR|6RCR|79DMG|8LIT|aDUR
56	15231 12142	8	   	273.25	DCR|5VULN|3CDMG|1DMG	1RMIN|245CDMG|34589VULN|45BPWR|6RCR|7DUST|aDMG
57	15231 12142	10	   	273.25	DCR|5VULN|3CDMG|1DMG	1RMIN|245CDMG|3458aVULN|45BPWR|6RCR|7DUST|9DMG
58	15231 12144	9	   	273.25	DCR|5VULN|3CDMG|1DMG	1RMIN|245CDMG|3458aVULN|45BPWR|6RCR|7DUST|9DMG
59	15231 12542	7	   	273.25	DCR|5VULN|3CDMG|1DMG	1RMIN|245CDMG|34589VULN|45BPWR|6RCR|7DUST|aDMG
60	15231 13532	8	   	273.12	DCR|4VULN|3CDMG|1DMG|1ASPD	1RMIN|245CDMG|345aVULN|45BPWR|6RCR|7DMG|8LIT|9ASPD
61	24227 14481	6	   	272.71	DCR|3VULN|3DMG|3CDMG	189DMG|289VULN|3MBVNT|4ZMB|5DUST|6RCR|789CDMG|89BPWR|aLIT
62	15231 13551	10	   	271.97	DCR|3VULN|3CDMG|1DMG|1TLV|1DUR	1RMIN|245CDMG|345VULN|45BPWR|6RCR|7DMG|8LIT|9TLV|aDUR
63	15231 13515	9	   	271.77	DCR|4VULN|3CDMG|1DMG	1RMIN|245CDMG|345aVULN|45BPWR|6RCR|7DMG|8LIT|9AART
64	15231 11133	6	   	271.59	DCR|4VULN|2DMG|3CDMG	1RMIN|245CDMG|345aVULN|45aBPWR|6RCR|7BEXP|8aDMG|9aFEWX
65	15231 11143	6	   	271.59	DCR|4VULN|2DMG|3CDMG	1RMIN|245CDMG|345aVULN|45aBPWR|6RCR|7BEXP|8aDMG|9aLWND
66	15231 14132	6	   	271.59	DCR|4VULN|2DMG|3CDMG	1RMIN|245CDMG|345aVULN|45aBPWR|6RCR|7LHND|8aDMG|9aZMB
67	15231 14132	7	   	271.59	DCR|4VULN|2DMG|3CDMG	1RMIN|245CDMG|345aVULN|45aBPWR|6RCR|7LHND|8aDMG|9aZMB
68	15231 16143	7	   	271.59	DCR|4VULN|2DMG|3CDMG	1RMIN|245CDMG|345aVULN|45aBPWR|6RCR|7FEWX|8aDMG|9aLWND
69	15231 12133	7	   	271.49	DCR|4VULN|2DMG|3CDMG	1RMIN|245CDMG|345aVULN|45aBPWR|6RCR|7DUST|8aDMG|9aFEWX
70	15231 12143	7	   	271.49	DCR|4VULN|2DMG|3CDMG	1RMIN|245CDMG|345aVULN|45aBPWR|6RCR|7DUST|8aDMG|9aLWND
71	15231 14242	9	   	271.49	DCR|4VULN|2DMG|3CDMG|1NUKE	1RMIN|245CDMG|345aVULN|45aBPWR|6RCR|7aLHND|8NUKE|9aDMG
72	15231 16242	9	   	271.49	DCR|4VULN|2DMG|3CDMG|1NUKE	1RMIN|245CDMG|345aVULN|45aBPWR|6RCR|7aFEWX|8NUKE|9aDMG
73	15231 16262	8	   	271.49	DCR|4VULN|2DMG|3CDMG|1NUKE	1RMIN|245CDMG|345aVULN|45aBPWR|6RCR|7aFEWX|8NUKE|9aDMG
74	15231 13442	10	   	271.39	DCR|4VULN|2DMG|3CDMG	1RMIN|245CDMG|345aVULN|45BPWR|6RCR|79DMG|8LHND
75	15231 12242	9	   	271.29	DCR|4VULN|2DMG|3CDMG|1NUKE	1RMIN|245CDMG|345aVULN|45aBPWR|6RCR|7aDUST|8NUKE|9aDMG
76	31113 76482	4	 * 	270.13	ACR|3VULN|3DMG|3DUR|3TLV	1RCR|2MBVNT|358DMG|459TLV|58aBPWR|68aDUR|78aVULN
77	15231 13121	9	   	270.06	DCR|4VULN|3CDMG|1DMG|1DUR	1RMIN|245CDMG|3459VULN|45BPWR|6RCR|7DMG|8CGEN|aDUR
78	15231 13126	10	   	270.06	DCR|4VULN|3CDMG|1DMG|1DUR	1RMIN|245CDMG|3459VULN|45BPWR|6RCR|7DMG|8CGEN|aDUR
79	15231 13141	7	   	270.06	DCR|4VULN|3CDMG|1DMG|1DUR	1RMIN|245CDMG|3459VULN|45BPWR|6RCR|7DMG|8MLV|aDUR
80	15231 13141	8	   	270.06	DCR|4VULN|3CDMG|1DMG|1DUR	1RMIN|245CDMG|3459VULN|45BPWR|6RCR|7DMG|8CGEN|aDUR
81	15231 13154	8	   	270.06	DCR|4VULN|3CDMG|1DMG|1TLV	1RMIN|245CDMG|345aVULN|45BPWR|6RCR|7DMG|8CGEN|9TLV
82	15231 13154	7	   	270.06	DCR|4VULN|3CDMG|1DMG|1TLV	1RMIN|245CDMG|345aVULN|45BPWR|6RCR|7DMG|8MLV|9TLV
83	15231 13324	10	   	270.06	DCR|4VULN|3CDMG|1DMG|1TLV	1RMIN|245CDMG|3458VULN|45BPWR|6RCR|7DMG|9RCVC|aTLV
84	15231 13341	10	   	270.06	DCR|4VULN|3CDMG|1DMG|1TLV	1RMIN|245CDMG|3458VULN|45BPWR|6RCR|7DMG|9TLV|aLHND
85	15231 13342	10	   	270.06	DCR|4VULN|3CDMG|1DMG|1TLV	1RMIN|245CDMG|3458VULN|45BPWR|6RCR|7DMG|9TLV|aRPLT
86	15231 13343	9	   	270.06	DCR|4VULN|3CDMG|1DMG|1TLV	1RMIN|245CDMG|3458VULN|45BPWR|6RCR|7DMG|9TLV|aCGEN
87	15231 13344	9	   	270.06	DCR|4VULN|3CDMG|1DMG|1TLV	1aRMIN|245CDMG|3458VULN|45BPWR|6RCR|7DMG|9TLV
88	15231 13351	8	   	270.06	DCR|4VULN|3CDMG|1DMG|1DUR	1RMIN|245CDMG|3458VULN|45BPWR|6RCR|7DMG|9DUR|aBEXP
89	15231 13352	8	   	270.06	DCR|4VULN|3CDMG|1DMG|1DUR	1RMIN|245CDMG|3458VULN|45BPWR|6RCR|7DMG|9DUR|aCGEN
90	15231 13355	8	   	270.06	DCR|4VULN|3CDMG|1DMG|1DUR	1RMIN|245CDMG|3458VULN|45BPWR|6RCR|7DMG|9DUR|aLWND
91	15231 13356	8	   	270.06	DCR|4VULN|3CDMG|1DMG|1DUR	1RMIN|245CDMG|3458VULN|45BPWR|6RCR|7DMG|9DUR|aLHND
92	15231 13361	8	   	270.06	DCR|4VULN|3CDMG|1DMG|1DUR	1RMIN|245CDMG|3458VULN|45BPWR|6RCR|7DMG|9MLV|aDUR
93	15231 13551	7	   	270.06	DCR|4VULN|3CDMG|1DMG|1DUR	1RMIN|245CDMG|3458VULN|45BPWR|6RCR|7DMG|9DUR|aBEXP
94	15231 13552	7	   	270.06	DCR|4VULN|3CDMG|1DMG|1DUR	1RMIN|245CDMG|3458VULN|45BPWR|6RCR|7DMG|9DUR|aCGEN
95	15231 13561	7	   	270.06	DCR|4VULN|3CDMG|1DMG|1DUR	1RMIN|245CDMG|3458VULN|45BPWR|6RCR|7DMG|9MLV|aDUR
96	15231 15141	6	   	270.06	DCR|4VULN|3CDMG|1DMG|1DUR	1RMIN|245CDMG|3459VULN|45BPWR|6RCR|7DMG|8MLV|aDUR
97	15231 13311	8	   	269.96	DCR|4VULN|3CDMG|1DMG|1DUR	1RMIN|245CDMG|3458VULN|45BPWR|6RCR|7DMG|9ERES|aDUR
98	15231 13342	9	   	269.96	DCR|4VULN|3CDMG|1DMG|1TLV	1RMIN|245CDMG|3458VULN|45BPWR|6RCR|7DMG|9TLV|aBBNT
99	15231 13343	10	   	269.96	DCR|4VULN|3CDMG|1DMG|1TLV	1RMIN|245CDMG|3458VULN|45BPWR|6RCR|7DMG|9TLV|aDUST
100	15231 13344	10	   	269.96	DCR|4VULN|3CDMG|1DMG|1TLV	1RMIN|245CDMG|3458VULN|45BPWR|6RCR|7DMG|9TLV|aMBVNT
101	15231 13511	7	   	269.96	DCR|4VULN|3CDMG|1DMG|1DUR	1RMIN|245CDMG|3458VULN|45BPWR|6RCR|7DMG|9ERES|aDUR
102	15231 13641	8	   	269.96	DCR|4VULN|3CDMG|1DMG|1DUR	1RMIN|245CDMG|3459VULN|45BPWR|6RCR|7DMG|8ERES|aDUR
103	15231 15511	6	   	269.96	DCR|4VULN|3CDMG|1DMG|1DUR	1RMIN|245CDMG|3458VULN|45BPWR|6RCR|7DMG|9ERES|aDUR
104	15231 53433	10	   	269.81	DCR|4VULN|3CDMG|1DMG|1DUR|1SELL	1RMIN|245CDMG|345aVULN|45BPWR|6SELL|7DMG|8DUR|9RCR
105	24222 14273	4	   	269.63	DCR|3VULN|2DMG|2DUR|1TLV	1aDMG|29aVULN|3MBVNT|4ZMB|5TLV|6aDUR|7TBNT|8RCR|aBPWR
106	15231 11522	9	   	269.53	DCR|5VULN|3CDMG|1DUR	1RMIN|245CDMG|3459aVULN|45BPWR|6RCR|7BELT|8DUR
107	15231 11552	8	   	269.53	DCR|5VULN|3CDMG|1DUR	1RMIN|245CDMG|3459aVULN|45BPWR|6RCR|7BELT|8DUR
108	15231 11632	7	   	269.53	DCR|5VULN|3CDMG|1DUR	1RMIN|245CDMG|3458aVULN|45BPWR|6RCR|7BELT|9DUR
109	15231 16152	10	   	269.53	DCR|5VULN|3CDMG|1TLV	1RMIN|245CDMG|3458aVULN|45BPWR|6RCR|7FEWX|9TLV
110	15231 12152	10	   	269.43	DCR|5VULN|3CDMG|1TLV	1RMIN|245CDMG|3458aVULN|45BPWR|6RCR|7DUST|9TLV
111	15231 12154	8	   	269.43	DCR|5VULN|3CDMG|1TLV	1RMIN|245CDMG|3458aVULN|45BPWR|6RCR|7DUST|9TLV
112	15231 12154	9	   	269.43	DCR|5VULN|3CDMG|1TLV	1RMIN|245CDMG|3458aVULN|45BPWR|6RCR|7DUST|9TLV
113	24281 36243	3	   	269.14	DCR|3VULN|3DMG|2DUR	145DMG|27aVULN|3MBVNT|6RCR|8aBEXP|9aDUR|aBPWR
114	24281 36433	3	   	269.14	DCR|3VULN|3DMG|2DUR	145DMG|27aVULN|3MBVNT|6RCR|8aDUR|9aFEWX|aBPWR
115	24222 13654	9	   	269.14	DCR|3VULN|3DMG|2DUR	189DMG|28aVULN|3MBVNT|4ZMB|5LHND|6RCR|78DUR|8BPWR
116	24223 13654	9	   	269.14	DCR|3VULN|3DMG|2DUR	189DMG|28aVULN|3MBVNT|4ZMB|5LWND|6RCR|78DUR|8BPWR
117	24281 34138	3	   	268.00	DCR|3VULN|3DMG|1TLV|1CDMG	145DMG|29aVULN|3MBVNT|6RCR|7TLV|8CDMG
118	26224 35111	1	 * 	267.83	DCR|3VULN|3DMG|3LIT	127DMG|27BPWR|347LIT|5MBVNT|679VULN|8AART|aRCR
119	26212 34111	1	   	267.82	DCR|3VULN|3DMG|2ASPD|1NUKE	127DMG|27BPWR|3LIT|47ASPD|578VULN|6NUKE|9FEWX|aRCR
120	45211 25212	1	 * 	267.67	DCR|5VULN|2DUR	1RPLT|25789VULN|3AART|45DUR|5BPWR|6MLV|aRCR
121	21134 41141	10	   	267.58	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG|1ASPD	18DMG|2RMIN|3FEWX|48DUR|5CDMG|6ASPD|78VULN|8BPWR|9TLV|aRCR
122	22221 52315	3	   	267.41	DCR|3VULN|2DMG|1DUR|2LIT|1CDMG	18DMG|28LIT|3LHND|4DUR|5MBVNT|68aVULN|7RCR|8BPWR|9CDMG
123	22421 42315	2	   	267.41	DCR|3VULN|2DMG|1DUR|2LIT|1CDMG	18DMG|28LIT|3FEWX|4DUR|5MBVNT|68aVULN|7RCR|8BPWR|9CDMG
124	22621 52315	2	   	267.41	DCR|3VULN|2DMG|1DUR|2LIT|1CDMG	18DMG|28LIT|3LWND|4DUR|5MBVNT|68aVULN|7RCR|8BPWR|9CDMG
125	21213 55236	5	   	267.23	DCR|3VULN|2DMG|2DUR|1CDMG	18DMG|2RMIN|38DUR|4BEXP|5LHND|678VULN|8BPWR|9CDMG|aRCR
126	21223 55236	5	   	267.13	DCR|3VULN|2DMG|2DUR|1CDMG	18DMG|2RMIN|38DUR|4DUST|5LHND|678VULN|8BPWR|9CDMG|aRCR
127	24224 64381	7	   	267.13	DCR|3VULN|2DMG|2DUR|1CDMG	19DMG|29aVULN|3MBVNT|4ZMB|5RCVC|6CDMG|79DUR|8RCR|9BPWR
128	24244 54381	7	   	267.13	DCR|3VULN|2DMG|2DUR|1CDMG	19DMG|29aVULN|3MBVNT|4RCVC|5CDMG|6ZMB|79DUR|8RCR|9BPWR
129	15231 13533	8	   	266.72	DCR|3VULN|3CDMG|1DMG|1TLV|1ASPD	1RMIN|245CDMG|345VULN|45BPWR|6RCR|7DMG|8LIT|9ASPD|aTLV
130	24223 78441	7	 * 	266.67	DCR|3VULN|3DMG|3TLV	179DMG|279VULN|3MBVNT|4ZMB|5LWND|679TLV|79BPWR|8RCR|aLIT
131	64223 48441	7	   	266.67	DCR|3VULN|3DMG|3TLV	179TLV|279VULN|3MBVNT|4ZMB|5LWND|679DMG|79BPWR|8RCR|aLIT
132	15231 33153	10	   	266.24	DCR|4VULN|3CDMG|1TLV|1DUR	1RMIN|245CDMG|3458VULN|45BPWR|6LWND|7DUR|9TLV|aRCR
133	15231 62333	10	   	266.24	DCR|4VULN|3CDMG|1TLV|1DUR	1RMIN|245CDMG|3458VULN|45BPWR|6TLV|7LWND|9DUR|aRCR
134	15231 63333	10	   	266.24	DCR|4VULN|3CDMG|1TLV|1DUR	1RMIN|245CDMG|3458VULN|45BPWR|6TLV|7LHND|9DUR|aRCR
