0	Index      	Bounty	 *	Score 	Summary	Detail	
1	13223 11455	3	 * 	290.25	DCR|5VULN|3DMG|1AART	1RCVC|2MLV|356DMG|4568aVULN|56BPWR|7AART|9RCR
102	23323 36246	2	   	261.45	DCR|3VULN|3DUR|2AART|2LIT	15AART|289DUR|39LIT|49aVULN|6RCVC|7RCR|9BPWR
103	61622 14132	1	   	261.44	DCR|4VULN|2DMG|1DUR	1DUR|2BELT|37DMG|4568VULN|9DMSP|aRCR
104	16222 14122	3	   	260.94	DCR|4VULN|3DMG	1RCVC|2ZMB|36aDMG|4568VULN|6BPWR|7RCR|9RPLT
105	16223 16423	3	   	260.94	DCR|4VULN|3DMG	1RCVC|2ZMB|356DMG|456aVULN|56BPWR|7RCR|8BBNT|9RPLT
106	16223 24122	3	   	260.94	DCR|4VULN|3DMG	1RCVC|2ZMB|35aDMG|4568VULN|5BPWR|7RCR|9RPLT
107	23322 54431	7	   	260.85	ACR|3VULN|2DMG|2DUR|1TLV|1CDMG|1AART	1AART|27DUR|3RCR|4ZMB|57DMG|678VULN|7BPWR|9CDMG|aTLV
108	16222 14263	3	   	260.84	DCR|4VULN|3DMG	1RCVC|2ZMB|368DMG|456aVULN|6BPWR|7RCR|9TBNT
109	16223 24263	3	   	260.84	DCR|4VULN|3DMG	1RCVC|2ZMB|358DMG|456aVULN|5BPWR|7RCR|9TBNT
110	16223 16411	3	   	260.70	DCR|4VULN|3DMG|1SELL	1RCVC|2ZMB|356DMG|4569VULN|56BPWR|7RCR|8BBNT|aSELL
111	13223 14244	3	   	260.26	DCR|3VULN|3DMG|1CDMG	1RCVC|2MLV|356DMG|456VULN|56BPWR|7BBNT|8LIT|9RCR|aCDMG
112	16223 62362	3	   	260.25	DCR|4VULN|2DMG|2LIT	1RCVC|2aZMB|35DMG|459aVULN|5aBPWR|6BBNT|7aLIT|8RCR
