0	Index      	Bounty	 *	Score 	Summary	Detail	
1	11612 53333	9	 * 	280.77	DCR|4VULN|2DMG|2TLV|1CDMG	1aFEWX|278aVULN|3CDMG|49TLV|5aDMG|6RCR|aBPWR
38	21222 61551	10	   	254.05	DCR|4VULN|1TLV|1DUR	1BEXP|249aVULN|3DUR|5ASPD|6TLV|7RCR|8LIT
39	21222 61552	9	   	254.05	DCR|4VULN|1TLV|1DUR	1BEXP|249aVULN|3DUR|5ASPD|6TLV|7RCR|8LIT
40	21222 66513	4	   	253.94	DCR|3VULN|2DMG|1TLV|1DUR	1BEXP|247VULN|3DUR|59DMG|6MBVNT|8RCR|aTLV
41	23432 52234	7	   	253.51	DCR|2VULN|3DMG|1TLV|1DUR	19BEXP|2TLV|3RMIN|49VULN|5LIT|6DUR|79aDMG|8RCR|9BPWR
42	33334 61422	8	   	253.04	DCR|3VULN|2TLV|1DMG|1DUR	19CGEN|2ASPD|389VULN|4ZMB|5DUR|69TLV|7RCR|9BPWR|aDMG
43	26347 31233	6	   	252.81	DCR|3VULN|3DUR|1TLV	19aBEXP|2MBVNT|39aVULN|4LIT|5TLV|6RCVC|79aDUR|8RCR|9aBPWR
44	26347 63232	5	   	252.61	DCR|3VULN|3DUR|1TLV	19BEXP|2MBVNT|379VULN|4LIT|5TLV|69aDUR|8RCR|9BPWR
45	26347 81232	5	   	252.61	DCR|3VULN|3DUR|1TLV	19BEXP|2MBVNT|369VULN|4LIT|5TLV|79aDUR|8RCR|9BPWR
46	11222 61412	9	   	252.60	DCR|3VULN|1TLV|1DMG|2ASPD|1DUR	1FEWX|248VULN|3DUR|59ASPD|6TLV|7RCR|aDMG
47	21222 61412	9	   	252.60	DCR|3VULN|1TLV|1DMG|2ASPD|1DUR	1BEXP|248VULN|3DUR|59ASPD|6TLV|7RCR|aDMG
48	23132 52231	7	   	252.48	DCR|2VULN|2DMG|2TLV|1DUR|2LIT	1BEXP|29TLV|3CGEN|4aVULN|59LIT|6DUR|79DMG|8RCR|9BPWR
49	23432 52232	7	 * 	252.44	DCR|2VULN|2DMG|2DUR|1TLV	19BEXP|2TLV|3RMIN|49VULN|5LIT|6aDUR|79DMG|8RCR|9BPWR
50	53113 12231	7	   	252.34	DCR|2VULN|2DMG|2DUR|1TLV	19ZMB|2TLV|39DUR|4LEGI|5LIT|6aVULN|79DMG|8RCR|9BPWR
51	53131 52231	7	   	252.34	DCR|2VULN|2DMG|2DUR|1TLV	19ZMB|2TLV|39DUR|4aVULN|5LEGI|6LIT|79DMG|8RCR|9BPWR
52	21213 52233	7	   	252.20	DCR|3VULN|3DMG|1DUR	1BEXP|29aVULN|3DUR|4CGEN|59aMLV|6LIT|79aDMG|8RCR|9aBPWR
53	26324 11351	8	   	252.12	DCR|4VULN|2DUR|1TLV	19BEXP|2MBVNT|3489VULN|5RCVC|69DUR|7RCR|9BPWR|aTLV
54	26327 13632	4	   	251.92	DCR|4VULN|2DUR|1TLV	1BEXP|2MBVNT|3467VULN|59DUR|8TLV|aRCR
55	21211 52233	7	   	251.90	DCR|3VULN|3DMG|1DUR	1BEXP|29aVULN|3DUR|4CGEN|59aERES|6LIT|79aDMG|8RCR|9aBPWR
56	21612 56313	8	   	251.64	DCR|3VULN|2DMG|1TLV|1CDMG	19aBEXP|28aVULN|3CDMG|4TLV|5aDMG|6RCR|7RCVC|aBPWR
57	11612 53335	10	   	251.59	DCR|3VULN|2TLV|1DMG|1CDMG|1AART	1FEWX|278VULN|3CDMG|49TLV|5DMG|6RCR|aAART
58	53113 12233	7	 * 	251.56	DCR|3DMG|3DUR|1VULN|1TLV	19aZMB|2TLV|39aDUR|4LEGI|5LIT|6VULN|79aDMG|8RCR|9aBPWR
59	53131 52233	7	   	251.56	DCR|3DMG|3DUR|1VULN|1TLV	19aZMB|2TLV|39aDUR|4VULN|5LEGI|6LIT|79aDMG|8RCR|9aBPWR
60	11612 51335	9	   	251.44	DCR|3VULN|2DMG|1TLV|1CDMG	1FEWX|28aVULN|3CDMG|4TLV|5aDMG|6RCR|7BEXP|9aDUST|aBPWR
61	11612 53312	10	   	251.44	DCR|3VULN|2DMG|1TLV|1CDMG	1FEWX|278VULN|3CDMG|4TLV|5aDMG|6RCR|9ZMB
62	11612 53362	10	   	251.44	DCR|3VULN|2DMG|1TLV|1CDMG	1FEWX|278VULN|3CDMG|4TLV|5aDMG|6RCR|9MLV
63	11612 53214	9	   	251.34	DCR|3VULN|2DMG|1TLV|1CDMG	1FEWX|27aVULN|3CDMG|4TLV|59DMG|6RCR|8ERES
64	11612 53323	8	   	251.28	DCR|3VULN|1TLV|1DMG|2AART|1CDMG	1FEWX|278VULN|3CDMG|4TLV|5DMG|6RCR|9aAART
65	63133 33512	10	   	251.20	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG	1ERES|2ASPD|3DUR|48VULN|5CDMG|6TLV|7RCR|9aDMG
66	63133 53512	10	   	251.20	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG	1ERES|2ASPD|3DUR|48VULN|5CDMG|6RCR|7TLV|9aDMG
67	21352 52231	7	   	251.20	DCR|3VULN|2DMG|1DUR|2LIT	1BEXP|29aVULN|3CGEN|4ASPD|59LIT|6DUR|79DMG|8RCR|9BPWR
68	11614 23323	8	   	251.09	DCR|4VULN|1TLV|1DUR|1CDMG	1FEWX|289aVULN|3CDMG|4TLV|5RPLT|6RCR|7DUR
69	53133 53316	8	   	251.09	DCR|4VULN|1TLV|1DUR|1CDMG	1ZMB|2TLV|3DUR|478aVULN|5CDMG|6RCR|9BEXP
70	53133 53335	9	   	251.09	DCR|4VULN|1TLV|1DUR|1CDMG	1ZMB|2TLV|3DUR|478aVULN|5CDMG|6RCR|9LWND
71	11613 12318	10	   	251.09	DCR|4VULN|1TLV|2ASPD|1CDMG	1aFEWX|268aVULN|3CDMG|4TLV|5MBVNT|7aASPD|9RCR|aBPWR
72	21613 12318	10	   	251.09	DCR|4VULN|1TLV|2ASPD|1CDMG	1aBEXP|268aVULN|3CDMG|4TLV|5MBVNT|7aASPD|9RCR|aBPWR
73	21546 13232	2	   	251.04	DCR|3VULN|2DUR|1TLV|1DMG	1BEXP|267VULN|3TLV|4DMG|59DUR|8MLV|aRCR
74	21546 13333	2	   	251.04	DCR|3VULN|2DUR|1TLV|1DMG	1BEXP|267VULN|3TLV|4DMG|59DUR|8LWND|aRCR
75	61331 11421	8	   	251.04	DCR|3VULN|2DUR|1TLV|1DMG	19ERES|2CGEN|389VULN|4ZMB|5DMG|69DUR|7RCR|9BPWR|aTLV
76	21515 13433	2	   	251.04	DCR|3VULN|2DUR|1TLV|1DMG	1BEXP|267VULN|3TLV|4LHND|5DMG|89DUR|aRCR
77	21222 66523	4	   	250.94	DCR|3VULN|2DUR|1TLV|1DMG	1BEXP|247VULN|39DUR|5DMG|6MBVNT|8RCR|aTLV
