0	Index      	Bounty	 *	Score 	Summary	Detail	
1	23323 66411	9	 * 	291.14	DCR|4VULN|3DMG|1DUR|1CDMG	189BEXP|2689VULN|3FEWX|4CDMG|589DMG|7RCR|89BPWR|aDUR
24	11236 63333	3	   	269.44	DCR|4VULN|2DUR|3LIT|1ASPD	158LIT|2LEGI|3568VULN|4RCVC|58BPWR|78DUR|9RCR|aASPD
25	14312 32256	10	 * 	269.19	ACR|4VULN|3DUR|3LIT|2TLV|1AART	19aLIT|2aTLV|3RCR|459DUR|679aVULN|8AART|9aBPWR
26	23321 36411	9	   	268.50	DCR|3VULN|3DMG|1DUR|1CDMG	189BEXP|289VULN|3FEWX|4CDMG|5DMSP|689DMG|7RCR|89BPWR|aDUR
27	23321 36415	9	   	268.50	DCR|3VULN|3DMG|1TLV|1CDMG	189BEXP|289VULN|3FEWX|4CDMG|5DMSP|689DMG|7RCR|89BPWR|aTLV
28	23323 16411	9	   	268.50	DCR|3VULN|3DMG|1DUR|1CDMG	189BEXP|289VULN|3FEWX|4CDMG|589DMG|6DMSP|7RCR|89BPWR|aDUR
29	23323 16415	9	   	268.50	DCR|3VULN|3DMG|1TLV|1CDMG	189BEXP|289VULN|3FEWX|4CDMG|589DMG|6DMSP|7RCR|89BPWR|aTLV
30	33413 41131	2	   	267.88	DCR|5VULN|1DUR|1TLV	1LHND|2359aVULN|4DUR|6LIT|7TLV|8RCR
31	33433 41131	1	   	267.88	DCR|5VULN|1DUR|1TLV	1LHND|2DUR|3459aVULN|6LIT|7TLV|8RCR
32	34433 41131	2	   	267.88	DCR|5VULN|1DUR|1TLV	1LHND|2DUR|3459aVULN|6LIT|7TLV|8RCR
33	16136 22321	7	   	267.51	DCR|3VULN|2DMG|1DUR|2LIT|1CDMG	18LIT|2DMSP|38DMG|4CDMG|5DUR|6RCR|78aVULN|8BPWR|9CGEN
34	13122 35364	1	   	266.56	DCR|4VULN|3DUR|2LIT	17LIT|257DUR|367aVULN|4TBNT|7BPWR|8LWND|9RCR
35	13122 35164	1	   	266.46	DCR|4VULN|3DUR|2LIT	17LIT|257DUR|367aVULN|4TBNT|7BPWR|8DUST|9RCR
36	16136 22153	9	   	265.81	DCR|4VULN|1DMG|1DUR|1CDMG	1LIT|2DMSP|3DMG|4CDMG|5DUR|6RCR|789aVULN
37	13332 51356	1	 * 	265.13	DCR|3VULN|3DUR|2ASPD|2LIT	18LIT|245DUR|3MBVNT|68ASPD|78aVULN|8BPWR|9RCR
38	14631 33162	9	   	263.50	DCR|2VULN|2DUR|1DMG|1TLV|2LIT|1CDMG|1AART	18LIT|2TLV|38DUR|4CDMG|5DMG|6RPLT|78VULN|8BPWR|9RCR|aAART
39	13136 42131	1	   	263.03	DCR|4VULN|2DUR|1TLV	1LIT|25DUR|359aVULN|4RCVC|5BPWR|6TLV|7FEWX|8RCR
40	16236 42131	2	   	263.03	DCR|4VULN|2DUR|1TLV	1LIT|2DMSP|359aVULN|45DUR|5BPWR|6TLV|7FEWX|8RCR
41	13136 31131	1	   	262.93	DCR|4VULN|2DUR|1TLV	1LIT|25DUR|359aVULN|4RCVC|5BPWR|6DUST|7TLV|8RCR
42	14112 32131	7	   	262.93	DCR|4VULN|2DUR|1TLV	1LIT|2TLV|3LHND|45DUR|679aVULN|8RCR
43	14112 32131	6	   	262.93	DCR|4VULN|2DUR|1TLV	1LIT|2TLV|3LHND|45DUR|679aVULN|8RCR
44	14112 52131	5	   	262.93	DCR|4VULN|2DUR|1TLV	1LIT|2TLV|3LHND|45DUR|679aVULN|8RCR
45	14212 32131	7	   	262.93	DCR|4VULN|2DUR|1TLV	1LIT|2TLV|3FEWX|45DUR|679aVULN|8RCR
46	14611 32131	7	   	262.93	DCR|4VULN|2DUR|1TLV	1LIT|2TLV|34DUR|5LHND|679aVULN|8RCR
47	14611 32131	6	   	262.93	DCR|4VULN|2DUR|1TLV	1LIT|2TLV|34DUR|5LHND|679aVULN|8RCR
48	14611 52131	5	   	262.93	DCR|4VULN|2DUR|1TLV	1LIT|2TLV|34DUR|5LHND|679aVULN|8RCR
49	16236 31131	2	   	262.93	DCR|4VULN|2DUR|1TLV	1LIT|2DMSP|359aVULN|45DUR|5BPWR|6DUST|7TLV|8RCR
50	33443 41131	1	   	262.93	DCR|4VULN|2DUR|1TLV	1LHND|24DUR|359aVULN|6LIT|7TLV|8RCR
51	14412 32131	7	   	262.83	DCR|4VULN|2DUR|1TLV	1LIT|2TLV|3DUST|45DUR|679aVULN|8RCR
52	14412 33131	6	   	262.83	DCR|4VULN|2DUR|1TLV	1LIT|2TLV|3DUST|45DUR|679aVULN|8RCR
53	15253 23334	7	   	262.77	DCR|3VULN|3DUR|3LIT|1CDMG	158LIT|2aDUST|38aVULN|45ZMB|58aBPWR|6CDMG|78aDUR|9RCR
54	64122 21126	6	 * 	262.47	DCR|4VULN|2ASPD|1DMG|1CDMG	16ASPD|2456VULN|3DMSP|6BPWR|7DMG|8CDMG|9DUST|aRCR
55	66122 21126	6	   	262.47	DCR|4VULN|2ASPD|1DMG|1CDMG	16ASPD|2DMSP|3456VULN|6BPWR|7DMG|8CDMG|9DUST|aRCR
56	33213 64323	5	   	262.02	DCR|3VULN|2ASPD|1TLV|1DUR|1CDMG|1AART	1LHND|246VULN|36ASPD|5AART|6BPWR|7CDMG|8RCR|9DUR|aTLV
