0	Index      	Bounty	 *	Score 	Summary	Detail	
1	24145 14132	10	 * 	302.31	DCR|5VULN|3DUR|3TLV|1ASPD	1MBVNT|2578aVULN|3ASPD|47aDUR|67aTLV|7aBPWR|9RCR
19	24145 12434	8	   	289.04	DCR|3VULN|2DMG|2DUR|1TLV|1ASPD	1MBVNT|25aVULN|3ASPD|4aDUR|6TLV|7LIT|8RCR|9aDMG|aBPWR
20	24178 44214	4	   	289.04	DCR|3VULN|2DMG|2DUR|1TLV|1ASPD	1MBVNT|28aVULN|3ASPD|4aDMG|5TLV|6LIT|7aDUR|9RCR|aBPWR
21	24145 14135	10	   	288.98	DCR|5VULN|2DUR|2TLV|1ASPD	1MBVNT|2578aVULN|3ASPD|47DUR|67TLV|7BPWR|9RCR
22	24145 13132	10	   	288.98	DCR|5VULN|2DUR|2TLV|1ASPD	1MBVNT|2578aVULN|3ASPD|4aDUR|6aTLV|9RCR|aBPWR
23	43624 22121	9	   	287.50	DCR|4VULN|2DMG|1TLV|2LIT|1ASPD	139aVULN|2FEWX|4aLIT|5TLV|6ASPD|7aDMG|8RCR|aBPWR
24	45124 22121	9	   	287.50	DCR|4VULN|2DMG|1TLV|2LIT|1ASPD	129aVULN|3LWND|4aLIT|5TLV|6ASPD|7aDMG|8RCR|aBPWR
25	45324 22121	9	   	287.50	DCR|4VULN|2DMG|1TLV|2LIT|1ASPD	129aVULN|3LHND|4aLIT|5TLV|6ASPD|7aDMG|8RCR|aBPWR
26	24725 34241	5	   	286.28	DCR|5VULN|2DUR|2TLV	1MBVNT|2389aVULN|4LIT|5aTLV|6RCR|7aDUR|aBPWR
27	52523 53132	10	   	284.79	DCR|5VULN|2DMG|2TLV	1aTLV|2MBVNT|3BEXP|4678aVULN|5aDMG|9RCR|aBPWR
28	52423 43132	10	   	284.69	DCR|5VULN|2DMG|2TLV	1aTLV|2MBVNT|3DUST|4678aVULN|5aDMG|9RCR|aBPWR
29	52423 44135	10	   	284.69	DCR|5VULN|2DMG|2TLV	17TLV|2MBVNT|3DUST|4678aVULN|57DMG|7BPWR|9RCR
30	43662 22121	9	   	284.66	DCR|4VULN|2DMG|2TLV|1ASPD	139aVULN|2FEWX|4aTLV|5LIT|6ASPD|7aDMG|8RCR|aBPWR
31	45162 22121	9	   	284.66	DCR|4VULN|2DMG|2TLV|1ASPD	129aVULN|3LWND|4aTLV|5LIT|6ASPD|7aDMG|8RCR|aBPWR
32	45362 22121	9	   	284.66	DCR|4VULN|2DMG|2TLV|1ASPD	129aVULN|3LHND|4aTLV|5LIT|6ASPD|7aDMG|8RCR|aBPWR
33	24774 63132	10	 * 	284.60	DCR|5VULN|2ASPD|2TLV|1DUR	1MBVNT|2348aVULN|5DUR|6aASPD|7aTLV|9RCR|aBPWR
34	24445 46336	3	   	284.43	DCR|4VULN|2DMG|2DUR	1MBVNT|2789VULN|3LIT|47DUR|57DMG|6RMIN|7BPWR|aRCR
35	24145 14823	9	   	283.09	DCR|4VULN|2DUR|2TLV|1CDMG|1ASPD	1MBVNT|2579VULN|3ASPD|47DUR|67TLV|7BPWR|8CDMG|aRCR
36	24174 56214	5	 * 	283.00	DCR|3VULN|2DMG|2DUR|2ASPD	1MBVNT|27aVULN|37ASPD|4aDMG|5LIT|67DUR|7aBPWR|8aERES|9RCR
37	24385 16432	10	   	282.96	DCR|3VULN|3DUR|2DMG|1TLV	1MBVNT|25aVULN|38aDUR|4MLV|6TLV|7RCR|9aDMG|aBPWR
38	24141 54132	10	   	282.44	DCR|5VULN|3DUR|1ASPD	1MBVNT|2678aVULN|3ASPD|47aDUR|57aMLV|7aBPWR|9RCR
39	41122 32244	5	   	282.09	DCR|3VULN|2DMG|2DUR|2LIT|1CDMG	147VULN|2BELT|34DUR|47BPWR|57LIT|67DMG|8CDMG|9TBNT|aRCR
40	53341 13132	10	   	281.50	DCR|4VULN|2DMG|2TLV|1DUR	1aTLV|2DUR|3RCVC|4MBVNT|5aDMG|678aVULN|9RCR|aBPWR
41	53341 14135	10	   	281.50	DCR|4VULN|2DMG|2TLV|1DUR	17TLV|2DUR|3RCVC|4MBVNT|57DMG|678aVULN|7BPWR|9RCR
42	53341 16142	10	   	281.50	DCR|4VULN|2DMG|2TLV|1DUR	1aTLV|2DUR|3RCVC|4MBVNT|5aDMG|689aVULN|7RCR|aBPWR
43	24382 53132	10	   	281.08	DCR|5VULN|2DMG|1DUR	1MBVNT|2678aVULN|3DUR|4aMLV|5aDMG|9RCR|aBPWR
44	24382 54135	10	   	281.08	DCR|5VULN|2DMG|1DUR	1MBVNT|2678aVULN|3DUR|47MLV|57DMG|7BPWR|9RCR
45	24382 56142	10	   	281.08	DCR|5VULN|2DMG|1DUR	1MBVNT|2689aVULN|3DUR|4aMLV|5aDMG|7RCR|aBPWR
46	24178 52214	4	   	281.01	DCR|3VULN|2DMG|1TLV|1DUR|2LIT|1ASPD	1MBVNT|28aVULN|3ASPD|4aDMG|5TLV|6DUR|7aLIT|9RCR|aBPWR
47	24312 46345	2	   	281.01	DCR|4VULN|3DMG|3LIT	1MBVNT|2789VULN|379DMG|4LWND|5CGEN|679LIT|79BPWR|aRCR
48	52311 14132	10	   	281.01	DCR|4VULN|3DMG|3TLV	17aTLV|2MBVNT|3RCVC|4FEWX|57aDMG|678aVULN|7aBPWR|9RCR
49	52321 14132	10	   	281.01	DCR|4VULN|3DMG|3TLV	17aTLV|2MBVNT|3RCVC|4BEXP|57aDMG|678aVULN|7aBPWR|9RCR
50	52551 14132	10	   	281.01	DCR|4VULN|3DMG|3TLV	17aTLV|2MBVNT|3BEXP|4RCVC|57aDMG|678aVULN|7aBPWR|9RCR
51	54341 14132	10	   	281.01	DCR|4VULN|3DMG|3TLV	17aTLV|2BEXP|3RCVC|4MBVNT|57aDMG|678aVULN|7aBPWR|9RCR
52	56341 14132	10	   	281.01	DCR|4VULN|3DMG|3TLV	17aTLV|2FEWX|3RCVC|4MBVNT|57aDMG|678aVULN|7aBPWR|9RCR
53	52451 14132	10	   	280.91	DCR|4VULN|3DMG|3TLV	17aTLV|2MBVNT|3DUST|4RCVC|57aDMG|678aVULN|7aBPWR|9RCR
54	52423 34132	10	   	280.81	DCR|4VULN|3DMG|3TLV	17aTLV|2MBVNT|36DUST|478aVULN|57aDMG|7aBPWR|9RCR
55	24233 22132	10	   	280.58	DCR|5VULN|3DMG	1MBVNT|2678aVULN|3BEXP|4aCGEN|56aDMG|6aBPWR|9RCR
56	24833 22132	10	   	280.58	DCR|5VULN|3DMG	1MBVNT|2678aVULN|3FEWX|4aCGEN|56aDMG|6aBPWR|9RCR
57	41122 36263	5	   	280.27	DCR|4VULN|3DUR|1DMG	149aVULN|2BELT|349DUR|49BPWR|5LIT|6DMG|7RCR|89LHND
58	45112 13162	9	   	279.64	DCR|5VULN|1DMG|1TLV|1DUR	12789VULN|3LWND|4DUR|5DMG|6TLV|aRCR
59	45312 13162	9	   	279.64	DCR|5VULN|1DMG|1TLV|1DUR	12789VULN|3LHND|4DUR|5DMG|6TLV|aRCR
60	24145 14131	10	   	279.10	DCR|4VULN|2DUR|2TLV|1ASPD	1MBVNT|2578VULN|3ASPD|47DUR|67TLV|7BPWR|9RCR|aAART
61	45312 32421	5	 * 	278.90	DCR|3VULN|3DMG|2DUR	128VULN|3LHND|48DUR|568DMG|7AART|8BPWR|9RPLT|aRCR
62	52384 13132	10	   	278.50	DCR|4VULN|2DUR|2TLV|1DMG	1aTLV|2MBVNT|3RCVC|4DMG|5aDUR|678aVULN|9RCR|aBPWR
63	52384 14135	10	   	278.50	DCR|4VULN|2DUR|2TLV|1DMG	17TLV|2MBVNT|3RCVC|4DMG|57DUR|678aVULN|7BPWR|9RCR
64	52384 16142	10	   	278.50	DCR|4VULN|2DUR|2TLV|1DMG	1aTLV|2MBVNT|3RCVC|4DMG|5aDUR|689aVULN|7RCR|aBPWR
65	24174 57214	5	   	278.17	DCR|3VULN|2DMG|2TLV|1DUR|1ASPD	1MBVNT|28aVULN|3ASPD|4aDMG|5LIT|6DUR|7aTLV|9RCR|aBPWR
66	24175 27214	6	   	278.17	DCR|3VULN|2DMG|2TLV|1DUR|1ASPD	1MBVNT|28aVULN|3ASPD|4aDMG|5DUR|6LIT|7aTLV|9RCR|aBPWR
67	24175 47214	5	   	278.17	DCR|3VULN|2DMG|2TLV|1DUR|1ASPD	1MBVNT|28aVULN|3ASPD|4aDMG|5DUR|6LIT|7aTLV|9RCR|aBPWR
68	24175 52214	8	   	278.17	DCR|3VULN|2DMG|2TLV|1DUR|1ASPD	1MBVNT|26aVULN|3ASPD|4aDMG|5DUR|7LIT|8aTLV|9RCR|aBPWR
69	24777 32132	10	   	278.08	DCR|5VULN|2DUR|1DMG	1MBVNT|2347aVULN|5DMG|6RCR|8aCGEN|9aDUR|aBPWR
70	24777 34132	10	   	278.08	DCR|5VULN|2DUR|1DMG	1MBVNT|2348aVULN|5DMG|6RCR|7aCGEN|9aDUR|aBPWR
71	24645 12434	8	   	278.04	DCR|3VULN|2DMG|2DUR|1TLV	1MBVNT|25aVULN|3ZMB|4aDUR|6TLV|7LIT|8RCR|9aDMG|aBPWR
72	24645 12454	9	   	278.04	DCR|3VULN|2DMG|2DUR|1TLV	1MBVNT|25aVULN|3ZMB|4aDUR|6TLV|7LIT|8RCR|9aDMG|aBPWR
73	24678 44214	4	   	278.04	DCR|3VULN|2DMG|2DUR|1TLV	1MBVNT|28aVULN|3ZMB|4aDMG|5TLV|6LIT|7aDUR|9RCR|aBPWR
74	24645 14135	10	   	277.98	DCR|5VULN|2DUR|2TLV	1MBVNT|2578aVULN|3ZMB|47DUR|67TLV|7BPWR|9RCR
75	24645 13132	10	   	277.98	DCR|5VULN|2DUR|2TLV	1MBVNT|2578aVULN|3ZMB|4aDUR|6aTLV|9RCR|aBPWR
76	24145 14136	10	   	277.75	DCR|4VULN|2DUR|2TLV|1ASPD	1MBVNT|2578VULN|3ASPD|47DUR|67TLV|7BPWR|9RCR|aLIT
77	24333 22135	10	   	277.69	DCR|4VULN|2DMG|1TLV|1DUR	1MBVNT|2678VULN|3DUR|4CGEN|56DMG|6BPWR|9RCR|aTLV
78	24643 23564	9	   	277.49	DCR|3VULN|3DUR|3TLV|1DMG	1MBVNT|29aVULN|3ZMB|49aDUR|5DMG|6LIT|7RCR|89aTLV|9aBPWR
79	24333 21132	10	   	277.29	DCR|4VULN|3DMG|1DUR	1MBVNT|268aVULN|3DUR|47aCGEN|56aDMG|6aBPWR|9RCR
80	24382 56132	10	   	277.19	DCR|4VULN|3DMG|1DUR	1MBVNT|268aVULN|3DUR|4aMLV|59aDMG|7RCR|aBPWR
81	24331 26532	10	   	276.22	DCR|4VULN|2DMG|2DUR	1MBVNT|268aVULN|3aDUR|4CGEN|56MLV|6aBPWR|7RCR|9aDMG
82	24383 26532	10	   	276.22	DCR|4VULN|2DMG|2DUR	1MBVNT|268aVULN|3aDUR|4MLV|56CGEN|6aBPWR|7RCR|9aDMG
83	23252 31458	5	   	276.12	DCR|4VULN|2DMG|2DUR	1MBVNT|2RPLT|357aVULN|4aDMG|6DMSP|8RCR|9aDUR|aBPWR
84	24246 56134	10	   	276.12	DCR|4VULN|2DMG|2DUR	1MBVNT|268aVULN|35BEXP|4aDUR|7RCR|9aDMG|aBPWR
85	24247 56234	10	   	276.12	DCR|4VULN|2DMG|2DUR	1MBVNT|256aVULN|3BEXP|4aDUR|7RCR|8RCVC|9aDMG|aBPWR
86	24277 24434	10	   	276.12	DCR|4VULN|2DMG|2DUR	1MBVNT|245aVULN|3BEXP|6RCVC|7RCR|8aDUR|9aDMG|aBPWR
87	24382 56442	10	   	276.12	DCR|4VULN|2DMG|2DUR	1MBVNT|269aVULN|38DUR|4aMLV|5aDMG|7RCR|aBPWR
88	24731 28132	10	   	276.12	DCR|4VULN|2DMG|2DUR	1MBVNT|238aVULN|4CGEN|5aDMG|6RCVC|7aDUR|9RCR|aBPWR
89	24333 26512	10	   	276.02	DCR|4VULN|2DMG|2DUR	1MBVNT|268aVULN|3aDUR|4CGEN|56DMG|6aBPWR|7RCR|9aERES
90	41222 26253	7	   	275.31	DCR|4VULN|3DUR|1CDMG	1489VULN|2BELT|3AART|5CDMG|689BEXP|789DUR|89BPWR|aRCR
91	41222 11253	7	   	275.31	DCR|4VULN|3DUR|1CDMG	1489VULN|2BELT|3AART|5CDMG|689DUR|789BEXP|89BPWR|aRCR
92	24382 54823	9	   	275.19	DCR|4VULN|2DMG|1DUR|1CDMG	1MBVNT|2679VULN|3DUR|47MLV|57DMG|7BPWR|8CDMG|aRCR
93	24143 27214	6	   	275.17	DCR|3VULN|2DUR|2TLV|1DMG|1ASPD	1MBVNT|28aVULN|3ASPD|4aDUR|5DMG|6LIT|7aTLV|9RCR|aBPWR
94	24143 47214	5	   	275.17	DCR|3VULN|2DUR|2TLV|1DMG|1ASPD	1MBVNT|28aVULN|3ASPD|4aDUR|5DMG|6LIT|7aTLV|9RCR|aBPWR
95	24143 52214	8	   	275.17	DCR|3VULN|2DUR|2TLV|1DMG|1ASPD	1MBVNT|26aVULN|3ASPD|4aDUR|5DMG|7LIT|8aTLV|9RCR|aBPWR
96	24333 22833	9	   	275.09	DCR|4VULN|2DMG|1DUR|1CDMG	1MBVNT|2679VULN|3DUR|4CGEN|56DMG|6BPWR|8CDMG|aRCR
97	24175 26214	6	   	274.97	DCR|3VULN|2DMG|2ASPD|1DUR|2LIT	1MBVNT|27aVULN|37ASPD|4aDMG|5DUR|67LIT|7aBPWR|8aERES|9RCR
98	24175 46214	5	   	274.97	DCR|3VULN|2DMG|2ASPD|1DUR|2LIT	1MBVNT|27aVULN|37ASPD|4aDMG|5DUR|67LIT|7aBPWR|8aERES|9RCR
99	24166 51413	1	   	274.91	DCR|4VULN|2DMG|2CDMG	1MBVNT|2aDMG|3RPLT|468aVULN|5AART|7aCDMG|9RCR|aBPWR
100	52523 54131	10	   	274.91	DCR|4VULN|2DMG|2TLV	17TLV|2MBVNT|3BEXP|4678VULN|57DMG|7BPWR|9RCR|aAART
101	23252 81413	6	   	274.91	DCR|4VULN|2DMG|2CDMG	1MBVNT|2RPLT|358aVULN|4aDMG|6AART|7aCDMG|9RCR|aBPWR
102	23256 51413	4	   	274.91	DCR|4VULN|2DMG|2CDMG	1MBVNT|2RPLT|368aVULN|4aDMG|5AART|7aCDMG|9RCR|aBPWR
103	24336 51413	2	   	274.91	DCR|4VULN|2DMG|2CDMG	1MBVNT|268aVULN|3aDMG|4RPLT|5AART|7aCDMG|9RCR|aBPWR
104	63252 81413	6	   	274.91	DCR|4VULN|2DMG|2CDMG	1RPLT|2MBVNT|358aVULN|4aDMG|6AART|7aCDMG|9RCR|aBPWR
105	52423 44131	10	   	274.81	DCR|4VULN|2DMG|2TLV	17TLV|2MBVNT|3DUST|4678VULN|57DMG|7BPWR|9RCR|aAART
106	45621 13232	10	   	274.79	DCR|4VULN|2DUR|1DMG|1TLV	129aVULN|3ERES|4aBEXP|5DMG|6TLV|7RCR|8aDUR|aBPWR
107	24116 46345	3	 * 	274.69	DCR|4VULN|3ASPD|3LIT|1TLV	1MBVNT|2789VULN|379ASPD|4LWND|5TLV|679LIT|79BPWR|aRCR
108	43612 13632	10	   	274.69	DCR|4VULN|2DUR|1DMG|1TLV	137aVULN|2FEWX|4aDUR|5DMG|6TLV|8aERES|9RCR|aBPWR
109	52872 34142	10	   	274.52	DCR|3VULN|3DMG|2TLV|1DUR	1aTLV|2MBVNT|3DUR|45aDMG|6DMSP|7RCR|89aVULN|aBPWR
110	53341 16132	10	   	274.52	DCR|3VULN|3DMG|2TLV|1DUR	1aTLV|2DUR|3RCVC|4MBVNT|59aDMG|68aVULN|7RCR|aBPWR
111	24143 53134	9	   	274.30	DCR|5VULN|1DMG|1DUR|1ASPD	1MBVNT|2678aVULN|3ASPD|4DUR|5DMG|9RCR
112	24143 53135	10	   	274.30	DCR|5VULN|1DMG|1DUR|1ASPD	1MBVNT|2678aVULN|3ASPD|4DUR|5DMG|9RCR
113	24143 53184	10	   	274.30	DCR|5VULN|1DMG|1DUR|1ASPD	1MBVNT|26789VULN|3ASPD|4DUR|5DMG|aRCR
114	24175 53134	9	   	274.30	DCR|5VULN|1DMG|1DUR|1ASPD	1MBVNT|2678aVULN|3ASPD|4DMG|5DUR|9RCR
115	24772 27243	8	   	273.65	DCR|4VULN|1DMG|1TLV|1DUR|1CDMG	1MBVNT|2347VULN|5CDMG|6DUR|8TLV|9DMG|aRCR
116	24774 12743	8	   	273.65	DCR|4VULN|1DMG|1TLV|1DUR|1CDMG	1MBVNT|2347VULN|5DUR|6TLV|8CDMG|9DMG|aRCR
117	24333 26442	10	   	273.55	DCR|3VULN|2DMG|2DUR|2TLV	1MBVNT|26aVULN|3aDUR|48CGEN|56DMG|6aBPWR|7RCR|9aTLV
118	52423 44136	10	   	273.46	DCR|4VULN|2DMG|2TLV	17TLV|2MBVNT|3DUST|4678VULN|57DMG|7BPWR|9RCR|aLIT
119	53341 16442	10	   	273.45	DCR|3VULN|2DMG|2DUR|2TLV	1aTLV|28DUR|3RCVC|4MBVNT|5aDMG|69aVULN|7RCR|aBPWR
120	24335 16132	10	   	273.45	DCR|3VULN|2DMG|2DUR|2TLV	1MBVNT|25aVULN|3aDUR|4CGEN|68TLV|7RCR|9aDMG|aBPWR
121	52384 16132	10	   	273.45	DCR|3VULN|2DMG|2DUR|2TLV	1aTLV|2MBVNT|3RCVC|49DMG|5aDUR|68aVULN|7RCR|aBPWR
122	24323 46336	2	   	273.39	DCR|4VULN|2DUR|1DMG|2LIT	1MBVNT|2789VULN|3DMG|47DUR|5RMIN|67LIT|7BPWR|aRCR
123	24725 34271	5	   	273.29	DCR|4VULN|2DUR|2TLV|2LIT	1MBVNT|238aVULN|49LIT|5aTLV|6RCR|7aDUR|aBPWR
124	24141 64132	10	 * 	273.11	DCR|4VULN|3DUR|2ASPD	1MBVNT|278aVULN|36ASPD|47aDUR|57aMLV|7aBPWR|9RCR
125	41121 22325	6	   	272.91	DCR|4VULN|3DUR|2ASPD	1469VULN|2BELT|347DUR|4BPWR|58ASPD|aRCR
126	24732 34241	5	   	272.87	DCR|5VULN|2DUR|2LIT	1MBVNT|2389aVULN|4CGEN|5aLIT|6RCR|7aDUR|aBPWR
127	24735 34241	4	   	272.87	DCR|5VULN|2DUR|2LIT	1MBVNT|2389aVULN|4CGEN|5aLIT|6RCR|7aDUR|aBPWR
128	24141 52434	8	   	272.79	DCR|3VULN|2DMG|2DUR|1ASPD	1MBVNT|26aVULN|3ASPD|4aDUR|5MLV|7LIT|8RCR|9aDMG|aBPWR
129	24174 24214	6	   	272.79	DCR|3VULN|2DMG|2DUR|1ASPD	1MBVNT|28aVULN|3ASPD|4aDMG|5LIT|6MLV|7aDUR|9RCR|aBPWR
130	24176 44214	4	   	272.79	DCR|3VULN|2DMG|2DUR|1ASPD	1MBVNT|28aVULN|3ASPD|4aDMG|5MLV|6LIT|7aDUR|9RCR|aBPWR
131	24145 21434	8	   	272.69	DCR|3VULN|2DMG|2DUR|1ASPD	1MBVNT|25aVULN|3ASPD|4aDUR|6LIT|7ERES|8RCR|9aDMG|aBPWR
132	24171 44214	4	   	272.69	DCR|3VULN|2DMG|2DUR|1ASPD	1MBVNT|28aVULN|3ASPD|4aDMG|5ERES|6LIT|7aDUR|9RCR|aBPWR
133	53341 14823	9	   	272.51	DCR|3VULN|2DMG|2TLV|1DUR|1CDMG	17TLV|2DUR|3RCVC|4MBVNT|57DMG|679VULN|7BPWR|8CDMG|aRCR
