0	Index      	Bounty	 *	Score 	Summary	Detail	
1	15523 21143	10	 * 	284.22	DCR|3VULN|3DUR|2DMG|3LIT	189LIT|29DMG|378DUR|4ASPD|5LHND|689VULN|89BPWR|aRCR
20	21135 25512	4	 * 	263.35	DCR|4VULN|2DUR|3ASPD|1CDMG	1RMIN|27DUR|367aVULN|4RPLT|567ASPD|67BPWR|8RCR|9CDMG
21	21121 52532	8	   	262.93	DCR|2VULN|3DUR|1TLV|1DMG|2LIT	1RMIN|248DUR|38VULN|5DMG|6TLV|78LIT|8BPWR|9RCR|aASPD
22	15523 21112	8	   	261.42	DCR|3VULN|3DUR|1DMG|2LIT	18LIT|2DMG|378DUR|4ASPD|5LHND|689VULN|8BPWR|aRCR
23	15523 21152	9	   	261.42	DCR|3VULN|3DUR|1DMG|2LIT	18LIT|2DMG|378DUR|4ASPD|5LHND|689VULN|8BPWR|aRCR
24	16622 23512	5	   	261.32	DCR|3VULN|3DUR|1DMG|2LIT	17LIT|278DUR|3DMG|4ASPD|579VULN|6LEGI|7BPWR|aRCR
25	16622 23512	4	   	261.32	DCR|3VULN|3DUR|1DMG|2LIT	17LIT|278DUR|3DMG|4ASPD|579VULN|6LEGI|7BPWR|aRCR
26	15222 26312	8	   	261.01	DCR|4VULN|2DMG|3LIT	179LIT|29DMG|3BEXP|4ASPD|5689VULN|9BPWR|aRCR
27	33132 22541	5	   	260.84	DCR|2VULN|2DMG|2TLV|1DUR|1CDMG|1AART	1BEXP|26DMG|37VULN|4DUR|56TLV|6BPWR|8CDMG|9AART|aRCR
28	33362 33611	7	 * 	260.52	DCR|2VULN|2DMG|2TLV|2DUR	1BEXP|2aDMG|3MLV|4LIT|5aVULN|69TLV|7aDUR|8RCR|aBPWR
29	53362 33611	7	   	260.52	DCR|2VULN|2DMG|2TLV|2DUR	1FEWX|2aDMG|3MLV|4LIT|5aVULN|69TLV|7aDUR|8RCR|aBPWR
30	15112 33611	7	   	260.42	DCR|2VULN|2DMG|2TLV|2DUR	1LIT|2aDMG|3LHND|4ERES|5aVULN|69TLV|7aDUR|8RCR|aBPWR
31	15212 33611	7	   	260.42	DCR|2VULN|2DMG|2TLV|2DUR	1LIT|2aDMG|3BEXP|4ERES|5aVULN|69TLV|7aDUR|8RCR|aBPWR
32	33132 12541	5	   	259.76	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG|1AART	1BEXP|2DMG|367VULN|4DUR|5TLV|8CDMG|9AART|aRCR
33	33132 14241	8	   	259.76	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG|1AART	1BEXP|2DMG|378VULN|4DUR|5TLV|6CDMG|9AART|aRCR
34	33132 22541	6	   	259.76	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG|1AART	1BEXP|2DMG|367VULN|4DUR|5TLV|8CDMG|9AART|aRCR
35	34232 12541	5	   	259.76	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG|1AART	1BEXP|267VULN|3DMG|4DUR|5TLV|8CDMG|9AART|aRCR
36	34232 14241	8	   	259.76	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG|1AART	1BEXP|278VULN|3DMG|4DUR|5TLV|6CDMG|9AART|aRCR
37	34232 22541	6	   	259.76	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG|1AART	1BEXP|267VULN|3DMG|4DUR|5TLV|8CDMG|9AART|aRCR
38	33132 22234	5	   	259.48	DCR|2VULN|2DMG|2TLV|1DUR|1CDMG	1BEXP|26DMG|37VULN|4DUR|56TLV|6BPWR|8LIT|9RCR|aCDMG
39	13612 33661	7	   	259.24	DCR|3VULN|2DUR|1TLV|1DMG	1LIT|2aDUST|3DMG|4ERES|59aVULN|6TLV|7aDUR|8RCR|aBPWR
40	34142 26331	2	 * 	259.21	DCR|4VULN|3DUR|1DMG	1BEXP|246aVULN|356DUR|6BPWR|7BELT|8RCR|9DMG
41	34342 26331	3	   	259.21	DCR|4VULN|3DUR|1DMG	1BEXP|246aVULN|356DUR|6BPWR|7BELT|8RCR|9DMG
42	34232 14141	8	 * 	259.17	DCR|2VULN|2DMG|1TLV|2CDMG|1DUR|1AART	18BEXP|27VULN|38DMG|4DUR|5TLV|68CDMG|8BPWR|9AART|aRCR
43	16532 24122	9	   	259.16	DCR|3VULN|3DUR|1TLV|2LIT	19LIT|279DUR|3TLV|4ZMB|569VULN|8LEGI|9BPWR|aRCR
44	12232 41512	1	   	258.99	DCR|2VULN|2DMG|2DUR|1TLV|2LIT	18LIT|28DUR|3RPLT|45DMG|6LWND|78VULN|8BPWR|9RCR|aTLV
45	16232 41512	2	   	258.99	DCR|2VULN|2DMG|2DUR|1TLV|2LIT	18LIT|28DUR|3RPLT|45DMG|6LWND|78VULN|8BPWR|9RCR|aTLV
46	33132 12234	5	   	258.41	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1BEXP|2DMG|367VULN|4DUR|5TLV|8LIT|9RCR|aCDMG
47	33132 21254	7	   	258.41	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1BEXP|2DMG|369VULN|4DUR|5TLV|7LIT|8RCR|aCDMG
48	33132 21266	7	   	258.41	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1BEXP|2DMG|36aVULN|4DUR|5TLV|7LIT|8RCR|9CDMG
49	33132 22234	6	   	258.41	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1BEXP|2DMG|367VULN|4DUR|5TLV|8LIT|9RCR|aCDMG
50	34232 12234	5	   	258.41	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1BEXP|267VULN|3DMG|4DUR|5TLV|8LIT|9RCR|aCDMG
51	34232 21254	7	   	258.41	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1BEXP|269VULN|3DMG|4DUR|5TLV|7LIT|8RCR|aCDMG
52	34232 21266	7	   	258.41	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1BEXP|26aVULN|3DMG|4DUR|5TLV|7LIT|8RCR|9CDMG
53	34232 22234	6	   	258.41	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1BEXP|267VULN|3DMG|4DUR|5TLV|8LIT|9RCR|aCDMG
54	33111 51115	10	 * 	258.37	DCR|3VULN|3DMG|2DUR	149BEXP|256DMG|369VULN|69BPWR|7RCVC|89DUR|aRCR
55	34211 51115	10	   	258.37	DCR|3VULN|3DMG|2DUR	149BEXP|269VULN|356DMG|69BPWR|7RCVC|89DUR|aRCR
56	21121 21142	10	   	258.12	DCR|3VULN|3DUR|3LIT|1DMG	1RMIN|248DUR|389VULN|5DMG|69DUST|789LIT|89BPWR|aRCR
57	14253 13512	1	   	258.02	DCR|3VULN|3DUR|3LIT|1DMG	128LIT|3BBNT|4DMG|568DUR|789VULN|8BPWR|aRCR
58	14253 32512	1	   	258.02	DCR|3VULN|3DUR|3LIT|1DMG	128LIT|3BBNT|4DMG|578DUR|689VULN|8BPWR|aRCR
59	36325 22223	1	   	257.95	DCR|3VULN|3DUR|1TLV|1CDMG	1BEXP|26aDUR|3FEWX|4CDMG|567VULN|6BPWR|8TLV|9RCR
60	33122 56222	10	 * 	257.74	DCR|4VULN|2TLV|1DMG	1aBEXP|2DMG|369aVULN|4ASPD|5ERES|7aTLV|8RCR|aBPWR
61	33122 56226	9	   	257.74	DCR|4VULN|2TLV|1DMG	1aBEXP|2DMG|369aVULN|4ASPD|5ERES|7aTLV|8RCR|aBPWR
62	34351 31131	6	   	257.58	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	1BEXP|25VULN|35DUR|4DLOT|5BPWR|6CDMG|79DMG|8TLV|aRCR
63	34351 35131	7	   	257.58	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	1BEXP|25VULN|35DUR|4DLOT|5BPWR|6CDMG|79DMG|8TLV|aRCR
64	54351 31131	6	   	257.58	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	1FEWX|25VULN|35DUR|4DLOT|5BPWR|6CDMG|79DMG|8TLV|aRCR
65	33116 31552	10	   	257.50	DCR|4VULN|1TLV|1DMG|1DUR	14BEXP|2DMG|3678VULN|5TLV|9RCR|aDUR
66	15512 24122	10	   	257.28	DCR|3VULN|2DMG|2DUR|2LIT	19LIT|29DMG|37DUR|4ERES|569VULN|8LEGI|9BPWR|aRCR
67	21121 51232	10	 * 	257.16	DCR|2VULN|3DUR|2DMG|1TLV	1RMIN|24aDUR|3aVULN|59DMG|6TLV|7aERES|8RCR|aBPWR
68	21121 51236	9	   	257.16	DCR|2VULN|3DUR|2DMG|1TLV	1RMIN|24aDUR|3aVULN|59DMG|6TLV|7aERES|8RCR|aBPWR
69	33132 14151	10	   	256.62	DCR|3VULN|1TLV|1DMG|2CDMG|1DUR	18aBEXP|2DMG|378VULN|4DUR|5TLV|68CDMG|8BPWR|9RCR
70	33132 14152	9	   	256.62	DCR|3VULN|1TLV|1DMG|2CDMG|1DUR	18BEXP|2DMG|378VULN|4DUR|5TLV|68CDMG|8BPWR|9RCR|aFEWX
71	33132 14152	10	   	256.62	DCR|3VULN|1TLV|1DMG|2CDMG|1DUR	18BEXP|2DMG|378VULN|4DUR|5TLV|68CDMG|8BPWR|9RCR|aLWND
72	33132 14153	9	   	256.62	DCR|3VULN|1TLV|1DMG|2CDMG|1DUR	18aBEXP|2DMG|378VULN|4DUR|5TLV|68CDMG|8BPWR|9RCR
73	33132 14153	10	   	256.62	DCR|3VULN|1TLV|1DMG|2CDMG|1DUR	18BEXP|2DMG|378VULN|4DUR|5TLV|68CDMG|8BPWR|9RCR|aLHND
74	33132 14154	9	   	256.62	DCR|3VULN|1TLV|1DMG|2CDMG|1DUR	18BEXP|2DMG|378VULN|4DUR|5TLV|68CDMG|8BPWR|9RCR|aLWND
75	33132 14155	10	   	256.62	DCR|3VULN|1TLV|1DMG|2CDMG|1DUR	18BEXP|2DMG|378VULN|4DUR|5TLV|68CDMG|8BPWR|9RCR|aZMB
76	33132 14155	9	   	256.52	DCR|3VULN|1TLV|1DMG|2CDMG|1DUR	18BEXP|2DMG|378VULN|4DUR|5TLV|68CDMG|8BPWR|9RCR|aLEGI
77	33132 14156	10	   	256.52	DCR|3VULN|1TLV|1DMG|2CDMG|1DUR	18BEXP|2DMG|378VULN|4DUR|5TLV|68CDMG|8BPWR|9RCR|aDUST
78	33132 14156	9	   	256.52	DCR|3VULN|1TLV|1DMG|2CDMG|1DUR	18BEXP|2DMG|378VULN|4DUR|5TLV|68CDMG|8BPWR|9RCR|aDUST
79	21121 14216	8	   	255.85	DCR|3VULN|3DUR|2DMG	1RMIN|248DUR|378VULN|58DMG|6RPLT|8BPWR|9FEWX|aRCR
80	21121 14236	9	   	255.85	DCR|3VULN|3DUR|2DMG	1RMIN|248DUR|378VULN|58DMG|6RPLT|8BPWR|9LWND|aRCR
81	21121 14236	8	   	255.85	DCR|3VULN|3DUR|2DMG	1RMIN|248DUR|378VULN|58DMG|6RPLT|8BPWR|9LHND|aRCR
82	21121 14256	9	   	255.75	DCR|3VULN|3DUR|2DMG	1RMIN|248DUR|378VULN|58DMG|6RPLT|8BPWR|9DUST|aRCR
83	16622 11112	5	   	254.77	DCR|3VULN|3DUR|1DMG	1LIT|267DUR|3DMG|4ASPD|569VULN|6BPWR|8LHND|aRCR
84	16622 11112	4	   	254.77	DCR|3VULN|3DUR|1DMG	1LIT|267DUR|3DMG|4ASPD|569VULN|6BPWR|8LHND|aRCR
85	16622 11212	5	   	254.77	DCR|3VULN|3DUR|1DMG	1LIT|267DUR|3DMG|4ASPD|569VULN|6BPWR|8LWND|aRCR
86	16622 11212	4	   	254.77	DCR|3VULN|3DUR|1DMG	1LIT|267DUR|3DMG|4ASPD|569VULN|6BPWR|8LWND|aRCR
87	21121 52531	8	   	254.63	DCR|2VULN|3DUR|1TLV|1DMG|2LIT	1RMIN|248DUR|38VULN|5DMG|6TLV|78LIT|8BPWR|9RCR|aBELT
88	21121 52532	9	   	254.63	DCR|2VULN|3DUR|1TLV|1DMG|2LIT	1RMIN|248DUR|38VULN|5DMG|6TLV|78LIT|8BPWR|9ZMB|aRCR
89	21121 52534	8	   	254.63	DCR|2VULN|3DUR|1TLV|1DMG|2LIT	1RMIN|248DUR|38VULN|5DMG|6TLV|78LIT|8BPWR|9RCR|aFEWX
90	21121 52522	9	   	254.53	DCR|2VULN|3DUR|1TLV|1DMG|2LIT	1RMIN|248DUR|38VULN|5DMG|6TLV|78LIT|8BPWR|9ERES|aRCR
91	21121 52533	8	   	254.53	DCR|2VULN|3DUR|1TLV|1DMG|2LIT	1RMIN|248DUR|38VULN|5DMG|6TLV|78LIT|8BPWR|9RCR|aDUST
92	21121 52535	8	   	254.53	DCR|2VULN|3DUR|1TLV|1DMG|2LIT	1RMIN|248DUR|38VULN|5DMG|6TLV|78LIT|8BPWR|9RCR|aTBNT
93	21121 52552	8	   	254.53	DCR|2VULN|3DUR|1TLV|1DMG|2LIT	1RMIN|248DUR|38VULN|5DMG|6TLV|78LIT|8BPWR|9ERES|aRCR
94	13622 13412	5	   	254.46	DCR|4VULN|1DMG|1DUR|2LIT	17LIT|267DUST|3DMG|4ASPD|5679VULN|67BPWR|8DUR|aRCR
95	53152 35312	8	   	254.42	DCR|3VULN|1TLV|1DMG|1DUR|1AART	1FEWX|2DMG|38aVULN|4AART|5DUR|6RCR|7TLV|9LIT
96	53152 35322	9	   	254.42	DCR|3VULN|1TLV|1DMG|1DUR|1AART	1FEWX|2DMG|38aVULN|4AART|5DUR|6RCR|7TLV|9LIT
97	53152 35323	10	   	254.42	DCR|3VULN|1TLV|1DMG|1DUR|1AART	1FEWX|2DMG|38aVULN|4AART|5DUR|6RCR|7TLV|9LIT
98	15122 11562	4	   	254.42	DCR|2VULN|3DUR|2DMG|2LIT	19LIT|26DMG|39LHND|4ASPD|56VULN|69BPWR|789DUR|aRCR
99	15122 11562	5	   	254.42	DCR|2VULN|3DUR|2DMG|2LIT	19LIT|26DMG|39LHND|4ASPD|56VULN|69BPWR|789DUR|aRCR
100	15222 11562	4	   	254.42	DCR|2VULN|3DUR|2DMG|2LIT	19LIT|26DMG|39BEXP|4ASPD|56VULN|69BPWR|789DUR|aRCR
101	15222 11562	5	   	254.42	DCR|2VULN|3DUR|2DMG|2LIT	19LIT|26DMG|39BEXP|4ASPD|56VULN|69BPWR|789DUR|aRCR
102	16221 21143	10	   	254.41	DCR|3VULN|3DUR|3LIT|2ASPD	189LIT|278DUR|3LHND|49ASPD|5RMIN|689VULN|89BPWR|aRCR
103	53362 21261	7	   	254.38	DCR|3VULN|2DMG|2TLV	1FEWX|2aDMG|3MLV|4LIT|56aVULN|7LHND|8RCR|9aTLV|aBPWR
104	53362 22261	6	   	254.38	DCR|3VULN|2DMG|2TLV	1FEWX|2aDMG|3MLV|4LIT|56aVULN|7LHND|8RCR|9aTLV|aBPWR
105	53362 23261	7	   	254.38	DCR|3VULN|2DMG|2TLV	1FEWX|2aDMG|3MLV|4LIT|56aVULN|7LWND|8RCR|9aTLV|aBPWR
106	53362 23261	6	   	254.38	DCR|3VULN|2DMG|2TLV	1FEWX|2aDMG|3MLV|4LIT|56aVULN|7LWND|8RCR|9aTLV|aBPWR
107	14622 24122	8	   	254.32	DCR|2VULN|3DUR|2DMG|2LIT	18LIT|2LHND|38DMG|4ASPD|56VULN|789DUR|8BPWR|aRCR
108	16623 21122	8	   	254.32	DCR|2VULN|3DUR|2DMG|2LIT	18LIT|279DUR|38DMG|4ASPD|5LHND|68VULN|8BPWR|aRCR
109	53362 22261	7	   	254.28	DCR|3VULN|2DMG|2TLV	1FEWX|2aDMG|3MLV|4LIT|56aVULN|7DUST|8RCR|9aTLV|aBPWR
110	34222 56222	10	   	254.28	DCR|3VULN|2DMG|2TLV	1aBEXP|269VULN|3aDMG|4ASPD|5ERES|7aTLV|8RCR|aBPWR
