0	Index      	Bounty	 *	Score 	Summary	Detail	
1	36621 25322	5	 * 	290.23	DCR|3VULN|3DUR|2DMG|3TLV	18aDUR|2BELT|38aTLV|4ZMB|56DMG|78aVULN|8aBPWR|9RCR
18	36311 25222	5	   	268.82	DCR|3VULN|2DMG|2DUR|1TLV	1aDUR|2BELT|3aZMB|4TLV|56DMG|78aVULN|9RCR|aBPWR
19	34448 31441	5	   	266.92	DCR|2VULN|3DUR|2DMG|1TLV|1AART	189DUR|2MBVNT|3AART|49DMG|5FEWX|6TLV|79VULN|9BPWR|aRCR
20	34448 81441	6	   	266.92	DCR|2VULN|3DUR|2DMG|1TLV|1AART	189DUR|2MBVNT|3AART|49DMG|5FEWX|6TLV|79VULN|9BPWR|aRCR
21	34448 83441	7	   	266.92	DCR|2VULN|3DUR|2DMG|1TLV|1AART	189DUR|2MBVNT|3AART|49DMG|5FEWX|6TLV|79VULN|9BPWR|aRCR
22	33122 64541	4	   	266.82	DCR|2VULN|3DUR|2DMG|1TLV|1AART	179DUR|2AART|39VULN|4DUST|5TLV|69DMG|8MBVNT|9BPWR|aRCR
23	34442 31441	5	   	266.82	DCR|2VULN|3DUR|2DMG|1TLV|1AART	189DUR|2MBVNT|3AART|49DMG|5DUST|6TLV|79VULN|9BPWR|aRCR
24	34442 35641	5	   	266.82	DCR|2VULN|3DUR|2DMG|1TLV|1AART	179DUR|2MBVNT|3AART|49DMG|5DUST|6TLV|89VULN|9BPWR|aRCR
25	33224 63216	9	   	265.41	DCR|3VULN|3DUR|2DMG|1AART	147DUR|2AART|3RCVC|57aVULN|67DMG|7BPWR|8ERES|9RCR
26	33224 63216	10	   	265.41	DCR|3VULN|3DUR|2DMG|1AART	147DUR|2AART|3RCVC|57aVULN|67DMG|7BPWR|8ERES|9RCR
27	33261 43216	9	   	265.41	DCR|3VULN|3DUR|2DMG|1AART	157DUR|2AART|3RCVC|47DMG|67aVULN|7BPWR|8ERES|9RCR
28	33261 43216	10	   	265.41	DCR|3VULN|3DUR|2DMG|1AART	157DUR|2AART|3RCVC|47DMG|67aVULN|7BPWR|8ERES|9RCR
29	33324 63216	10	   	265.41	DCR|3VULN|3DUR|2DMG|1AART	147DUR|2AART|3DMSP|57aVULN|67DMG|7BPWR|8ERES|9RCR
30	33324 63216	9	   	265.41	DCR|3VULN|3DUR|2DMG|1AART	147DUR|2AART|3DMSP|57aVULN|67DMG|7BPWR|8ERES|9RCR
31	33361 43216	9	   	265.41	DCR|3VULN|3DUR|2DMG|1AART	157DUR|2AART|3DMSP|47DMG|67aVULN|7BPWR|8ERES|9RCR
32	33361 43216	10	   	265.41	DCR|3VULN|3DUR|2DMG|1AART	157DUR|2AART|3DMSP|47DMG|67aVULN|7BPWR|8ERES|9RCR
33	34452 48143	10	   	265.41	DCR|3VULN|3DUR|2DMG|1AART	149DUR|2MBVNT|3AART|5FEWX|69DMG|7RCR|89aVULN|9BPWR
34	36311 44322	7	   	264.66	DCR|3VULN|3DUR|1TLV|1DMG	18aDUR|2BELT|38aZMB|4TLV|5DMG|6RCVC|78aVULN|8aBPWR|9RCR
35	36311 45322	6	   	264.66	DCR|3VULN|3DUR|1TLV|1DMG	18aDUR|2BELT|38aZMB|4TLV|5DMG|6RCVC|78aVULN|8aBPWR|9RCR
36	36311 65322	5	   	264.66	DCR|3VULN|3DUR|1TLV|1DMG	18aDUR|2BELT|38aZMB|4TLV|5DMG|6DMSP|78aVULN|8aBPWR|9RCR
37	33141 13363	7	   	264.49	DCR|3VULN|2DUR|1DMG|2ASPD|1CDMG|1AART	17DUR|2AART|367VULN|4RCVC|57ASPD|7BPWR|8DMG|9CDMG|aRCR
38	36441 22222	1	   	264.00	DCR|2VULN|3DUR|2TLV|1DMG|2ASPD	13aDUR|2BELT|4aASPD|58VULN|6DMG|7aTLV|9RCR|aBPWR
39	36441 22222	2	   	264.00	DCR|2VULN|3DUR|2TLV|1DMG|2ASPD	13aDUR|2BELT|4aASPD|58VULN|6DMG|7aTLV|9RCR|aBPWR
40	61441 22222	1	   	264.00	DCR|2VULN|3DUR|2TLV|1DMG|2ASPD	1BELT|23aDUR|4aASPD|58VULN|6DMG|7aTLV|9RCR|aBPWR
41	34783 22414	6	 * 	262.86	DCR|2VULN|3DMG|3DUR|2ASPD	16aDUR|2MBVNT|3aASPD|457DMG|8RCR|9aVULN|aBPWR
42	33246 22216	8	   	262.37	DCR|3VULN|3DUR|3CDMG|1AART	179DUR|2AART|3RCVC|4MLV|579CDMG|679VULN|79BPWR|8RCR|aASPD
43	33256 22216	8	   	262.37	DCR|3VULN|3DUR|3CDMG|1AART	179DUR|2AART|3RCVC|4CGEN|579CDMG|679VULN|79BPWR|8RCR|aASPD
44	33346 22216	8	   	262.37	DCR|3VULN|3DUR|3CDMG|1AART	179DUR|2AART|3DMSP|4MLV|579CDMG|679VULN|79BPWR|8RCR|aASPD
45	33356 22216	8	   	262.37	DCR|3VULN|3DUR|3CDMG|1AART	179DUR|2AART|3DMSP|4CGEN|579CDMG|679VULN|79BPWR|8RCR|aASPD
46	33543 22213	8	   	262.27	DCR|3VULN|3DUR|3CDMG|1AART	179DUR|2AART|3ERES|479CDMG|5RCVC|679VULN|79BPWR|8RCR|aLIT
47	33543 22216	8	   	262.27	DCR|3VULN|3DUR|3CDMG|1AART	179DUR|2AART|3ERES|479CDMG|5RCVC|679VULN|79BPWR|8RCR|aASPD
48	33545 22213	8	   	262.17	DCR|3VULN|3DUR|3CDMG|1AART	179DUR|2AART|35ERES|479CDMG|679VULN|79BPWR|8RCR|aLIT
49	33556 22213	8	   	262.17	DCR|3VULN|3DUR|3CDMG|1AART	179DUR|2AART|34ERES|579CDMG|679VULN|79BPWR|8RCR|aLIT
50	33224 13215	10	   	262.04	DCR|3VULN|3DUR|2TLV|1AART	147DUR|2AART|3RCVC|57aVULN|67TLV|7BPWR|8ERES|9RCR
51	33224 13216	9	   	262.04	DCR|3VULN|3DUR|2TLV|1AART	147DUR|2AART|3RCVC|57aVULN|67TLV|7BPWR|8ERES|9RCR
52	33226 43215	10	   	262.04	DCR|3VULN|3DUR|2TLV|1AART	147DUR|2AART|3RCVC|57TLV|67aVULN|7BPWR|8ERES|9RCR
53	33226 43216	9	   	262.04	DCR|3VULN|3DUR|2TLV|1AART	147DUR|2AART|3RCVC|57TLV|67aVULN|7BPWR|8ERES|9RCR
54	33324 13215	10	   	262.04	DCR|3VULN|3DUR|2TLV|1AART	147DUR|2AART|3DMSP|57aVULN|67TLV|7BPWR|8ERES|9RCR
55	33324 13216	9	   	262.04	DCR|3VULN|3DUR|2TLV|1AART	147DUR|2AART|3DMSP|57aVULN|67TLV|7BPWR|8ERES|9RCR
56	33326 43215	10	   	262.04	DCR|3VULN|3DUR|2TLV|1AART	147DUR|2AART|3DMSP|57TLV|67aVULN|7BPWR|8ERES|9RCR
57	33326 43216	9	   	262.04	DCR|3VULN|3DUR|2TLV|1AART	147DUR|2AART|3DMSP|57TLV|67aVULN|7BPWR|8ERES|9RCR
58	33513 13441	9	   	261.94	DCR|3VULN|3DUR|2TLV|1AART	149DUR|2AART|34ERES|49BPWR|5MBVNT|689VULN|79TLV|aRCR
59	33513 13441	10	   	261.94	DCR|3VULN|3DUR|2TLV|1AART	149DUR|2AART|34ERES|49BPWR|5MBVNT|689VULN|79TLV|aRCR
60	36631 11222	6	   	261.26	DCR|2VULN|3DUR|2TLV|1DMG|1CDMG|1SELL	14aDUR|2BELT|3aTLV|5DMG|6SELL|7CDMG|8aVULN|9RCR|aBPWR
61	36631 31222	5	   	261.26	DCR|2VULN|3DUR|2TLV|1DMG|1CDMG|1SELL	14aDUR|2BELT|3aTLV|5DMG|6SELL|7CDMG|8aVULN|9RCR|aBPWR
62	36643 11222	5	   	261.26	DCR|2VULN|3DUR|2TLV|1DMG|1CDMG|1SELL	15aDUR|2BELT|3aTLV|4CDMG|6DMG|7SELL|8aVULN|9RCR|aBPWR
