0	Index      	Bounty	 *	Score 	Summary	Detail	
1	45112 41132	10	 * 	295.34	DCR|5VULN|3DUR|2DMG	18DMG|24689VULN|348DUR|48BPWR|5RCVC|7RPLT|aRCR
19	25135 13433	8	   	282.37	DCR|3VULN|2DMG|2DUR|1TLV|1CDMG	128VULN|3DUST|48DMG|5LWND|6CDMG|78DUR|8BPWR|9TLV|aRCR
20	23622 34621	10	 * 	281.71	DCR|3VULN|3DMG|2DUR|3ASPD|1SELL	16aVULN|24aDMG|347ASPD|4aBPWR|5SELL|8RCR|9aDUR
21	23254 33333	1	   	281.62	DCR|3VULN|3DMG|2CDMG|1DUR|1AART	158VULN|2AART|3LIT|489DMG|6RCR|78CDMG|8BPWR|aDUR
22	23132 21432	10	 * 	280.61	DCR|3VULN|3DUR|1TLV|1DMG|2ASPD	159VULN|2DMG|39aDUR|4TLV|6RCR|7BEXP|89ASPD|9BPWR
23	23132 21435	9	   	280.61	DCR|3VULN|3DUR|1TLV|1DMG|2ASPD	159VULN|2DMG|39aDUR|4TLV|6RCR|7BEXP|89ASPD|9BPWR
24	23132 36331	9	   	280.39	DCR|4VULN|2DUR|1TLV|1DMG	1567VULN|2DMG|39DUR|4TLV|8ASPD|aRCR
25	45132 36331	9	   	280.39	DCR|4VULN|2DUR|1TLV|1DMG	1DMG|2567VULN|39DUR|4TLV|8ASPD|aRCR
26	25133 25134	10	   	278.90	DCR|4VULN|2DMG|1TLV|2CDMG	1289VULN|3DUST|48DMG|58CDMG|6RCR|7RCVC|8BPWR|aTLV
27	24162 32125	8	 * 	278.65	DCR|5VULN|2TLV|2DUR	15689VULN|2LWND|3RCVC|48DUR|78TLV|8BPWR|aRCR
28	26162 32125	8	   	278.65	DCR|5VULN|2TLV|2DUR	15689VULN|2LHND|3RCVC|48DUR|78TLV|8BPWR|aRCR
29	45111 13136	10	 * 	278.34	DCR|3VULN|3DMG|2DUR|2CDMG	178DMG|248VULN|34DUR|48BPWR|59BEXP|68CDMG|aRCR
30	45111 13113	9	   	278.24	DCR|3VULN|3DMG|2DUR|2CDMG	178DMG|248VULN|34DUR|48BPWR|5BEXP|68CDMG|9ERES|aRCR
31	45113 13113	9	   	278.24	DCR|3VULN|3DMG|2DUR|2CDMG	178DMG|248VULN|34DUR|48BPWR|5FEWX|68CDMG|9ERES|aRCR
32	45115 13113	9	   	278.24	DCR|3VULN|3DMG|2DUR|2CDMG	178DMG|248VULN|34DUR|48BPWR|5LWND|68CDMG|9ERES|aRCR
33	25133 26431	10	   	277.12	DCR|4VULN|2DMG|2DUR|1CDMG	128aVULN|38DUST|49DMG|5CDMG|6RCR|78DUR|8BPWR
34	22331 53426	8	   	276.80	DCR|4VULN|3DUR|2DMG	148aVULN|245ERES|3DMSP|48aBPWR|68aDUR|7RCR|9aDMG
35	25133 23142	8	   	276.66	DCR|4VULN|3DMG|2CDMG	128aVULN|3DUST|478DMG|58CDMG|6RCR|8BPWR|9LIT
36	23516 32311	8	 * 	275.91	DCR|3VULN|3DUR|2DMG|2CDMG	157VULN|27DMG|3CGEN|45CDMG|57BPWR|678DUR|9RCR|aBELT
37	23516 32312	8	   	275.91	DCR|3VULN|3DUR|2DMG|2CDMG	157VULN|27DMG|3aCGEN|45CDMG|57BPWR|678DUR|9RCR
38	23516 32314	8	   	275.91	DCR|3VULN|3DUR|2DMG|2CDMG	157VULN|27DMG|3CGEN|45CDMG|57BPWR|678DUR|9RCR|aLWND
39	23516 32315	8	   	275.91	DCR|3VULN|3DUR|2DMG|2CDMG	157VULN|27DMG|3CGEN|45CDMG|57BPWR|678DUR|9RCR|aFEWX
40	23132 22135	10	 * 	275.85	DCR|5VULN|1TLV|1DMG|1DUR	1589aVULN|2DMG|3DUR|4TLV|6RCR|7LHND
41	45132 22135	10	   	275.85	DCR|5VULN|1TLV|1DMG|1DUR	1DMG|2589aVULN|3DUR|4TLV|6RCR|7LHND
42	23516 32313	8	   	275.81	DCR|3VULN|3DUR|2DMG|2CDMG	157VULN|27DMG|3CGEN|45CDMG|57BPWR|678DUR|9RCR|aBBNT
43	23516 32335	8	   	275.81	DCR|3VULN|3DUR|2DMG|2CDMG	157VULN|27DMG|3CGEN|45CDMG|57BPWR|678DUR|9DLOT|aRCR
44	23132 21125	8	   	275.09	DCR|4VULN|2DMG|1TLV|1DUR	1589VULN|2aDMG|3DUR|4TLV|6RCR|7BEXP
45	23132 22125	8	   	275.09	DCR|4VULN|2DMG|1TLV|1DUR	1589VULN|2aDMG|3DUR|4TLV|6RCR|7LHND
46	23132 22135	9	   	275.09	DCR|4VULN|2DMG|1TLV|1DUR	1589VULN|2aDMG|3DUR|4TLV|6RCR|7LHND
47	23132 33251	6	   	275.09	DCR|4VULN|2DMG|1TLV|1DUR	1568VULN|29DMG|3DUR|4TLV|7ZMB|aRCR
48	45132 21125	8	   	275.09	DCR|4VULN|2DMG|1TLV|1DUR	1aDMG|2589VULN|3DUR|4TLV|6RCR|7BEXP
49	45132 22125	8	   	275.09	DCR|4VULN|2DMG|1TLV|1DUR	1aDMG|2589VULN|3DUR|4TLV|6RCR|7LHND
50	45132 22135	9	   	275.09	DCR|4VULN|2DMG|1TLV|1DUR	1aDMG|2589VULN|3DUR|4TLV|6RCR|7LHND
51	45132 33251	6	   	275.09	DCR|4VULN|2DMG|1TLV|1DUR	19DMG|2568VULN|3DUR|4TLV|7ZMB|aRCR
52	23343 46312	2	   	275.09	DCR|4VULN|2DMG|1TLV|1DUR	1467VULN|27DMG|3BELT|5TBNT|7BPWR|8TLV|9DUR|aRCR
53	23132 23125	8	   	274.99	DCR|4VULN|2DMG|1TLV|1DUR	1589VULN|2aDMG|3DUR|4TLV|6RCR|7DUST
54	45132 23125	8	   	274.99	DCR|4VULN|2DMG|1TLV|1DUR	1aDMG|2589VULN|3DUR|4TLV|6RCR|7DUST
55	25443 22131	5	 * 	274.99	DCR|4VULN|2DMG|3CDMG|1DUR	1258VULN|38aCDMG|48DMG|6TBNT|7RCR|8BPWR|9DUR
56	23132 26632	6	   	274.10	DCR|3VULN|2DMG|1TLV|2CDMG|1DUR	159VULN|29DMG|3DUR|4TLV|6RCR|7TBNT|89CDMG|9BPWR|aDMSP
57	23132 26633	6	   	274.10	DCR|3VULN|2DMG|1TLV|2CDMG|1DUR	159VULN|29DMG|3DUR|4TLV|6RCR|7TBNT|89CDMG|9BPWR|aBELT
58	23132 61532	6	   	274.10	DCR|3VULN|2DMG|1TLV|2CDMG|1DUR	159VULN|29DMG|3DUR|4TLV|69CDMG|7RCR|8BBNT|9BPWR|aDMSP
59	23132 61533	6	   	274.10	DCR|3VULN|2DMG|1TLV|2CDMG|1DUR	159VULN|29DMG|3DUR|4TLV|69CDMG|7RCR|8BBNT|9BPWR|aBELT
60	25133 25113	8	   	274.10	DCR|3VULN|2DMG|1TLV|2CDMG|1DUR	128VULN|3DUST|48DMG|58CDMG|6RCR|7RCVC|8BPWR|9TLV|aDUR
61	25133 25113	9	   	274.10	DCR|3VULN|2DMG|1TLV|2CDMG|1DUR	128VULN|3DUST|48DMG|58CDMG|6RCR|7RCVC|8BPWR|9TLV|aDUR
62	23332 26635	6	   	274.10	DCR|3VULN|2DMG|1TLV|2CDMG|1DUR	159VULN|29DMG|3LHND|4TLV|6RCR|7TBNT|89CDMG|9BPWR|aDUR
63	23132 26634	6	   	274.00	DCR|3VULN|2DMG|1TLV|2CDMG|1DUR	159VULN|29DMG|3DUR|4TLV|6RCR|7TBNT|89CDMG|9BPWR|aDUST
64	23132 61534	6	   	274.00	DCR|3VULN|2DMG|1TLV|2CDMG|1DUR	159VULN|29DMG|3DUR|4TLV|69CDMG|7RCR|8BBNT|9BPWR|aDUST
65	45132 21432	10	 * 	273.51	DCR|2VULN|3DUR|2DMG|1TLV|2ASPD	19DMG|25VULN|39aDUR|4TLV|6RCR|7BEXP|89ASPD|9BPWR
66	23256 33334	1	   	273.14	DCR|3VULN|3DMG|2CDMG|2AART	18aVULN|25AART|3LIT|489DMG|6RCR|78CDMG|8BPWR
67	23111 61245	4	 * 	272.91	DCR|2VULN|3DMG|3DUR|1TLV	1aVULN|249DMG|348DUR|4BPWR|5FEWX|6TLV|7RCR
68	23113 61245	5	   	272.91	DCR|2VULN|3DMG|3DUR|1TLV	1aVULN|249DMG|348DUR|4BPWR|5FEWX|6TLV|7RCR
69	23132 26351	6	 * 	272.44	DCR|3VULN|3DUR|2TLV|1DMG	15aVULN|2DMG|39aDUR|4aTLV|6RCR|7TBNT|8BELT|aBPWR
70	24132 33562	1	 * 	272.44	ACR|4VULN|2DMG|2DUR|1TLV|2LIT	1238VULN|49DUR|5RCR|68DMG|78LIT|8BPWR|aTLV
71	25132 33562	2	   	272.44	ACR|4VULN|2DMG|2DUR|1TLV|2LIT	1238VULN|49DUR|5RCR|68DMG|78LIT|8BPWR|aTLV
72	23516 32116	8	   	272.35	DCR|3VULN|2DMG|2DUR|2CDMG|1AART	157VULN|27DMG|3CGEN|45CDMG|57BPWR|67DUR|8BEXP|9AART|aRCR
73	23133 21532	5	   	272.20	DCR|3VULN|3DUR|2TLV|1DMG|1SELL	19aVULN|2DMG|369DUR|49TLV|5SELL|7RCR|8BBNT|9BPWR
74	23133 61532	6	   	272.20	DCR|3VULN|3DUR|2TLV|1DMG|1SELL	19aVULN|2DMG|369DUR|49TLV|5SELL|7RCR|8BBNT|9BPWR
75	45115 21212	6	   	272.10	DCR|3VULN|3DUR|2DMG|2ASPD	1aDMG|24aVULN|348DUR|4aBPWR|5LWND|6MLV|7RCR|9aASPD
76	23132 22132	10	   	272.09	DCR|4VULN|2DUR|1TLV|1DMG	1589VULN|2DMG|3aDUR|4TLV|6RCR|7LHND
77	23132 24222	6	   	272.09	DCR|4VULN|2DUR|1TLV|1DMG	159aVULN|2DMG|38DUR|4TLV|6RCR|7LWND
78	23132 41222	6	   	272.09	DCR|4VULN|2DUR|1TLV|1DMG	159aVULN|2DMG|38DUR|4TLV|6LWND|7RCR
79	45132 22132	10	   	272.09	DCR|4VULN|2DUR|1TLV|1DMG	1DMG|2589VULN|3aDUR|4TLV|6RCR|7LHND
80	45132 24222	6	   	272.09	DCR|4VULN|2DUR|1TLV|1DMG	1DMG|259aVULN|38DUR|4TLV|6RCR|7LWND
81	45132 41222	6	   	272.09	DCR|4VULN|2DUR|1TLV|1DMG	1DMG|259aVULN|38DUR|4TLV|6LWND|7RCR
82	25314 33113	9	   	271.73	DCR|3VULN|3DMG|2DUR|1CDMG	128VULN|3LEGI|4CDMG|58DUR|678DMG|8BPWR|9ERES|aRCR
83	42112 24241	9	   	271.70	DCR|3VULN|3DMG|3DUR	19aDMG|234DUR|5LHND|69aVULN|7RCR|89aFEWX|9aBPWR
84	23112 41133	8	   	271.60	DCR|3VULN|3DMG|3DUR	168VULN|248DMG|348DUR|48BPWR|5RCVC|7RPLT|9RCR|aCGEN
85	23112 41135	8	   	271.60	DCR|3VULN|3DMG|3DUR	168VULN|248DMG|348DUR|48BPWR|5RCVC|7RPLT|9RCR|aLWND
86	23112 41136	8	   	271.60	DCR|3VULN|3DMG|3DUR	168VULN|248DMG|348DUR|48BPWR|5RCVC|7RPLT|9RCR|aBELT
87	23112 11131	8	   	271.60	DCR|3VULN|3DMG|3DUR	18aVULN|248DMG|348DUR|48BPWR|5RCVC|6DMSP|7RPLT|9RCR
88	23112 41144	10	   	271.60	DCR|3VULN|3DMG|3DUR	168VULN|248DMG|348DUR|48BPWR|5RCVC|7RPLT|9DMSP|aRCR
89	23112 41132	8	   	271.50	DCR|3VULN|3DMG|3DUR	168VULN|248DMG|348DUR|48BPWR|5RCVC|7RPLT|9RCR|aBBNT
90	45112 22322	8	   	271.50	DCR|3VULN|3DMG|3DUR	179DMG|247VULN|347DUR|47BPWR|5RCVC|6LEGI|8RMIN|aRCR
91	63332 16131	8	   	271.50	DCR|3VULN|3DMG|3DUR	1RPLT|268DMG|378DUR|48aVULN|5RCVC|8BPWR|9RCR
92	63332 33131	8	   	271.50	DCR|3VULN|3DMG|3DUR	1RPLT|278DMG|368DUR|48aVULN|5RCVC|8BPWR|9RCR
93	45112 22122	7	   	271.40	DCR|3VULN|3DMG|3DUR	179DMG|247VULN|347DUR|47BPWR|5RCVC|6LEGI|8ERES|aRCR
94	23152 33515	3	   	271.30	DCR|3VULN|3DMG|3DUR	157VULN|267DMG|379DUR|4BBNT|7BPWR|8DUST|aRCR
95	22133 31566	3	   	271.05	DCR|4VULN|1TLV|1DMG|1DUR|1CDMG	149aVULN|2ERES|3DUR|5CDMG|6TLV|7RCR|8DMG
96	25133 25132	10	   	271.04	DCR|5VULN|2DMG|2CDMG	1289aVULN|3DUST|48DMG|58CDMG|6RCR|7RCVC|8BPWR
97	25443 22112	5	   	271.04	DCR|5VULN|2DMG|2CDMG	1258aVULN|38CDMG|48DMG|6TBNT|7RCR|8BPWR|9FEWX
98	25443 22122	5	   	271.04	DCR|5VULN|2DMG|2CDMG	1258aVULN|38CDMG|48DMG|6TBNT|7RCR|8BPWR|9LHND
99	23254 33314	1	   	270.77	DCR|4VULN|2DMG|2CDMG|1AART	158aVULN|2AART|3LIT|48DMG|6RCR|78CDMG|8BPWR|9FEWX
100	23254 33324	1	   	270.77	DCR|4VULN|2DMG|2CDMG|1AART	158aVULN|2AART|3LIT|48DMG|6RCR|78CDMG|8BPWR|9BEXP
101	25236 33241	6	   	270.74	DCR|5VULN|1TLV|2ASPD|2LIT	12589VULN|38ASPD|4MLV|6TLV|78LIT|8BPWR|aRCR
102	24162 32126	9	   	269.96	DCR|4VULN|2TLV|2DUR|1AART	1568VULN|2LWND|3RCVC|48DUR|78TLV|8BPWR|9AART|aRCR
103	26162 32126	9	   	269.96	DCR|4VULN|2TLV|2DUR|1AART	1568VULN|2LHND|3RCVC|48DUR|78TLV|8BPWR|9AART|aRCR
104	23617 15431	9	 * 	269.93	DCR|3VULN|3DMG|2TLV	19aVULN|289DMG|3ASPD|4MBVNT|5BEXP|69TLV|7RCR|9BPWR
105	23617 15434	10	   	269.93	DCR|3VULN|3DMG|2TLV	19aVULN|289DMG|3ASPD|4MBVNT|5BEXP|69TLV|7RCR|9BPWR
106	23213 52324	7	   	269.69	DCR|3VULN|3DMG|1TLV|1DUR	148VULN|249DMG|3LEGI|4BPWR|5FEWX|6DUR|7RCR|aTLV
107	23624 41332	10	   	269.69	DCR|3VULN|3DMG|1TLV|2ASPD	16aVULN|249DMG|34ASPD|4BPWR|5TLV|7RPLT|8RCR
108	23626 31332	10	   	269.69	DCR|3VULN|3DMG|1TLV|2ASPD	15aVULN|249DMG|34ASPD|4BPWR|6TLV|7RPLT|8RCR
109	23514 62211	8	   	269.50	DCR|3VULN|3DUR|2DMG|1CDMG	178VULN|27DMG|3CGEN|4CDMG|567DUR|7BPWR|9RCR|aBELT
110	23514 62212	8	   	269.50	DCR|3VULN|3DUR|2DMG|1CDMG	178VULN|27DMG|3aCGEN|4CDMG|567DUR|7BPWR|9RCR
111	23514 62213	8	   	269.40	DCR|3VULN|3DUR|2DMG|1CDMG	178VULN|27DMG|3CGEN|4CDMG|567DUR|7BPWR|9RCR|aBBNT
112	25135 13432	10	   	269.40	DCR|3VULN|3DUR|2DMG|1CDMG	128VULN|3DUST|48DMG|5LWND|6CDMG|789DUR|8BPWR|aRCR
113	23254 31325	1	   	269.00	DCR|3VULN|2DUR|1TLV|1DMG|1AART	158VULN|2AART|3LIT|4DMG|6RCR|7TLV|9aDUR
114	23132 54116	8	   	268.98	DCR|3VULN|2TLV|2DUR|1DMG|1AART	158VULN|2DMG|38DUR|48TLV|6DMSP|7RMIN|8BPWR|9AART|aRCR
115	25133 25133	10	   	268.95	DCR|4VULN|2DMG|2CDMG|1DUR	1289VULN|3DUST|48DMG|58CDMG|6RCR|7RCVC|8BPWR|aDUR
116	25133 25161	10	   	268.95	DCR|4VULN|2DMG|2CDMG|1DUR	128aVULN|3DUST|48DMG|58CDMG|6RCR|7RCVC|8BPWR|9DUR
117	25443 22133	5	   	268.95	DCR|4VULN|2DMG|2CDMG|1DUR	1258VULN|38CDMG|48DMG|6TBNT|7RCR|8BPWR|9DUR|aRMIN
118	23132 24463	8	   	268.85	DCR|3VULN|2DMG|1TLV|1DUR|2LIT|1SELL	159VULN|29DMG|3DUR|4TLV|6RCR|79LIT|8SELL|9BPWR|aRPLT
119	23132 24461	8	   	268.75	DCR|3VULN|2DMG|1TLV|1DUR|2LIT|1SELL	159VULN|29DMG|3DUR|4TLV|6RCR|79LIT|8SELL|9BPWR|aMBVNT
120	23132 24462	8	   	268.75	DCR|3VULN|2DMG|1TLV|1DUR|2LIT|1SELL	159VULN|29DMG|3DUR|4TLV|6RCR|79LIT|8SELL|9BPWR|aDUST
121	23133 16128	3	   	268.72	DCR|3VULN|2DMG|2DUR|1TLV	147VULN|27DMG|37DUR|5MBVNT|6BELT|7BPWR|8RCVC|9RCR|aTLV
122	45112 23251	5	   	268.72	DCR|3VULN|2DMG|2DUR|1TLV	19DMG|248VULN|34DUR|4BPWR|5RCVC|6TLV|7ZMB|aRCR
123	45112 23251	4	   	268.72	DCR|3VULN|2DMG|2DUR|1TLV	19DMG|248VULN|34DUR|4BPWR|5RCVC|6TLV|7ZMB|aRCR
124	23132 21225	7	   	268.62	DCR|3VULN|2DMG|2DUR|1TLV	159VULN|2aDMG|38DUR|4TLV|6RCR|7BEXP
125	23132 21225	4	   	268.62	DCR|3VULN|2DMG|2DUR|1TLV	159VULN|2aDMG|38DUR|4TLV|6LHND|7RCR
126	23132 21225	5	   	268.62	DCR|3VULN|2DMG|2DUR|1TLV	159VULN|2aDMG|38DUR|4TLV|6LHND|7RCR
127	23132 22225	6	   	268.62	DCR|3VULN|2DMG|2DUR|1TLV	159VULN|2aDMG|38DUR|4TLV|6RCR|7BEXP
128	23132 22225	7	   	268.62	DCR|3VULN|2DMG|2DUR|1TLV	159VULN|2aDMG|38DUR|4TLV|6RCR|7LHND
129	23132 24225	6	   	268.62	DCR|3VULN|2DMG|2DUR|1TLV	159VULN|2aDMG|38DUR|4TLV|6RCR|7LWND
130	23132 41225	6	   	268.62	DCR|3VULN|2DMG|2DUR|1TLV	159VULN|2aDMG|38DUR|4TLV|6LWND|7RCR
131	45132 21225	5	   	268.62	DCR|3VULN|2DMG|2DUR|1TLV	1aDMG|259VULN|38DUR|4TLV|6LHND|7RCR
132	45132 21225	7	   	268.62	DCR|3VULN|2DMG|2DUR|1TLV	1aDMG|259VULN|38DUR|4TLV|6RCR|7BEXP
133	45132 21225	4	   	268.62	DCR|3VULN|2DMG|2DUR|1TLV	1aDMG|259VULN|38DUR|4TLV|6LHND|7RCR
134	45132 22225	7	   	268.62	DCR|3VULN|2DMG|2DUR|1TLV	1aDMG|259VULN|38DUR|4TLV|6RCR|7LHND
135	45132 22225	6	   	268.62	DCR|3VULN|2DMG|2DUR|1TLV	1aDMG|259VULN|38DUR|4TLV|6RCR|7BEXP
136	23131 61225	3	   	268.62	DCR|3VULN|2DMG|2DUR|1TLV	149VULN|2aDMG|38DUR|5FEWX|6TLV|7RCR
137	24162 32143	8	   	268.61	DCR|4VULN|2TLV|2DUR	1568VULN|2LWND|3RCVC|48DUR|78TLV|8BPWR|9RCR|aLIT
138	26162 32143	8	   	268.61	DCR|4VULN|2TLV|2DUR	1568VULN|2LHND|3RCVC|48DUR|78TLV|8BPWR|9RCR|aLIT
139	23132 23225	7	   	268.52	DCR|3VULN|2DMG|2DUR|1TLV	159VULN|2aDMG|38DUR|4TLV|6RCR|7DUST
140	23132 41225	4	   	268.52	DCR|3VULN|2DMG|2DUR|1TLV	159VULN|2aDMG|38DUR|4TLV|6DUST|7RCR
141	23132 41225	5	   	268.52	DCR|3VULN|2DMG|2DUR|1TLV	159VULN|2aDMG|38DUR|4TLV|6DUST|7RCR
142	45132 23225	7	   	268.52	DCR|3VULN|2DMG|2DUR|1TLV	1aDMG|259VULN|38DUR|4TLV|6RCR|7DUST
143	23232 36123	10	   	268.40	DCR|4VULN|2DMG|1TLV|1AART	1567VULN|29DMG|3LEGI|4TLV|8AART|aRCR
144	45232 36123	10	   	268.40	DCR|4VULN|2DMG|1TLV|1AART	19DMG|2567VULN|3LEGI|4TLV|8AART|aRCR
145	46212 42331	9	 * 	268.36	DCR|2VULN|2DMG|2TLV|2DUR|2ASPD	17DMG|27TLV|38ASPD|49DUR|5RCVC|67VULN|7BPWR|aRCR
146	25133 23112	8	   	268.35	DCR|4VULN|3DMG|2CDMG	128aVULN|3DUST|478DMG|58CDMG|6RCR|8BPWR|9FEWX
147	25133 23122	8	   	268.35	DCR|4VULN|3DMG|2CDMG	128aVULN|3DUST|478DMG|58CDMG|6RCR|8BPWR|9LHND
148	25133 23132	9	   	268.35	DCR|4VULN|3DMG|2CDMG	128aVULN|3DUST|478DMG|58CDMG|6RCR|8BPWR|9BEXP
149	25133 23144	10	   	268.35	DCR|4VULN|3DMG|2CDMG	128aVULN|3DUST|478DMG|58CDMG|6RCR|8BPWR|9RCVC
150	25133 23152	9	   	268.35	DCR|4VULN|3DMG|2CDMG	128aVULN|3DUST|478DMG|58CDMG|6RCR|8BPWR|9FEWX
151	25133 23154	8	   	268.25	DCR|4VULN|3DMG|2CDMG	128aVULN|3DUST|478DMG|58CDMG|6RCR|8BPWR|9BBNT
152	25133 23164	8	   	268.25	DCR|4VULN|3DMG|2CDMG	128aVULN|3DUST|478DMG|58CDMG|6RCR|8BPWR|9TBNT
153	23254 31326	1	   	268.07	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG|1AART	158VULN|2AART|3LIT|4DMG|6RCR|7TLV|9DUR|aCDMG
154	23132 26231	10	   	267.69	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	15aVULN|29DMG|3DUR|4TLV|6RCR|7MLV|8CDMG
155	45132 26231	10	   	267.69	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	19DMG|25aVULN|3DUR|4TLV|6RCR|7MLV|8CDMG
156	23362 15162	5	   	267.61	DCR|3VULN|2DMG|1TLV|2CDMG|1AART	189VULN|28DMG|3LHND|4AART|5ZMB|6RCR|78CDMG|8BPWR|aTLV
157	22133 31556	3	   	267.59	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	14aVULN|2ERES|3DUR|5CDMG|6TLV|7RCR|89DMG
158	23132 21431	10	   	267.39	DCR|3VULN|2DUR|1TLV|1DMG|2ASPD	159VULN|2DMG|39DUR|4TLV|6RCR|7aBEXP|89ASPD|9BPWR
159	23132 21431	9	   	267.39	DCR|3VULN|2DUR|1TLV|1DMG|2ASPD	159VULN|2DMG|39DUR|4TLV|6RCR|7BEXP|89ASPD|9BPWR|aCGEN
160	23132 21432	9	   	267.39	DCR|3VULN|2DUR|1TLV|1DMG|2ASPD	159VULN|2DMG|39DUR|4TLV|6RCR|7BEXP|89ASPD|9BPWR|aBELT
161	23132 21433	10	   	267.39	DCR|3VULN|2DUR|1TLV|1DMG|2ASPD	159VULN|2DMG|39DUR|4TLV|6RCR|7BEXP|89ASPD|9BPWR|aLHND
162	23132 21433	9	   	267.39	DCR|3VULN|2DUR|1TLV|1DMG|2ASPD	159VULN|2DMG|39DUR|4TLV|6RCR|7BEXP|89ASPD|9BPWR|aRMIN
163	23132 21435	10	   	267.39	DCR|3VULN|2DUR|1TLV|1DMG|2ASPD	159VULN|2DMG|39DUR|4TLV|6RCR|7BEXP|89ASPD|9BPWR|aZMB
164	23132 21436	9	   	267.39	DCR|3VULN|2DUR|1TLV|1DMG|2ASPD	159VULN|2DMG|39DUR|4TLV|6RCR|7BEXP|89ASPD|9BPWR|aDMSP
165	23132 21436	10	   	267.29	DCR|3VULN|2DUR|1TLV|1DMG|2ASPD	159VULN|2DMG|39DUR|4TLV|6RCR|7BEXP|89ASPD|9BPWR|aDUST
166	45111 42212	4	   	267.24	DCR|3VULN|2DMG|2DUR|2LIT|1AART	17DMG|247VULN|34DUR|47BPWR|5FEWX|67LIT|8LWND|9AART|aRCR
167	45113 42212	5	   	267.24	DCR|3VULN|2DMG|2DUR|2LIT|1AART	17DMG|247VULN|34DUR|47BPWR|5FEWX|67LIT|8LWND|9AART|aRCR
168	23132 21324	6	   	267.16	DCR|4VULN|1TLV|1DMG|1DUR|1AART	1589VULN|2DMG|3DUR|4TLV|6RCR|7RMIN|aAART
169	23132 26324	7	   	267.16	DCR|4VULN|1TLV|1DMG|1DUR|1AART	1589VULN|2DMG|3DUR|4TLV|6RCR|7MLV|aAART
170	23132 33153	10	   	267.16	DCR|4VULN|1TLV|1DMG|1DUR|1AART	1569VULN|2DMG|3DUR|4TLV|7RCVC|8AART|aRCR
171	23132 56153	10	   	267.16	DCR|4VULN|1TLV|1DMG|1DUR|1AART	1579VULN|2DMG|3DUR|4TLV|6DMSP|8AART|aRCR
