0	Index      	 *	Score 	Summary	Detail	
1	14326 23122	 * 	288.69	橙橙2等级1易伤1暴击	1赏金塔2烈焰减费3全技能4暴击58等级6随机技能7a核9易伤
36	23131 33556	   	263.97	橙橙1易伤1矿等1暴击	1挖尘2敌人爆炸3暴击4时间5易伤6矿等79核8最后敌人a加一
37	51623 12126	   	263.95	橙3易伤3攻速2伤害	19伤害2挖尘359攻速49a易伤6核7双倍秒伤8全技能9序列升级
38	43124 61115	   	263.27	紫橙2易伤1等级1矿等	12敌人爆炸3加一4a易伤56核7矿等8挖尘9等级
39	43124 61315	   	263.27	紫橙2易伤1等级1矿等	12敌人爆炸3加一4a易伤56核7矿等8基地爆炸9等级
40	42312 23312	   	262.51	橙橙1易伤1等级1技能	1敌人爆炸2雷电3技能4金币生成5额外掉落6等级79核8暴雪减费a易伤
41	43256 33222	 * 	261.93	橙橙3易伤1卖塔	127敌人爆炸357易伤47雷电6赏金塔7序列升级8a核9卖塔
42	35124 61612	   	260.33	紫橙1等级1易伤1矿等2时间	12时间3加一4易伤56核7矿等8最后敌人9等级a全技能
43	35124 61118	   	260.23	紫橙1等级1易伤1矿等2时间	12时间3加一4易伤56核7矿等8挖尘9等级a全技能
44	35124 61318	   	260.23	紫橙1等级1易伤1矿等2时间	12时间3加一4易伤56核7矿等8基地爆炸9等级a全技能
45	35124 61263	   	259.79	紫橙2易伤1矿等2时间1暴击	12时间3加一49易伤56核7矿等8平台a暴击
46	42312 23314	   	259.01	橙橙1等级1矿等1技能	1敌人爆炸2雷电3技能4金币生成5额外掉落6等级79核8暴雪减费a矿等
47	35124 61114	   	258.86	紫橙1等级1易伤1矿等2时间	12时间3加一4易伤56核7矿等8挖尘9等级a随机技能
48	35124 61314	   	258.86	紫橙1等级1易伤1矿等2时间	12时间3加一4易伤56核7矿等8基地爆炸9等级a随机技能
49	35124 61172	   	258.86	紫橙1等级1易伤1矿等2时间	12时间3加一4易伤56核7矿等8挖尘9随机技能a等级
50	35124 61372	   	258.86	紫橙1等级1易伤1矿等2时间	12时间3加一4易伤56核7矿等8基地爆炸9随机技能a等级
