0	Index      	Bounty	 *	Score 	Summary	Detail	
1	23322 12663	4	 * 	289.14	橙3易伤2伤害2时间1等级1攻速	1低血量敌人25a易伤3雷电4攻速6a时间7等级8核9a伤害a序列升级
44	33142 53151	6	   	262.60	橙4易伤3时间1攻速	147挖尘2578易伤357时间57序列升级6双倍矿9攻速a核
45	33443 25112	7	   	262.60	橙4易伤3时间1攻速	135挖尘2359易伤359序列升级4随机矿689时间7核a攻速
46	23321 12663	4	   	262.23	橙2易伤2伤害2时间1等级1攻速	15低血量敌人2a易伤3雷电4攻速6a时间7等级8核9a伤害a序列升级
47	23532 13663	2	   	261.79	橙3易伤2伤害2时间	1低血量敌人23a易伤4雷电5策反6a时间7掉矿8核9a伤害a序列升级
48	33424 43312	9	   	261.72	橙4易伤2等级1时间1全技能	13a挖尘239a易伤3a序列升级4雷电5时间6核7全技能8a等级
49	23124 14263	8	   	261.64	橙4易伤2伤害1时间	19低血量敌人2589易伤3时间4最后敌人6平台79伤害9序列升级a核
50	23124 14212	9	   	261.64	橙4易伤2伤害1时间	1a低血量敌人258a易伤3时间4最后敌人6平台7a伤害9核a序列升级
51	22122 13663	5	 * 	261.57	橙2易伤2伤害2攻速2等级1时间	1低血量敌人2a攻速35等级4雷电6a易伤7时间8核9a伤害a序列升级
52	22122 23663	6	   	261.57	橙2易伤2伤害2攻速2等级1时间	1低血量敌人2a攻速35等级4雷电6a易伤7时间8核9a伤害a序列升级
53	22122 23663	7	   	261.57	橙2易伤2伤害2攻速2等级1时间	1低血量敌人2a攻速35等级4雷电6a易伤7时间8核9a伤害a序列升级
54	16652 11311	8	 * 	261.34	橙4易伤3伤害	137敌人爆炸239伤害379序列升级4立即金币579a易伤679最后敌人8核
55	13264 21311	8	   	261.04	橙4易伤3伤害	167敌人爆炸279a易伤3挖青4立即金币579伤害79序列升级8核
56	36652 11311	8	   	261.04	橙4易伤3伤害	137挖尘239伤害379序列升级4立即金币579a易伤679最后敌人8核
57	13536 14133	2	   	260.55	橙3易伤2时间1伤害1等级	18敌人爆炸238易伤4雷电5额外掉落6伤害78时间8序列升级9核a等级
58	13424 23135	8	   	260.43	橙4易伤2时间1暴击	13敌人爆炸2378易伤3序列升级4雷电56时间9核a暴击
59	26132 12653	2	   	260.35	橙3易伤2时间1伤害1等级	1低血量敌人2伤害35a易伤4雷电69时间7等级8核
60	26132 12653	1	   	260.35	橙3易伤2时间1伤害1等级	1低血量敌人2伤害35a易伤4雷电69时间7等级8核
61	13425 31421	8	   	260.35	橙4易伤2伤害2雷电	136敌人爆炸2378易伤38序列升级48雷电58伤害9核a平台
62	13425 31422	8	   	260.35	橙4易伤2伤害2雷电	136敌人爆炸2378易伤38序列升级48雷电58伤害9核a立即金币
63	13431 24134	5	   	260.35	橙4易伤2伤害2雷电	138敌人爆炸2389易伤38序列升级4低血量敌人5a雷电6核78伤害
64	11363 15312	10	   	260.31	橙3易伤2伤害2攻速1时间	1a敌人爆炸2立即金币35攻速45a易伤5a序列升级6最后敌人7核8时间9a伤害
65	11363 66212	10	   	260.31	橙3易伤2伤害2攻速1时间	1a敌人爆炸2立即金币35攻速45a易伤5a序列升级6时间7最后敌人8核9a伤害
66	15363 15312	10	   	260.31	橙3易伤2伤害2攻速1时间	12a敌人爆炸25a序列升级35攻速45a易伤6最后敌人7核8时间9a伤害
67	13162 41315	8	   	260.19	橙3易伤3时间3攻速	179敌人爆炸259易伤357时间4a立即金币579序列升级679攻速8核
68	13162 41316	8	   	260.19	橙3易伤3时间3攻速	179敌人爆炸259易伤357时间4立即金币579序列升级679攻速8核a基地爆炸
69	23162 41311	8	   	260.19	橙3易伤3时间3攻速	179低血量敌人259易伤357时间4立即金币579序列升级679攻速8核a随机矿
70	23162 41312	8	   	260.19	橙3易伤3时间3攻速	179低血量敌人259易伤357时间4立即金币579序列升级679攻速8核a敌人爆炸
71	23162 41313	8	   	260.19	橙3易伤3时间3攻速	179低血量敌人259易伤357时间4立即金币579序列升级679攻速8核a金币生成
72	23162 41316	8	   	260.19	橙3易伤3时间3攻速	179a低血量敌人259易伤357时间4立即金币579序列升级679攻速8核
73	31363 15312	10	   	260.11	橙3易伤2伤害2攻速1时间	1a挖尘2立即金币35攻速45a易伤5a序列升级6最后敌人7核8时间9a伤害
74	31363 66212	10	   	260.11	橙3易伤2伤害2攻速1时间	1a挖尘2立即金币35攻速45a易伤5a序列升级6时间7最后敌人8核9a伤害
75	13162 41313	8	   	260.09	橙3易伤3时间3攻速	179敌人爆炸259易伤357时间4立即金币579序列升级679攻速8核a赏金塔
76	13162 41314	8	   	260.09	橙3易伤3时间3攻速	179敌人爆炸259易伤357时间4立即金币579序列升级679攻速8核a掉矿
77	15352 61312	8	   	260.09	橙3易伤3时间3攻速	127敌人爆炸279序列升级39a攻速4立即金币579易伤679时间8核
78	23162 41315	8	   	260.09	橙3易伤3时间3攻速	179低血量敌人259易伤357时间4立即金币579序列升级679攻速8核a加一
79	12652 61313	8	   	260.09	橙3易伤3时间3攻速	137敌人爆炸239攻速379序列升级4立即金币579易伤679时间8核a赏金塔
80	33431 24134	5	   	260.05	橙4易伤2伤害2雷电	138挖尘2389易伤38序列升级4低血量敌人5a雷电6核78伤害
81	33142 41233	10	   	259.89	橙3易伤3时间3攻速	147挖尘25a易伤357时间57a序列升级67a攻速8a金币生成9核
82	32652 61313	8	   	259.79	橙3易伤3时间3攻速	137挖尘239攻速379序列升级4立即金币579易伤679时间8核a赏金塔
83	35352 61312	8	   	259.79	橙3易伤3时间3攻速	127挖尘279序列升级39a攻速4立即金币579易伤679时间8核
